,term,score
0,erica,228.10296372856084
1,pete,196.32119648341288
2,emily,156.79254360400554
3,abby,147.23914683174397
4,kristy,135.72196195611986
5,alan,134.5950006871024
6,mary,103.34678045654258
7,rosie,97.2744350677302
8,camera,85.09560547319357
9,claudia,54.261384954613945
10,anna,50.795277745634785
11,cokie,49.16979981285029
12,jackie,44.037276612465135
13,class,36.1742566364093
14,ms,35.49342183991156
15,jessi,35.36363952637931
16,logan,29.2065392806414
17,movie,27.54085057700494
18,video,26.498619736721437
19,archie,24.145788428900257
20,director,23.99289595271823
21,laine,23.63208793084204
22,stacey,23.406871941206017
23,group,22.84414032614525
24,art,20.290143141860284
25,suppose,19.990529996916898
26,interesting,18.442829443343324
27,bsc,18.165732696462975
28,locker,17.02036127977191
29,takes,16.758451368198152
30,ethan,16.42520391671568
31,sms,15.763479128136947
32,expression,15.291067856678355
33,shea,14.701458514320983
34,project,14.527354285928961
35,mad,14.459474924324056
36,vanessa,13.900970778798506
37,couch,13.771098823530393
38,movies,13.579399662453191
39,math,13.466611592690988
40,tape,13.374549595274349
41,joke,13.145895253717052
42,scene,12.932355398075545
43,sharon,12.70755369298936
44,continued,12.654707811005213
45,involved,12.387514489802008
46,machine,12.122081766670851
47,dance,11.562629059998217
48,gray,11.353317300519812
49,shouted,10.782007473074751
50,dumb,10.516716202973642
51,music,10.230971542157008
52,writing,10.099958694518241
53,makeup,10.058498642947646
54,subject,9.910011591841606
55,often,9.79034585406225
56,rodowsky,9.77313440308851
57,margo,9.730679545158953
58,excited,9.57553852140246
59,insisted,8.830357900404298
60,boys,8.780200161071022
61,hate,8.702529648055334
62,waited,8.663975356567743
63,energy,8.662807541110269
64,admitted,8.580614474961298
65,explained,8.473942668502886
66,fair,8.288651255096358
67,shot,8.214576489782598
68,angry,8.177830998579593
69,kidding,8.068737881462704
70,richard,7.95887280171589
71,awesome,7.9212654616040385
72,reminded,7.890611221834554
73,pike,7.82061063849247
74,beside,7.779426119214162
75,classes,7.743817706095274
76,questions,7.7169050379964865
77,feelings,7.673228656617756
78,decide,7.638243134752997
79,eye,7.580978436996775
80,spoke,7.51399227988372
81,worked,7.447641072201915
82,final,7.394462883314908
83,excellent,7.394462883314908
84,monday,7.381912889753041
85,truth,7.365468890292453
86,jordan,7.288451845061893
87,adam,7.288451845061893
88,dream,7.288451845061893
89,information,7.266293078585189
90,rain,7.261459253136778
91,learn,7.2335954499798
92,clients,7.2010750451637655
93,shouldn,7.10455821865402
94,thinks,6.916061041253746
95,hang,6.916061041253746
96,roll,6.853394960113743
97,list,6.7936078114665035
98,mallory,6.733305796345494
99,lunch,6.70338054727926
100,claire,6.6956531714391145
101,meetings,6.643974121382992
102,member,6.614490032568417
103,student,6.603342857240437
104,divorced,6.585150120803267
105,record,6.555952982896228
106,york,6.555952982896228
107,favorite,6.497981517425807
108,others,6.497981517425807
109,become,6.46920448384485
110,ahead,6.46920448384485
111,boyfriend,6.440564811328903
112,tomorrow,6.412061194777316
113,shrugged,6.412061194777316
114,sighed,6.383692347601641
115,sitters,6.383692347601641
116,folded,6.336217023872535
117,ones,6.327353905502607
118,ballet,6.250255021170671
119,american,6.193757244901004
120,team,6.027996208316501
121,yourself,5.973941627795423
122,greeted,5.9731252564603246
123,problems,5.947131912088496
124,mostly,5.947131912088496
125,gets,5.815198136222522
126,possible,5.763384201044789
127,exclaimed,5.763384201044789
128,hurried,5.747713510255798
129,completely,5.7121017002088434
130,obviously,5.666354773307307
131,thirteen,5.6613398428887525
132,although,5.611088163621245
133,hallway,5.586617913704038
134,lived,5.586150456066051
135,none,5.586150456066051
136,catch,5.586150456066051
137,wondered,5.536645101152493
138,became,5.536645101152493
139,grinned,5.512075027140347
140,decision,5.508439529412157
141,jobs,5.487625100669389
142,glanced,5.463294152413524
143,gorgeous,5.4571567756959105
144,announced,5.4390810300345835
145,desk,5.4390810300345835
146,tree,5.431759864981276
147,picture,5.41498459785484
148,acting,5.406523188208217
149,horrible,5.406523188208217
150,putting,5.343384328981097
151,younger,5.319743623001367
152,mine,5.296214167814304
153,brown,5.296214167814304
154,stepped,5.296214167814304
155,bet,5.296214167814304
156,comes,5.296214167814304
157,opening,5.28267428579235
158,snapped,5.258358101486821
159,boring,5.210164747422123
160,sunday,5.186284079476108
161,recently,5.162545137396849
162,control,5.138946248888097
163,grin,5.115485771078504
164,students,5.053009652633372
165,appeared,5.022996101395087
166,train,5.000834424497764
167,climbed,5.000204016936537
168,excuse,5.000204016936537
169,act,4.977541066793827
170,large,4.955005795920803
171,jeff,4.955005795920803
172,backpack,4.949551124419863
173,seriously,4.932596773726123
174,amazing,4.932596773726123
175,touch,4.888151872025841
176,themselves,4.888151872025841
177,mall,4.874233361026635
178,using,4.8661132487819625
179,field,4.849541863617088
180,hoping,4.8223969666532005
181,offered,4.800716696775844
182,normal,4.800716696775844
183,claud,4.800716696775844
184,fight,4.800716696775844
185,office,4.800716696775844
186,silence,4.7151519368505745
187,handle,4.7151519368505745
188,museum,4.65238087410037
189,written,4.652158508978017
190,bunch,4.631379241469601
191,moving,4.610707360835831
192,blood,4.590557613151596
193,several,4.569681360167075
194,totally,4.529071874311002
195,study,4.5016622203324825
196,stared,4.488870530896996
197,charge,4.46892036485284
198,wednesday,4.4490692074843246
199,eating,4.409660021712278
200,byron,4.394123825013075
201,stairs,4.390100080535511
202,president,4.390100080535511
203,explain,4.390100080535511
204,ideas,4.390100080535511
205,wonderful,4.390100080535511
206,leaving,4.390100080535511
207,teachers,4.373071107037136
208,college,4.352165099088856
209,paint,4.352165099088856
210,fashion,4.352165099088856
211,hit,4.351264824027667
212,break,4.3128029892299
213,light,4.293709874219268
214,definitely,4.293709874219268
215,heading,4.290307237480649
216,murmured,4.290307237480649
217,spend,4.274707463184877
218,pleased,4.269968176524513
219,slid,4.24976607998048
220,besides,4.236971334251443
221,street,4.236971334251443
222,question,4.2182359370017375
223,nicky,4.189963435278028
224,carrot,4.127652345165388
225,add,4.1120369760682465
226,wished,4.073819898735957
227,earth,4.073819898735957
228,honest,4.036083552115377
229,taylor,4.027631504016066
230,soccer,4.003388782951376
231,tossed,3.998815992119705
232,pass,3.9620057143442624
233,schedule,3.871908853047637
234,hasn,3.871908853047637
235,asleep,3.8191215673764987
236,aside,3.8017302143235208
237,wears,3.7501530127024028
238,thursday,3.7501530127024028
239,officer,3.7331558000953704
240,somewhere,3.716254346940602
241,foot,3.6994475802945925
242,terrible,3.6994475802945925
243,associate,3.6994475802945925
244,legs,3.6994475802945925
245,war,3.6916480415378063
246,radio,3.6916480415378063
247,expect,3.6827344451462265
248,stupid,3.6827344451462265
249,clue,3.671135041203428
250,homework,3.6661139040193804
251,ourselves,3.6661139040193804
252,spot,3.649584936586472
253,learned,3.6005375225818828
254,pushed,3.55227910932701
255,crying,3.536363952637931
256,keeps,3.536363952637931
257,unless,3.504784713676968
258,mansion,3.504784713676968
259,mess,3.504784713676968
260,wondering,3.489118881733513
261,terrific,3.489118881733513
262,speaking,3.4735344311022005
263,quietly,3.4735344311022005
264,wrote,3.458030520626873
265,awhile,3.458030520626873
266,begin,3.4426063221256173
267,junior,3.4426063221256173
268,shut,3.4272610201253064
269,tv,3.4119938116028923
270,speak,3.3968039057332517
271,fall,3.3968039057332517
272,forgot,3.3968039057332517
273,party,3.3968039057332517
274,himself,3.3968039057332517
275,drew,3.3816905236433805
276,somehow,3.366652898172747
277,wow,3.366652898172747
278,silly,3.366652898172747
279,usual,3.35169027363963
280,seems,3.35169027363963
281,staring,3.35169027363963
282,neither,3.3368019056132434
283,ended,3.321987060691496
284,nervous,3.3072450162842086
285,upset,3.3072450162842086
286,regular,3.2925750604016333
287,drive,3.277976491448114
288,rolled,3.277976491448114
289,less,3.277976491448114
290,waved,3.277976491448114
291,nine,3.2634486180207505
292,sitter,3.2634486180207505
293,tears,3.2634486180207505
294,listen,3.2489907587129037
295,mcgill,3.2489907587129037
296,likes,3.234602241922425
297,piece,3.234602241922425
298,surprise,3.234602241922425
299,forward,3.2202824056644515
300,admit,3.206030597388658
301,spent,3.206030597388658
302,uh,3.206030597388658
303,pay,3.1918461738008204
304,headed,3.1636769527513033
305,clock,3.1636769527513033
306,lines,3.152695825627389
307,board,3.060371742101064
308,stamford,3.0157602270724677
309,lessons,3.0157602270724677
310,backyard,2.9865626282301623
311,laughter,2.9014433993925706
312,singing,2.9014433993925706
313,scary,2.9014433993925706
314,woke,2.887602513703423
315,english,2.873856755127899
316,chairs,2.860204824987099
317,exciting,2.8331773866536536
318,bored,2.806510324914723
319,artist,2.806510324914723
320,baseball,2.793308956852019
321,dying,2.793308956852019
322,pieces,2.793308956852019
323,luckily,2.793308956852019
324,daughter,2.7671647937173134
325,super,2.715879932490638
326,prepared,2.715879932490638
327,everywhere,2.715879932490638
328,jumping,2.690722368076918
329,diabetes,2.690722368076918
330,rather,2.690722368076918
331,star,2.690722368076918
332,forth,2.6782612685756457
333,slipped,2.6782612685756457
334,follow,2.6658773280798034
335,style,2.6658773280798034
336,frowned,2.653569596931047
337,doorway,2.653569596931047
338,skin,2.653569596931047
339,edge,2.653569596931047
340,flew,2.653569596931047
341,mirror,2.641337142896175
342,lifted,2.641337142896175
343,lay,2.641337142896175
344,lose,2.6291790507434105
345,excitement,2.617094421831485
346,months,2.6050823737110615
347,cover,2.6050823737110615
348,planning,2.6050823737110615
349,lap,2.6050823737110615
350,snack,2.6050823737110615
351,certain,2.6050823737110615
352,certainly,2.593142039738054
353,entered,2.5812725686984246
354,space,2.5812725686984246
355,child,2.5812725686984246
356,letting,2.5694731244440483
357,promise,2.5694731244440483
358,muttered,2.557742885539252
359,wore,2.5460810449176656
360,hungry,2.534486809549014
361,crowd,2.534486809549014
362,loved,2.522959400115514
363,bell,2.4775028979604015
364,ears,2.4775028979604015
365,sixth,2.455156296764151
366,teacher,2.455156296764151
367,dues,2.455156296764151
368,bottom,2.4440759360129203
369,sigh,2.4440759360129203
370,promised,2.4440759360129203
371,genius,2.4330566243909812
372,fit,2.4220976928617297
373,shannon,2.4220976928617297
374,steps,2.4111984833266003
375,faces,2.4111984833266003
376,luck,2.4111984833266003
377,strange,2.4111984833266003
378,wide,2.400358348387922
379,softly,2.400358348387922
380,allowed,2.400358348387922
381,gently,2.3788527648353983
382,mal,2.3788527648353983
383,gathered,2.3788527648353983
384,treasurer,2.3788527648353983
385,including,2.3681860728846735
386,fifteen,2.3681860728846735
387,um,2.3575759684252873
388,played,2.336523142451312
389,hoped,2.336523142451312
390,expected,2.336523142451312
391,absolutely,2.3260792544890085
392,cute,2.3260792544890085
393,covered,2.3260792544890085
394,wild,2.3260792544890085
395,woman,2.3156896207348003
396,ride,2.3156896207348003
397,clear,2.3156896207348003
398,charlie,2.3156896207348003
399,whether,2.3053536804179156
400,finish,2.3053536804179156
401,weeks,2.3053536804179156
402,settled,2.2950708814170784
403,eighth,2.2950708814170784
404,jeans,2.2950708814170784
405,bedroom,2.2950708814170784
406,dress,2.2950708814170784
407,entire,2.2848406800835375
408,watson,2.2848406800835375
409,schafer,2.274662541068595
410,worse,2.264535937155501
411,secretary,2.264535937155501
412,extra,2.264535937155501
413,glasses,2.254460349095587
414,empty,2.254460349095587
415,eleven,2.254460349095587
416,longer,2.244435265448498
417,married,2.244435265448498
418,sisters,2.244435265448498
419,missed,2.244435265448498
420,age,2.23446018242642
421,stayed,2.204830010856139
422,plenty,2.204830010856139
423,leaned,2.204830010856139
424,joined,2.204830010856139
425,evening,2.204830010856139
426,sick,2.204830010856139
427,known,2.1950500402677555
428,repeated,2.1950500402677555
429,its,2.1950500402677555
430,wonder,2.1950500402677555
431,seat,2.1853176609654095
432,junk,2.1756324120138335
433,checked,2.1756324120138335
434,asking,2.1756324120138335
435,threw,2.1756324120138335
436,children,2.1659938391419358
437,kishi,2.1659938391419358
438,bag,2.1659938391419358
439,brothers,2.1659938391419358
440,guy,2.1659938391419358
441,broke,2.1659938391419358
442,california,2.1659938391419358
443,beautiful,2.15640149461495
444,deal,2.15640149461495
445,game,2.15640149461495
446,window,2.146854937109634
447,notebook,2.146854937109634
448,mark,2.1438688802562305
449,figure,2.1373537315924387
450,air,2.1373537315924387
451,barely,2.127897449200547
452,town,2.1184856671257215
453,helped,2.1184856671257215
454,news,2.1184856671257215
455,awful,2.1091179685008687
456,calling,2.1091179685008687
457,practically,2.1091179685008687
458,taken,2.1091179685008687
459,snow,2.026085844599847
460,cecelia,2.013815752008033
461,coach,1.909675492755436
462,audience,1.8458240207689032
463,mail,1.7955621859880149
464,key,1.7761441001309133
465,popcorn,1.7477061648103795
466,birthday,1.7384037721480663
467,science,1.7384037721480663
468,island,1.7200546334798696
469,rose,1.6843365508777906
470,stace,1.6843365508777906
471,mystery,1.6756028709090358
472,sunny,1.6669448081659213
473,twins,1.65836106447453
474,buddy,1.6498503748066211
475,painting,1.6414115061607566
476,ghost,1.63304325649024
477,signed,1.6247444536755449
478,ew,1.6165139545390295
479,stage,1.600253433667249
480,envelope,1.600253433667249
481,gym,1.600253433667249
482,report,1.5922212619699847
483,test,1.5685047353526689
484,sleeping,1.5453376760711344
485,hospital,1.5377330766859152
486,flowers,1.530185871050532
487,kiss,1.530185871050532
488,dear,1.5152602208338564
489,horse,1.5152602208338564
490,chips,1.500554073444161
491,page,1.4932813141150811
492,houses,1.4860610661415943
493,seats,1.4717751088941178
494,aunt,1.4647079416710251
495,bent,1.4576903690123786
496,hiding,1.4576903690123786
497,doors,1.4507216996962853
498,accident,1.4507216996962853
499,lights,1.4369283775639494
500,fancy,1.4369283775639494
501,doorbell,1.4369283775639494
502,impressed,1.4301024124935495
503,round,1.4165886933268268
504,waving,1.4165886933268268
505,total,1.40989970517603
506,share,1.40989970517603
507,softball,1.4032551624573615
508,pants,1.3966544784260095
509,driving,1.3900970778798505
510,bill,1.3900970778798505
511,brain,1.3900970778798505
512,sun,1.3835823968586567
513,official,1.3835823968586567
514,coffee,1.3771098823530392
515,seventh,1.3771098823530392
516,song,1.3771098823530392
517,nancy,1.3706789920227487
518,building,1.3706789920227487
519,nope,1.3706789920227487
520,enjoy,1.3706789920227487
521,history,1.3642891939239776
522,rushed,1.3642891939239776
523,letters,1.3642891939239776
524,tough,1.3642891939239776
525,honey,1.3642891939239776
526,thrilled,1.3642891939239776
527,month,1.3642891939239776
528,slightly,1.3642891939239776
529,lips,1.357939966245319
530,above,1.357939966245319
531,major,1.3516307970520542
532,sounding,1.345361184038459
533,dead,1.3391306342878229
534,simple,1.3391306342878229
535,glance,1.3391306342878229
536,crowded,1.3391306342878229
537,finger,1.3329386640399017
538,jewelry,1.3329386640399017
539,leaning,1.3329386640399017
540,practice,1.3267847984655234
541,twice,1.3267847984655234
542,mistake,1.3206685714480875
543,pile,1.3206685714480875
