,term,score
0,sharon,199.6901294612614
1,kristy,164.57623733261778
2,fire,120.68555892931766
3,abby,79.5887280171589
4,contest,68.96345474653651
5,claudia,62.772974751416136
6,stacey,58.51717985301504
7,tigger,56.577988408866034
8,charlotte,55.35839076069295
9,bsc,54.49719808938892
10,jessi,47.151519368505745
11,barn,43.51344234120332
12,haley,39.557674855639384
13,jackie,38.03219343803807
14,mary,35.85500546451477
15,logan,33.879585565544026
16,matt,30.95739258874041
17,charges,27.009973321994895
18,watson,23.990827140877144
19,sitter,23.931956532152167
20,win,21.63472746499588
21,history,20.464337908859665
22,sitters,20.215025767405194
23,david,19.860446710836154
24,michael,19.860446710836154
25,bike,19.798204497679453
26,nicky,16.759853741112114
27,excellent,16.2678183432928
28,safe,16.189526197835296
29,pictures,15.775074304460464
30,tape,14.860610661415944
31,shea,14.701458514320983
32,pike,14.523991185771731
33,jake,14.470872373280624
34,karen,14.402150090327531
35,tears,14.141610678089918
36,sleep,13.832122082507492
37,headed,13.709266795255648
38,ones,13.709266795255648
39,pop,13.602387293558555
40,hugged,13.579399662453191
41,nannie,13.24597598004706
42,lay,13.206685714480875
43,pile,13.206685714480875
44,prezzioso,13.11857096805016
45,favorite,12.995963034851615
46,explained,12.710914002754329
47,anna,12.698819436408696
48,emily,12.443852666984567
49,dining,12.424004390533629
50,stairs,12.072775221472655
51,richard,11.938309202573834
52,yelled,11.840930364423368
53,light,11.807702154102987
54,crying,11.787879842126436
55,dinner,11.600148826754777
56,sad,11.475354407085392
57,nose,11.475354407085392
58,breakfast,11.250459038107207
59,member,11.024150054280694
60,cry,10.926588304827048
61,michelle,10.914313551391821
62,picture,10.82996919570968
63,box,10.82996919570968
64,archie,10.73146152395567
65,figure,10.686768657962194
66,summer,10.614278387724188
67,grew,10.281783060375918
68,tired,10.235981434808677
69,adam,10.20383258308665
70,woke,10.10660879796198
71,explain,9.8777251812049
72,andrew,9.865193547452247
73,california,9.746972276138711
74,notebook,9.660847216993353
75,grabbed,9.57553852140246
76,quietly,9.262758482939201
77,rules,9.244680000136611
78,list,9.058143748622005
79,page,8.959687884690487
80,secret,8.93784072970568
81,lived,8.93784072970568
82,sense,8.858632161843989
83,sam,8.671260142861405
84,children,8.663975356567743
85,bottom,8.55426577604522
86,news,8.473942668502886
87,helped,8.473942668502886
88,hug,8.4391946916431
89,margo,8.340582467279102
90,fortunately,8.1652162824512
91,tree,8.147639797471914
92,carol,8.120888797703934
93,moving,8.068737881462704
94,report,7.9611063098499235
95,totally,7.9258757800442545
96,water,7.9258757800442545
97,somehow,7.855523429069743
98,named,7.82061063849247
99,ended,7.751303141613491
100,yard,7.743817706095274
101,braddock,7.7275945181605845
102,filled,7.7169050379964865
103,wonderful,7.682675140937144
104,jobs,7.682675140937144
105,less,7.648611813378933
106,glanced,7.648611813378933
107,porch,7.613475996606873
108,carrying,7.568878200346541
109,dressed,7.51399227988372
110,station,7.466406570575406
111,happening,7.466311600190741
112,changed,7.447641072201915
113,sighed,7.447641072201915
114,younger,7.447641072201915
115,jeff,7.432508693881204
116,town,7.414699834940025
117,question,7.381912889753041
118,notes,7.358875544470589
119,forever,7.332227808038761
120,dog,7.299169873172944
121,closer,7.299169873172944
122,jordan,7.288451845061893
123,pikes,7.288451845061893
124,rain,7.261459253136778
125,scary,7.253608498481427
126,strange,7.2335954499798
127,energy,7.219006284258558
128,normal,7.2010750451637655
129,moments,6.983272392130048
130,enjoy,6.853394960113743
131,fall,6.7936078114665035
132,windows,6.7268059201922945
133,plan,6.70338054727926
134,led,6.673603811226487
135,hardly,6.643974121382992
136,upset,6.614490032568417
137,questions,6.614490032568417
138,lose,6.572947626858526
139,driveway,6.572947626858526
140,nine,6.526897236041501
141,group,6.526897236041501
142,junk,6.526897236041501
143,signed,6.4989778147021795
144,others,6.497981517425807
145,piece,6.46920448384485
146,organized,6.423682811110121
147,yellow,6.423682811110121
148,imagine,6.412061194777316
149,comes,6.3554570013771645
150,taken,6.327353905502607
151,shoulders,6.221926333492283
152,pen,6.212002195266814
153,sleeping,6.1813507042845375
154,hospital,6.150932306743661
155,apple,6.120743484202128
156,touch,6.110189840032301
157,spot,6.082641560977454
158,rooms,6.031520454144935
159,trip,6.027996208316501
160,hoping,6.027996208316501
161,study,6.002216293776644
162,learned,6.000895870969805
163,clients,6.000895870969805
164,pet,5.969154601286917
165,mal,5.947131912088496
166,helping,5.947131912088496
167,houses,5.944244264566377
168,including,5.920465182211684
169,tonight,5.867554635558998
170,rodowsky,5.863880641853106
171,byron,5.8588317666841006
172,lit,5.8588317666841006
173,ring,5.841307856128281
174,pull,5.841307856128281
175,loud,5.841307856128281
176,covered,5.815198136222522
177,written,5.815198136222522
178,college,5.802886798785141
179,clear,5.789224051837001
180,charlie,5.789224051837001
181,example,5.775205027406846
182,becca,5.775205027406846
183,body,5.737677203542696
184,downstairs,5.7121017002088434
185,hot,5.686656352671488
186,pair,5.6613398428887525
187,drew,5.636150872738968
188,stuffed,5.613020649829446
189,married,5.611088163621245
190,pieces,5.586617913704038
191,usual,5.586150456066051
192,none,5.586150456066051
193,listened,5.561336509355406
194,joined,5.512075027140347
195,its,5.487625100669389
196,known,5.487625100669389
197,somebody,5.482715968090995
198,nearby,5.482715968090995
199,wedding,5.476245447413088
200,kuhn,5.463311090316699
201,rolled,5.463294152413524
202,handed,5.463294152413524
203,upstairs,5.463294152413524
204,letters,5.4571567756959105
205,month,5.4571567756959105
206,threw,5.4390810300345835
207,brothers,5.41498459785484
208,horrible,5.406523188208217
209,shouted,5.3910037365373755
210,rather,5.381444736153836
211,jumping,5.381444736153836
212,window,5.367137342774085
213,man,5.367137342774085
214,spoke,5.367137342774085
215,definitely,5.367137342774085
216,claire,5.3565225371512915
217,air,5.343384328981097
218,tomorrow,5.343384328981097
219,style,5.331754656159607
220,finger,5.331754656159607
221,worked,5.319743623001367
222,stepped,5.296214167814304
223,eight,5.272794921252172
224,send,5.258358101486821
225,noise,5.210164747422123
226,plate,5.162545137396849
227,dr,5.133014393879856
228,warm,5.092162089835331
229,lately,5.092162089835331
230,asleep,5.092162089835331
231,hungry,5.068973619098028
232,loved,5.045918800231028
233,disappeared,5.045918800231028
234,careful,5.022996101395087
235,sweet,5.000204016936537
236,feels,5.000204016936537
237,sent,4.955005795920803
238,smart,4.955005795920803
239,backpack,4.949551124419863
240,promised,4.888151872025841
241,field,4.849541863617088
242,garage,4.849541863617088
243,throat,4.8223969666532005
244,keeping,4.8223969666532005
245,wide,4.800716696775844
246,offered,4.800716696775844
247,grace,4.790366617074273
248,drop,4.779153302236338
249,gathered,4.757705529670797
250,mostly,4.757705529670797
251,neighborhood,4.7151519368505745
252,nearly,4.694043708447198
253,jenny,4.65238087410037
254,works,4.652158508978017
255,wild,4.652158508978017
256,woman,4.631379241469601
257,suppose,4.613199230057745
258,interesting,4.610707360835831
259,awhile,4.610707360835831
260,ate,4.610707360835831
261,needs,4.610707360835831
262,bright,4.590141762834157
263,settled,4.590141762834157
264,single,4.590141762834157
265,completely,4.569681360167075
266,clean,4.54932508213719
267,himself,4.529071874311002
268,grown,4.508920698191174
269,glasses,4.508920698191174
270,longer,4.488870530896996
271,mallory,4.488870530896996
272,lawn,4.479843942345243
273,age,4.46892036485284
274,catch,4.46892036485284
275,staring,4.46892036485284
276,loves,4.4490692074843246
277,burst,4.4293160809219945
278,plenty,4.409660021712278
279,third,4.409660021712278
280,spier,4.390100080535511
281,leaving,4.390100080535511
282,president,4.390100080535511
283,dream,4.373071107037136
284,jump,4.373071107037136
285,accident,4.352165099088856
286,checked,4.351264824027667
287,likes,4.3128029892299
288,lights,4.310785132691848
289,forward,4.293709874219268
290,chairs,4.290307237480649
291,spent,4.274707463184877
292,shrugged,4.274707463184877
293,excited,4.255794898401094
294,thomas,4.255794898401094
295,waving,4.24976607998048
296,mine,4.236971334251443
297,clock,4.2182359370017375
298,continued,4.2182359370017375
299,monday,4.2182359370017375
300,pants,4.189963435278028
301,baseball,4.189963435278028
302,dying,4.189963435278028
303,vanessa,4.170291233639551
304,sun,4.15074719057597
305,smell,4.131329647059117
306,couch,4.131329647059117
307,roll,4.1120369760682465
308,add,4.1120369760682465
309,movies,4.073819898735957
310,above,4.073819898735957
311,pass,3.9620057143442624
312,neat,3.9620057143442624
313,cover,3.9076235605665923
314,triplets,3.889713059607081
315,hasn,3.871908853047637
316,entered,3.871908853047637
317,recently,3.871908853047637
318,child,3.871908853047637
319,cleared,3.8542096866660724
320,letting,3.8542096866660724
321,aside,3.8017302143235208
322,gray,3.7844391001732705
323,insisted,3.7844391001732705
324,anybody,3.7672470760463153
325,climbed,3.7501530127024028
326,act,3.7331558000953704
327,american,3.716254346940602
328,amazing,3.6994475802945925
329,radio,3.6916480415378063
330,pink,3.6827344451462265
331,truth,3.6827344451462265
332,cold,3.6661139040193804
333,brewer,3.649584936586472
334,shaking,3.649584936586472
335,ramsey,3.649584936586472
336,using,3.649584936586472
337,sight,3.6167977249899
338,learn,3.6167977249899
339,relieved,3.6005375225818828
340,missing,3.6005375225818828
341,claud,3.6005375225818828
342,picnic,3.5911243719760297
343,cake,3.5911243719760297
344,mail,3.5911243719760297
345,track,3.5843649766772536
346,barrett,3.5716120220853
347,gently,3.5682791472530972
348,keeps,3.536363952637931
349,listening,3.536363952637931
350,poor,3.536363952637931
351,step,3.536363952637931
352,tea,3.5141918103204377
353,hoped,3.504784713676968
354,blonde,3.504784713676968
355,den,3.4583742340862846
356,wall,3.458030520626873
357,possible,3.458030520626873
358,begin,3.4426063221256173
359,junior,3.4426063221256173
360,movie,3.4426063221256173
361,jeans,3.4426063221256173
362,interested,3.4272610201253064
363,hanging,3.4119938116028923
364,lucky,3.4119938116028923
365,tv,3.4119938116028923
366,speak,3.3968039057332517
367,eleven,3.3816905236433805
368,reminded,3.3816905236433805
369,writing,3.366652898172747
370,wow,3.366652898172747
371,sisters,3.366652898172747
372,seems,3.35169027363963
373,neither,3.3368019056132434
374,puppy,3.3338896163318426
375,train,3.3338896163318426
376,notice,3.321987060691496
377,became,3.321987060691496
378,grinned,3.3072450162842086
379,eating,3.3072450162842086
380,stayed,3.3072450162842086
381,grandmother,3.3072450162842086
382,regular,3.2925750604016333
383,repeated,3.2925750604016333
384,drive,3.277976491448114
