,term,score
0,carol,319.42162604302143
1,ducky,246.44891699306697
2,sunny,73.34557155930054
3,alex,43.23662684735915
4,pete,36.9545781615836
5,schafer,31.84527557496033
6,maggie,28.096170866280616
7,jeff,27.252531877564415
8,hospital,26.141462303660557
9,beach,24.599342672243065
10,amalia,21.523929931296422
11,hate,19.5806917081245
12,daughter,19.370153556021194
13,store,18.0839886249495
14,visit,17.367672155511002
15,guy,15.16195687399355
16,news,12.710914002754329
17,sleep,12.679445242298536
18,dinner,12.654707811005213
19,worse,11.322679685777505
20,tonight,10.561598344006196
21,dr,10.266028787759712
22,excuse,10.000408033873073
23,stupid,9.820625187056605
24,shopping,9.37391444001476
25,bus,9.333290538358725
26,thinks,9.221414721671662
27,needs,9.221414721671662
28,tired,9.09865016427438
29,conversation,8.977741061793992
30,doctor,8.916366396849565
31,asleep,8.911283657211829
32,insisted,8.830357900404298
33,english,8.621570265383696
34,tomorrow,8.549414926369755
35,grabbed,8.511589796802188
36,park,8.465735902799727
37,hallway,8.379926870556057
38,date,8.251515889488505
39,angry,8.177830998579593
40,seeing,7.961318893740082
41,forgot,7.9258757800442545
42,totally,7.9258757800442545
43,reminded,7.890611221834554
44,promise,7.708419373332145
45,flowers,7.650929355252661
46,game,7.547405231152325
47,window,7.51399227988372
48,study,7.502770367220805
49,huh,7.432508693881204
50,besides,7.414699834940025
51,tuesday,7.2335954499798
52,yelled,7.10455821865402
53,crying,7.072727905275862
54,tv,6.823987623205785
55,fall,6.7936078114665035
56,lunch,6.70338054727926
57,listened,6.673603811226487
58,million,6.633923992327617
59,eating,6.614490032568417
60,joke,6.572947626858526
61,pizza,6.4828550993451355
62,sunday,6.4828550993451355
63,worst,6.423682811110121
64,mood,6.39435721384813
65,drove,6.365202612294164
66,feels,6.250255021170671
67,thursday,6.250255021170671
68,kiss,6.120743484202128
69,forever,6.110189840032301
70,machine,6.0610408833354255
71,allowed,6.000895870969805
72,normal,6.000895870969805
73,yourself,5.973941627795423
74,shouldn,5.920465182211684
75,whenever,5.920465182211684
76,poor,5.893939921063218
77,movie,5.737677203542696
78,lucky,5.686656352671488
79,bags,5.666354773307307
80,water,5.6613398428887525
81,total,5.63959882070412
82,writing,5.611088163621245
83,math,5.611088163621245
84,staring,5.586150456066051
85,mad,5.561336509355406
86,brain,5.560388311519402
87,notice,5.536645101152493
88,threw,5.4390810300345835
89,earth,5.431759864981276
90,lips,5.431759864981276
91,deal,5.3910037365373755
92,shouted,5.3910037365373755
93,uh,5.343384328981097
94,class,5.319743623001367
95,skin,5.307139193862094
96,practically,5.272794921252172
97,born,5.23418884366297
98,science,5.215211316444199
99,boring,5.210164747422123
100,fault,5.162545137396849
101,yesterday,5.162545137396849
102,throw,5.162545137396849
103,feelings,5.115485771078504
104,locker,5.1061083839315735
105,realize,5.022996101395087
106,breakfast,5.000204016936537
107,happening,4.977541066793827
108,foot,4.932596773726123
109,truth,4.910312593528302
110,lying,4.888151872025841
111,homework,4.888151872025841
112,spot,4.8661132487819625
113,welcome,4.8661132487819625
114,company,4.779153302236338
115,nearly,4.694043708447198
116,restaurant,4.682167784731842
117,clear,4.631379241469601
118,bedroom,4.590141762834157
119,empty,4.508920698191174
120,ms,4.436677729988945
121,upset,4.409660021712278
122,sick,4.409660021712278
123,stayed,4.409660021712278
124,questions,4.409660021712278
125,leaving,4.390100080535511
126,known,4.390100080535511
127,dream,4.373071107037136
128,seat,4.370635321930819
129,asking,4.351264824027667
130,hit,4.351264824027667
131,listen,4.3319876782838715
132,eye,4.3319876782838715
133,picture,4.3319876782838715
134,woke,4.331403770555134
135,become,4.3128029892299
136,spend,4.274707463184877
137,shrugged,4.274707463184877
