,term,score
0,justin,374.49464930111753
1,amalia,269.04912414120525
2,maggie,120.81353472500665
3,rehearsal,52.69403278781701
4,camp,48.37007837192743
5,ducky,47.26417586168408
6,dinner,39.01868241726607
7,salad,32.69334345511508
8,band,31.62772629288394
9,office,31.204658529042984
10,cheese,26.401009329883962
11,date,25.93333565267816
12,sunny,25.004172122488818
13,animals,24.621172592411348
14,dog,24.330566243909814
15,lunch,22.344601824264203
16,mail,21.54674623185618
17,eating,20.94588510313332
18,song,19.27953835294255
19,tomorrow,17.09882985273951
20,nervous,16.53622508142104
21,tonight,16.429152979565195
22,hate,16.31724309010375
23,ate,16.13747576292541
24,hungry,15.206920857294083
25,summer,14.594632783120758
26,lose,14.460484779088757
27,dogs,14.11654261817402
28,cream,13.516307970520543
29,desk,13.053794472083002
30,disappointed,12.906362843492122
31,stomach,12.850877283482218
32,control,12.847365622220241
33,reminded,12.399531920025728
34,sick,12.126565059708764
35,chips,12.004432587553287
36,glass,11.098342740883778
37,soda,10.658866395249623
38,machine,10.606821545836995
39,awful,10.545589842504343
40,ride,10.420603293306602
41,singing,10.155051897873998
42,terrible,9.865193547452247
43,bottle,9.364335569463684
44,ice,9.202126677601937
45,child,9.034453990444486
46,wondered,8.858632161843989
47,deal,8.6256059784598
48,milk,8.30149438115194
49,woman,8.1049136725718
50,movie,8.032748084959774
51,style,7.99763198423941
52,main,7.99763198423941
53,writing,7.855523429069743
54,outfit,7.815247121133185
55,boring,7.815247121133185
56,loves,7.785871113097568
57,pizza,7.779426119214162
58,guy,7.580978436996775
59,likes,7.547405231152325
60,breakfast,7.5003060254048055
61,low,7.398895160589185
62,clock,7.381912889753041
63,stupid,7.365468890292453
64,famous,7.358875544470589
65,shop,7.358875544470589
66,cookies,7.1846418878197476
67,scene,7.1846418878197476
68,yourself,7.168729953354507
69,mumbled,7.116613627540854
70,pushed,7.10455821865402
71,shouldn,7.10455821865402
72,crying,7.072727905275862
73,angry,7.009569427353936
74,cute,6.978237763467026
75,thinks,6.916061041253746
76,buy,6.885212644251235
77,dress,6.885212644251235
78,tired,6.823987623205785
79,broken,6.7268059201922945
80,rather,6.7268059201922945
81,shopping,6.6956531714391145
82,chocolate,6.6956531714391145
83,upset,6.614490032568417
84,wonder,6.585150120803267
85,cry,6.555952982896228
86,beautiful,6.46920448384485
87,wore,6.365202612294164
88,stick,6.336217023872535
89,headed,6.327353905502607
90,restaurant,6.242890379642455
91,dining,6.212002195266814
92,truth,6.137890741910378
93,apple,6.120743484202128
94,pet,5.969154601286917
95,hoped,5.841307856128281
96,exclaimed,5.763384201044789
97,sleep,5.763384201044789
98,fancy,5.747713510255798
99,downstairs,5.7121017002088434
100,interested,5.7121017002088434
101,missed,5.611088163621245
102,bus,5.5999743230152355
103,afraid,5.536645101152493
104,whose,5.482715968090995
105,enjoy,5.482715968090995
106,asking,5.4390810300345835
107,wished,5.431759864981276
108,cat,5.431759864981276
109,break,5.3910037365373755
110,man,5.367137342774085
111,liked,5.319743623001367
112,practice,5.307139193862094
113,explained,5.296214167814304
114,besides,5.296214167814304
115,mirror,5.28267428579235
116,pass,5.28267428579235
117,calling,5.272794921252172
118,send,5.258358101486821
119,popcorn,5.243118494431139
120,certainly,5.186284079476108
121,dance,5.138946248888097
122,excuse,5.000204016936537
123,thursday,5.000204016936537
124,mall,4.874233361026635
125,note,4.8661132487819625
126,fit,4.844195385723459
127,offered,4.800716696775844
128,fight,4.800716696775844
129,problems,4.757705529670797
130,whenever,4.736372145769347
131,yelled,4.736372145769347
132,lines,4.729043738441083
133,sleeping,4.636013028213403
134,bunch,4.631379241469601
135,receiver,4.613199230057745
136,suppose,4.613199230057745
137,hang,4.610707360835831
138,needs,4.610707360835831
139,weeks,4.610707360835831
140,sad,4.590141762834157
141,lucky,4.54932508213719
142,forgotten,4.54932508213719
143,party,4.529071874311002
144,lessons,4.523640340608702
145,listened,4.4490692074843246
146,wonderful,4.390100080535511
147,handed,4.370635321930819
148,less,4.370635321930819
149,hit,4.351264824027667
150,tears,4.351264824027667
151,eye,4.3319876782838715
152,broke,4.3319876782838715
153,shouted,4.3128029892299
154,light,4.293709874219268
155,dancing,4.290307237480649
156,changed,4.255794898401094
157,pieces,4.189963435278028
158,pants,4.189963435278028
159,coffee,4.131329647059117
160,pale,4.131329647059117
161,roll,4.1120369760682465
162,dead,4.017391902863468
163,project,3.9620057143442624
164,dumb,3.943768576115116
165,pictures,3.943768576115116
166,months,3.9076235605665923
167,picking,3.889713059607081
168,sunday,3.889713059607081
169,yesterday,3.871908853047637
170,pool,3.819350985510872
171,decide,3.8191215673764987
172,lately,3.8191215673764987
173,crowd,3.8017302143235208
174,sweet,3.7501530127024028
175,happening,3.7331558000953704
176,subject,3.716254346940602
177,smart,3.716254346940602
178,themselves,3.6661139040193804
179,promised,3.6661139040193804
180,proud,3.6331465392925946
181,tuesday,3.6167977249899
182,beach,3.5141918103204377
183,played,3.504784713676968
184,mess,3.504784713676968
185,body,3.4426063221256173
186,seeing,3.4119938116028923
187,clean,3.4119938116028923
188,list,3.3968039057332517
189,empty,3.3816905236433805
190,eleven,3.3816905236433805
191,young,3.3816905236433805
192,police,3.368673101755581
193,conversation,3.366652898172747
194,charge,3.35169027363963
195,named,3.35169027363963
196,wednesday,3.3368019056132434
197,neither,3.3368019056132434
198,questions,3.3072450162842086
199,ideas,3.2925750604016333
200,leaving,3.2925750604016333
201,cabin,3.285040783343136
202,threw,3.2634486180207505
203,checked,3.2634486180207505
204,closed,3.2489907587129037
205,listen,3.2489907587129037
206,waited,3.2489907587129037
207,piece,3.234602241922425
208,garage,3.233027909078059
209,boyfriend,3.2202824056644515
210,forward,3.2202824056644515
211,admit,3.206030597388658
212,imagine,3.206030597388658
213,figure,3.206030597388658
214,sighed,3.1918461738008204
215,news,3.1777285006885823
216,brown,3.1777285006885823
217,mine,3.1777285006885823
218,monday,3.1636769527513033
219,counter,3.0305204416677127
220,dear,3.0305204416677127
221,dream,2.915380738024757
222,makeup,2.873856755127899
223,doorbell,2.873856755127899
224,sang,2.860204824987099
225,exciting,2.8331773866536536
226,kinds,2.806510324914723
227,stuffed,2.806510324914723
228,daughter,2.7671647937173134
229,building,2.7413579840454974
230,shrieked,2.7413579840454974
231,gorgeous,2.7285783878479553
232,everywhere,2.715879932490638
233,sounding,2.690722368076918
234,spotted,2.6782612685756457
235,direction,2.6782612685756457
236,frowned,2.653569596931047
237,mistake,2.641337142896175
238,joke,2.6291790507434105
239,cover,2.6050823737110615
240,hasn,2.5812725686984246
241,friendly,2.5812725686984246
242,feelings,2.557742885539252
243,music,2.557742885539252
244,relief,2.557742885539252
245,thoughts,2.557742885539252
246,aside,2.534486809549014
247,embarrassed,2.522959400115514
248,disappeared,2.522959400115514
249,carrying,2.522959400115514
250,hundred,2.5114980506975435
251,climbed,2.5001020084682684
252,confused,2.4887705333969135
253,act,2.4887705333969135
254,sigh,2.4440759360129203
255,lying,2.4440759360129203
256,closet,2.4330566243909812
257,places,2.4330566243909812
258,hug,2.4111984833266003
259,strange,2.4111984833266003
260,trip,2.4111984833266003
261,team,2.4111984833266003
262,luck,2.4111984833266003
263,learn,2.4111984833266003
264,interrupted,2.400358348387922
265,missing,2.400358348387922
266,fifteen,2.3681860728846735
267,including,2.3681860728846735
268,neighborhood,2.3575759684252873
269,tiny,2.3575759684252873
270,calm,2.3575759684252873
271,poor,2.3575759684252873
272,bought,2.3575759684252873
273,ring,2.336523142451312
274,written,2.3260792544890085
275,wrote,2.3053536804179156
276,jeans,2.2950708814170784
277,hot,2.274662541068595
278,ear,2.274662541068595
279,hanging,2.274662541068595
280,himself,2.264535937155501
281,water,2.264535937155501
282,extra,2.264535937155501
283,thirteen,2.264535937155501
284,join,2.264535937155501
285,james,2.261651915912614
286,longer,2.244435265448498
287,staring,2.23446018242642
288,managed,2.2245346037421623
289,notice,2.2146580404609972
290,third,2.204830010856139
291,evening,2.204830010856139
292,leaned,2.204830010856139
293,its,2.1950500402677555
294,stairs,2.1950500402677555
295,jobs,2.1950500402677555
296,waved,2.1853176609654095
297,group,2.1756324120138335
298,favorite,2.1659938391419358
299,game,2.15640149461495
300,dressed,2.146854937109634
301,definitely,2.146854937109634
302,mark,2.1438688802562305
303,shrugged,2.1373537315924387
304,air,2.1373537315924387
