,term,score
0,maggie,531.0176293727036
1,ducky,104.65638940801475
2,james,83.68112088876671
3,dr,71.86220151431797
4,justin,62.41577488351959
5,amalia,46.63518151780891
6,rehearsal,38.322932936594185
7,band,28.1135344825635
8,eating,25.355545124845598
9,rose,20.212038610533487
10,realize,18.836235380231578
11,singing,17.408660396355423
12,study,16.50609480788577
13,notice,15.502606283226982
14,music,15.346457313235511
15,totally,14.719483591510757
16,gym,14.40228090300524
17,guy,14.078959954422583
18,needs,13.832122082507492
19,lunch,13.40676109455852
20,alex,12.353321956388328
21,hate,11.965978266076084
22,notes,11.774200871152942
23,control,11.562629059998217
24,seems,11.172300912132101
25,slow,11.068659174869254
26,song,11.016879058824314
27,news,10.592428335628608
28,tape,10.40242746299116
29,figure,9.618091792165973
30,tomorrow,9.618091792165973
31,cute,9.304317017956034
32,mood,8.952100099387382
33,salad,8.916366396849565
34,crowd,8.870703833421548
35,listen,8.663975356567743
36,break,8.6256059784598
37,dancing,8.580614474961298
38,hallway,8.379926870556057
39,garage,8.082569772695148
40,thinks,8.068737881462704
41,lucky,7.961318893740082
42,worse,7.9258757800442545
43,takes,7.82061063849247
44,flowers,7.650929355252661
45,deal,7.547405231152325
46,likes,7.547405231152325
47,feels,7.5003060254048055
48,rock,7.466406570575406
49,class,7.447641072201915
50,subject,7.432508693881204
51,practically,7.381912889753041
52,note,7.299169873172944
53,jump,7.288451845061893
54,yourself,7.168729953354507
55,date,7.072727905275862
56,step,7.072727905275862
57,science,6.953615088592265
58,begin,6.885212644251235
59,locker,6.808144511908765
60,math,6.733305796345494
61,starting,6.614490032568417
62,nervous,6.614490032568417
63,group,6.526897236041501
64,become,6.46920448384485
65,report,6.368885047879939
66,decide,6.365202612294164
67,comes,6.3554570013771645
68,restaurant,6.242890379642455
69,problems,5.947131912088496
70,gently,5.947131912088496
71,tonight,5.867554635558998
72,angry,5.841307856128281
73,stomach,5.841307856128281
74,sleep,5.763384201044789
75,sad,5.737677203542696
76,party,5.6613398428887525
77,conversation,5.611088163621245
78,beat,5.586617913704038
79,staring,5.586150456066051
80,green,5.586150456066051
81,mad,5.561336509355406
82,questions,5.512075027140347
83,cry,5.463294152413524
84,beautiful,5.3910037365373755
85,question,5.272794921252172
86,yesterday,5.162545137396849
87,dance,5.138946248888097
88,sunny,5.000834424497764
89,sweet,5.000204016936537
90,happening,4.977541066793827
91,bell,4.955005795920803
92,silent,4.932596773726123
93,spot,4.8661132487819625
94,steps,4.8223969666532005
95,office,4.800716696775844
96,relieved,4.800716696775844
97,happens,4.7151519368505745
98,mention,4.694043708447198
99,pull,4.673046284902624
100,wild,4.652158508978017
101,works,4.652158508978017
102,seeing,4.54932508213719
103,machine,4.545780662501569
104,water,4.529071874311002
105,writing,4.488870530896996
106,sense,4.4293160809219945
