,term,score
0,ducky,438.88163300135216
1,carol,238.21273806598208
2,sunny,188.3647633227491
3,maggie,115.19430055175052
4,amalia,107.6196496564821
5,hospital,43.05652614720562
6,alex,24.706643912776656
7,jeff,21.05877463266341
8,thursday,18.750765063512013
9,visit,16.2098273451436
10,dinner,14.763825779506082
11,tuesday,13.261591658296302
12,valentine,13.140163133372544
13,monday,12.654707811005213
14,tomorrow,11.755445523758413
15,sunday,11.669139178821244
16,promise,11.562629059998217
17,evening,11.024150054280694
18,tea,10.542575430961314
19,buy,10.327818966376853
20,conversation,10.099958694518241
21,weekend,9.430303873701149
22,tonight,9.388087416894397
23,list,9.058143748622005
24,decide,8.911283657211829
25,earrings,8.78824765002615
26,leaving,8.780200161071022
27,driving,8.340582467279102
28,van,8.255304690330776
29,absolutely,8.14127739071153
30,letting,7.708419373332145
31,drive,7.648611813378933
32,lately,7.638243134752997
33,feels,7.5003060254048055
34,barely,7.447641072201915
35,subject,7.432508693881204
36,nearly,7.041065562670798
37,ride,6.947068862204401
38,whether,6.916061041253746
39,awhile,6.916061041253746
40,horrible,6.758153985260272
41,shopping,6.6956531714391145
42,frowned,6.633923992327617
43,driveway,6.572947626858526
44,excitement,6.542736054578713
45,garage,6.466055818156118
46,truth,6.137890741910378
47,salad,5.944244264566377
48,newspaper,5.915570306651927
49,poor,5.893939921063218
50,water,5.6613398428887525
51,longer,5.611088163621245
52,lunch,5.586150456066051
53,mad,5.561336509355406
54,starting,5.512075027140347
55,sick,5.512075027140347
56,decision,5.508439529412157
57,honey,5.4571567756959105
58,group,5.4390810300345835
59,man,5.367137342774085
60,awful,5.272794921252172
61,band,5.271287715480657
62,yesterday,5.162545137396849
63,paused,5.138946248888097
64,stick,5.068973619098028
65,plans,5.000204016936537
66,bike,4.949551124419863
67,hoping,4.8223969666532005
68,um,4.7151519368505745
69,silence,4.7151519368505745
70,mention,4.694043708447198
71,dining,4.659001646450111
72,speaking,4.631379241469601
73,ate,4.610707360835831
74,kidding,4.610707360835831
75,needs,4.610707360835831
76,hang,4.610707360835831
77,sleep,4.610707360835831
78,entire,4.569681360167075
79,clean,4.54932508213719
80,himself,4.529071874311002
81,writing,4.488870530896996
82,math,4.488870530896996
83,shop,4.415325326682353
84,eating,4.409660021712278
85,wonder,4.390100080535511
86,seat,4.370635321930819
87,accident,4.352165099088856
88,window,4.293709874219268
89,shrugged,4.274707463184877
90,supplies,4.269968176524513
91,excited,4.255794898401094
92,news,4.236971334251443
93,smell,4.131329647059117
94,teeth,4.017391902863468
95,ice,3.943768576115116
96,whoa,3.9076235605665923
97,paid,3.9076235605665923
98,months,3.9076235605665923
99,certainly,3.889713059607081
100,worst,3.8542096866660724
101,crossed,3.836614328308878
102,homework,3.6661139040193804
103,store,3.6167977249899
104,normal,3.6005375225818828
105,helping,3.5682791472530972
106,fingers,3.55227910932701
107,fair,3.55227910932701
108,handle,3.536363952637931
109,tiny,3.536363952637931
110,bought,3.536363952637931
111,den,3.4583742340862846
112,possible,3.458030520626873
113,exclaimed,3.458030520626873
114,bedroom,3.4426063221256173
115,settled,3.4426063221256173
116,sad,3.4426063221256173
117,ear,3.4119938116028923
118,pair,3.3968039057332517
119,thirteen,3.3968039057332517
120,ha,3.386294361119891
121,somehow,3.366652898172747
122,although,3.366652898172747
123,seems,3.35169027363963
124,carefully,3.3368019056132434
125,loves,3.3368019056132434
126,wednesday,3.3368019056132434
127,hardly,3.321987060691496
128,less,3.277976491448114
129,cry,3.277976491448114
130,often,3.2634486180207505
131,eye,3.2489907587129037
132,guy,3.2489907587129037
133,surprise,3.234602241922425
134,uh,3.206030597388658
135,changed,3.1918461738008204
136,class,3.1918461738008204
137,calling,3.1636769527513033
138,question,3.1636769527513033
139,practically,3.1636769527513033
140,restaurant,3.1214451898212277
141,suppose,3.0754661533718304
142,blood,3.060371742101064
143,screamed,3.0157602270724677
144,study,3.001108146888322
145,page,2.9865626282301623
146,tape,2.9721221322831886
147,excellent,2.9577851533259634
148,energy,2.887602513703423
149,jacket,2.8331773866536536
150,bags,2.8331773866536536
151,juice,2.806510324914723
152,coffee,2.7542197647060784
153,nope,2.7413579840454974
154,somebody,2.7413579840454974
155,history,2.7285783878479553
156,slightly,2.7285783878479553
157,movies,2.715879932490638
158,doorway,2.653569596931047
159,mirror,2.641337142896175
160,planning,2.6050823737110615
161,outfit,2.6050823737110615
162,responsible,2.593142039738054
163,earlier,2.593142039738054
164,pizza,2.593142039738054
165,recently,2.5812725686984246
166,hasn,2.5812725686984246
167,yard,2.5812725686984246
168,feelings,2.557742885539252
169,mood,2.557742885539252
170,asleep,2.5460810449176656
171,warm,2.5460810449176656
172,drove,2.5460810449176656
173,numbers,2.534486809549014
174,carrying,2.522959400115514
175,appeared,2.5114980506975435
176,breakfast,2.5001020084682684
177,invited,2.4887705333969135
178,happening,2.4887705333969135
179,somewhere,2.4775028979604015
180,teacher,2.455156296764151
181,cold,2.4440759360129203
182,touch,2.4440759360129203
183,ourselves,2.4440759360129203
184,forever,2.4440759360129203
185,steps,2.4111984833266003
186,throat,2.4111984833266003
187,sight,2.4111984833266003
188,bathroom,2.4111984833266003
189,softly,2.400358348387922
190,company,2.389576651118169
191,yourself,2.389576651118169
192,happens,2.3575759684252873
193,step,2.3575759684252873
194,blonde,2.336523142451312
195,quick,2.3260792544890085
196,cute,2.3260792544890085
197,woman,2.3156896207348003
198,interesting,2.3053536804179156
199,thinks,2.3053536804179156
200,finish,2.3053536804179156
201,weeks,2.3053536804179156
202,loudly,2.3053536804179156
203,movie,2.2950708814170784
204,single,2.2950708814170784
