,term,score
0,sunny,328.3881272086865
1,maggie,292.2001770093184
2,ducky,212.68879137757835
3,amalia,86.09571972518569
4,guy,24.908929150132263
5,alex,24.706643912776656
6,kiss,22.952788065757982
7,yourself,20.311401534504437
8,coffee,19.27953835294255
9,movie,17.21303161062809
10,clean,15.922637787480165
11,tyler,15.742513397937142
12,john,15.645633949332597
13,party,14.719483591510757
14,store,14.4671908999596
15,notice,14.395277262996482
16,beach,14.05676724128175
17,problems,13.08369020659469
18,summer,11.94106318618971
19,sunday,11.669139178821244
20,pizza,11.669139178821244
21,sports,11.509842984926633
22,decide,11.457364702129496
23,mall,11.373211175728814
24,realize,11.301741228138946
25,history,10.914313551391821
26,break,10.782007473074751
27,date,10.609091857913793
28,hanging,10.235981434808677
29,count,10.230971542157008
30,subject,9.910011591841606
31,relieved,9.601433393551687
32,movies,9.505579763717234
33,pocket,9.37391444001476
34,longer,8.977741061793992
35,boxes,8.911283657211829
36,afraid,8.858632161843989
37,feels,8.75035702963894
38,hate,8.702529648055334
39,stupid,8.593047038674529
40,besides,8.473942668502886
41,moments,8.379926870556057
42,ring,8.177830998579593
43,tree,8.147639797471914
44,conversation,7.855523429069743
45,charge,7.82061063849247
46,throw,7.743817706095274
47,questions,7.7169050379964865
48,leaving,7.682675140937144
49,less,7.648611813378933
50,listen,7.580978436996775
51,tonight,7.041065562670798
52,cute,6.978237763467026
53,sleep,6.916061041253746
54,takes,6.70338054727926
55,known,6.585150120803267
56,fortunately,6.53217302596096
57,quite,6.526897236041501
58,window,6.440564811328903
59,uh,6.412061194777316
60,spent,6.412061194777316
61,feelings,6.39435721384813
62,scared,6.137890741910378
63,example,5.775205027406846
64,hang,5.763384201044789
65,supplies,5.693290902032683
66,art,5.636150872738968
67,sense,5.536645101152493
68,its,5.487625100669389
69,asking,5.4390810300345835
70,cream,5.406523188208217
71,man,5.367137342774085
72,light,5.367137342774085
73,shopping,5.3565225371512915
74,figure,5.343384328981097
75,tomorrow,5.343384328981097
76,tea,5.271287715480657
77,ice,5.258358101486821
78,center,5.210164747422123
79,control,5.138946248888097
80,lately,5.092162089835331
81,police,5.053009652633372
82,act,4.977541066793827
83,low,4.932596773726123
84,sigh,4.888151872025841
85,bathroom,4.8223969666532005
86,steps,4.8223969666532005
87,strange,4.8223969666532005
88,normal,4.800716696775844
89,missing,4.800716696775844
90,step,4.7151519368505745
91,mention,4.694043708447198
92,gets,4.652158508978017
93,woman,4.631379241469601
94,awhile,4.610707360835831
95,needs,4.610707360835831
96,possible,4.610707360835831
97,buy,4.590141762834157
98,begin,4.590141762834157
99,worse,4.529071874311002
