,term,score
0,patrick,1035.783258689451
1,charlie,294.0925818333196
2,sam,241.55653255113916
3,wedding,133.2553058870518
4,watson,61.69069836225551
5,michael,54.90829384760584
6,david,54.90829384760584
7,kristy,52.365166424014745
8,rehearsal,38.322932936594185
9,mary,35.85500546451477
10,dinner,34.800446480264334
11,dress,30.98345689913056
12,california,29.240916828416132
13,baseball,26.53643509009418
14,nannie,20.60485152451765
15,karen,20.403045961297337
16,shopping,20.086959514317343
17,restaurant,18.728671138927368
18,michelle,17.73575952101171
19,emily,17.421393733778395
20,andrew,17.26408870804143
21,game,17.2512119569196
22,sports,16.62532875600514
23,ball,15.99526396847882
24,coffee,15.148208705883432
25,claudia,14.89528214440383
26,glass,14.79779032117837
27,somehow,14.588829225415237
28,grandmother,14.331395070564904
29,taken,13.709266795255648
30,forgotten,13.64797524641157
31,study,13.504986660997448
32,ms,13.310033189966836
33,wondered,13.287948242765983
34,yellow,12.847365622220241
35,woman,12.736292914041401
36,catch,12.28953100334531
37,surprise,11.860208220382226
38,man,11.807702154102987
39,shop,11.774200871152942
40,liked,11.703435970603008
41,angry,11.682615712256561
42,stepped,11.651671169191468
43,rolled,10.926588304827048
44,forward,10.73427468554817
45,key,10.656864600785479
46,counter,10.606821545836995
47,excellent,10.352248036640871
48,although,10.099958694518241
49,married,10.099958694518241
50,stared,10.099958694518241
51,silent,9.865193547452247
52,pink,9.820625187056605
53,color,9.820625187056605
54,window,9.660847216993353
55,dressed,9.660847216993353
56,changed,9.57553852140246
57,news,9.533185502065747
58,town,9.533185502065747
59,ring,9.346092569805249
60,leaning,9.330570648279313
61,picking,9.075997139083189
62,water,9.058143748622005
63,orange,8.87335545997789
64,pleased,8.539936353049026
65,sun,8.30149438115194
66,cat,8.147639797471914
67,settled,8.032748084959774
68,himself,7.9258757800442545
69,join,7.9258757800442545
70,lived,7.82061063849247
71,weather,7.765002744083517
72,grinned,7.7169050379964865
73,paused,7.708419373332145
74,raised,7.682675140937144
75,known,7.682675140937144
76,rooms,7.539400567681169
77,stacey,7.447641072201915
78,sent,7.432508693881204
79,radio,7.383296083075613
80,practically,7.381912889753041
81,bsc,7.266293078585189
82,fashion,7.253608498481427
83,laughter,7.253608498481427
84,trip,7.2335954499798
85,team,7.2335954499798
86,immediately,7.2335954499798
87,softly,7.2010750451637655
88,relieved,7.2010750451637655
89,picnic,7.1822487439520595
90,shouldn,7.10455821865402
91,slid,7.082943466634134
92,shoes,7.072727905275862
93,tonight,7.041065562670798
94,expected,7.009569427353936
95,hoped,7.009569427353936
96,quick,6.978237763467026
97,clear,6.947068862204401
98,seeing,6.823987623205785
99,young,6.763381047286761
100,art,6.763381047286761
101,conversation,6.733305796345494
102,wow,6.733305796345494
103,rather,6.7268059201922945
104,simple,6.6956531714391145
105,notice,6.643974121382992
106,summer,6.633923992327617
107,nervous,6.614490032568417
108,plenty,6.614490032568417
109,glanced,6.555952982896228
110,fortunately,6.53217302596096
111,announced,6.526897236041501
112,desk,6.526897236041501
113,closed,6.497981517425807
114,bag,6.497981517425807
115,plate,6.453181421746061
116,shrugged,6.412061194777316
117,uh,6.412061194777316
118,grin,6.39435721384813
119,feelings,6.39435721384813
120,calling,6.327353905502607
121,realize,6.278745126743859
122,van,6.191478517748083
123,low,6.165745967157655
124,stories,6.110189840032301
125,luck,6.027996208316501
126,houses,5.944244264566377
127,silence,5.893939921063218
128,famous,5.887100435576471
129,seats,5.887100435576471
130,finish,5.763384201044789
131,sleep,5.763384201044789
132,whether,5.763384201044789
133,speak,5.6613398428887525
134,reminded,5.636150872738968
135,glasses,5.636150872738968
136,strong,5.613020649829446
137,pants,5.586617913704038
138,age,5.586150456066051
139,managed,5.561336509355406
140,driving,5.560388311519402
141,sense,5.536645101152493
142,third,5.512075027140347
143,leaned,5.512075027140347
144,joined,5.512075027140347
145,slightly,5.4571567756959105
146,often,5.4390810300345835
147,hugged,5.431759864981276
148,tree,5.431759864981276
149,brothers,5.41498459785484
150,children,5.41498459785484
151,beautiful,5.3910037365373755
152,windows,5.381444736153836
153,light,5.367137342774085
154,slipped,5.3565225371512915
155,worked,5.319743623001367
156,helped,5.296214167814304
157,neat,5.28267428579235
158,headed,5.272794921252172
159,awful,5.272794921252172
160,pictures,5.258358101486821
161,lose,5.258358101486821
162,island,5.160163900439609
163,dance,5.138946248888097
164,thoughts,5.115485771078504
165,oldest,5.092162089835331
166,appeared,5.022996101395087
167,plans,5.000204016936537
168,breakfast,5.000204016936537
169,ourselves,4.888151872025841
170,forever,4.888151872025841
171,places,4.8661132487819625
172,tigger,4.849541863617088
173,shannon,4.844195385723459
174,games,4.844195385723459
175,offered,4.800716696775844
176,interrupted,4.800716696775844
