,term,score
0,jeremy,619.486517876983
1,ethan,233.23789561736265
2,claudia,219.17343726765634
3,mary,61.164421086525195
4,kristy,54.502520155607186
5,locker,52.76311996729292
6,stacey,36.1742566364093
7,abby,31.83549120686356
8,date,31.827275573741378
9,lunch,31.28244255396988
10,class,23.406871941206017
11,weekend,18.860607747402298
12,guy,18.410947632706453
13,hurried,15.806212153203443
14,art,14.653992269121316
15,fight,14.402150090327531
16,cute,13.956475526934051
17,expression,13.900970778798506
18,claud,13.20197091613357
19,sunday,12.965710198690271
20,liked,12.767384695203281
21,hallway,12.569890305834086
22,sense,12.180619222535485
23,note,12.165283121954907
24,york,12.019247135309753
25,definitely,11.807702154102987
26,logan,11.682615712256561
27,staring,11.172300912132101
28,bsc,10.899439617877784
29,strange,10.850393174969701
30,suppose,10.764131536801406
31,spotted,10.713045074302583
32,cards,10.001668848995529
33,terrible,9.865193547452247
34,calling,9.49103085825391
35,hoped,9.346092569805249
36,feelings,8.952100099387382
37,boyfriend,8.587419748438537
38,spoke,8.587419748438537
39,admitted,8.580614474961298
40,tomorrow,8.549414926369755
41,card,8.539936353049026
42,mall,8.123722268377724
43,pocket,8.034783805726937
44,snapped,7.887537152230232
45,lived,7.82061063849247
46,rodowsky,7.818507522470808
47,mad,7.785871113097568
48,nine,7.6147134420484175
49,likes,7.547405231152325
50,surprise,7.547405231152325
51,explained,7.414699834940025
52,drawing,7.288451845061893
53,hoping,7.2335954499798
54,shouldn,7.10455821865402
55,angry,7.009569427353936
56,seventh,6.885549411765196
57,eighth,6.885212644251235
58,interested,6.854522040250613
59,downstairs,6.854522040250613
60,seeing,6.823987623205785
61,speak,6.7936078114665035
62,empty,6.763381047286761
63,horrible,6.758153985260272
64,neither,6.673603811226487
65,sick,6.614490032568417
66,stairs,6.585150120803267
67,tears,6.526897236041501
68,french,6.4989778147021795
69,picture,6.497981517425807
70,deal,6.46920448384485
71,fault,6.453181421746061
72,disappointed,6.453181421746061
73,schedule,6.453181421746061
74,brown,6.3554570013771645
75,headed,6.327353905502607
76,insisted,6.307398500288785
77,somewhere,6.193757244901004
78,luck,6.027996208316501
79,tonight,5.867554635558998
80,mentioned,5.789224051837001
81,interesting,5.763384201044789
82,sleep,5.763384201044789
83,jeans,5.737677203542696
84,movie,5.737677203542696
85,total,5.63959882070412
86,dying,5.586617913704038
87,wednesday,5.561336509355406
88,evening,5.512075027140347
89,known,5.487625100669389
90,boys,5.487625100669389
91,checked,5.4390810300345835
92,movies,5.431759864981276
93,wished,5.431759864981276
94,break,5.3910037365373755
95,broken,5.381444736153836
96,uh,5.343384328981097
97,sighed,5.319743623001367
98,summer,5.307139193862094
99,besides,5.296214167814304
100,dinner,5.272794921252172
101,snack,5.210164747422123
102,yesterday,5.162545137396849
103,friendly,5.162545137396849
104,thoughts,5.115485771078504
105,wore,5.092162089835331
106,hungry,5.068973619098028
107,folded,5.068973619098028
108,train,5.000834424497764
109,american,4.955005795920803
110,lying,4.888151872025841
111,promised,4.888151872025841
112,homework,4.888151872025841
113,fit,4.844195385723459
114,learn,4.8223969666532005
115,clients,4.800716696775844
116,relieved,4.800716696775844
117,fair,4.736372145769347
118,planned,4.7151519368505745
119,shot,4.694043708447198
120,nearly,4.694043708447198
121,expected,4.673046284902624
122,works,4.652158508978017
123,speaking,4.631379241469601
124,moving,4.610707360835831
125,thinks,4.610707360835831
126,possible,4.610707360835831
127,shut,4.569681360167075
128,hanging,4.54932508213719
129,sweater,4.545780662501569
130,totally,4.529071874311002
131,forgot,4.529071874311002
132,reminded,4.508920698191174
133,silly,4.488870530896996
134,although,4.488870530896996
135,conversation,4.488870530896996
136,wow,4.488870530896996
137,usual,4.46892036485284
138,notice,4.4293160809219945
139,fire,4.415325326682353
140,earrings,4.394123825013075
141,hiding,4.373071107037136
142,rolled,4.370635321930819
143,less,4.370635321930819
144,listen,4.3319876782838715
145,turning,4.3128029892299
146,piece,4.3128029892299
147,doorbell,4.310785132691848
148,english,4.310785132691848
149,light,4.293709874219268
