,term,score
0,logan,238.32536053003383
1,kristy,125.03519329815767
2,sharon,94.39897029077811
3,claudia,71.28456454821833
4,mary,53.782508196772156
5,stacey,53.19743623001367
6,jeremy,40.226397264739155
7,pete,39.264239296682575
8,dance,24.40999468221846
9,locker,18.722397407749103
10,josh,18.562423990850377
11,broke,16.24495379356452
12,guy,16.24495379356452
13,barn,15.823069942255755
14,box,15.16195687399355
15,apple,13.771672839454789
16,fire,13.24597598004706
17,tears,13.053794472083002
18,definitely,12.881129622657806
19,changed,12.767384695203281
20,suppose,12.301864613487322
21,bruno,12.110488464308649
22,watson,11.424203400417687
23,andrew,11.098342740883778
24,couch,11.016879058824314
25,bsc,10.899439617877784
26,video,10.599447894688575
27,headed,10.545589842504343
28,hurried,10.058498642947646
29,mad,10.010405716839731
30,upset,9.921735048852625
31,jacket,9.916120853287788
32,terrible,9.865193547452247
33,break,9.703806725767276
34,team,9.644793933306401
35,karen,9.601433393551687
36,liked,9.57553852140246
37,continued,9.49103085825391
38,crying,9.430303873701149
39,dumb,9.202126677601937
40,fall,9.058143748622005
41,reminded,9.017841396382348
42,longer,8.977741061793992
43,stared,8.977741061793992
44,muttered,8.952100099387382
45,explained,8.473942668502886
46,tonight,8.214576489782598
47,angry,8.177830998579593
48,horrible,8.109784782312325
49,movie,8.032748084959774
50,stairs,7.682675140937144
51,cry,7.648611813378933
52,others,7.580978436996775
53,bag,7.580978436996775
54,ahead,7.547405231152325
55,game,7.547405231152325
56,boyfriend,7.51399227988372
57,road,7.466406570575406
58,admitted,7.150512062467747
59,card,7.116613627540854
60,stomach,7.009569427353936
61,expected,7.009569427353936
62,popcorn,6.990824659241518
63,tree,6.789699831226596
64,broken,6.7268059201922945
65,lunch,6.70338054727926
66,sense,6.643974121382992
67,wondered,6.643974121382992
68,frowned,6.633923992327617
69,boys,6.585150120803267
70,snapped,6.572947626858526
71,record,6.555952982896228
72,asking,6.526897236041501
73,sunday,6.4828550993451355
74,deal,6.46920448384485
75,yesterday,6.453181421746061
76,spoke,6.440564811328903
77,dressed,6.440564811328903
78,tomorrow,6.412061194777316
79,feelings,6.39435721384813
80,grabbed,6.383692347601641
81,brown,6.3554570013771645
82,sms,6.305391651254778
83,plans,6.250255021170671
84,restaurant,6.242890379642455
85,sent,6.193757244901004
86,stupid,6.137890741910378
87,jackie,6.005083174427064
88,yourself,5.973941627795423
89,track,5.973941627795423
90,silence,5.893939921063218
91,letter,5.8588317666841006
92,quietly,5.789224051837001
93,hang,5.763384201044789
94,speak,5.6613398428887525
95,married,5.611088163621245
96,wow,5.611088163621245
97,although,5.611088163621245
98,somehow,5.611088163621245
99,expression,5.560388311519402
100,burst,5.536645101152493
101,garden,5.506702561805142
102,building,5.482715968090995
103,handed,5.463294152413524
104,less,5.463294152413524
105,hate,5.4390810300345835
106,wished,5.431759864981276
107,closed,5.41498459785484
108,picture,5.41498459785484
109,turning,5.3910037365373755
110,light,5.367137342774085
111,forward,5.367137342774085
112,archie,5.365730761977835
113,tossed,5.331754656159607
114,worked,5.319743623001367
115,practice,5.307139193862094
116,street,5.296214167814304
117,pass,5.28267428579235
118,clock,5.272794921252172
119,picking,5.186284079476108
120,friendly,5.162545137396849
121,thoughts,5.115485771078504
122,lately,5.092162089835331
123,hungry,5.068973619098028
124,feels,5.000204016936537
125,sweet,5.000204016936537
126,emily,4.977541066793827
127,confused,4.977541066793827
128,low,4.932596773726123
129,shea,4.900486171440328
130,hoping,4.8223969666532005
131,sight,4.8223969666532005
132,grace,4.790366617074273
133,mostly,4.757705529670797
134,fair,4.736372145769347
135,date,4.7151519368505745
136,happens,4.7151519368505745
137,shot,4.694043708447198
138,quick,4.652158508978017
139,gets,4.652158508978017
140,written,4.652158508978017
141,cute,4.652158508978017
142,exclaimed,4.610707360835831
143,bedroom,4.590141762834157
144,chips,4.5016622203324825
145,charge,4.46892036485284
146,named,4.46892036485284
147,staring,4.46892036485284
148,usual,4.46892036485284
149,evening,4.409660021712278
150,member,4.409660021712278
151,lit,4.394123825013075
152,known,4.390100080535511
153,laughter,4.352165099088856
154,listen,4.3319876782838715
155,become,4.3128029892299
156,imagine,4.274707463184877
157,mumbled,4.269968176524513
158,sighed,4.255794898401094
159,news,4.236971334251443
160,strong,4.209765487372085
161,baseball,4.189963435278028
162,slow,4.15074719057597
163,smell,4.131329647059117
164,decision,4.131329647059117
165,michelle,4.092867581771933
166,history,4.092867581771933
167,letters,4.092867581771933
168,earth,4.073819898735957
169,movies,4.073819898735957
170,acting,4.054892391156162
171,lose,3.943768576115116
172,tyler,3.9356283494842854
173,rodowsky,3.909253761235404
174,lap,3.9076235605665923
175,certainly,3.889713059607081
176,beside,3.889713059607081
177,entered,3.871908853047637
178,control,3.8542096866660724
179,crossed,3.836614328308878
180,mood,3.836614328308878
181,asleep,3.8191215673764987
182,insisted,3.7844391001732705
183,appeared,3.7672470760463153
184,ground,3.7672470760463153
185,shoulders,3.7331558000953704
186,ways,3.716254346940602
187,jeff,3.716254346940602
188,war,3.6916480415378063
189,cold,3.6661139040193804
190,wedding,3.650830298275392
191,shaking,3.649584936586472
192,janine,3.6167977249899
193,strange,3.6167977249899
194,steps,3.6167977249899
195,normal,3.6005375225818828
196,office,3.6005375225818828
197,fingers,3.55227910932701
198,nearly,3.520532781335399
199,michael,3.504784713676968
200,david,3.504784713676968
201,hoped,3.504784713676968
202,wondering,3.489118881733513
203,twenty,3.458030520626873
204,possible,3.458030520626873
205,thinks,3.458030520626873
206,needs,3.458030520626873
207,weeks,3.458030520626873
208,bright,3.4426063221256173
209,single,3.4426063221256173
210,shut,3.4272610201253064
211,entire,3.4272610201253064
212,himself,3.3968039057332517
213,ha,3.386294361119891
214,drew,3.3816905236433805
215,seems,3.35169027363963
216,neither,3.3368019056132434
217,cards,3.3338896163318426
218,notice,3.321987060691496
219,became,3.321987060691496
220,third,3.3072450162842086
221,leaned,3.3072450162842086
222,filled,3.3072450162842086
223,buddy,3.2997007496132422
224,its,3.2925750604016333
225,repeated,3.2925750604016333
226,wonderful,3.2925750604016333
227,leaving,3.2925750604016333
228,wonder,3.2925750604016333
229,ethan,3.285040783343136
230,rolled,3.277976491448114
231,glanced,3.277976491448114
232,group,3.2634486180207505
233,california,3.2489907587129037
234,beautiful,3.234602241922425
235,surprise,3.234602241922425
236,window,3.2202824056644515
237,putting,3.206030597388658
238,barely,3.1918461738008204
239,younger,3.1918461738008204
240,sitters,3.1918461738008204
241,stepped,3.1777285006885823
242,bet,3.1777285006885823
243,besides,3.1777285006885823
244,monday,3.1636769527513033
245,practically,3.1636769527513033
246,awful,3.1636769527513033
247,dinner,3.1636769527513033
248,question,3.1636769527513033
249,weather,3.106001097633407
250,soda,3.0453903986427493
251,sweater,3.0305204416677127
252,machine,3.0305204416677127
253,stamford,3.0157602270724677
254,greeted,2.9865626282301623
255,nannie,2.9435502177882356
256,college,2.9014433993925706
257,scary,2.9014433993925706
258,energy,2.887602513703423
259,woke,2.887602513703423
260,lights,2.873856755127899
261,makeup,2.873856755127899
262,exciting,2.8331773866536536
263,bags,2.8331773866536536
264,slid,2.8331773866536536
265,total,2.81979941035206
266,bored,2.806510324914723
267,hallway,2.793308956852019
268,nope,2.7413579840454974
269,cokie,2.7316555451583495
270,slightly,2.7285783878479553
271,super,2.715879932490638
272,hugged,2.715879932490638
273,honest,2.690722368076918
274,sounding,2.690722368076918
275,jumping,2.690722368076918
276,crowded,2.6782612685756457
277,spotted,2.6782612685756457
278,director,2.6658773280798034
279,stepsister,2.6658773280798034
280,million,2.653569596931047
281,summer,2.653569596931047
282,pile,2.641337142896175
283,raced,2.6291790507434105
284,joke,2.6291790507434105
285,pictures,2.6291790507434105
286,paid,2.6050823737110615
287,fill,2.6050823737110615
288,snack,2.6050823737110615
289,whoa,2.6050823737110615
290,pizza,2.593142039738054
291,gasped,2.593142039738054
292,yard,2.5812725686984246
293,fault,2.5812725686984246
294,apart,2.557742885539252
295,stick,2.534486809549014
296,aside,2.534486809549014
297,disappeared,2.522959400115514
298,loved,2.522959400115514
299,realize,2.5114980506975435
300,climbed,2.5001020084682684
301,act,2.4887705333969135
302,invited,2.4887705333969135
303,silent,2.4662983868630617
304,expect,2.455156296764151
305,homework,2.4440759360129203
306,sigh,2.4440759360129203
307,bottom,2.4440759360129203
308,closet,2.4330566243909812
309,pulling,2.4330566243909812
310,closer,2.4330566243909812
311,robert,2.4315509527080117
312,proud,2.4220976928617297
313,luck,2.4111984833266003
314,throat,2.4111984833266003
315,wide,2.400358348387922
316,offered,2.400358348387922
317,learned,2.400358348387922
318,fight,2.400358348387922
319,claud,2.400358348387922
320,softly,2.400358348387922
321,company,2.389576651118169
322,gently,2.3788527648353983
323,problems,2.3788527648353983
324,helping,2.3788527648353983
325,pushed,2.3681860728846735
326,whenever,2.3681860728846735
327,step,2.3575759684252873
328,calm,2.3575759684252873
329,handle,2.3575759684252873
330,um,2.3575759684252873
331,ring,2.336523142451312
332,pull,2.336523142451312
333,wild,2.3260792544890085
334,works,2.3260792544890085
335,bunch,2.3156896207348003
336,speaking,2.3156896207348003
337,sleep,2.3053536804179156
338,moving,2.3053536804179156
339,interesting,2.3053536804179156
340,jeans,2.2950708814170784
341,eighth,2.2950708814170784
342,begin,2.2950708814170784
343,interested,2.2848406800835375
344,completely,2.2848406800835375
345,seeing,2.274662541068595
346,tired,2.274662541068595
347,hanging,2.274662541068595
348,join,2.264535937155501
349,secretary,2.264535937155501
350,forgot,2.264535937155501
351,totally,2.264535937155501
352,art,2.254460349095587
353,halloween,2.2461477293766485
354,missed,2.244435265448498
355,silly,2.244435265448498
356,conversation,2.244435265448498
357,lived,2.23446018242642
358,plan,2.23446018242642
359,led,2.2245346037421623
360,meetings,2.2146580404609972
361,stayed,2.204830010856139
362,joined,2.204830010856139
363,questions,2.204830010856139
364,sick,2.204830010856139
365,eating,2.204830010856139
366,ideas,2.1950500402677555
367,raised,2.1950500402677555
368,upstairs,2.1853176609654095
369,hit,2.1756324120138335
370,junk,2.1756324120138335
371,quite,2.1756324120138335
372,desk,2.1756324120138335
373,checked,2.1756324120138335
374,brothers,2.1659938391419358
375,eye,2.1659938391419358
376,sign,2.1373537315924387
377,spent,2.1373537315924387
378,air,2.1373537315924387
379,shrugged,2.1373537315924387
380,town,2.1184856671257215
381,taken,2.1091179685008687
382,calling,2.1091179685008687
383,van,2.063826172582694
384,snow,2.026085844599847
385,richard,1.9897182004289724
386,abby,1.9897182004289724
387,sea,1.966187703018778
388,rain,1.8153648132841944
389,basement,1.7761441001309133
390,band,1.7570959051602189
391,tea,1.7570959051602189
392,birthday,1.7384037721480663
393,sunny,1.6669448081659213
394,vacation,1.63304325649024
395,signed,1.6247444536755449
396,tigger,1.6165139545390295
397,field,1.6165139545390295
398,coat,1.5842530923208078
399,johanssen,1.5842530923208078
400,test,1.5685047353526689
401,bottle,1.5607225949106138
402,receiver,1.5377330766859152
403,charlotte,1.5377330766859152
404,porch,1.5226951993213746
405,horse,1.5152602208338564
406,suit,1.5078801135362339
407,screamed,1.5078801135362339
408,study,1.500554073444161
409,station,1.4932813141150811
410,tape,1.4860610661415943
411,orange,1.4788925766629817
412,safe,1.4717751088941178
413,earrings,1.4647079416710251
414,dream,1.4576903690123786
415,bent,1.4576903690123786
416,teachers,1.4576903690123786
417,jump,1.4576903690123786
418,doors,1.4507216996962853
419,doorbell,1.4369283775639494
420,heading,1.4301024124935495
421,impressed,1.4301024124935495
422,dancing,1.4301024124935495
423,murmured,1.4301024124935495
424,share,1.40989970517603
425,kinds,1.4032551624573615
426,checking,1.4032551624573615
427,brain,1.3900970778798505
428,concerned,1.3900970778798505
429,whose,1.3706789920227487
430,guilty,1.3706789920227487
431,honey,1.3642891939239776
432,tough,1.3642891939239776
433,above,1.357939966245319
434,diabetes,1.345361184038459
435,simple,1.3391306342878229
436,forth,1.3391306342878229
437,glance,1.3391306342878229
438,leaning,1.3329386640399017
439,jewelry,1.3329386640399017
440,ball,1.3329386640399017
441,style,1.3329386640399017
442,doorway,1.3267847984655234
443,edge,1.3267847984655234
444,flew,1.3267847984655234
445,hide,1.3267847984655234
446,lay,1.3206685714480875
447,lifted,1.3206685714480875
448,rules,1.3206685714480875
449,opening,1.3206685714480875
450,project,1.3206685714480875
451,student,1.3206685714480875
452,driveway,1.3145895253717053
453,send,1.3145895253717053
454,excitement,1.3085472109157426
455,born,1.3085472109157426
456,boring,1.3025411868555308
457,certain,1.3025411868555308
458,cover,1.3025411868555308
459,earlier,1.296571019869027
460,hasn,1.2906362843492123
461,schedule,1.2906362843492123
462,happily,1.2906362843492123
463,plate,1.2906362843492123
464,recently,1.2906362843492123
465,disappointed,1.2906362843492123
466,letting,1.2847365622220241
467,cleared,1.2847365622220241
468,paused,1.2847365622220241
469,yellow,1.2847365622220241
470,organized,1.2847365622220241
471,relief,1.278871442769626
472,warm,1.2730405224588328
473,decide,1.2730405224588328
474,wore,1.2730405224588328
475,numbers,1.267243404774507
476,folded,1.267243404774507
477,seconds,1.261479700057757
478,families,1.261479700057757
479,ballet,1.2500510042341342
480,wears,1.2500510042341342
481,spread,1.2500510042341342
482,happening,1.2443852666984567
483,somewhere,1.2387514489802007
484,american,1.2387514489802007
485,involved,1.2387514489802007
486,subject,1.2387514489802007
487,sam,1.2387514489802007
488,bell,1.2387514489802007
489,smart,1.2387514489802007
490,associate,1.2331491934315308
491,amazing,1.2331491934315308
492,seriously,1.2331491934315308
493,color,1.2275781483820756
494,truth,1.2275781483820756
495,forever,1.2220379680064601
496,ourselves,1.2220379680064601
497,note,1.2165283121954906
498,spot,1.2165283121954906
499,using,1.2165283121954906
500,genius,1.2165283121954906
501,fit,1.2110488464308649
502,information,1.2110488464308649
503,faces,1.2055992416633001
504,store,1.2055992416633001
505,tuesday,1.2055992416633001
506,trip,1.2055992416633001
507,relieved,1.200179174193961
508,allowed,1.200179174193961
509,shy,1.1947883255590845
510,fifteen,1.1840930364423368
511,shoes,1.1787879842126436
512,keeps,1.1787879842126436
513,listening,1.1787879842126436
514,bought,1.1787879842126436
515,neighborhood,1.1787879842126436
516,poor,1.1787879842126436
517,weekend,1.1787879842126436
518,mansion,1.168261571225656
519,terrific,1.1630396272445043
520,absolutely,1.1630396272445043
521,charlie,1.1578448103674002
522,clear,1.1578448103674002
523,woman,1.1578448103674002
524,mentioned,1.1578448103674002
525,visit,1.1578448103674002
526,ride,1.1578448103674002
527,kidding,1.1526768402089578
528,whether,1.1526768402089578
529,wall,1.1526768402089578
530,awhile,1.1526768402089578
531,loudly,1.1526768402089578
532,nose,1.1475354407085392
533,body,1.1475354407085392
534,sad,1.1475354407085392
535,buy,1.1475354407085392
536,reach,1.1424203400417687
537,grew,1.1424203400417687
538,downstairs,1.1424203400417687
539,ear,1.1373312705342975
540,clean,1.1373312705342975
541,party,1.1322679685777506
542,water,1.1322679685777506
543,extra,1.1322679685777506
544,thirteen,1.1322679685777506
545,worse,1.1322679685777506
546,empty,1.1272301745477935
547,grown,1.1272301745477935
548,eleven,1.1272301745477935
549,connecticut,1.11723009121321
550,age,1.11723009121321
551,green,1.11723009121321
552,catch,1.11723009121321
553,gotten,1.11723009121321
554,none,1.11723009121321
555,takes,1.11723009121321
556,loves,1.1122673018710811
557,afraid,1.1073290202304986
558,grinned,1.1024150054280695
559,nervous,1.1024150054280695
560,starting,1.1024150054280695
561,grandmother,1.1024150054280695
562,jobs,1.0975250201338778
563,president,1.0975250201338778
564,explain,1.0975250201338778
565,spier,1.0975250201338778
566,divorced,1.0975250201338778
567,regular,1.0975250201338778
568,drive,1.0926588304827047
569,waved,1.0926588304827047
570,threw,1.0878162060069168
571,often,1.0878162060069168
572,announced,1.0878162060069168
573,mcgill,1.0829969195709679
574,kishi,1.0829969195709679
575,waited,1.0829969195709679
576,shouted,1.078200747307475
577,piece,1.078200747307475
578,likes,1.078200747307475
579,man,1.073427468554817
580,thomas,1.0639487246002735
581,class,1.0639487246002735
582,excited,1.0639487246002735
583,mine,1.0592428335628608
584,helped,1.0592428335628608
585,comes,1.0592428335628608
586,sugar,0.0
587,roll,0.0
588,ramsey,0.0
589,stuffed,0.0
590,wrote,0.0
591,young,0.0
592,yelled,0.0
593,stephie,0.0
594,puppy,0.0
595,students,0.0
596,rooms,0.0
597,report,0.0
598,radio,0.0
599,sun,0.0
600,responsible,0.0
601,stories,0.0
602,return,0.0
603,quint,0.0
604,worst,0.0
605,windows,0.0
606,win,0.0
607,rather,0.0
608,rehearsal,0.0
609,york,0.0
610,rosie,0.0
611,purple,0.0
612,rock,0.0
613,writing,0.0
614,rose,0.0
615,soccer,0.0
616,whitney,0.0
617,shopping,0.0
618,thanksgiving,0.0
619,singing,0.0
620,treasurer,0.0
621,spend,0.0
622,triplets,0.0
623,teeth,0.0
624,sports,0.0
625,twice,0.0
626,twins,0.0
627,squirt,0.0
628,uh,0.0
629,uncle,0.0
630,teacher,0.0
631,shrieked,0.0
632,shouldn,0.0
633,sisters,0.0
634,space,0.0
635,train,0.0
636,somebody,0.0
637,thrilled,0.0
638,thursday,0.0
639,tiffany,0.0
640,softball,0.0
641,tiny,0.0
642,slipped,0.0
643,sleeping,0.0
644,sitter,0.0
645,skin,0.0
646,touch,0.0
647,sixth,0.0
648,toys,0.0
649,song,0.0
650,themselves,0.0
651,unless,0.0
652,shop,0.0
653,supplies,0.0
654,sheet,0.0
655,waving,0.0
656,susan,0.0
