,term,score
0,erica,546.8221733218924
1,jeremy,498.80732608276554
2,stacey,227.68502706445852
3,peaches,211.35363323270911
4,thanksgiving,116.47536399669843
5,claudia,97.88328266322516
6,mary,51.67339022827129
7,jordan,45.18840143938374
8,kristy,44.88442836344121
9,shopping,36.15652712577122
10,aunt,33.68828265843358
11,pike,26.81352218911704
12,mall,24.37116680513317
13,pikes,23.323045904198057
14,janine,22.906385591602703
15,liked,20.215025767405194
16,vanessa,18.071262012438055
17,earrings,17.5764953000523
18,adam,17.492284428148544
19,bsc,16.954683850032108
20,movie,14.917960729211009
21,homework,14.664455616077522
22,uh,13.892799255350852
23,locker,13.61628902381753
24,art,13.526762094573522
25,logan,12.850877283482218
26,class,12.767384695203281
27,missed,12.34439395996674
28,science,12.168826405036464
29,fight,12.00179174193961
30,outfit,11.722870681699778
31,triplets,11.669139178821244
32,continued,11.600148826754777
33,feelings,11.509842984926633
34,pair,11.322679685777505
35,milk,11.068659174869254
36,forever,10.998341712058142
37,upstairs,10.926588304827048
38,glanced,10.926588304827048
39,month,10.914313551391821
40,store,10.850393174969701
41,sweater,10.606821545836995
42,dinner,10.545589842504343
43,byron,10.252955591697177
44,ear,10.235981434808677
45,ha,10.158883083359672
46,stace,10.106019305266743
47,wow,10.099958694518241
48,cry,9.833929474344343
49,truth,9.820625187056605
50,boyfriend,9.660847216993353
51,grabbed,9.57553852140246
52,shoes,9.430303873701149
53,weekend,9.430303873701149
54,chocolate,9.37391444001476
55,sunday,9.075997139083189
56,library,9.047280681217403
57,loved,8.830357900404298
58,popcorn,8.738530824051898
59,fashion,8.704330198177711
60,mcgill,8.663975356567743
61,kishi,8.663975356567743
62,spoke,8.587419748438537
63,admit,8.549414926369755
64,brown,8.473942668502886
65,taken,8.436471874003475
66,artist,8.41953097474417
67,mal,8.325984676923895
68,rushed,8.185735163543866
69,mess,8.177830998579593
70,absolutely,8.14127739071153
71,weeks,8.068737881462704
72,claire,8.034783805726937
73,jewelry,7.99763198423941
74,entire,7.996942380292381
75,awesome,7.9212654616040385
76,sms,7.881739564068473
77,parade,7.841617528505898
78,lunch,7.82061063849247
79,mimi,7.818507522470808
80,mad,7.785871113097568
81,cheese,7.765002744083517
82,starting,7.7169050379964865
83,paused,7.708419373332145
84,seat,7.648611813378933
85,guy,7.580978436996775
86,clock,7.381912889753041
87,headed,7.381912889753041
88,rain,7.261459253136778
89,college,7.253608498481427
90,claud,7.2010750451637655
91,interrupted,7.2010750451637655
92,visit,6.947068862204401
93,guilty,6.853394960113743
94,party,6.7936078114665035
95,extra,6.7936078114665035
96,movies,6.789699831226596
97,everywhere,6.789699831226596
98,wished,6.789699831226596
99,math,6.733305796345494
100,staring,6.70338054727926
101,ethan,6.570081566686272
102,hit,6.526897236041501
103,box,6.497981517425807
104,eye,6.497981517425807
105,likes,6.46920448384485
106,definitely,6.440564811328903
107,monday,6.327353905502607
108,calling,6.327353905502607
109,plans,6.250255021170671
110,confused,6.221926333492283
111,bell,6.193757244901004
112,subject,6.193757244901004
113,foot,6.165745967157655
114,glass,6.165745967157655
115,uncle,6.115525093795212
116,camera,6.078257533799541
117,pet,5.969154601286917
118,listening,5.893939921063218
119,shop,5.887100435576471
120,teachers,5.830761476049514
121,cute,5.815198136222522
122,exclaimed,5.763384201044789
123,english,5.747713510255798
124,buy,5.737677203542696
125,impressed,5.720409649974198
126,hanging,5.686656352671488
127,stuffed,5.613020649829446
