,term,score
0,cary,817.909337389264
1,jeremy,160.90558905895662
2,claudia,89.37169286642298
3,taylor,64.44210406425705
4,list,62.27473827177628
5,mary,55.891626165273024
6,class,55.32533367921422
7,stacey,50.00559005621285
8,alan,44.16398460045548
9,kristy,35.26633657127524
10,glanced,30.59444725351573
11,party,30.571235151599264
12,english,30.17549592884294
13,cokie,30.048210996741844
14,questions,28.662790141129808
15,interesting,27.664244165014985
16,desk,27.19540515017292
17,ben,24.53968282970446
18,watson,23.990827140877144
19,ms,22.183388649944725
20,seat,21.853176609654096
21,speak,21.51309140297726
22,logan,21.02870828206181
23,teacher,20.868828522495285
24,stage,20.803294637674234
25,sms,20.492522866578028
26,christmas,20.418054885848946
27,teachers,18.949974797160923
28,sam,18.581271734703012
29,notes,17.661301306729413
30,library,16.58668124889857
31,notebook,16.101412028322255
32,project,15.84802285737705
33,raised,15.365350281874289
34,students,15.159028957900116
35,backpack,14.848653373259591
36,row,14.647079416710252
37,bsc,14.532586157170378
38,dining,13.977004939350332
39,staring,13.40676109455852
40,nannie,13.24597598004706
41,seats,13.24597598004706
42,boring,13.025411868555308
43,somebody,12.336110928204738
44,spoke,11.807702154102987
45,classes,11.61572655914291
46,continued,11.600148826754777
47,question,11.600148826754777
48,cleared,11.562629059998217
49,stared,11.22217632724249
50,grinned,11.024150054280694
51,closed,10.82996919570968
52,glance,10.713045074302583
53,clear,10.420603293306602
54,wrote,10.37409156188062
55,excellent,10.352248036640871
56,gray,10.091837600462055
57,bell,9.910011591841606
58,handed,9.833929474344343
59,brothers,9.746972276138711
60,guy,9.746972276138711
61,favorite,9.746972276138711
62,throat,9.644793933306401
63,shrugged,9.618091792165973
64,headed,9.49103085825391
65,taken,9.49103085825391
66,silence,9.430303873701149
67,bus,9.333290538358725
68,charlie,9.262758482939201
69,woman,9.262758482939201
70,writing,8.977741061793992
71,named,8.93784072970568
72,mad,8.898138414968649
73,crowd,8.870703833421548
74,starting,8.819320043424556
75,anybody,8.790243177441402
76,known,8.780200161071022
77,act,8.710696866889197
78,doorbell,8.621570265383696
79,man,8.587419748438537
80,imagine,8.549414926369755
81,thomas,8.511589796802188
82,hoping,8.4391946916431
83,fair,8.288651255096358
84,um,8.251515889488505
85,nobody,8.177830998579593
86,wondering,8.14127739071153
87,bunch,8.1049136725718
88,speaking,8.1049136725718
89,himself,7.9258757800442545
90,pass,7.924011428688525
91,awesome,7.9212654616040385
92,conversation,7.855523429069743
93,evening,7.7169050379964865
94,record,7.648611813378933
95,threw,7.6147134420484175
96,picture,7.580978436996775
97,broke,7.580978436996775
98,spent,7.480738060573535
99,spend,7.480738060573535
100,audience,7.383296083075613
101,truth,7.365468890292453
102,fire,7.358875544470589
103,homework,7.332227808038761
104,closer,7.299169873172944
105,learn,7.2335954499798
106,shot,7.041065562670798
107,angry,7.009569427353936
108,quietly,6.947068862204401
109,ha,6.772588722239782
110,green,6.70338054727926
111,usual,6.70338054727926
112,secret,6.70338054727926
113,wondered,6.643974121382992
114,ideas,6.585150120803267
115,its,6.585150120803267
116,group,6.526897236041501
117,noise,6.512705934277654
118,children,6.497981517425807
119,ahead,6.46920448384485
120,gym,6.401013734668996
121,count,6.39435721384813
122,worked,6.383692347601641
123,news,6.3554570013771645
124,ones,6.327353905502607
125,invited,6.221926333492283
126,pen,6.212002195266814
127,cheese,6.212002195266814
128,subject,6.193757244901004
129,board,6.120743484202128
130,promised,6.110189840032301
131,stories,6.110189840032301
132,strange,6.027996208316501
133,sight,6.027996208316501
134,karen,6.000895870969805
135,normal,6.000895870969805
136,page,5.9731252564603246
137,abby,5.969154601286917
138,including,5.920465182211684
139,newspaper,5.915570306651927
140,listening,5.893939921063218
141,step,5.893939921063218
142,stomach,5.841307856128281
143,cute,5.815198136222522
144,lights,5.747713510255798
145,murmured,5.720409649974198
146,completely,5.7121017002088434
147,several,5.7121017002088434
148,waving,5.666354773307307
149,nervous,5.512075027140347
150,joined,5.512075027140347
151,private,5.512075027140347
152,newton,5.506702561805142
153,building,5.482715968090995
154,enjoy,5.482715968090995
155,rolled,5.463294152413524
156,groaned,5.4571567756959105
157,wished,5.431759864981276
158,eye,5.41498459785484
159,deal,5.3910037365373755
160,piece,5.3910037365373755
161,uh,5.343384328981097
162,figure,5.343384328981097
163,air,5.343384328981097
164,admit,5.343384328981097
165,excited,5.319743623001367
166,liked,5.319743623001367
167,sighed,5.319743623001367
168,frowned,5.307139193862094
169,student,5.28267428579235
170,dinner,5.272794921252172
171,born,5.23418884366297
172,snack,5.210164747422123
173,entered,5.162545137396849
174,schedule,5.162545137396849
175,paused,5.138946248888097
176,muttered,5.115485771078504
177,thoughts,5.115485771078504
178,locker,5.1061083839315735
179,rose,5.053009652633372
180,carrying,5.045918800231028
181,plans,5.000204016936537
182,emily,4.977541066793827
183,smart,4.955005795920803
184,terrible,4.932596773726123
185,andrew,4.932596773726123
186,expect,4.910312593528302
187,louie,4.900486171440328
188,forever,4.888151872025841
189,shannon,4.844195385723459
190,proud,4.844195385723459
191,learned,4.800716696775844
192,claud,4.800716696775844
193,gathered,4.757705529670797
194,shouldn,4.736372145769347
195,yelled,4.736372145769347
196,date,4.7151519368505745
197,mention,4.694043708447198
198,michael,4.673046284902624
199,david,4.673046284902624
200,mess,4.673046284902624
201,loud,4.673046284902624
202,written,4.652158508978017
203,terrific,4.652158508978017
204,absolutely,4.652158508978017
205,works,4.652158508978017
206,begin,4.590141762834157
207,interested,4.569681360167075
208,downstairs,4.569681360167075
209,grew,4.569681360167075
210,tired,4.54932508213719
211,forgotten,4.54932508213719
212,reminded,4.508920698191174
213,backyard,4.479843942345243
214,carefully,4.4490692074843246
215,final,4.436677729988945
216,notice,4.4293160809219945
217,plenty,4.409660021712278
218,leaned,4.409660021712278
219,letter,4.394123825013075
220,explain,4.390100080535511
221,stairs,4.390100080535511
222,regular,4.390100080535511
223,hate,4.351264824027667
224,announced,4.351264824027667
225,listen,4.3319876782838715
226,kishi,4.3319876782838715
227,box,4.3319876782838715
228,energy,4.331403770555134
229,break,4.3128029892299
230,become,4.3128029892299
231,dancing,4.290307237480649
232,admitted,4.290307237480649
233,chairs,4.290307237480649
234,younger,4.255794898401094
235,round,4.24976607998048
236,obviously,4.24976607998048
237,helped,4.236971334251443
238,bored,4.209765487372085
239,add,4.1120369760682465
240,history,4.092867581771933
241,michelle,4.092867581771933
242,lips,4.073819898735957
243,tree,4.073819898735957
244,acting,4.054892391156162
245,snow,4.052171689199694
246,honest,4.036083552115377
247,spotted,4.017391902863468
248,tossed,3.998815992119705
249,finger,3.998815992119705
250,hide,3.9803543953965703
251,pet,3.979436400857945
252,mistake,3.9620057143442624
253,lose,3.943768576115116
254,dumb,3.943768576115116
255,joke,3.943768576115116
256,pictures,3.943768576115116
257,fill,3.9076235605665923
258,planning,3.9076235605665923
259,plate,3.871908853047637
260,space,3.871908853047637
261,throw,3.871908853047637
262,worst,3.8542096866660724
263,mood,3.836614328308878
264,relief,3.836614328308878
265,music,3.836614328308878
266,grin,3.836614328308878
267,coach,3.819350985510872
268,decide,3.8191215673764987
269,boxes,3.8191215673764987
270,seconds,3.7844391001732705
271,excuse,3.7501530127024028
272,spread,3.7501530127024028
273,american,3.716254346940602
274,involved,3.716254346940602
275,somewhere,3.716254346940602
276,ears,3.716254346940602
277,foot,3.6994475802945925
278,silent,3.6994475802945925
279,lying,3.6661139040193804
280,note,3.649584936586472
281,games,3.6331465392925946
282,team,3.6167977249899
283,hug,3.6167977249899
284,faces,3.6167977249899
285,offered,3.6005375225818828
286,problems,3.5682791472530972
287,fingers,3.55227910932701
288,tiny,3.536363952637931
289,mansion,3.504784713676968
