,term,score
0,ethan,246.37805875073522
1,jeremy,233.3131041354871
2,pete,145.50865151123543
3,claudia,69.15666709901778
4,party,57.74566639746528
5,robert,53.49412095957626
6,mary,47.455154291269544
7,kristy,44.88442836344121
8,stacey,36.1742566364093
9,teacher,30.689453709551888
10,mail,28.728994975808238
11,math,25.811005552657726
12,guy,23.825932230561293
13,students,23.580711712289066
14,sam,21.05877463266341
15,headed,18.98206171650782
16,erica,18.74818879960774
17,museum,18.60952349640148
18,cold,18.3305695200969
19,sharon,18.153648132841944
20,teachers,17.492284428148544
21,jacket,15.582475626595095
22,alex,15.44165244548541
23,kiss,15.301858710505321
24,snow,14.182600912198929
25,boyfriend,13.954557091212623
26,liked,13.831333419803554
27,class,13.831333419803554
28,clock,13.709266795255648
29,tv,13.64797524641157
30,letter,13.182371475039226
31,surprise,12.9384089676897
32,sign,12.824122389554631
33,visit,12.736292914041401
34,hang,12.679445242298536
35,definitely,11.807702154102987
36,train,11.66861365716145
37,wrote,11.526768402089578
38,awhile,11.526768402089578
39,mall,11.373211175728814
40,art,11.272301745477936
41,expression,11.120776623038804
42,shrugged,10.686768657962194
43,continued,10.545589842504343
44,station,10.452969198805569
45,planning,10.420329494844246
46,twenty,10.37409156188062
47,seeing,10.235981434808677
48,hurried,10.058498642947646
49,wondered,9.965961182074487
50,abby,9.948591002144862
51,sea,9.83093851509389
52,favorite,9.746972276138711
53,coffee,9.639769176471274
54,stepped,9.533185502065747
55,awesome,9.505518553924848
56,tonight,9.388087416894397
57,hoped,9.346092569805249
58,suppose,9.22639846011549
59,bedroom,9.180283525668314
60,dress,9.180283525668314
61,stared,8.977741061793992
62,insisted,8.830357900404298
63,hit,8.702529648055334
64,tomorrow,8.549414926369755
65,locker,8.510180639885956
66,logan,8.177830998579593
67,expected,8.177830998579593
68,sheet,8.082569772695148
69,movie,8.032748084959774
70,hanging,7.961318893740082
71,staring,7.82061063849247
72,lunch,7.82061063849247
73,boring,7.815247121133185
74,restaurant,7.803612974553069
75,friendly,7.743817706095274
76,upset,7.7169050379964865
77,boys,7.682675140937144
78,warm,7.638243134752997
79,lately,7.638243134752997
80,numbers,7.6034604286470415
81,broke,7.580978436996775
82,light,7.51399227988372
83,explained,7.414699834940025
84,offered,7.2010750451637655
85,office,7.2010750451637655
86,makeup,7.1846418878197476
87,moving,6.916061041253746
88,list,6.7936078114665035
89,ball,6.664693320199508
90,leaving,6.585150120803267
91,wonderful,6.585150120803267
92,ideas,6.585150120803267
93,pictures,6.572947626858526
94,glanced,6.555952982896228
95,vacation,6.53217302596096
96,desk,6.526897236041501
97,center,6.512705934277654
98,yesterday,6.453181421746061
99,space,6.453181421746061
100,forward,6.440564811328903
101,apartment,6.390226674371684
102,excited,6.383692347601641
103,besides,6.3554570013771645
104,street,6.3554570013771645
105,sms,6.305391651254778
106,happening,6.221926333492283
107,act,6.221926333492283
108,camera,6.078257533799541
109,sweater,6.0610408833354255
110,study,6.002216293776644
111,fight,6.000895870969805
112,tape,5.944244264566377
113,excellent,5.915570306651927
114,date,5.893939921063218
115,mention,5.867554635558998
116,shot,5.867554635558998
