,term,score
0,cokie,524.477864670403
1,abby,185.04379263989443
2,cary,175.77876110558742
3,kristy,127.1725470297501
4,sharon,114.36798323690425
5,logan,73.60047898721633
6,mary,72.76456991327997
7,claudia,43.621897708611215
8,grace,40.71811624513132
9,party,31.703503120177018
10,stacey,28.726615564207382
11,fire,27.963727068988238
12,richard,23.876618405147667
13,locker,22.126469663703485
14,cards,21.670282506156976
15,tigger,17.781653499929323
16,emily,17.421393733778395
17,sms,15.763479128136947
18,office,15.602329264521492
19,dance,15.41683874666429
20,boxes,15.276486269505995
21,count,12.78871442769626
22,alan,12.618281314415851
23,pack,11.550410054813693
24,several,11.424203400417687
25,pen,10.871003841716925
26,win,10.81736373249794
27,heads,10.277892497776193
28,soccer,10.00847195737844
29,slid,9.916120853287788
30,artist,9.82278613720153
31,class,9.57553852140246
32,movie,9.180283525668314
33,lunch,8.93784072970568
34,anybody,8.790243177441402
35,spent,8.549414926369755
36,johnson,8.511048182448528
37,fight,8.401254219357726
38,loudly,8.068737881462704
39,slipped,8.034783805726937
40,dumb,7.887537152230232
41,purple,7.881739564068473
42,became,7.751303141613491
43,upset,7.7169050379964865
44,spier,7.682675140937144
45,raised,7.682675140937144
46,thoughts,7.673228656617756
47,closed,7.580978436996775
48,beautiful,7.547405231152325
49,become,7.547405231152325
50,houses,7.430305330707972
51,mine,7.414699834940025
52,newspaper,7.394462883314908
53,monday,7.381912889753041
54,truth,7.365468890292453
55,dream,7.288451845061893
56,bsc,7.266293078585189
57,bathroom,7.2335954499798
58,shoes,7.072727905275862
59,shot,7.041065562670798
60,angry,7.009569427353936
61,popcorn,6.990824659241518
62,sleep,6.916061041253746
63,forgotten,6.823987623205785
64,list,6.7936078114665035
65,students,6.737346203511162
66,conversation,6.733305796345494
67,direction,6.6956531714391145
68,managed,6.673603811226487
69,listen,6.497981517425807
70,piece,6.46920448384485
71,plate,6.453181421746061
72,putting,6.412061194777316
73,gym,6.401013734668996
74,sports,6.39435721384813
75,headed,6.327353905502607
76,gray,6.307398500288785
77,ways,6.193757244901004
78,glass,6.165745967157655
79,stupid,6.137890741910378
80,soda,6.090780797285499
81,shaking,6.082641560977454
82,page,5.9731252564603246
83,expected,5.841307856128281
84,charlie,5.789224051837001
85,interesting,5.763384201044789
86,finish,5.763384201044789
87,wall,5.763384201044789
88,tired,5.686656352671488
89,totally,5.6613398428887525
90,extra,5.6613398428887525
91,somehow,5.611088163621245
92,afraid,5.536645101152493
93,wondered,5.536645101152493
94,smell,5.508439529412157
95,add,5.482715968090995
96,movies,5.431759864981276
97,box,5.41498459785484
98,surprise,5.3910037365373755
99,mail,5.386686557964045
100,light,5.367137342774085
101,dead,5.3565225371512915
102,teeth,5.3565225371512915
103,spend,5.343384328981097
104,style,5.331754656159607
105,key,5.328432300392739
106,stepped,5.296214167814304
107,mistake,5.28267428579235
108,student,5.28267428579235
109,awful,5.272794921252172
110,ice,5.258358101486821
111,planning,5.210164747422123
112,den,5.1875613511294265
113,fault,5.162545137396849
114,space,5.162545137396849
115,paused,5.138946248888097
116,discovered,5.115485771078504
117,crowd,5.068973619098028
118,disappeared,5.045918800231028
119,plastic,5.045918800231028
120,teacher,4.910312593528302
121,dog,4.8661132487819625
122,steps,4.8223969666532005
123,relieved,4.800716696775844
124,bought,4.7151519368505745
125,hoped,4.673046284902624
126,speaking,4.631379241469601
127,kidding,4.610707360835831
128,bedroom,4.590141762834157
129,jeans,4.590141762834157
130,completely,4.569681360167075
131,water,4.529071874311002
132,thirteen,4.529071874311002
133,library,4.523640340608702
134,screamed,4.523640340608702
135,wow,4.488870530896996
136,usual,4.46892036485284
137,salad,4.458183198424782
138,excellent,4.436677729988945
139,president,4.390100080535511
140,ideas,4.390100080535511
141,known,4.390100080535511
142,handed,4.370635321930819
143,less,4.370635321930819
144,laughter,4.352165099088856
145,guy,4.3319876782838715
146,waited,4.3319876782838715
147,ahead,4.3128029892299
148,scene,4.310785132691848
149,lights,4.310785132691848
150,makeup,4.310785132691848
151,definitely,4.293709874219268
152,tomorrow,4.274707463184877
153,uh,4.274707463184877
154,pleased,4.269968176524513
155,anna,4.232939812136232
156,continued,4.2182359370017375
157,dinner,4.2182359370017375
158,practically,4.2182359370017375
159,kinds,4.209765487372085
160,baseball,4.189963435278028
161,contest,4.17960331797191
162,expression,4.170291233639551
163,tree,4.073819898735957
164,lips,4.073819898735957
165,cat,4.073819898735957
166,major,4.054892391156162
167,acting,4.054892391156162
168,pocket,4.017391902863468
169,chocolate,4.017391902863468
170,stepsister,3.998815992119705
171,edge,3.9803543953965703
172,rules,3.9620057143442624
173,gasped,3.889713059607081
174,pop,3.8863963695881587
175,muttered,3.836614328308878
176,music,3.836614328308878
177,grin,3.836614328308878
178,folded,3.8017302143235208
179,spread,3.7501530127024028
180,act,3.7331558000953704
181,somewhere,3.716254346940602
182,bell,3.716254346940602
183,ears,3.716254346940602
184,legs,3.6994475802945925
185,foot,3.6994475802945925
186,terrible,3.6994475802945925
187,scared,3.6827344451462265
188,spot,3.649584936586472
189,sight,3.6167977249899
190,throat,3.6167977249899
191,softly,3.6005375225818828
192,fair,3.55227910932701
193,tiny,3.536363952637931
194,step,3.536363952637931
195,planned,3.536363952637931
196,loud,3.504784713676968
197,quick,3.489118881733513
198,possible,3.458030520626873
199,exclaimed,3.458030520626873
200,single,3.4426063221256173
201,interested,3.4272610201253064
202,schafer,3.4119938116028923
203,speak,3.3968039057332517
204,glasses,3.3816905236433805
205,although,3.366652898172747
206,mystery,3.3512057418180716
207,listened,3.3368019056132434
208,leaned,3.3072450162842086
209,filled,3.3072450162842086
210,glanced,3.277976491448114
211,rolled,3.277976491448114
212,cry,3.277976491448114
213,ghost,3.26608651298048
214,announced,3.2634486180207505
215,tears,3.2634486180207505
216,picture,3.2489907587129037
217,shouted,3.234602241922425
218,window,3.2202824056644515
219,boyfriend,3.2202824056644515
220,admit,3.206030597388658
221,liked,3.1918461738008204
222,sighed,3.1918461738008204
223,explained,3.1777285006885823
224,question,3.1636769527513033
225,test,3.1370094707053378
226,study,3.001108146888322
227,notes,2.9435502177882356
228,seats,2.9435502177882356
229,teachers,2.915380738024757
230,doors,2.9014433993925706
231,woke,2.887602513703423
232,murmured,2.860204824987099
233,sang,2.860204824987099
234,dancing,2.860204824987099
235,carried,2.81979941035206
236,total,2.81979941035206
237,whose,2.7413579840454974
238,tough,2.7285783878479553
239,letters,2.7285783878479553
240,rushed,2.7285783878479553
241,slightly,2.7285783878479553
242,prepared,2.715879932490638
243,super,2.715879932490638
244,shopping,2.6782612685756457
245,forth,2.6782612685756457
246,glance,2.6782612685756457
247,ball,2.6658773280798034
248,follow,2.6658773280798034
249,frowned,2.653569596931047
250,twice,2.653569596931047
251,practice,2.653569596931047
252,pass,2.641337142896175
253,lake,2.6363453653540248
254,snapped,2.6291790507434105
255,joke,2.6291790507434105
256,pizza,2.593142039738054
257,entered,2.5812725686984246
258,throw,2.5812725686984246
259,promise,2.5694731244440483
260,letting,2.5694731244440483
261,lately,2.5460810449176656
262,decide,2.5460810449176656
263,loved,2.522959400115514
264,realize,2.5114980506975435
265,plans,2.5001020084682684
266,breakfast,2.5001020084682684
267,sweet,2.5001020084682684
268,happening,2.4887705333969135
269,invited,2.4887705333969135
270,smart,2.4775028979604015
271,involved,2.4775028979604015
272,silent,2.4662983868630617
273,seriously,2.4662983868630617
274,amazing,2.4662983868630617
275,low,2.4662983868630617
276,expect,2.455156296764151
277,shea,2.450243085720164
278,homework,2.4440759360129203
279,promised,2.4440759360129203
280,bottom,2.4440759360129203
281,using,2.4330566243909812
282,pulling,2.4330566243909812
283,information,2.4220976928617297
284,immediately,2.4111984833266003
285,strange,2.4111984833266003
286,trip,2.4111984833266003
287,keeping,2.4111984833266003
288,team,2.4111984833266003
289,normal,2.400358348387922
290,karen,2.400358348387922
291,yourself,2.389576651118169
292,track,2.389576651118169
293,mostly,2.3788527648353983
294,gently,2.3788527648353983
295,whenever,2.3681860728846735
