,term,score
0,ethan,88.69610115026468
1,mallory,88.65519298521568
2,laine,87.77632660027044
3,claudia,85.11589796802187
4,kristy,38.472367168663894
5,train,28.338061738820663
6,stacey,27.66266683960711
7,mary,24.25485663775999
8,jessi,20.039395731614942
9,dance,19.271048433330364
10,alan,18.927421971623776
11,date,18.860607747402298
12,summer,18.57498717851733
13,dinner,17.927502732257384
14,tape,17.83273279369913
15,margo,16.681164934558204
16,museum,16.283333059351293
17,pizza,15.558852238428324
18,restaurant,14.046503354195524
19,vanessa,13.900970778798506
20,park,13.545177444479563
21,married,13.466611592690988
22,bsc,13.321537310739513
23,store,13.261591658296302
24,guy,12.995963034851615
25,bag,12.995963034851615
26,apartment,12.780453348743368
27,watson,12.566623740459455
28,video,12.366022543803338
29,suppose,12.301864613487322
30,claire,12.052175708590406
31,station,11.946250512920649
32,byron,11.717663533368201
33,jordan,11.661522952099029
34,adam,11.661522952099029
35,lately,11.457364702129496
36,oldest,11.457364702129496
37,party,11.322679685777505
38,awesome,11.089771646245655
39,wondered,11.073290202304985
40,welcome,10.948754809759416
41,sharon,10.892188879705166
42,mail,10.77337311592809
43,man,10.73427468554817
44,tossed,10.663509312319214
45,stepped,10.592428335628608
46,headed,10.545589842504343
47,evening,9.921735048852625
48,slid,9.916120853287788
49,stairs,9.8777251812049
50,checking,9.82278613720153
51,definitely,9.660847216993353
52,couch,9.639769176471274
53,gorgeous,9.550024357467844
54,crying,9.430303873701149
55,dress,9.180283525668314
56,pike,8.93784072970568
57,seems,8.93784072970568
58,nervous,8.819320043424556
59,wonderful,8.780200161071022
60,spoke,8.587419748438537
61,class,8.511589796802188
62,liked,8.511589796802188
63,fight,8.401254219357726
64,nicky,8.379926870556057
65,expression,8.340582467279102
66,weekend,8.251515889488505
67,bought,8.251515889488505
68,ate,8.068737881462704
69,movie,8.032748084959774
70,tv,7.961318893740082
71,art,7.890611221834554
72,somehow,7.855523429069743
73,center,7.815247121133185
74,beside,7.779426119214162
75,sick,7.7169050379964865
76,upstairs,7.648611813378933
77,york,7.648611813378933
78,soda,7.613475996606873
79,insisted,7.568878200346541
80,gray,7.568878200346541
81,explained,7.414699834940025
82,offered,7.2010750451637655
83,fancy,7.1846418878197476
84,tonight,7.041065562670798
85,science,6.953615088592265
86,bunch,6.947068862204401
87,woman,6.947068862204401
88,longer,6.733305796345494
89,sense,6.643974121382992
90,joined,6.614490032568417
91,mirror,6.603342857240437
92,lay,6.603342857240437
93,often,6.526897236041501
94,mcgill,6.497981517425807
95,surprise,6.46920448384485
96,classes,6.453181421746061
97,letting,6.423682811110121
98,spend,6.412061194777316
99,sighed,6.383692347601641
100,changed,6.383692347601641
101,decide,6.365202612294164
102,brown,6.3554570013771645
103,besides,6.3554570013771645
104,continued,6.327353905502607
105,dining,6.212002195266814
106,terrible,6.165745967157655
107,expect,6.137890741910378
108,spot,6.082641560977454
109,stamford,6.031520454144935
110,wide,6.000895870969805
111,abby,5.969154601286917
112,pikes,5.830761476049514
113,fashion,5.802886798785141
114,possible,5.763384201044789
115,hang,5.763384201044789
116,makeup,5.747713510255798
117,heading,5.720409649974198
118,shut,5.7121017002088434
119,exciting,5.666354773307307
120,obviously,5.666354773307307
121,thirteen,5.6613398428887525
122,eleven,5.636150872738968
123,kinds,5.613020649829446
124,dying,5.586617913704038
125,lived,5.586150456066051
126,catch,5.586150456066051
127,neither,5.561336509355406
128,mad,5.561336509355406
129,concerned,5.560388311519402
130,coffee,5.508439529412157
131,rolled,5.463294152413524
132,super,5.431759864981276
133,waited,5.41498459785484
134,deal,5.3910037365373755
135,turning,5.3910037365373755
136,game,5.3910037365373755
137,dressed,5.367137342774085
138,key,5.328432300392739
139,sitters,5.319743623001367
140,worked,5.319743623001367
141,news,5.296214167814304
142,beach,5.271287715480657
143,born,5.23418884366297
144,john,5.215211316444199
145,child,5.162545137396849
146,mood,5.115485771078504
147,sports,5.115485771078504
148,locker,5.1061083839315735
149,hungry,5.068973619098028
150,shoulders,4.977541066793827
151,amazing,4.932596773726123
152,vacation,4.89912976947072
153,homework,4.888151872025841
154,lying,4.888151872025841
155,closet,4.8661132487819625
156,robert,4.863101905416023
157,claud,4.800716696775844
158,calm,4.7151519368505745
159,cheese,4.659001646450111
160,absolutely,4.652158508978017
161,wondering,4.652158508978017
162,bedroom,4.590141762834157
163,tired,4.54932508213719
164,hot,4.54932508213719
165,seeing,4.54932508213719
166,water,4.529071874311002
167,reminded,4.508920698191174
168,missed,4.488870530896996
169,conversation,4.488870530896996
170,wow,4.488870530896996
171,backyard,4.479843942345243
172,takes,4.46892036485284
173,gotten,4.46892036485284
174,final,4.436677729988945
175,notice,4.4293160809219945
176,eating,4.409660021712278
177,stayed,4.409660021712278
178,lit,4.394123825013075
179,president,4.390100080535511
180,seat,4.370635321930819
181,drive,4.370635321930819
182,college,4.352165099088856
183,doors,4.352165099088856
184,singing,4.352165099088856
185,tears,4.351264824027667
186,hit,4.351264824027667
187,brothers,4.3319876782838715
188,become,4.3128029892299
189,beautiful,4.3128029892299
190,likes,4.3128029892299
191,forward,4.293709874219268
192,window,4.293709874219268
193,light,4.293709874219268
194,admitted,4.290307237480649
195,impressed,4.290307237480649
196,shrugged,4.274707463184877
197,putting,4.274707463184877
198,spent,4.274707463184877
199,excited,4.255794898401094
200,bags,4.24976607998048
201,bet,4.236971334251443
202,share,4.22969911552809
203,eight,4.2182359370017375
204,driving,4.170291233639551
205,daughter,4.15074719057597
206,hugged,4.073819898735957
207,lips,4.073819898735957
208,acting,4.054892391156162
209,horrible,4.054892391156162
210,jumping,4.036083552115377
211,honest,4.036083552115377
212,sounding,4.036083552115377
213,forth,4.017391902863468
214,slipped,4.017391902863468
215,spotted,4.017391902863468
216,jewelry,3.998815992119705
217,pass,3.9620057143442624
218,opening,3.9620057143442624
219,schedule,3.871908853047637
220,recently,3.871908853047637
221,heads,3.8542096866660724
222,asleep,3.8191215673764987
223,warm,3.8191215673764987
224,spread,3.7501530127024028
225,ballet,3.7501530127024028
226,somewhere,3.716254346940602
227,subject,3.716254346940602
228,huh,3.716254346940602
229,radio,3.6916480415378063
230,color,3.6827344451462265
231,clue,3.671135041203428
232,proud,3.6331465392925946
233,information,3.6331465392925946
234,learn,3.6167977249899
235,steps,3.6167977249899
236,hoping,3.6167977249899
237,janine,3.6167977249899
238,strange,3.6167977249899
239,relieved,3.6005375225818828
240,softly,3.6005375225818828
241,cake,3.5911243719760297
242,picnic,3.5911243719760297
243,mal,3.5682791472530972
244,fifteen,3.55227910932701
245,fingers,3.55227910932701
