,term,score
0,sunny,600.1001309397317
1,sharon,225.10523684724012
2,jeff,125.11389634700028
3,pool,43.92253633337503
4,barn,37.579791112857414
5,mary,34.800446480264334
6,kristy,30.99162910809036
7,mall,25.995911258808718
8,train,25.004172122488818
9,boys,23.048025422811435
10,california,22.742935310990326
11,byron,21.970619125065376
12,park,20.317766166719345
13,headed,20.036620700758252
14,york,19.667858948688686
15,fire,19.13307641562353
16,alex,18.529982934582492
17,station,17.919375769380974
18,jordan,17.492284428148544
19,energy,17.325615082220537
20,guy,16.24495379356452
21,adam,16.034594059136165
22,color,15.958515928966982
23,richard,15.91774560343178
24,dinner,15.818384763756516
25,store,15.672790141622901
26,nicky,15.363199262686106
27,logan,15.187400425933529
28,street,14.82939966988005
29,pike,14.523991185771731
30,spent,13.892799255350852
31,stacey,13.831333419803554
32,downstairs,13.709044080501226
33,tired,13.64797524641157
34,carol,13.534814662839892
35,ducky,13.504050246195451
36,plan,13.40676109455852
37,ice,13.145895253717052
38,pikes,13.119213321111408
39,doors,13.056495297266567
40,connecticut,12.28953100334531
41,cream,12.164677173468489
42,nervous,12.126565059708764
43,pizza,11.669139178821244
44,mine,11.651671169191468
45,waving,11.332709546614614
46,awesome,11.089771646245655
47,purple,11.034435389695862
48,grinned,11.024150054280694
49,garden,11.013405123610283
50,movies,10.863519729962553
51,wide,10.801612567745648
52,deal,10.782007473074751
53,shrugged,10.686768657962194
54,claudia,10.639487246002734
55,camp,10.515234428679875
56,hot,10.235981434808677
57,breakfast,10.000408033873073
58,ideas,9.8777251812049
59,boyfriend,9.660847216993353
60,tomorrow,9.618091792165973
61,admit,9.618091792165973
62,figure,9.618091792165973
63,missing,9.601433393551687
64,crying,9.430303873701149
65,dining,9.318003292900222
66,movie,9.180283525668314
67,salad,8.916366396849565
68,excellent,8.87335545997789
69,its,8.780200161071022
70,upstairs,8.741270643861638
71,paint,8.704330198177711
72,closed,8.663975356567743
73,beautiful,8.6256059784598
74,welcome,8.515698185368434
75,bsc,8.477341925016054
76,margo,8.340582467279102
77,date,8.251515889488505
78,tonight,8.214576489782598
79,tree,8.147639797471914
80,bunch,8.1049136725718
81,quietly,8.1049136725718
82,tigger,8.082569772695148
83,summer,7.960708790793141
84,abby,7.95887280171589
85,lay,7.924011428688525
86,wow,7.855523429069743
87,stared,7.855523429069743
88,planning,7.815247121133185
89,triplets,7.779426119214162
90,leaving,7.682675140937144
91,wonderful,7.682675140937144
92,rolled,7.648611813378933
93,piece,7.547405231152325
94,window,7.51399227988372
95,definitely,7.51399227988372
96,dressed,7.51399227988372
97,climbed,7.5003060254048055
98,spend,7.480738060573535
99,sighed,7.447641072201915
100,changed,7.447641072201915
101,bet,7.414699834940025
102,radio,7.383296083075613
103,stupid,7.365468890292453
104,trip,7.2335954499798
105,pack,7.219006284258558
106,area,7.082943466634134
107,kinds,7.016275812286807
108,museum,6.978571311150555
109,vanessa,6.950485389399253
110,visit,6.947068862204401
111,moving,6.916061041253746
112,sleep,6.916061041253746
113,island,6.880218533919479
114,building,6.853394960113743
115,hanging,6.823987623205785
116,history,6.821445969619888
117,party,6.7936078114665035
118,windows,6.7268059201922945
119,claire,6.6956531714391145
120,glance,6.6956531714391145
121,tossed,6.664693320199508
122,hide,6.633923992327617
123,evening,6.614490032568417
124,filled,6.614490032568417
125,stairs,6.585150120803267
126,less,6.555952982896228
127,glanced,6.555952982896228
128,threw,6.526897236041501
129,picture,6.497981517425807
130,space,6.453181421746061
131,plate,6.453181421746061
132,light,6.440564811328903
133,spoke,6.440564811328903
134,feelings,6.39435721384813
135,helped,6.3554570013771645
136,ones,6.327353905502607
137,disappeared,6.307398500288785
138,plans,6.250255021170671
139,truth,6.137890741910378
140,spot,6.082641560977454
141,closer,6.082641560977454
142,suit,6.031520454144935
143,hug,6.027996208316501
144,interrupted,6.000895870969805
145,gently,5.947131912088496
146,um,5.893939921063218
147,tiny,5.893939921063218
148,bought,5.893939921063218
149,covered,5.815198136222522
150,cute,5.815198136222522
151,ride,5.789224051837001
152,hang,5.763384201044789
153,scene,5.747713510255798
154,admitted,5.720409649974198
155,exciting,5.666354773307307
156,extra,5.6613398428887525
157,young,5.636150872738968
158,checking,5.613020649829446
159,silly,5.611088163621245
160,beat,5.586617913704038
161,green,5.586150456066051
162,led,5.561336509355406
163,hardly,5.536645101152493
164,sense,5.536645101152493
165,wondered,5.536645101152493
166,milk,5.534329587434627
167,sun,5.534329587434627
168,smell,5.508439529412157
169,couch,5.508439529412157
170,nearby,5.482715968090995
171,rushed,5.4571567756959105
172,month,5.4571567756959105
173,groaned,5.4571567756959105
174,hate,5.4390810300345835
175,hit,5.4390810300345835
176,favorite,5.41498459785484
177,waited,5.41498459785484
178,box,5.41498459785484
179,giggling,5.406523188208217
180,game,5.3910037365373755
181,cake,5.386686557964045
182,imagine,5.343384328981097
183,putting,5.343384328981097
184,barely,5.319743623001367
185,excited,5.319743623001367
186,doorway,5.307139193862094
187,brown,5.296214167814304
188,beach,5.271287715480657
189,dumb,5.258358101486821
190,excitement,5.23418884366297
191,certain,5.210164747422123
192,recently,5.162545137396849
193,yellow,5.138946248888097
194,grinning,5.115485771078504
195,music,5.115485771078504
196,thoughts,5.115485771078504
197,boxes,5.092162089835331
198,hungry,5.068973619098028
199,dollars,5.053009652633372
200,seconds,5.045918800231028
201,insisted,5.045918800231028
202,carrying,5.045918800231028
203,subject,4.955005795920803
204,low,4.932596773726123
205,lying,4.888151872025841
206,sigh,4.888151872025841
207,note,4.8661132487819625
208,pointing,4.8661132487819625
209,strange,4.8223969666532005
210,team,4.8223969666532005
211,fair,4.736372145769347
212,yelled,4.736372145769347
213,mention,4.694043708447198
214,stomach,4.673046284902624
215,nobody,4.673046284902624
216,pull,4.673046284902624
217,loud,4.673046284902624
218,cheese,4.659001646450111
219,weather,4.659001646450111
220,absolutely,4.652158508978017
221,wondering,4.652158508978017
222,mentioned,4.631379241469601
223,exclaimed,4.610707360835831
224,awhile,4.610707360835831
225,kidding,4.610707360835831
226,weeks,4.610707360835831
227,board,4.590557613151596
228,sad,4.590141762834157
229,settled,4.590141762834157
230,lucky,4.54932508213719
231,forgotten,4.54932508213719
232,seeing,4.54932508213719
233,horse,4.545780662501569
234,pair,4.529071874311002
235,join,4.529071874311002
236,halloween,4.492295458753297
237,somehow,4.488870530896996
238,seems,4.46892036485284
239,staring,4.46892036485284
240,neither,4.4490692074843246
241,raised,4.390100080535511
242,seat,4.370635321930819
243,cry,4.370635321930819
244,scary,4.352165099088856
245,costume,4.344079514445854
246,bag,4.3319876782838715
247,others,4.3319876782838715
248,brothers,4.3319876782838715
249,likes,4.3128029892299
250,ahead,4.3128029892299
251,lights,4.310785132691848
252,fancy,4.310785132691848
253,impressed,4.290307237480649
254,air,4.274707463184877
255,mumbled,4.269968176524513
256,hat,4.24976607998048
257,town,4.236971334251443
258,explained,4.236971334251443
259,awful,4.2182359370017375
260,strong,4.209765487372085
261,dying,4.189963435278028
262,enjoy,4.1120369760682465
263,wished,4.073819898735957
264,super,4.073819898735957
265,jumping,4.036083552115377
266,spotted,4.017391902863468
267,frowned,3.9803543953965703
268,project,3.9620057143442624
269,months,3.9076235605665923
270,fill,3.9076235605665923
271,whoa,3.9076235605665923
272,certainly,3.889713059607081
273,beside,3.889713059607081
274,tall,3.871908853047637
275,paused,3.8542096866660724
276,grin,3.836614328308878
277,muttered,3.836614328308878
278,loved,3.7844391001732705
279,emily,3.7331558000953704
280,giggled,3.716254346940602
281,glass,3.6994475802945925
282,terrible,3.6994475802945925
283,pink,3.6827344451462265
284,scared,3.6827344451462265
285,clue,3.671135041203428
286,wedding,3.650830298275392
287,places,3.649584936586472
288,shaking,3.649584936586472
289,proud,3.6331465392925946
290,bathroom,3.6167977249899
291,offered,3.6005375225818828
292,softly,3.6005375225818828
293,mail,3.5911243719760297
294,key,3.5522882002618266
295,fifteen,3.55227910932701
296,pushed,3.55227910932701
297,shoes,3.536363952637931
298,poor,3.536363952637931
299,handle,3.536363952637931
300,popcorn,3.495412329620759
301,wild,3.489118881733513
302,gets,3.489118881733513
303,birthday,3.4768075442961326
304,wall,3.458030520626873
305,whether,3.458030520626873
306,interesting,3.458030520626873
