,term,score
0,alan,557.3074247200334
1,erica,396.8366629250305
2,kristy,147.47740747987828
3,ms,115.35362097971257
4,cary,96.85768469083389
5,library,67.85460510913052
6,claudia,64.90087220061667
7,children,60.6478274959742
8,paint,46.42309439028113
9,mary,46.40059530701911
10,stacey,45.74979515781176
11,pete,43.88356156688052
12,gray,34.05995190155944
13,date,20.039395731614942
14,movie,18.360567051336627
15,tea,17.570959051602188
16,less,17.482541287723276
17,artist,16.83906194948834
18,wall,16.13747576292541
19,art,15.781222443669108
20,glanced,15.297223626757866
21,picture,15.16195687399355
22,chairs,14.301024124935495
23,child,14.196999127841336
24,jackie,14.011860740329816
25,popcorn,13.981649318483036
26,bsc,13.321537310739513
27,desk,13.053794472083002
28,pizza,12.965710198690271
29,relief,12.78871442769626
30,nose,12.622889847793932
31,names,12.34439395996674
32,closet,12.165283121954907
33,chips,12.004432587553287
34,quite,11.965978266076084
35,safe,11.774200871152942
36,although,11.22217632724249
37,purple,11.034435389695862
38,grinned,11.024150054280694
39,coffee,11.016879058824314
40,wonderful,10.975250201338778
41,break,10.782007473074751
42,honest,10.762889472307672
43,uh,10.686768657962194
44,summer,10.614278387724188
45,hot,10.235981434808677
46,totally,10.190411717199755
47,somehow,10.099958694518241
48,anybody,10.045992202790174
49,abby,9.948591002144862
50,nancy,9.594752944159241
51,fifteen,9.472744291538694
52,whether,9.221414721671662
53,several,9.13936272033415
54,soda,9.136171195928249
55,paused,8.993155935554169
56,boxes,8.911283657211829
57,led,8.898138414968649
58,sense,8.858632161843989
59,row,8.78824765002615
60,its,8.780200161071022
61,laughter,8.704330198177711
62,junk,8.702529648055334
63,box,8.663975356567743
64,admit,8.549414926369755
65,slid,8.49953215996096
66,headed,8.436471874003475
67,mystery,8.37801435454518
68,possible,8.068737881462704
69,ball,7.99763198423941
70,himself,7.9258757800442545
71,drew,7.890611221834554
72,wednesday,7.785871113097568
73,sunday,7.779426119214162
74,known,7.682675140937144
75,rolled,7.648611813378933
76,listen,7.580978436996775
77,favorite,7.580978436996775
78,shrugged,7.480738060573535
79,putting,7.480738060573535
80,spent,7.480738060573535
81,sighed,7.447641072201915
82,newspaper,7.394462883314908
83,truth,7.365468890292453
84,seats,7.358875544470589
85,genius,7.299169873172944
86,learn,7.2335954499798
87,cookies,7.1846418878197476
88,picnic,7.1822487439520595
89,yourself,7.168729953354507
90,drop,7.168729953354507
91,card,7.116613627540854
92,calm,7.072727905275862
93,seeing,6.823987623205785
94,slightly,6.821445969619888
95,group,6.526897236041501
96,closed,6.497981517425807
97,bag,6.497981517425807
98,count,6.39435721384813
99,grabbed,6.383692347601641
100,sitters,6.383692347601641
101,changed,6.383692347601641
102,mine,6.3554570013771645
103,sweet,6.250255021170671
104,stories,6.110189840032301
105,bathroom,6.027996208316501
106,keeping,6.027996208316501
107,janine,6.027996208316501
108,office,6.000895870969805
109,offered,6.000895870969805
110,relieved,6.000895870969805
111,softly,6.000895870969805
112,mimi,5.863880641853106
113,rodowsky,5.863880641853106
114,interesting,5.763384201044789
115,bright,5.737677203542696
116,begin,5.737677203542696
117,list,5.6613398428887525
118,green,5.586150456066051
119,carefully,5.561336509355406
120,expression,5.560388311519402
121,wondered,5.536645101152493
122,notice,5.536645101152493
123,raised,5.487625100669389
124,ideas,5.487625100669389
125,kuhn,5.463311090316699
126,waved,5.463294152413524
127,cry,5.463294152413524
128,handed,5.463294152413524
129,tears,5.4390810300345835
130,eye,5.41498459785484
131,piece,5.3910037365373755
132,deal,5.3910037365373755
133,sounding,5.381444736153836
134,light,5.367137342774085
135,notebook,5.367137342774085
136,direction,5.3565225371512915
137,claire,5.3565225371512915
138,worked,5.319743623001367
139,stepped,5.296214167814304
140,helped,5.296214167814304
141,clock,5.272794921252172
142,taken,5.272794921252172
143,calling,5.272794921252172
144,practically,5.272794921252172
145,raced,5.258358101486821
146,joke,5.258358101486821
147,ice,5.258358101486821
148,center,5.210164747422123
149,plate,5.162545137396849
150,dance,5.138946248888097
151,organized,5.138946248888097
152,grin,5.115485771078504
153,decide,5.092162089835331
154,park,5.079441541679836
155,folded,5.068973619098028
156,confused,4.977541066793827
157,subject,4.955005795920803
158,smart,4.955005795920803
159,bell,4.955005795920803
160,painting,4.92423451848227
161,pink,4.910312593528302
162,fortunately,4.89912976947072
163,bottom,4.888151872025841
164,touch,4.888151872025841
165,sigh,4.888151872025841
166,shaking,4.8661132487819625
167,closer,4.8661132487819625
168,information,4.844195385723459
169,steps,4.8223969666532005
170,fight,4.800716696775844
171,learned,4.800716696775844
172,clients,4.800716696775844
173,pushed,4.736372145769347
174,silence,4.7151519368505745
175,expected,4.673046284902624
176,covered,4.652158508978017
177,gets,4.652158508978017
178,written,4.652158508978017
179,settled,4.590141762834157
180,bedroom,4.590141762834157
181,entire,4.569681360167075
182,porch,4.568085597964124
183,tired,4.54932508213719
184,sweater,4.545780662501569
185,water,4.529071874311002
186,party,4.529071874311002
187,young,4.508920698191174
188,halloween,4.492295458753297
189,wow,4.488870530896996
190,stared,4.488870530896996
191,secret,4.46892036485284
192,charge,4.46892036485284
193,salad,4.458183198424782
194,afraid,4.4293160809219945
195,ended,4.4293160809219945
196,hardly,4.4293160809219945
197,questions,4.409660021712278
198,boys,4.390100080535511
199,teachers,4.373071107037136
200,seat,4.370635321930819
201,sitter,4.351264824027667
202,announced,4.351264824027667
203,guy,4.3319876782838715
204,surprise,4.3128029892299
205,lights,4.310785132691848
206,definitely,4.293709874219268
207,man,4.293709874219268
208,window,4.293709874219268
209,tomorrow,4.274707463184877
210,supplies,4.269968176524513
211,pleased,4.269968176524513
212,class,4.255794898401094
213,monday,4.2182359370017375
214,question,4.2182359370017375
215,ones,4.2182359370017375
216,slow,4.15074719057597
217,van,4.127652345165388
218,above,4.073819898735957
219,cream,4.054892391156162
220,rather,4.036083552115377
221,pocket,4.017391902863468
222,teeth,4.017391902863468
223,chocolate,4.017391902863468
224,slipped,4.017391902863468
225,soccer,4.003388782951376
226,main,3.998815992119705
227,dumb,3.943768576115116
228,candy,3.9076235605665923
229,fill,3.9076235605665923
230,noise,3.9076235605665923
231,cover,3.9076235605665923
232,cleared,3.8542096866660724
233,promise,3.8542096866660724
