,term,score
0,ethan,275.94342580082343
1,abby,123.36252842659628
2,camp,119.87367248695058
3,logan,87.61961784192421
4,cabin,72.270897233549
5,kristy,69.46399627675426
6,stacey,67.02876964981722
7,dear,54.549367950018826
8,janine,49.42956890819531
9,island,48.161529737436354
10,claud,48.00716696775844
11,sharon,47.199485145389055
12,letter,46.870654133472804
13,mary,46.40059530701911
14,summer,34.49640476010361
15,dinner,31.63676952751303
16,bsc,31.487270007202486
17,lake,28.999799018894272
18,claudia,27.66266683960711
19,decision,27.542197647060785
20,news,26.48107083907152
21,fire,23.548401742305884
22,evening,22.04830010856139
23,yesterday,20.650180549587397
24,ha,20.317766166719345
25,tonight,19.949685760900593
26,bored,19.64557227440306
27,spend,19.236183584331947
28,date,18.860607747402298
29,stace,18.527702059655695
30,drop,17.921824883386268
31,mal,17.841395736265486
32,jessi,17.681819763189655
33,its,17.560400322142044
34,conversation,16.833264490863733
35,month,16.37147032708773
36,mail,16.160059673892135
37,barn,15.823069942255755
38,bus,14.93326486137396
39,apartment,14.910528906867263
40,subject,14.865017387762409
41,vacation,14.69738930841216
42,writing,14.588829225415237
43,shannon,14.532586157170378
44,team,14.4671908999596
45,ice,14.460484779088757
46,beach,14.05676724128175
47,moving,13.832122082507492
48,class,13.831333419803554
49,party,13.587215622933007
50,water,13.587215622933007
51,cream,13.516307970520543
52,store,13.261591658296302
53,eating,13.228980065136835
54,tiny,12.96666782633908
55,town,12.710914002754329
56,letters,12.278602745315798
57,managed,12.234940320581892
58,trip,12.055992416633002
59,shopping,12.052175708590406
60,sea,11.797126218112668
61,imagine,11.755445523758413
62,question,11.600148826754777
63,visit,11.578448103674003
64,art,11.272301745477936
65,mad,11.122673018710811
66,couch,11.016879058824314
67,coffee,11.016879058824314
68,box,10.82996919570968
69,barely,10.639487246002734
70,calling,10.545589842504343
71,list,10.190411717199755
72,speak,10.190411717199755
73,married,10.099958694518241
74,seems,10.05507082091889
75,soccer,10.00847195737844
76,boys,9.8777251812049
77,places,9.732226497563925
78,tuesday,9.644793933306401
79,sitters,9.57553852140246
80,horrible,9.46141557936438
81,bought,9.430303873701149
82,restaurant,9.364335569463684
83,wrote,9.221414721671662
84,return,9.159830476410198
85,planning,9.117788307988715
86,machine,9.091561325003138
87,dance,8.993155935554169
88,forward,8.587419748438537
89,air,8.549414926369755
90,sign,8.549414926369755
91,changed,8.511589796802188
92,strong,8.41953097474417
93,softball,8.41953097474417
94,train,8.334724040829606
95,ring,8.177830998579593
96,wondering,8.14127739071153
97,awhile,8.068737881462704
98,whether,8.068737881462704
99,single,8.032748084959774
100,several,7.996942380292381
101,tv,7.961318893740082
102,rules,7.924011428688525
103,somehow,7.855523429069743
104,gotten,7.82061063849247
105,loves,7.785871113097568
106,nervous,7.7169050379964865
107,starting,7.7169050379964865
108,wonder,7.682675140937144
109,drive,7.648611813378933
110,lately,7.638243134752997
111,quite,7.6147134420484175
112,often,7.6147134420484175
113,boyfriend,7.51399227988372
114,ballet,7.5003060254048055
115,feels,7.5003060254048055
116,tomorrow,7.480738060573535
117,happening,7.466311600190741
118,excited,7.447641072201915
119,bet,7.414699834940025
120,monday,7.381912889753041
121,truth,7.365468890292453
122,safe,7.358875544470589
123,homework,7.332227808038761
124,spot,7.299169873172944
125,hoping,7.2335954499798
126,makeup,7.1846418878197476
127,picnic,7.1822487439520595
128,card,7.116613627540854
129,um,7.072727905275862
130,tea,7.028383620640875
131,mess,7.009569427353936
132,concerned,6.950485389399253
133,driving,6.950485389399253
134,begin,6.885212644251235
135,entire,6.854522040250613
136,nancy,6.853394960113743
137,seeing,6.823987623205785
138,movies,6.789699831226596
139,broken,6.7268059201922945
140,following,6.6956531714391145
141,meetings,6.643974121382992
142,grandmother,6.614490032568417
143,joke,6.572947626858526
144,candy,6.512705934277654
145,picture,6.497981517425807
146,sunday,6.4828550993451355
147,hasn,6.453181421746061
148,promise,6.423682811110121
149,thoughts,6.39435721384813
150,comes,6.3554570013771645
151,thursday,6.250255021170671
152,porch,6.090780797285499
153,note,6.082641560977454
154,library,6.031520454144935
155,stamford,6.031520454144935
156,page,5.9731252564603246
157,lawn,5.9731252564603246
158,rock,5.9731252564603246
159,houses,5.944244264566377
160,fair,5.920465182211684
161,final,5.915570306651927
162,sleep,5.763384201044789
163,lights,5.747713510255798
164,sad,5.737677203542696
165,buy,5.737677203542696
166,pair,5.6613398428887525
167,drew,5.636150872738968
168,lunch,5.586150456066051
169,plan,5.586150456066051
