,term,score
0,kristy,118.62313210338034
1,letter,77.62952090856433
2,mary,76.98280585028171
3,stacey,73.41246199741887
4,mal,63.03959826813806
5,abby,53.72239141158226
6,claud,45.60680861937051
7,bsc,41.1756607786494
8,college,39.1694858917997
9,claudia,38.30215408560984
10,sms,34.67965408190128
11,jessi,31.827275573741378
12,claire,30.800004588619927
13,science,27.81446035436906
14,charlie,25.472585828082803
15,final,23.662281226607707
16,writing,22.44435265448498
17,logan,22.196969853287467
18,sharon,19.96901294612614
19,sitters,19.15107704280492
20,pike,18.99291155062457
21,eighth,17.21303161062809
22,charlotte,16.915063843545067
23,dear,16.66786242917242
24,mail,16.160059673892135
25,married,15.711046858139486
26,seventh,15.148208705883432
27,peaches,15.096688088050652
28,party,14.719483591510757
29,summer,14.594632783120758
30,math,14.588829225415237
31,neighborhood,14.145455810551724
32,picture,14.078959954422583
33,nicky,13.966544784260096
34,mimi,13.682388164323914
35,library,13.570921021826106
36,grown,13.526762094573522
37,ethan,13.140163133372544
38,alan,12.618281314415851
39,watson,12.566623740459455
40,list,12.454947654355257
41,study,12.004432587553287
42,box,11.912966115280646
43,pass,11.886017143032788
44,written,11.630396272445044
45,control,11.562629059998217
46,gym,11.201774035670743
47,vanessa,11.120776623038804
48,letters,10.914313551391821
49,quite,10.878162060069167
50,fight,10.801612567745648
51,lucy,10.789275611154853
52,excited,10.639487246002734
53,eight,10.545589842504343
54,popcorn,10.486236988862277
55,thoughts,10.230971542157008
56,pikes,10.20383258308665
57,lunch,10.05507082091889
58,handed,9.833929474344343
59,janine,9.644793933306401
60,envelope,9.601520602003493
61,office,9.601433393551687
62,karen,9.601433393551687
63,news,9.533185502065747
64,audience,9.229120103844515
65,whether,9.221414721671662
66,newton,9.17783760300857
67,yard,9.034453990444486
68,sisters,8.977741061793992
69,music,8.952100099387382
70,newspaper,8.87335545997789
71,crowd,8.870703833421548
72,byron,8.78824765002615
73,york,8.741270643861638
74,jake,8.682523423968373
75,sam,8.671260142861405
76,brothers,8.663975356567743
77,locker,8.510180639885956
78,bet,8.473942668502886
79,students,8.421682754388954
80,twenty,8.068737881462704
81,taylor,8.055263008032131
82,project,7.924011428688525
83,triplets,7.779426119214162
84,pen,7.765002744083517
85,nervous,7.7169050379964865
86,explain,7.682675140937144
87,jamie,7.638701971021744
88,threw,7.6147134420484175
89,spoke,7.51399227988372
90,emily,7.466311600190741
91,changed,7.447641072201915
92,andrew,7.398895160589185
93,excellent,7.394462883314908
94,expect,7.365468890292453
95,teachers,7.288451845061893
96,speaking,6.947068862204401
97,finish,6.916061041253746
98,exclaimed,6.916061041253746
99,settled,6.885212644251235
100,fall,6.7936078114665035
101,mallory,6.733305796345494
102,ended,6.643974121382992
103,filled,6.614490032568417
104,third,6.614490032568417
105,student,6.603342857240437
106,opening,6.603342857240437
107,boys,6.585150120803267
108,break,6.46920448384485
109,tomorrow,6.412061194777316
110,sign,6.412061194777316
111,imagine,6.412061194777316
112,subject,6.193757244901004
113,teacher,6.137890741910378
114,sixth,6.137890741910378
115,store,6.027996208316501
116,charges,6.002216293776644
117,date,5.893939921063218
118,row,5.8588317666841006
119,david,5.841307856128281
120,michael,5.841307856128281
121,jordan,5.830761476049514
122,adam,5.830761476049514
123,sleep,5.763384201044789
124,bedroom,5.737677203542696
125,pleased,5.693290902032683
126,seeing,5.686656352671488
127,exciting,5.666354773307307
128,artist,5.613020649829446
129,mad,5.561336509355406
130,burst,5.536645101152493
131,grinned,5.512075027140347
132,wonderful,5.487625100669389
133,its,5.487625100669389
134,kuhn,5.463311090316699
135,glanced,5.463294152413524
136,everywhere,5.431759864981276
137,california,5.41498459785484
138,become,5.3910037365373755
139,ahead,5.3910037365373755
140,piece,5.3910037365373755
141,sounding,5.381444736153836
142,diabetes,5.381444736153836
143,definitely,5.367137342774085
144,helped,5.296214167814304
145,taken,5.272794921252172
146,monday,5.272794921252172
147,practically,5.272794921252172
148,pictures,5.258358101486821
149,planning,5.210164747422123
150,dance,5.138946248888097
151,stace,5.053009652633372
152,bell,4.955005795920803
153,french,4.874233361026635
154,proud,4.844195385723459
155,gathered,4.757705529670797
156,johanssen,4.752759276962424
157,including,4.736372145769347
158,um,4.7151519368505745
159,absolutely,4.652158508978017
160,interesting,4.610707360835831
161,weeks,4.610707360835831
162,wrote,4.610707360835831
163,possible,4.610707360835831
164,several,4.569681360167075
165,carolyn,4.492295458753297
166,lived,4.46892036485284
167,gotten,4.46892036485284
168,notice,4.4293160809219945
169,wondered,4.4293160809219945
170,became,4.4293160809219945
171,nannie,4.415325326682353
172,seats,4.415325326682353
173,starting,4.409660021712278
174,wonder,4.390100080535511
175,leaving,4.390100080535511
176,jobs,4.390100080535511
177,known,4.390100080535511
178,waved,4.370635321930819
179,desk,4.351264824027667
180,checked,4.351264824027667
181,announced,4.351264824027667
182,mcgill,4.3319876782838715
183,english,4.310785132691848
184,hurried,4.310785132691848
185,notebook,4.293709874219268
