,term,score
0,jenny,181.44285408991442
1,kristy,164.57623733261778
2,andrea,141.79252758505223
3,claud,124.81863411617194
4,jessi,109.62728253177586
5,mary,101.2376624880417
6,ring,81.77830998579593
7,claudia,60.64507730221559
8,becca,57.752050274068466
9,stacey,50.00559005621285
10,squirt,40.57878746767596
11,mal,39.25107061978407
12,mall,34.119633527186444
13,birthday,31.291267898665193
14,party,28.306699214443764
15,bottle,26.532284113480436
16,charlie,23.156896207348005
17,clients,22.803404309685256
18,prezzioso,21.864284946750267
19,mallory,19.077699756312235
20,toys,18.750765063512013
21,radio,18.45824020768903
22,sitters,18.08712831820465
23,cat,17.653219561189147
24,favorite,17.327950713135486
25,hide,17.248202380051804
26,dog,15.814868058541379
27,checked,15.229426884096835
28,watson,14.851464420542994
29,ones,14.763825779506082
30,jewelry,14.66232530443892
31,store,14.4671908999596
32,fight,14.402150090327531
33,fancy,14.369283775639495
34,jobs,14.26782526174041
35,box,14.078959954422583
36,sitter,13.053794472083002
37,nobody,12.850877283482218
38,dinner,12.654707811005213
39,buy,12.622889847793932
40,movie,12.622889847793932
41,dress,12.622889847793932
42,downstairs,12.566623740459455
43,loves,12.234940320581892
44,record,12.019247135309753
45,hiding,11.661522952099029
46,headed,11.600148826754777
47,betsy,11.344433008971082
48,gotten,11.172300912132101
49,couch,11.016879058824314
50,york,10.926588304827048
51,windows,10.762889472307672
52,spent,10.686768657962194
53,porch,10.658866395249623
54,calling,10.545589842504343
55,cecelia,10.069078760040163
56,pet,9.948591002144862
57,upset,9.921735048852625
58,smart,9.910011591841606
59,animals,9.84846903696454
60,pink,9.820625187056605
61,others,9.746972276138711
62,game,9.703806725767276
63,window,9.660847216993353
64,continued,9.49103085825391
65,wondering,9.304317017956034
66,quietly,9.262758482939201
67,sleep,9.221414721671662
68,mommy,9.12707574568848
69,picking,9.075997139083189
70,asleep,8.911283657211829
71,aunt,8.78824765002615
72,upstairs,8.741270643861638
73,doors,8.704330198177711
74,threw,8.702529648055334
75,dues,8.593047038674529
76,places,8.515698185368434
77,hoping,8.4391946916431
78,clock,8.436471874003475
79,dollars,8.421682754388954
80,police,8.421682754388954
81,stuffed,8.41953097474417
82,checking,8.41953097474417
83,missing,8.401254219357726
84,song,8.262659294118235
85,shoes,8.251515889488505
86,listening,8.251515889488505
87,guilty,8.224073952136493
88,played,8.177830998579593
89,bedroom,8.032748084959774
90,tv,7.961318893740082
91,art,7.890611221834554
92,wow,7.855523429069743
93,usual,7.82061063849247
94,none,7.82061063849247
95,mad,7.785871113097568
96,led,7.785871113097568
97,dining,7.765002744083517
98,meetings,7.751303141613491
99,braddock,7.7275945181605845
100,sick,7.7169050379964865
101,starting,7.7169050379964865
102,ideas,7.682675140937144
103,music,7.673228656617756
104,drove,7.638243134752997
105,picture,7.580978436996775
106,listen,7.580978436996775
107,plastic,7.568878200346541
108,boo,7.55174202447612
109,anybody,7.5344941520926305
110,taken,7.381912889753041
111,ramsey,7.299169873172944
112,cake,7.1822487439520595
113,cary,7.17464331043214
114,yelled,7.10455821865402
115,loud,7.009569427353936
116,cute,6.978237763467026
117,yup,6.853394960113743
118,somebody,6.853394960113743
119,clean,6.823987623205785
120,married,6.733305796345494
121,seems,6.70338054727926
122,plan,6.70338054727926
123,neither,6.673603811226487
124,main,6.664693320199508
125,became,6.643974121382992
126,its,6.585150120803267
127,spier,6.585150120803267
128,stairs,6.585150120803267
129,kits,6.572947626858526
130,junk,6.526897236041501
131,outfit,6.512705934277654
132,paid,6.512705934277654
133,closed,6.497981517425807
134,beautiful,6.46920448384485
135,ew,6.466055818156118
136,tigger,6.466055818156118
137,yard,6.453181421746061
138,notebook,6.440564811328903
139,dressed,6.440564811328903
140,worst,6.423682811110121
141,cleared,6.423682811110121
142,figure,6.412061194777316
143,envelope,6.401013734668996
144,pay,6.383692347601641
145,younger,6.383692347601641
146,thomas,6.383692347601641
147,grabbed,6.383692347601641
148,eight,6.327353905502607
149,awful,6.327353905502607
150,monday,6.327353905502607
151,dogs,6.2740189414106755
152,sweet,6.250255021170671
153,ears,6.193757244901004
154,terrible,6.165745967157655
155,scared,6.137890741910378
156,horse,6.0610408833354255
157,library,6.031520454144935
158,weekend,5.893939921063218
159,stomach,5.841307856128281
160,logan,5.841307856128281
161,singing,5.802886798785141
162,speaking,5.789224051837001
163,woman,5.789224051837001
164,exclaimed,5.763384201044789
165,ate,5.763384201044789
166,makeup,5.747713510255798
167,thirteen,5.6613398428887525
168,extra,5.6613398428887525
169,pair,5.6613398428887525
170,kinds,5.613020649829446
171,conversation,5.611088163621245
172,driving,5.560388311519402
173,ended,5.536645101152493
174,nervous,5.512075027140347
175,coffee,5.508439529412157
176,president,5.487625100669389
177,handed,5.463294152413524
178,tears,5.4390810300345835
179,often,5.4390810300345835
180,desk,5.4390810300345835
181,quite,5.4390810300345835
182,giggling,5.406523188208217
183,forward,5.367137342774085
184,light,5.367137342774085
185,imagine,5.343384328981097
