,term,score
0,kristy,180.60639031956106
1,mary,109.67413436204518
2,jessi,107.26970656335057
3,jenny,95.37380791905758
4,jamie,87.84507266675006
5,claud,84.01254219357726
6,charlotte,79.96211998766759
7,melody,73.86997741181398
8,jackie,72.06099809312477
9,becca,62.0834540446236
10,andrea,60.76822610787953
11,contest,60.6042481105927
12,sitter,59.82989133038042
13,mal,55.90303997363186
14,nobody,47.8987244202519
15,lucy,47.47281268908136
16,stacey,46.813743882412034
17,month,40.92867581771933
18,archie,40.24298071483376
19,karen,38.40573357420675
20,ben,35.69408411593376
21,win,35.54276654963609
22,shea,34.30340320008229
23,claudia,34.04635918720875
24,michael,32.71132399431837
25,david,32.71132399431837
26,mallory,26.933223185381976
27,bill,25.02174740183731
28,james,24.87817107503875
29,game,23.720416440764453
30,squirt,23.410838923659206
31,scared,22.09640667087736
32,newton,22.026810247220567
33,cecelia,20.138157520080327
34,loves,20.020811433679462
35,ball,18.661141296558625
36,nicky,18.156508219538125
37,secret,17.87568145941136
38,alan,16.8243750858878
39,notes,16.189526197835296
40,aunt,16.111787358381278
41,sitters,15.959230869004102
42,bsc,15.743635003601243
43,yelled,15.393209473750378
44,awhile,14.98479892271645
45,act,14.932623200381482
46,emily,14.932623200381482
47,jeff,14.865017387762409
48,letter,14.647079416710252
49,adam,14.576903690123785
50,gotten,14.523991185771731
51,pike,14.523991185771731
52,envelope,14.40228090300524
53,picture,14.078959954422583
54,favorite,14.078959954422583
55,couch,13.771098823530393
56,downstairs,13.709044080501226
57,tv,13.64797524641157
58,catch,13.40676109455852
59,plan,13.40676109455852
60,boys,13.170300241606533
61,pikes,13.119213321111408
62,movie,12.622889847793932
63,andrew,12.33149193431531
64,michelle,12.278602745315798
65,note,12.165283121954907
66,jobs,12.072775221472655
67,box,11.912966115280646
68,barn,11.867302456691815
69,rodowsky,11.727761283706212
70,byron,11.717663533368201
71,yard,11.61572655914291
72,scary,11.605773597570282
73,doorbell,11.495427020511595
74,tigger,11.315597681773205
75,ew,11.315597681773205
76,bell,11.148763040821807
77,bottle,10.925058164374297
78,giggling,10.813046376416434
79,deal,10.782007473074751
80,light,10.73427468554817
81,dead,10.713045074302583
82,flowers,10.711301097353724
83,porch,10.658866395249623
84,grabbed,10.639487246002734
