,term,score
0,uncle,415.85570637807444
1,cat,214.5545146667604
2,melody,147.73995482362795
3,ghost,104.51476841537536
4,claire,103.11305884016237
5,margo,86.18601882855073
6,kristy,79.08208806892023
7,nicky,64.24610600759644
8,vanessa,51.43359188155447
9,jessi,48.33030735271839
10,jordan,46.646091808396115
11,karen,42.00627109678863
12,claudia,40.43005153481039
13,adam,39.35763996333422
14,dinner,36.9095644487652
15,claud,36.005375225818824
16,man,35.423106462308965
17,mallory,32.54431134900322
18,letters,28.65007307240353
19,picture,25.99192606970323
20,mary,25.309415622010427
21,byron,24.90003500840743
22,visit,24.314741017715402
23,headed,24.25485663775999
24,pike,22.344601824264203
25,aunt,21.970619125065376
26,sisters,21.32213502176073
27,wow,21.32213502176073
28,stacey,20.215025767405194
29,brothers,19.493944552277423
30,bill,19.461359090317906
31,milk,19.370153556021194
32,cookies,18.680068908331343
33,triplets,18.151994278166377
34,mimi,17.59164192555932
35,box,17.327950713135486
36,yelled,16.577302510192716
37,mine,15.888642503442911
38,neat,15.84802285737705
39,names,15.711046858139486
40,noise,15.63049424226637
41,plate,15.487635412190548
42,stairs,15.365350281874289
43,upstairs,15.297223626757866
44,explained,14.82939966988005
45,taken,14.763825779506082
46,mommy,14.603321193101568
47,loves,14.459474924324056
48,nobody,14.019138854707872
49,game,14.016609714997175
50,bowl,13.966544784260096
51,sleeping,13.90803908464021
52,carrying,13.876276700635326
53,excited,13.831333419803554
54,sad,13.77042528850247
55,himself,13.587215622933007
56,totally,13.587215622933007
57,gotten,13.40676109455852
58,mystery,13.404822967272287
59,boys,13.170300241606533
60,favorite,12.995963034851615
61,shouted,12.9384089676897
62,gets,12.793435899689547
63,jacket,12.74929823994144
64,rain,12.70755369298936
65,cake,12.568935301916104
66,test,12.548037882821351
67,couch,12.393988941177353
68,den,12.104309819301996
69,wonder,12.072775221472655
70,checked,11.965978266076084
71,bet,11.651671169191468
72,english,11.495427020511595
73,clean,11.373312705342975
74,breakfast,11.250459038107207
75,often,10.878162060069167
76,beautiful,10.782007473074751
77,dressed,10.73427468554817
78,contest,10.449008294929776
79,lap,10.420329494844246
80,downstairs,10.281783060375918
81,lately,10.184324179670663
82,daddy,10.106019305266743
83,silly,10.099958694518241
84,its,9.8777251812049
85,jobs,9.8777251812049
86,glanced,9.833929474344343
87,figure,9.618091792165973
88,helped,9.533185502065747
89,gently,9.515411059341593
90,keeps,9.430303873701149
91,pictures,9.202126677601937
92,grew,9.13936272033415
93,young,9.017841396382348
94,carefully,8.898138414968649
95,led,8.898138414968649
96,listened,8.898138414968649
97,eating,8.819320043424556
98,regular,8.780200161071022
99,drawing,8.746142214074272
100,pikes,8.746142214074272
101,act,8.710696866889197
102,confused,8.710696866889197
103,closed,8.663975356567743
104,stories,8.55426577604522
105,putting,8.549414926369755
106,sitters,8.511589796802188
107,hat,8.49953215996096
108,round,8.49953215996096
109,news,8.473942668502886
110,strange,8.4391946916431
111,kinds,8.41953097474417
112,clients,8.401254219357726
113,honey,8.185735163543866
114,woman,8.1049136725718
115,ate,8.068737881462704
116,ear,7.961318893740082
117,tired,7.961318893740082
118,hide,7.960708790793141
119,grown,7.890611221834554
120,dogs,7.842523676763344
121,secret,7.82061063849247
122,lived,7.82061063849247
123,dining,7.765002744083517
124,babies,7.726688380355672
125,relief,7.673228656617756
126,desk,7.6147134420484175
127,porch,7.613475996606873
128,surprise,7.547405231152325
129,likes,7.547405231152325
130,suit,7.539400567681169
131,anybody,7.5344941520926305
132,climbed,7.5003060254048055
133,grabbed,7.447641072201915
134,continued,7.381912889753041
135,scared,7.365468890292453
136,letter,7.323539708355126
137,pointing,7.299169873172944
138,bent,7.288451845061893
139,hug,7.2335954499798
140,picnic,7.1822487439520595
141,track,7.168729953354507
142,pushed,7.10455821865402
143,bags,7.082943466634134
144,exciting,7.082943466634134
145,obviously,7.082943466634134
146,neighborhood,7.072727905275862
147,tiny,7.072727905275862
148,pull,7.009569427353936
149,dying,6.983272392130048
150,clear,6.947068862204401
151,sleep,6.916061041253746
152,whether,6.916061041253746
153,finish,6.916061041253746
154,several,6.854522040250613
155,nope,6.853394960113743
156,forgotten,6.823987623205785
157,conversation,6.733305796345494
158,catch,6.70338054727926
159,named,6.70338054727926
160,puppy,6.667779232663685
161,meetings,6.643974121382992
162,flew,6.633923992327617
163,nervous,6.614490032568417
164,filled,6.614490032568417
165,bike,6.5994014992264844
166,known,6.585150120803267
167,driveway,6.572947626858526
168,quite,6.526897236041501
169,threw,6.526897236041501
170,boring,6.512705934277654
171,kit,6.4989778147021795
172,lucy,6.473565366692912
173,piece,6.46920448384485
174,sheet,6.466055818156118
175,promise,6.423682811110121
176,spent,6.412061194777316
177,liked,6.383692347601641
178,changed,6.383692347601641
179,warm,6.365202612294164
180,gray,6.307398500288785
181,loved,6.307398500288785
182,toys,6.250255021170671
183,cheese,6.212002195266814
184,involved,6.193757244901004
185,smart,6.193757244901004
186,ears,6.193757244901004
187,truth,6.137890741910378
188,pink,6.137890741910378
189,flowers,6.120743484202128
190,sigh,6.110189840032301
191,places,6.082641560977454
192,dear,6.0610408833354255
193,cecelia,6.041447256024099
194,trip,6.027996208316501
195,salad,5.944244264566377
196,um,5.893939921063218
197,tonight,5.867554635558998
198,mansion,5.841307856128281
199,pop,5.829594554382238
200,quick,5.815198136222522
201,loudly,5.763384201044789
202,twenty,5.763384201044789
203,wrote,5.763384201044789
204,moving,5.763384201044789
205,scene,5.747713510255798
206,dress,5.737677203542696
207,bright,5.737677203542696
208,tv,5.686656352671488
209,pencil,5.666354773307307
210,party,5.6613398428887525
211,art,5.636150872738968
212,glasses,5.636150872738968
213,checking,5.613020649829446
214,missed,5.611088163621245
215,pieces,5.586617913704038
216,takes,5.586150456066051
217,age,5.586150456066051
218,seems,5.586150456066051
219,usual,5.586150456066051
220,mad,5.561336509355406
221,notice,5.536645101152493
222,burst,5.536645101152493
223,wondered,5.536645101152493
224,sense,5.536645101152493
225,ended,5.536645101152493
226,stayed,5.512075027140347
227,president,5.487625100669389
228,leaving,5.487625100669389
229,guilty,5.482715968090995
230,somebody,5.482715968090995
231,rolled,5.463294152413524
232,handed,5.463294152413524
233,hate,5.4390810300345835
234,eye,5.41498459785484
235,giggling,5.406523188208217
236,deal,5.3910037365373755
237,become,5.3910037365373755
238,forward,5.367137342774085
239,shrugged,5.343384328981097
240,spend,5.343384328981097
241,main,5.331754656159607
242,younger,5.319743623001367
243,twice,5.307139193862094
244,snack,5.210164747422123
245,certainly,5.186284079476108
246,earlier,5.186284079476108
247,sunday,5.186284079476108
248,hasn,5.162545137396849
249,grin,5.115485771078504
250,feelings,5.115485771078504
251,boxes,5.092162089835331
252,hungry,5.068973619098028
253,seconds,5.045918800231028
254,plastic,5.045918800231028
255,officer,4.977541066793827
256,subject,4.955005795920803
257,sent,4.955005795920803
258,foot,4.932596773726123
259,glass,4.932596773726123
260,animals,4.92423451848227
261,closet,4.8661132487819625
262,dog,4.8661132487819625
263,learn,4.8223969666532005
264,hoping,4.8223969666532005
265,allowed,4.800716696775844
266,helping,4.757705529670797
267,purple,4.729043738441083
268,shoes,4.7151519368505745
269,mention,4.694043708447198
270,loud,4.673046284902624
271,wild,4.652158508978017
272,ride,4.631379241469601
273,mentioned,4.631379241469601
274,quietly,4.631379241469601
275,hang,4.610707360835831
276,needs,4.610707360835831
277,interesting,4.610707360835831
278,seeing,4.54932508213719
279,schafer,4.54932508213719
280,counter,4.545780662501569
281,list,4.529071874311002
282,water,4.529071874311002
283,library,4.523640340608702
284,empty,4.508920698191174
285,eleven,4.508920698191174
286,somehow,4.488870530896996
287,none,4.46892036485284
288,doctor,4.458183198424782
