,term,score
0,jake,628.0358610003791
1,kuhn,251.31231015456817
2,bart,216.35302592367157
3,mary,85.41927772428518
4,stacey,77.66825689581997
5,matt,76.36156838555968
6,haley,61.31439602624105
7,michael,47.8987244202519
8,david,47.8987244202519
9,kristy,42.747074631848776
10,police,42.10841377194476
11,buddy,36.29670824574566
12,pete,34.64491702648462
13,mal,33.30393870769558
14,suzi,30.60999892545037
15,team,30.1399810415825
16,karen,27.6041210064611
17,missing,27.6041210064611
18,charlotte,26.141462303660557
19,yelled,24.86595376528907
20,krushers,24.003801505008735
21,rain,23.599742572694527
22,claud,22.803404309685256
23,marnie,22.61651915912614
24,safe,22.076626633411767
25,jessi,21.218183715827585
26,field,21.014681409007384
27,popcorn,20.972473977724555
28,class,20.215025767405194
29,sign,19.236183584331947
30,practice,18.57498717851733
31,game,18.329412704227074
32,claudia,18.08712831820465
33,calling,16.87294374800695
34,dogs,15.685047353526688
35,birthday,15.645633949332597
36,pike,15.64122127698494
37,watson,14.851464420542994
38,headed,14.763825779506082
39,alan,14.721328200151827
40,party,14.719483591510757
41,mallory,14.588829225415237
42,shannon,14.532586157170378
43,barrett,14.2864480883412
44,figure,13.892799255350852
45,andrew,13.564641127746839
46,braddock,13.523290406781022
47,guy,12.995963034851615
48,dress,12.622889847793932
49,vanessa,12.510873700918655
50,scared,12.275781483820756
51,daddy,11.790355856144533
52,nannie,11.774200871152942
53,charlie,11.578448103674003
54,tired,11.373312705342975
55,signed,11.373211175728814
56,wow,11.22217632724249
57,gotten,11.172300912132101
58,bag,10.82996919570968
59,listen,10.82996919570968
60,picnic,10.77337311592809
61,neighborhood,10.609091857913793
62,library,10.555160794753636
63,woman,10.420603293306602
64,hot,10.235981434808677
65,relief,10.230971542157008
66,hungry,10.137947238196055
67,loves,10.010405716839731
68,emergency,9.963259078557195
69,softball,9.82278613720153
70,brothers,9.746972276138711
71,bsc,9.688390771446919
72,grabbed,9.57553852140246
73,ball,9.330570648279313
74,thinks,9.221414721671662
75,downstairs,9.13936272033415
76,named,8.93784072970568
77,upset,8.819320043424556
78,adam,8.746142214074272
79,favorite,8.663975356567743
80,imagine,8.549414926369755
81,excited,8.511589796802188
82,news,8.473942668502886
83,store,8.4391946916431
84,eight,8.436471874003475
85,taken,8.436471874003475
86,bowl,8.379926870556057
87,bunch,8.1049136725718
88,claire,8.034783805726937
89,following,8.034783805726937
90,direction,8.034783805726937
91,tv,7.961318893740082
92,water,7.9258757800442545
93,barn,7.911534971127877
94,responsible,7.779426119214162
95,afraid,7.751303141613491
96,fault,7.743817706095274
97,plate,7.743817706095274
98,win,7.726688380355672
99,sleeping,7.726688380355672
100,evening,7.7169050379964865
101,questions,7.7169050379964865
102,boys,7.682675140937144
103,known,7.682675140937144
104,cars,7.650929355252661
105,coach,7.638701971021744
106,often,7.6147134420484175
107,sitter,7.6147134420484175
108,picture,7.580978436996775
109,study,7.502770367220805
110,spent,7.480738060573535
111,station,7.466406570575406
112,houses,7.430305330707972
113,street,7.414699834940025
114,explained,7.414699834940025
115,mommy,7.301660596550784
116,places,7.299169873172944
117,hoping,7.2335954499798
118,cookies,7.1846418878197476
119,cake,7.1822487439520595
120,basement,7.104576400523653
121,whenever,7.10455821865402
122,stomach,7.009569427353936
123,nicky,6.983272392130048
124,terrific,6.978237763467026
125,milk,6.9179119842932835
126,eighth,6.885212644251235
127,building,6.853394960113743
128,guilty,6.853394960113743
129,somebody,6.853394960113743
130,empty,6.763381047286761
131,math,6.733305796345494
132,sisters,6.733305796345494
133,green,6.70338054727926
134,led,6.673603811226487
135,nervous,6.614490032568417
136,leaned,6.614490032568417
137,president,6.585150120803267
138,its,6.585150120803267
139,cry,6.555952982896228
140,hate,6.526897236041501
141,piece,6.46920448384485
142,organized,6.423682811110121
143,stage,6.401013734668996
144,asleep,6.365202612294164
145,stepped,6.3554570013771645
146,helped,6.3554570013771645
147,dinner,6.327353905502607
148,insisted,6.307398500288785
149,sms,6.305391651254778
150,ground,6.278745126743859
151,breakfast,6.250255021170671
152,shaking,6.082641560977454
153,track,5.973941627795423
154,shy,5.973941627795423
155,keeps,5.893939921063218
156,tonight,5.867554635558998
157,logan,5.841307856128281
158,loud,5.841307856128281
159,gets,5.815198136222522
160,woke,5.775205027406846
161,whether,5.763384201044789
162,sleep,5.763384201044789
163,seeing,5.686656352671488
164,lucky,5.686656352671488
165,list,5.6613398428887525
166,luckily,5.586617913704038
167,baseball,5.586617913704038
168,seems,5.586150456066051
169,age,5.586150456066051
170,gabbie,5.5658976790918
171,radio,5.537472062306709
172,audience,5.537472062306709
173,wondered,5.536645101152493
174,private,5.512075027140347
175,filled,5.512075027140347
176,couch,5.508439529412157
177,wonder,5.487625100669389
178,michelle,5.4571567756959105
179,threw,5.4390810300345835
180,checked,5.4390810300345835
181,likes,5.3910037365373755
182,jumping,5.381444736153836
183,broken,5.381444736153836
184,dressed,5.367137342774085
185,man,5.367137342774085
186,putting,5.343384328981097
187,shrugged,5.343384328981097
188,younger,5.319743623001367
189,brown,5.296214167814304
190,besides,5.296214167814304
191,comes,5.296214167814304
192,lay,5.28267428579235
193,fill,5.210164747422123
194,boring,5.210164747422123
195,den,5.1875613511294265
196,grinning,5.115485771078504
197,lately,5.092162089835331
198,boxes,5.092162089835331
199,carrying,5.045918800231028
200,seconds,5.045918800231028
201,gray,5.045918800231028
202,emily,4.977541066793827
203,confused,4.977541066793827
204,sam,4.955005795920803
205,color,4.910312593528302
206,pink,4.910312593528302
207,ourselves,4.888151872025841
208,homework,4.888151872025841
209,closer,4.8661132487819625
210,using,4.8661132487819625
211,games,4.844195385723459
212,throat,4.8223969666532005
213,strange,4.8223969666532005
214,learned,4.800716696775844
215,wide,4.800716696775844
216,offered,4.800716696775844
217,report,4.776663785909954
218,gathered,4.757705529670797
219,purple,4.729043738441083
220,happens,4.7151519368505745
221,poor,4.7151519368505745
222,nearly,4.694043708447198
223,ring,4.673046284902624
224,nobody,4.673046284902624
225,pull,4.673046284902624
226,quick,4.652158508978017
227,wondering,4.652158508978017
228,wild,4.652158508978017
229,ride,4.631379241469601
230,quietly,4.631379241469601
231,ate,4.610707360835831
232,needs,4.610707360835831
233,loudly,4.610707360835831
234,jeans,4.590141762834157
235,settled,4.590141762834157
236,sad,4.590141762834157
237,several,4.569681360167075
238,horse,4.545780662501569
239,extra,4.529071874311002
240,grown,4.508920698191174
241,chips,4.5016622203324825
242,married,4.488870530896996
243,silly,4.488870530896996
244,missed,4.488870530896996
245,lawn,4.479843942345243
246,tape,4.458183198424782
247,final,4.436677729988945
248,ended,4.4293160809219945
249,meetings,4.4293160809219945
250,hardly,4.4293160809219945
251,plenty,4.409660021712278
252,joined,4.409660021712278
253,lit,4.394123825013075
254,stairs,4.390100080535511
255,jobs,4.390100080535511
256,spier,4.390100080535511
257,bent,4.373071107037136
258,jordan,4.373071107037136
259,hiding,4.373071107037136
260,rolled,4.370635321930819
261,record,4.370635321930819
262,glanced,4.370635321930819
263,scary,4.352165099088856
264,asking,4.351264824027667
265,tears,4.351264824027667
266,costume,4.344079514445854
267,others,4.3319876782838715
268,california,4.3319876782838715
269,example,4.331403770555134
270,ahead,4.3128029892299
271,boyfriend,4.293709874219268
272,light,4.293709874219268
273,sighed,4.255794898401094
274,sitters,4.255794898401094
275,thomas,4.255794898401094
276,round,4.24976607998048
277,mine,4.236971334251443
278,town,4.236971334251443
279,carried,4.22969911552809
280,practically,4.2182359370017375
281,continued,4.2182359370017375
282,checking,4.209765487372085
283,strong,4.209765487372085
284,carrot,4.127652345165388
285,prepared,4.073819898735957
286,acting,4.054892391156162
287,sounding,4.036083552115377
288,diabetes,4.036083552115377
289,taylor,4.027631504016066
290,teeth,4.017391902863468
291,follow,3.998815992119705
292,mirror,3.9620057143442624
293,pass,3.9620057143442624
294,neat,3.9620057143442624
295,dumb,3.943768576115116
296,lose,3.943768576115116
297,bat,3.932375406037556
298,candy,3.9076235605665923
299,cover,3.9076235605665923
300,outfit,3.9076235605665923
301,triplets,3.889713059607081
302,picking,3.889713059607081
303,recently,3.871908853047637
304,happily,3.871908853047637
305,disappointed,3.871908853047637
306,yesterday,3.871908853047637
307,promise,3.8542096866660724
308,feelings,3.836614328308878
309,sports,3.836614328308878
310,crowd,3.8017302143235208
311,families,3.7844391001732705
312,disappeared,3.7844391001732705
313,appeared,3.7672470760463153
314,anybody,3.7672470760463153
315,careful,3.7672470760463153
316,spread,3.7501530127024028
317,bus,3.73331621534349
318,shoulders,3.7331558000953704
319,happening,3.7331558000953704
320,ways,3.716254346940602
321,somewhere,3.716254346940602
322,jeff,3.716254346940602
323,teacher,3.6827344451462265
324,clue,3.671135041203428
325,closet,3.649584936586472
326,brewer,3.649584936586472
327,dog,3.649584936586472
328,pointing,3.649584936586472
329,fit,3.6331465392925946
330,hug,3.6167977249899
331,steps,3.6167977249899
332,luck,3.6167977249899
333,trip,3.6167977249899
334,normal,3.6005375225818828
335,office,3.6005375225818828
336,relieved,3.6005375225818828
337,company,3.5843649766772536
