,term,score
0,kristy,102.59297911643705
1,charlotte,89.18851844778308
2,stacey,60.64507730221559
3,logan,56.07655541883149
4,mary,54.83706718102259
5,jackie,50.0423597868922
6,sharon,49.01484995867325
7,claud,46.806987793564474
8,letter,38.082406483446654
9,archie,37.56011533384484
10,picnic,35.9112437197603
11,richard,35.8149276077215
12,grandmother,35.27728017369822
13,mimi,35.18328385111864
14,picture,33.572904506700006
15,dream,30.61149774925995
16,pictures,30.23555908354922
17,mal,29.73565956044248
18,tigger,25.86422327262447
19,project,25.09270285751366
20,booth,24.825781405820667
21,history,24.557205490631596
22,jessi,22.39697170004023
23,town,22.244099504820078
24,shea,22.052187771481474
25,paint,21.76082549544428
26,bsc,20.5878303893247
27,rodowsky,19.54626880617702
28,box,19.493944552277423
29,letters,19.10004871493569
30,boxes,19.095607836882493
31,mama,18.78005766692242
32,shannon,18.165732696462975
33,bill,18.071262012438055
34,names,16.833264490863733
35,karen,15.602329264521492
36,vanessa,15.291067856678355
37,woman,15.051982534776203
38,byron,14.647079416710252
39,mallory,14.588829225415237
40,jordan,14.576903690123785
41,strange,14.4671908999596
42,cry,14.20456479627516
43,class,13.831333419803554
44,porch,13.704256793892371
45,learned,13.20197091613357
46,adam,13.119213321111408
47,crying,12.96666782633908
48,child,12.906362843492122
49,loud,12.850877283482218
50,figure,12.824122389554631
51,loves,12.234940320581892
52,claire,12.052175708590406
53,claudia,11.703435970603008
54,michael,11.682615712256561
55,david,11.682615712256561
56,example,11.550410054813693
57,lived,11.172300912132101
58,stairs,10.975250201338778
59,boys,10.975250201338778
60,dog,10.948754809759416
61,honey,10.914313551391821
62,tree,10.863519729962553
63,brothers,10.82996919570968
64,corrie,10.590489724128364
65,headed,10.545589842504343
66,den,10.375122702258853
67,carrot,10.31913086291347
68,wow,10.099958694518241
69,pike,10.05507082091889
70,confused,9.955082133587654
71,sent,9.910011591841606
72,beautiful,9.703806725767276
73,johanssen,9.505518553924848
74,ones,9.49103085825391
75,yelled,9.472744291538694
76,hide,9.287493589258665
77,lay,9.244680000136611
78,neat,9.244680000136611
79,lap,9.117788307988715
80,dear,9.091561325003138
81,library,9.047280681217403
82,gotten,8.93784072970568
83,upset,8.819320043424556
84,aunt,8.78824765002615
85,emily,8.710696866889197
86,dressed,8.587419748438537
87,light,8.587419748438537
88,sitters,8.511589796802188
89,grabbed,8.511589796802188
90,helped,8.473942668502886
91,taken,8.436471874003475
92,nicky,8.379926870556057
93,couch,8.262659294118235
94,bike,8.249251874033106
95,painting,8.207057530803784
96,myriah,8.194966635475048
97,michelle,8.185735163543866
98,wondering,8.14127739071153
99,stepsister,7.99763198423941
100,young,7.890611221834554
101,sisters,7.855523429069743
102,recently,7.743817706095274
103,evening,7.7169050379964865
104,president,7.682675140937144
105,discovered,7.673228656617756
106,machine,7.576301104169282
107,loved,7.568878200346541
108,hundred,7.5344941520926305
109,man,7.51399227988372
110,brown,7.414699834940025
111,andrew,7.398895160589185
112,newspaper,7.394462883314908
113,dinner,7.381912889753041
114,calling,7.381912889753041
115,scared,7.365468890292453
116,information,7.266293078585189
117,hug,7.2335954499798
118,becca,7.219006284258558
119,fight,7.2010750451637655
120,cookies,7.1846418878197476
121,shy,7.168729953354507
122,fair,7.10455821865402
123,shoes,7.072727905275862
124,nearly,7.041065562670798
125,dying,6.983272392130048
126,awhile,6.916061041253746
127,sad,6.885212644251235
128,clean,6.823987623205785
129,forgotten,6.823987623205785
130,listened,6.673603811226487
131,starting,6.614490032568417
132,questions,6.614490032568417
133,its,6.585150120803267
134,york,6.555952982896228
135,checked,6.526897236041501
136,listen,6.497981517425807
137,favorite,6.497981517425807
138,triplets,6.4828550993451355
139,deal,6.46920448384485
140,yellow,6.423682811110121
141,spend,6.412061194777316
142,putting,6.412061194777316
143,music,6.39435721384813
144,younger,6.383692347601641
145,wore,6.365202612294164
146,explained,6.3554570013771645
147,news,6.3554570013771645
148,clock,6.327353905502607
149,eight,6.327353905502607
150,families,6.307398500288785
151,terrible,6.165745967157655
152,truth,6.137890741910378
153,ramsey,6.082641560977454
154,camera,6.078257533799541
155,hoping,6.027996208316501
156,learn,6.027996208316501
157,ashley,5.973095589574279
158,tape,5.944244264566377
159,tiny,5.893939921063218
160,nannie,5.887100435576471
161,mansion,5.841307856128281
162,mess,5.841307856128281
163,pikes,5.830761476049514
164,written,5.815198136222522
165,woke,5.775205027406846
166,wrote,5.763384201044789
