,term,score
0,derek,972.4049345007088
1,janine,349.62378008235703
2,kristy,96.18091792165974
3,stacey,78.73220562042023
4,mary,53.782508196772156
5,boys,30.730700563748577
6,nicky,30.72639852537221
7,truth,30.689453709551888
8,makeup,30.17549592884294
9,charlotte,29.216928457032388
10,becca,25.98842262333081
11,byron,23.435327066736402
12,library,22.618201703043507
13,adam,21.865355535185678
14,mallory,21.32213502176073
15,claudia,21.278974492005467
16,jessi,21.218183715827585
17,sweater,21.21364309167399
18,jordan,20.4076651661733
19,mal,20.220248501100887
20,dinner,20.036620700758252
21,guy,19.493944552277423
22,vanessa,19.461359090317906
23,mad,16.684009528066216
24,braddock,15.455189036321169
25,mystery,15.080425838181322
26,tv,14.785306516945868
27,homework,14.664455616077522
28,pike,13.40676109455852
29,secret,13.40676109455852
30,strange,13.261591658296302
31,nervous,13.228980065136835
32,boyfriend,12.881129622657806
33,grabbed,12.767384695203281
34,act,12.443852666984567
35,song,12.393988941177353
36,somebody,12.336110928204738
37,honey,12.278602745315798
38,kiss,12.241486968404256
39,star,12.108250656346131
40,learned,12.00179174193961
41,claud,12.00179174193961
42,figure,11.755445523758413
43,wild,11.630396272445044
44,plan,11.172300912132101
45,giggled,11.148763040821807
46,bsc,10.899439617877784
47,cake,10.77337311592809
48,dressed,10.73427468554817
49,bet,10.592428335628608
50,stepped,10.592428335628608
51,cute,10.467356645200539
52,pizza,10.372568158952216
53,matt,10.31913086291347
54,paused,10.277892497776193
55,glasses,10.145071570930142
56,kinds,9.82278613720153
57,checking,9.82278613720153
58,closed,9.746972276138711
59,closet,9.732226497563925
60,normal,9.601433393551687
61,gorgeous,9.550024357467844
62,clock,9.49103085825391
63,yelled,9.472744291538694
64,honest,9.417528288269212
65,follow,9.330570648279313
66,frowned,9.287493589258665
67,driveway,9.202126677601937
68,grinning,8.952100099387382
69,lunch,8.93784072970568
70,gotten,8.93784072970568
71,hardly,8.858632161843989
72,glanced,8.741270643861638
73,often,8.702529648055334
74,den,8.645935585215712
75,stories,8.55426577604522
76,putting,8.549414926369755
77,uh,8.549414926369755
78,spent,8.549414926369755
79,total,8.45939823105618
80,eight,8.436471874003475
81,keeps,8.251515889488505
82,giggling,8.109784782312325
83,acting,8.109784782312325
84,downstairs,7.996942380292381
85,mirror,7.924011428688525
86,awesome,7.9212654616040385
87,haley,7.911534971127877
88,staring,7.82061063849247
89,triplets,7.779426119214162
90,eating,7.7169050379964865
91,stairs,7.682675140937144
92,lately,7.638243134752997
93,hate,7.6147134420484175
94,checked,7.6147134420484175
95,listen,7.580978436996775
96,gray,7.568878200346541
97,likes,7.547405231152325
98,study,7.502770367220805
99,breakfast,7.5003060254048055
100,bus,7.46663243068698
101,excited,7.447641072201915
102,helped,7.414699834940025
103,town,7.414699834940025
104,brown,7.414699834940025
105,street,7.414699834940025
106,taken,7.381912889753041
107,headed,7.381912889753041
108,ones,7.381912889753041
109,using,7.299169873172944
110,hiding,7.288451845061893
111,pikes,7.288451845061893
112,college,7.253608498481427
113,shouldn,7.10455821865402
114,bored,7.016275812286807
115,bowl,6.983272392130048
116,dying,6.983272392130048
117,gets,6.978237763467026
118,interested,6.854522040250613
119,hanging,6.823987623205785
120,himself,6.7936078114665035
121,lips,6.789699831226596
122,art,6.763381047286761
123,sounding,6.7268059201922945
124,catch,6.70338054727926
125,loves,6.673603811226487
126,listened,6.673603811226487
127,jewelry,6.664693320199508
128,upset,6.614490032568417
129,questions,6.614490032568417
130,wonder,6.585150120803267
131,rolled,6.555952982896228
132,junk,6.526897236041501
133,outfit,6.512705934277654
134,ahead,6.46920448384485
135,game,6.46920448384485
136,disappointed,6.453181421746061
137,forward,6.440564811328903
138,window,6.440564811328903
139,promise,6.423682811110121
140,imagine,6.412061194777316
141,sitters,6.383692347601641
142,drove,6.365202612294164
143,thursday,6.250255021170671
144,plans,6.250255021170671
145,smart,6.193757244901004
146,relieved,6.000895870969805
147,missing,6.000895870969805
148,helping,5.947131912088496
149,salad,5.944244264566377
150,happens,5.893939921063218
151,mess,5.841307856128281
152,quietly,5.789224051837001
153,example,5.775205027406846
154,admitted,5.720409649974198
155,impressed,5.720409649974198
156,tired,5.686656352671488
157,wow,5.611088163621245
158,math,5.611088163621245
159,sisters,5.611088163621245
160,however,5.586617913704038
161,green,5.586150456066051
162,usual,5.586150456066051
163,radio,5.537472062306709
164,couch,5.508439529412157
165,ideas,5.487625100669389
166,repeated,5.487625100669389
167,upstairs,5.463294152413524
168,rain,5.446094439852583
169,asking,5.4390810300345835
170,movies,5.431759864981276
171,favorite,5.41498459785484
172,california,5.41498459785484
173,mail,5.386686557964045
174,diabetes,5.381444736153836
175,following,5.3565225371512915
176,admit,5.343384328981097
177,main,5.331754656159607
178,million,5.307139193862094
179,explained,5.296214167814304
180,john,5.215211316444199
181,noise,5.210164747422123
182,certain,5.210164747422123
183,planning,5.210164747422123
184,yard,5.162545137396849
185,plate,5.162545137396849
186,muttered,5.115485771078504
187,boxes,5.092162089835331
188,folded,5.068973619098028
189,anybody,5.022996101395087
190,wears,5.000204016936537
191,animals,4.92423451848227
192,expect,4.910312593528302
193,lying,4.888151872025841
194,proud,4.844195385723459
195,hug,4.8223969666532005
196,interrupted,4.800716696775844
197,yourself,4.779153302236338
198,report,4.776663785909954
199,purple,4.729043738441083
200,shoes,4.7151519368505745
201,played,4.673046284902624
202,nobody,4.673046284902624
203,unless,4.673046284902624
204,dining,4.659001646450111
205,wondering,4.652158508978017
206,interesting,4.610707360835831
207,flowers,4.590557613151596
208,dress,4.590141762834157
209,jeans,4.590141762834157
210,settled,4.590141762834157
211,shut,4.569681360167075
212,clean,4.54932508213719
213,forgotten,4.54932508213719
214,lessons,4.523640340608702
215,young,4.508920698191174
216,silly,4.488870530896996
217,longer,4.488870530896996
218,road,4.479843942345243
219,seems,4.46892036485284
220,led,4.4490692074843246
221,newspaper,4.436677729988945
222,orange,4.436677729988945
223,wondered,4.4293160809219945
224,famous,4.415325326682353
225,plenty,4.409660021712278
226,president,4.390100080535511
227,raised,4.390100080535511
228,explain,4.390100080535511
229,jobs,4.390100080535511
230,handed,4.370635321930819
231,record,4.370635321930819
232,waved,4.370635321930819
233,drive,4.370635321930819
234,fashion,4.352165099088856
235,quite,4.351264824027667
236,sitter,4.351264824027667
237,nine,4.351264824027667
238,waited,4.3319876782838715
239,woke,4.331403770555134
240,break,4.3128029892299
241,deal,4.3128029892299
242,doorbell,4.310785132691848
243,hurried,4.310785132691848
244,sang,4.290307237480649
245,sign,4.274707463184877
246,shrugged,4.274707463184877
247,changed,4.255794898401094
248,liked,4.255794898401094
249,younger,4.255794898401094
250,class,4.255794898401094
251,obviously,4.24976607998048
252,hat,4.24976607998048
253,exciting,4.24976607998048
254,monday,4.2182359370017375
255,margo,4.170291233639551
256,roll,4.1120369760682465
257,nancy,4.1120369760682465
258,super,4.073819898735957
259,claire,4.017391902863468
260,stepsister,3.998815992119705
261,director,3.998815992119705
262,flew,3.9803543953965703
263,pile,3.9620057143442624
264,neat,3.9620057143442624
265,mimi,3.909253761235404
266,snack,3.9076235605665923
267,fill,3.9076235605665923
268,certainly,3.889713059607081
269,sunday,3.889713059607081
270,friendly,3.871908853047637
271,recently,3.871908853047637
272,grin,3.836614328308878
273,asleep,3.8191215673764987
274,stick,3.8017302143235208
275,carrying,3.7844391001732705
276,realize,3.7672470760463153
277,sweet,3.7501530127024028
278,bell,3.716254346940602
279,involved,3.716254346940602
280,subject,3.716254346940602
281,color,3.6827344451462265
282,scared,3.6827344451462265
283,teacher,3.6827344451462265
284,pink,3.6827344451462265
285,forever,3.6661139040193804
286,cold,3.6661139040193804
287,promised,3.6661139040193804
288,genius,3.649584936586472
289,dog,3.649584936586472
290,keeping,3.6167977249899
291,learn,3.6167977249899
292,hoping,3.6167977249899
293,pushed,3.55227910932701
294,whenever,3.55227910932701
295,bought,3.536363952637931
296,um,3.536363952637931
297,date,3.536363952637931
298,beach,3.5141918103204377
299,expected,3.504784713676968
300,works,3.489118881733513
301,covered,3.489118881733513
302,finish,3.458030520626873
303,thinks,3.458030520626873
304,eighth,3.4426063221256173
305,begin,3.4426063221256173
306,junior,3.4426063221256173
307,entire,3.4272610201253064
308,grew,3.4272610201253064
309,ear,3.4119938116028923
310,thirteen,3.3968039057332517
311,totally,3.3968039057332517
312,pair,3.3968039057332517
313,reminded,3.3816905236433805
314,drew,3.3816905236433805
315,police,3.368673101755581
316,stared,3.366652898172747
317,conversation,3.366652898172747
318,none,3.35169027363963
319,wednesday,3.3368019056132434
320,cards,3.3338896163318426
321,sense,3.321987060691496
322,meetings,3.321987060691496
323,became,3.321987060691496
324,leaned,3.3072450162842086
325,grinned,3.3072450162842086
326,bike,3.2997007496132422
327,wonderful,3.2925750604016333
328,regular,3.2925750604016333
329,ghost,3.26608651298048
330,threw,3.2634486180207505
331,desk,3.2634486180207505
332,kishi,3.2489907587129037
333,brothers,3.2489907587129037
334,broke,3.2489907587129037
335,eye,3.2489907587129037
336,others,3.2489907587129037
337,piece,3.234602241922425
338,beautiful,3.234602241922425
339,turning,3.234602241922425
340,light,3.2202824056644515
341,man,3.2202824056644515
342,definitely,3.2202824056644515
343,notebook,3.2202824056644515
344,stage,3.200506867334498
345,news,3.1777285006885823
346,comes,3.1777285006885823
347,johanssen,3.1685061846416156
348,practically,3.1636769527513033
349,question,3.1636769527513033
350,counter,3.0305204416677127
351,lawn,2.9865626282301623
352,ms,2.9577851533259634
353,melody,2.9547990964725592
354,safe,2.9435502177882356
355,letter,2.9294158833420503
356,teachers,2.915380738024757
357,bent,2.915380738024757
358,scary,2.9014433993925706
359,singing,2.9014433993925706
360,card,2.8466454510163417
361,jacket,2.8331773866536536
362,carried,2.81979941035206
363,artist,2.806510324914723
364,moments,2.793308956852019
365,pants,2.793308956852019
366,luckily,2.793308956852019
367,brain,2.780194155759701
368,expression,2.780194155759701
369,slow,2.7671647937173134
370,neck,2.7671647937173134
371,decision,2.7542197647060784
372,shrieked,2.7413579840454974
373,building,2.7413579840454974
374,guilty,2.7413579840454974
375,tough,2.7285783878479553
376,hugged,2.715879932490638
377,tree,2.715879932490638
378,slipped,2.6782612685756457
379,pocket,2.6782612685756457
380,simple,2.6782612685756457
381,glance,2.6782612685756457
382,teeth,2.6782612685756457
383,style,2.6658773280798034
384,finger,2.6658773280798034
385,doorway,2.653569596931047
386,officers,2.653569596931047
387,project,2.641337142896175
388,student,2.641337142896175
389,pass,2.641337142896175
390,kits,2.6291790507434105
391,pictures,2.6291790507434105
392,dumb,2.6291790507434105
393,months,2.6050823737110615
394,boring,2.6050823737110615
395,earlier,2.593142039738054
396,gasped,2.593142039738054
397,hasn,2.5812725686984246
398,child,2.5812725686984246
399,schedule,2.5812725686984246
400,entered,2.5812725686984246
