,term,score
0,kristy,225.4908186830023
1,mary,158.18384763756515
2,dogs,108.22682673933416
3,bart,72.8768087321841
4,dog,68.12558548294747
5,charlotte,63.04705614412252
6,claire,62.939139811527674
7,stacey,61.70902602681586
8,police,58.95177928072267
9,jessi,45.9727313842931
10,shannon,43.597758471511135
11,david,42.05741656412362
12,michael,42.05741656412362
13,pet,41.78408220900842
14,team,39.784774974888904
15,mal,39.25107061978407
16,mallory,38.15539951262447
17,matt,37.14887110648849
18,carrot,37.14887110648849
19,store,36.167977249899
20,practice,35.82318955856913
21,claudia,34.04635918720875
22,margo,31.97223279123656
23,animals,31.186818617054374
24,pow,30.84464877074673
25,game,30.1896209246093
26,krushers,28.80456180601048
27,claud,28.804300180655062
28,pike,25.696292097903832
29,ball,25.325834616758133
30,nicky,25.139780611668172
31,woman,24.314741017715402
32,suzi,24.05071344142529
33,jackie,24.020332697708255
34,vanessa,23.63165032395746
35,green,23.46183191547741
36,tigger,22.63119536354641
37,field,22.63119536354641
38,haley,21.75672117060166
39,bsc,20.5878303893247
40,bear,20.390561559584697
41,officer,19.910164267175308
42,richard,19.897182004289725
43,missing,18.002687612909412
44,station,17.919375769380974
45,brown,16.947885337005772
46,buddy,16.498503748066213
47,man,16.101412028322255
48,marnie,15.831563411388297
49,pointing,15.814868058541379
50,nervous,15.433810075992973
51,puppy,15.002503273493291
52,cat,14.93733962869851
53,headed,14.763825779506082
54,checked,14.141610678089918
55,awhile,13.832122082507492
56,park,13.545177444479563
57,silly,13.466611592690988
58,loves,13.347207622452974
59,neat,13.206685714480875
60,adam,13.119213321111408
61,becca,12.994211311665405
62,plate,12.906362843492122
63,louie,12.251215428600819
64,yelled,11.840930364423368
65,safe,11.774200871152942
66,sign,11.755445523758413
67,triplets,11.669139178821244
68,pikes,11.661522952099029
69,squirt,10.925058164374297
70,lucy,10.789275611154853
71,clock,10.545589842504343
72,yard,10.325090274793698
73,byron,10.252955591697177
74,jordan,10.20383258308665
75,jump,10.20383258308665
76,disappeared,10.091837600462055
77,bat,9.83093851509389
78,softball,9.82278613720153
79,rodowsky,9.77313440308851
80,braddock,9.659493147700731
81,hoping,9.644793933306401
82,excited,9.57553852140246
83,johanssen,9.505518553924848
84,eight,9.49103085825391
85,boo,9.43967753059515
86,sounding,9.417528288269212
87,cute,9.304317017956034
88,watson,9.13936272033415
89,gotten,8.93784072970568
90,toys,8.75035702963894
91,bent,8.746142214074272
92,impressed,8.580614474961298
93,air,8.549414926369755
94,pulling,8.515698185368434
95,street,8.473942668502886
96,taken,8.436471874003475
97,checking,8.41953097474417
98,driving,8.340582467279102
99,gathered,8.325984676923895
100,neighborhood,8.251515889488505
101,somebody,8.224073952136493
102,pull,8.177830998579593
103,gets,8.14127739071153
104,sheet,8.082569772695148
105,style,7.99763198423941
106,follow,7.99763198423941
107,report,7.9611063098499235
108,wow,7.855523429069743
109,catch,7.82061063849247
110,mad,7.785871113097568
111,ended,7.751303141613491
112,member,7.7169050379964865
113,president,7.682675140937144
114,cars,7.650929355252661
115,beautiful,7.547405231152325
116,break,7.547405231152325
117,careful,7.5344941520926305
118,giggled,7.432508693881204
119,smart,7.432508693881204
120,shaking,7.299169873172944
121,hug,7.2335954499798
122,trip,7.2335954499798
123,relieved,7.2010750451637655
124,barrett,7.1432240441706
125,whenever,7.10455821865402
126,weekend,7.072727905275862
127,nobody,7.009569427353936
128,whether,6.916061041253746
129,nose,6.885212644251235
130,join,6.7936078114665035
131,totally,6.7936078114665035
