,term,score
0,quint,836.6620842729326
1,becca,232.45200235312555
2,stacey,148.95282144403828
3,tyler,137.74699223195
4,mal,76.12328847473275
5,mary,65.38265702352693
6,jessi,51.86667130535632
7,york,50.26230620220442
8,apartment,42.6015111624779
9,claudia,38.30215408560984
10,park,32.16979643063896
11,building,31.52561681652322
12,bsc,30.27622116077162
13,train,30.005006546986582
14,weekend,29.46969960531609
15,pikes,27.69611701123519
16,window,26.835686713870427
17,ballet,26.251071088916817
18,kristy,24.579567913313046
19,claud,24.00358348387922
20,nicky,23.74312613324216
21,squirt,23.410838923659206
22,bag,22.742935310990326
23,margo,22.241553246077608
24,police,21.896375161411278
25,street,21.184856671257215
26,nervous,20.94588510313332
27,mcgill,20.57694147184839
28,dinner,20.036620700758252
29,store,19.289587866612802
30,museum,18.60952349640148
31,cecelia,18.124341768072295
32,mallory,17.955482123587984
33,pike,17.87568145941136
34,aunt,17.5764953000523
35,claire,17.408698245741697
36,planning,16.9330354291219
37,charlotte,16.915063843545067
38,lunch,16.758451368198152
39,loves,16.684009528066216
40,wedding,14.603321193101568
41,awesome,14.25827783088727
42,dance,14.132102184442266
43,vanessa,13.900970778798506
44,headed,13.709266795255648
45,plan,13.40676109455852
46,center,13.025411868555308
47,triplets,12.965710198690271
48,nobody,12.850877283482218
49,uh,12.824122389554631
50,grabbed,12.767384695203281
51,downstairs,12.566623740459455
52,following,12.052175708590406
53,bags,11.332709546614614
54,eating,11.024150054280694
55,restaurant,10.925058164374297
56,hug,10.850393174969701
57,listen,10.82996919570968
58,sleeping,10.81736373249794
59,man,10.73427468554817
60,follow,10.663509312319214
61,porch,10.658866395249623
62,neat,10.5653485715847
63,mirror,10.5653485715847
64,driveway,10.516716202973642
65,station,10.452969198805569
66,sleep,10.37409156188062
67,tv,10.235981434808677
68,seeing,10.235981434808677
69,catch,10.05507082091889
70,led,10.010405716839731
71,supplies,9.963259078557195
72,luckily,9.776581348982067
73,closed,9.746972276138711
74,beautiful,9.703806725767276
75,team,9.644793933306401
76,shrugged,9.618091792165973
77,worked,9.57553852140246
78,bet,9.533185502065747
79,eight,9.49103085825391
80,yelled,9.472744291538694
81,windows,9.417528288269212
82,awhile,9.221414721671662
83,kiss,9.181115226303191
84,movie,9.180283525668314
85,conversation,8.977741061793992
86,careful,8.790243177441402
87,leaving,8.780200161071022
88,glanced,8.741270643861638
89,favorite,8.663975356567743
90,fancy,8.621570265383696
91,figure,8.549414926369755
92,pay,8.511589796802188
93,ones,8.436471874003475
94,clock,8.436471874003475
95,softball,8.41953097474417
96,kinds,8.41953097474417
97,camp,8.4121875429439
98,mystery,8.37801435454518
99,track,8.363518278913592
100,enjoy,8.224073952136493
101,loud,8.177830998579593
102,rather,8.072167104230754
103,lake,7.909036096062074
104,art,7.890611221834554
105,names,7.855523429069743
106,wow,7.855523429069743
107,named,7.82061063849247
108,ended,7.751303141613491
109,grinned,7.7169050379964865
110,member,7.7169050379964865
111,promise,7.708419373332145
112,apple,7.650929355252661
113,checked,7.6147134420484175
114,plans,7.5003060254048055
115,tomorrow,7.480738060573535
116,spend,7.480738060573535
117,backyard,7.466406570575406
118,invited,7.466311600190741
119,town,7.414699834940025
120,scared,7.365468890292453
121,spot,7.299169873172944
122,jordan,7.288451845061893
123,adam,7.288451845061893
124,steps,7.2335954499798
125,fight,7.2010750451637655
126,scene,7.1846418878197476
127,dancing,7.150512062467747
128,fifteen,7.10455821865402
129,wondering,6.978237763467026
130,cute,6.978237763467026
131,settled,6.885212644251235
132,watson,6.854522040250613
133,nearby,6.853394960113743
134,forgotten,6.823987623205785
135,familiar,6.821445969619888
136,hugged,6.789699831226596
137,laine,6.7520251230977255
138,dollars,6.737346203511162
139,gotten,6.70338054727926
140,mad,6.673603811226487
141,jewelry,6.664693320199508
142,filled,6.614490032568417
143,its,6.585150120803267
144,rolled,6.555952982896228
145,threw,6.526897236041501
146,hate,6.526897236041501
147,quite,6.526897236041501
148,certain,6.512705934277654
149,sunday,6.4828550993451355
150,game,6.46920448384485
151,garage,6.466055818156118
152,ew,6.466055818156118
153,definitely,6.440564811328903
154,dressed,6.440564811328903
155,sign,6.412061194777316
156,music,6.39435721384813
157,excited,6.383692347601641
158,seconds,6.307398500288785
159,climbed,6.250255021170671
160,glass,6.165745967157655
161,pulling,6.082641560977454
162,pointing,6.082641560977454
163,present,6.031520454144935
164,stamford,6.031520454144935
165,luck,6.027996208316501
166,relieved,6.000895870969805
167,fair,5.920465182211684
168,sea,5.898563109056334
169,seats,5.887100435576471
170,nearly,5.867554635558998
171,byron,5.8588317666841006
172,earrings,5.8588317666841006
173,wild,5.815198136222522
174,gets,5.815198136222522
175,ride,5.789224051837001
176,example,5.775205027406846
177,ate,5.763384201044789
178,hang,5.763384201044789
179,dress,5.737677203542696
180,exciting,5.666354773307307
181,stuffed,5.613020649829446
182,checking,5.613020649829446
183,staring,5.586150456066051
184,neither,5.561336509355406
185,audience,5.537472062306709
186,wondered,5.536645101152493
187,afraid,5.536645101152493
188,hardly,5.536645101152493
189,burst,5.536645101152493
190,leaned,5.512075027140347
191,couch,5.508439529412157
192,president,5.487625100669389
193,less,5.463294152413524
194,drive,5.463294152413524
195,honey,5.4571567756959105
196,rain,5.446094439852583
197,hit,5.4390810300345835
