,term,score
0,bart,232.29482783383682
1,charlie,136.62568762335323
2,mary,123.38340115730082
3,jackie,110.09319153116283
4,karen,88.81325889035311
5,van,86.68069924847315
6,claudia,73.41246199741887
7,rain,56.27630921181003
8,man,46.15738114785714
9,kristy,45.95310522923743
10,jamie,45.83221182613046
11,stacey,43.621897708611215
12,buddy,41.246259370165525
13,watson,38.84229156142014
14,road,34.34547022464687
15,ghost,34.29390838629504
16,lucy,32.36782683346456
17,claud,31.204658529042984
18,sleep,27.664244165014985
19,david,26.870016138190092
20,michael,26.870016138190092
21,nicky,22.346471654816153
22,woman,21.999051396980605
23,stories,21.996683424116284
24,bsc,21.798879235755567
25,janine,21.700786349939403
26,game,20.485814198842025
27,mallory,19.077699756312235
28,bathroom,18.0839886249495
29,picture,17.327950713135486
30,cokie,16.389933270950095
31,field,16.165139545390296
32,awhile,16.13747576292541
33,calling,15.818384763756516
34,store,15.672790141622901
35,mal,15.46254297143009
36,sam,14.865017387762409
37,news,14.82939966988005
38,headed,14.763825779506082
39,claire,14.730436977166052
40,team,14.4671908999596
41,hoping,14.4671908999596
42,barrett,14.2864480883412
43,pizza,14.262281218559297
44,awesome,14.25827783088727
45,jessi,14.145455810551724
46,nobody,14.019138854707872
47,sleeping,13.90803908464021
48,disappeared,13.876276700635326
49,sad,13.77042528850247
50,bet,13.77015683631719
51,water,13.587215622933007
52,scared,13.503359632202832
53,pike,13.40676109455852
54,safe,13.24597598004706
55,lights,12.932355398075545
56,wow,12.34439395996674
57,named,12.28953100334531
58,porch,12.181561594570997
59,library,12.06304090828987
60,missing,12.00179174193961
61,ball,11.996447976359114
62,window,11.807702154102987
63,figure,11.755445523758413
64,mystery,11.729220096363251
65,mansion,11.682615712256561
66,krushers,11.201774035670743
67,loves,11.122673018710811
68,song,11.016879058824314
69,somebody,10.96543193618199
70,nine,10.878162060069167
71,closed,10.82996919570968
72,beautiful,10.782007473074751
73,downstairs,10.281783060375918
74,hot,10.235981434808677
75,crossed,10.230971542157008
76,singing,10.155051897873998
77,sang,10.010716887454846
78,spread,10.000408033873073
79,president,9.8777251812049
80,foot,9.865193547452247
81,drive,9.833929474344343
82,checking,9.82278613720153
83,shea,9.800972342880655
84,often,9.79034585406225
85,margo,9.730679545158953
86,driving,9.730679545158953
87,vanessa,9.730679545158953
88,strange,9.644793933306401
89,pool,9.54837746377718
90,yelled,9.472744291538694
91,tonight,9.388087416894397
92,apple,9.181115226303191
93,newton,9.17783760300857
94,married,8.977741061793992
95,writing,8.977741061793992
96,green,8.93784072970568
97,led,8.898138414968649
98,key,8.880720500654567
99,boys,8.780200161071022
100,listen,8.663975356567743
101,example,8.662807541110269
102,light,8.587419748438537
103,chairs,8.580614474961298
104,grabbed,8.511589796802188
105,brown,8.473942668502886
106,daughter,8.30149438115194
107,matt,8.255304690330776
108,clear,8.1049136725718
109,sounding,8.072167104230754
110,dead,8.034783805726937
111,himself,7.9258757800442545
112,lived,7.82061063849247
113,joined,7.7169050379964865
114,grinning,7.673228656617756
115,seat,7.648611813378933
116,upstairs,7.648611813378933
117,asleep,7.638243134752997
118,quite,7.6147134420484175
119,tears,7.6147134420484175
120,hungry,7.6034604286470415
121,guy,7.580978436996775
122,ahead,7.547405231152325
123,rooms,7.539400567681169
124,forward,7.51399227988372
125,tomorrow,7.480738060573535
126,page,7.466406570575406
127,large,7.432508693881204
128,eight,7.381912889753041
129,lit,7.323539708355126
130,row,7.323539708355126
131,pikes,7.288451845061893
132,scary,7.253608498481427
133,fancy,7.1846418878197476
134,round,7.082943466634134
135,tea,7.028383620640875
136,covered,6.978237763467026
137,couch,6.885549411765196
138,body,6.885212644251235
139,shut,6.854522040250613
140,roll,6.853394960113743
141,tired,6.823987623205785
142,police,6.737346203511162
143,silly,6.733305796345494
144,gotten,6.70338054727926
145,crowded,6.6956531714391145
146,meetings,6.643974121382992
147,third,6.614490032568417
148,raised,6.585150120803267
149,glanced,6.555952982896228
150,handed,6.555952982896228
151,checked,6.526897236041501
152,whoa,6.512705934277654
153,tall,6.453181421746061
154,yellow,6.423682811110121
155,spend,6.412061194777316
156,uh,6.412061194777316
157,thomas,6.383692347601641
158,younger,6.383692347601641
159,mine,6.3554570013771645
160,taken,6.327353905502607
161,loved,6.307398500288785
162,dining,6.212002195266814
163,somewhere,6.193757244901004
164,promised,6.110189840032301
165,brewer,6.082641560977454
166,sight,6.027996208316501
167,learned,6.000895870969805
168,relieved,6.000895870969805
169,gathered,5.947131912088496
170,houses,5.944244264566377
171,newspaper,5.915570306651927
172,silence,5.893939921063218
173,crying,5.893939921063218
174,ring,5.841307856128281
175,loud,5.841307856128281
176,pop,5.829594554382238
177,wild,5.815198136222522
178,accident,5.802886798785141
179,doors,5.802886798785141
180,jake,5.788348949312249
181,eighth,5.737677203542696
182,bright,5.737677203542696
183,bedroom,5.737677203542696
184,hanging,5.686656352671488
185,young,5.636150872738968
186,softball,5.613020649829446
187,kinds,5.613020649829446
188,stared,5.611088163621245
189,somehow,5.611088163621245
190,luckily,5.586617913704038
191,seems,5.586150456066051
192,listened,5.561336509355406
193,hardly,5.536645101152493
194,upset,5.512075027140347
195,evening,5.512075027140347
196,plenty,5.512075027140347
197,leaned,5.512075027140347
198,its,5.487625100669389
199,kuhn,5.463311090316699
200,junk,5.4390810300345835
201,hit,5.4390810300345835
202,others,5.41498459785484
203,favorite,5.41498459785484
204,giggling,5.406523188208217
205,windows,5.381444736153836
206,dressed,5.367137342774085
207,notebook,5.367137342774085
208,simple,5.3565225371512915
209,stepsister,5.331754656159607
210,town,5.296214167814304
211,mirror,5.28267428579235
212,lay,5.28267428579235
213,ones,5.272794921252172
214,lake,5.2726907307080495
215,pictures,5.258358101486821
216,center,5.210164747422123
217,disappointed,5.162545137396849
218,yard,5.162545137396849
219,drove,5.092162089835331
220,anybody,5.022996101395087
221,careful,5.022996101395087
222,plans,5.000204016936537
223,legs,4.932596773726123
224,andrew,4.932596773726123
225,painting,4.92423451848227
226,color,4.910312593528302
227,cold,4.888151872025841
228,forever,4.888151872025841
229,pointing,4.8661132487819625
230,ew,4.849541863617088
231,faces,4.8223969666532005
232,immediately,4.8223969666532005
233,hug,4.8223969666532005
234,fingers,4.736372145769347
235,shouldn,4.736372145769347
236,purple,4.729043738441083
237,step,4.7151519368505745
238,um,4.7151519368505745
239,listening,4.7151519368505745
240,weekend,4.7151519368505745
241,mention,4.694043708447198
242,hannie,4.685995110733133
243,vice,4.673046284902624
244,played,4.673046284902624
245,gets,4.652158508978017
246,quick,4.652158508978017
247,mentioned,4.631379241469601
248,ride,4.631379241469601
249,loudly,4.610707360835831
250,wall,4.610707360835831
251,settled,4.590141762834157
252,jeans,4.590141762834157
253,several,4.569681360167075
254,grew,4.569681360167075
255,seeing,4.54932508213719
256,counter,4.545780662501569
257,totally,4.529071874311002
258,forgot,4.529071874311002
259,fall,4.529071874311002
260,pair,4.529071874311002
261,marnie,4.523303831825228
262,although,4.488870530896996
263,station,4.479843942345243
264,plan,4.46892036485284
265,catch,4.46892036485284
266,none,4.46892036485284
267,burst,4.4293160809219945
268,seats,4.415325326682353
269,nannie,4.415325326682353
270,shop,4.415325326682353
271,grinned,4.409660021712278
272,member,4.409660021712278
273,filled,4.409660021712278
274,nervous,4.409660021712278
275,papadakis,4.4020545881923585
276,earrings,4.394123825013075
277,byron,4.394123825013075
278,spier,4.390100080535511
279,wonder,4.390100080535511
280,explain,4.390100080535511
281,ideas,4.390100080535511
282,adam,4.373071107037136
283,jump,4.373071107037136
284,suzi,4.372856989350053
