,term,score
0,charlotte,261.4146230366056
1,claudia,147.888872719438
2,kristy,145.34005374828584
3,jessi,99.01819067386207
4,police,72.42647168774499
5,mary,68.54633397627823
6,claud,64.80967540647389
7,bill,63.94446558247312
8,stacey,59.58112857761532
9,man,57.96508330196012
10,store,50.63516814985861
11,sam,34.68504057144562
12,bsc,33.909367700064216
13,becca,33.20742890758937
14,secret,29.047982371543462
15,station,28.372344968186543
16,pictures,27.60638003280581
17,officers,26.535695969310467
18,headed,24.25485663775999
19,counter,24.244163533341702
20,library,22.618201703043507
21,camera,22.286944290598317
22,notebook,21.46854937109634
23,date,21.218183715827585
24,machine,21.21364309167399
25,officer,21.154549533873766
26,bag,20.57694147184839
27,mal,20.220248501100887
28,logan,19.860446710836154
29,guy,19.493944552277423
30,checked,18.492875502117585
31,notes,17.661301306729413
32,woman,17.367672155511002
33,mallory,16.833264490863733
34,office,16.802508438715453
35,mystery,16.75602870909036
36,cute,16.28255478142306
37,earrings,16.111787358381278
38,class,15.959230869004102
39,johanssen,15.842530923208077
40,clients,15.602329264521492
41,information,14.532586157170378
42,catch,14.523991185771731
43,supplies,14.233227255081708
44,glanced,14.20456479627516
45,spend,13.892799255350852
46,dr,13.688038383679615
47,strange,13.261591658296302
48,hoping,13.261591658296302
49,questions,13.228980065136835
50,shy,13.14267158114993
51,picture,12.995963034851615
52,admitted,12.870921712441946
53,gym,12.802027469337991
54,round,12.74929823994144
55,town,12.710914002754329
56,anybody,12.557490253487718
57,somebody,12.336110928204738
58,lived,12.28953100334531
59,color,12.275781483820756
60,shannon,12.110488464308649
61,pass,11.886017143032788
62,paid,11.722870681699778
63,nobody,11.682615712256561
64,charlie,11.578448103674003
65,interesting,11.526768402089578
66,hat,11.332709546614614
67,act,11.19946740028611
68,involved,11.148763040821807
69,loves,11.122673018710811
70,hardly,11.073290202304985
71,teacher,11.04820333543868
72,spot,10.948754809759416
73,york,10.926588304827048
74,desk,10.878162060069167
75,children,10.82996919570968
76,favorite,10.82996919570968
77,figure,10.686768657962194
78,bet,10.592428335628608
79,ones,10.545589842504343
80,david,10.514354141030905
81,awhile,10.37409156188062
82,buy,10.327818966376853
83,movie,10.327818966376853
84,interested,10.281783060375918
85,promise,10.277892497776193
86,grinning,10.230971542157008
87,young,10.145071570930142
88,lunch,10.05507082091889
89,charge,10.05507082091889
90,led,10.010405716839731
91,subject,9.910011591841606
92,seat,9.833929474344343
93,quite,9.79034585406225
94,eye,9.746972276138711
95,closet,9.732226497563925
96,boyfriend,9.660847216993353
