,term,score
0,museum,262.8595193866709
1,claire,176.7652437259926
2,kristy,131.44725449293497
3,stacey,88.3077441418227
4,rosie,84.30451039203284
5,jessi,77.80000695803449
6,mal,68.98673018022654
7,mary,65.38265702352693
8,margo,50.04349480367462
9,pike,49.15812401338124
10,video,45.930940876983826
11,carolyn,42.676806858156326
12,nicky,39.106325395928266
13,vanessa,37.53262110275596
14,marilyn,35.69408411593376
15,corrie,35.30163241376121
16,mystery,35.18766028908975
17,party,35.10030702591027
18,man,32.20282405664451
19,art,27.053524189147044
20,janine,22.906385591602703
21,bsc,21.798879235755567
22,arnold,19.897182004289725
23,glass,19.730387094904493
24,eye,19.493944552277423
25,shannon,19.376781542893838
26,mimi,17.59164192555932
27,adam,17.492284428148544
28,science,17.384037721480663
29,audience,16.61241618692013
30,famous,16.189526197835296
31,claudia,15.959230869004102
32,awesome,15.842530923208077
33,claud,15.602329264521492
34,pizza,15.558852238428324
35,nobody,15.187400425933529
36,police,15.159028957900116
37,headed,14.763825779506082
38,mall,14.622700083079904
39,mallory,14.588829225415237
40,jordan,14.576903690123785
41,triplets,14.262281218559297
42,york,14.20456479627516
43,somebody,13.706789920227486
44,planning,13.025411868555308
45,dressed,12.881129622657806
46,dress,12.622889847793932
47,green,12.28953100334531
48,star,12.108250656346131
49,broken,12.108250656346131
50,desk,11.965978266076084
51,brothers,11.912966115280646
52,newspaper,11.831140613303853
53,fire,11.774200871152942
54,shop,11.774200871152942
55,logan,11.682615712256561
56,music,11.509842984926633
57,tv,11.373312705342975
58,led,11.122673018710811
59,upstairs,10.926588304827048
60,tree,10.863519729962553
61,picture,10.82996919570968
62,excited,10.639487246002734
63,downstairs,10.281783060375918
64,byron,10.252955591697177
65,grinning,10.230971542157008
66,fancy,10.058498642947646
67,nervous,9.921735048852625
68,boys,9.8777251812049
69,pieces,9.776581348982067
70,box,9.746972276138711
71,bag,9.746972276138711
72,closet,9.732226497563925
73,sign,9.618091792165973
74,news,9.533185502065747
75,main,9.330570648279313
76,mommy,9.12707574568848
77,center,9.117788307988715
78,sunday,9.075997139083189
79,library,9.047280681217403
80,lessons,9.047280681217403
81,dance,8.993155935554169
82,discovered,8.952100099387382
83,tape,8.916366396849565
84,ms,8.87335545997789
85,notice,8.858632161843989
86,jobs,8.780200161071022
87,pikes,8.746142214074272
88,derek,8.6821869151849
89,favorite,8.663975356567743
90,definitely,8.587419748438537
91,places,8.515698185368434
92,worked,8.511589796802188
93,store,8.4391946916431
94,office,8.401254219357726
95,pushed,8.288651255096358
96,van,8.255304690330776
97,nancy,8.224073952136493
98,acting,8.109784782312325
99,wow,7.855523429069743
100,outfit,7.815247121133185
101,meetings,7.751303141613491
102,classes,7.743817706095274
103,wonderful,7.682675140937144
104,ideas,7.682675140937144
105,its,7.682675140937144
106,cars,7.650929355252661
107,checked,7.6147134420484175
108,kishi,7.580978436996775
109,guy,7.580978436996775
110,others,7.580978436996775
111,sweater,7.576301104169282
112,loved,7.568878200346541
113,piece,7.547405231152325
114,thursday,7.5003060254048055
115,figure,7.480738060573535
116,page,7.466406570575406
117,happening,7.466311600190741
118,invited,7.466311600190741
119,liked,7.447641072201915
120,seriously,7.398895160589185
121,ones,7.381912889753041
122,pink,7.365468890292453
123,touch,7.332227808038761
124,hoping,7.2335954499798
125,strange,7.2335954499798
126,key,7.104576400523653
127,shoes,7.072727905275862
128,artist,7.016275812286807
129,kinds,7.016275812286807
130,bright,6.885212644251235
131,interested,6.854522040250613
132,wished,6.789699831226596
133,drew,6.763381047286761
134,empty,6.763381047286761
135,giggling,6.758153985260272
136,jewelry,6.664693320199508
137,follow,6.664693320199508
138,twins,6.63344425789812
139,leaned,6.614490032568417
140,plenty,6.614490032568417
141,send,6.572947626858526
142,children,6.497981517425807
143,likes,6.46920448384485
144,yesterday,6.453181421746061
145,friendly,6.453181421746061
146,forward,6.440564811328903
147,yellow,6.423682811110121
148,paused,6.423682811110121
149,uh,6.412061194777316
150,stage,6.401013734668996
151,grin,6.39435721384813
152,brown,6.3554570013771645
153,taken,6.327353905502607
154,practically,6.327353905502607
155,excuse,6.250255021170671
156,somewhere,6.193757244901004
157,dog,6.082641560977454
158,shaking,6.082641560977454
159,soccer,6.005083174427064
