,term,score
0,sunny,293.38228623720215
1,carolyn,224.61477293766484
2,beach,223.1511799553478
3,marilyn,207.471863923865
4,stephie,185.82565856518693
5,ghost,78.38607631153153
6,jill,68.98585645020586
7,mary,63.27353905502606
8,board,61.207434842021286
9,maggie,59.00195881918929
10,jessi,53.04545928956897
11,stacey,52.1334875054134
12,police,42.10841377194476
13,arnold,41.78408220900842
14,twins,34.82558235396513
15,bsc,33.909367700064216
16,guy,31.40691066755807
17,contest,27.167421566817417
18,jeff,24.775028979604016
19,water,23.777627340132764
20,letter,23.435327066736402
21,kristy,22.442214181720605
22,somebody,21.93086387236398
23,carol,21.655703460543826
24,win,21.63472746499588
25,mystery,20.10723445090843
26,california,19.493944552277423
27,headed,18.98206171650782
28,dead,18.74782888002952
29,nobody,18.692185139610498
30,ride,18.525516965878403
31,basement,17.761441001309134
32,lessons,16.58668124889857
33,fire,16.189526197835296
34,practice,15.921417581586281
35,wrote,14.98479892271645
36,bus,14.93326486137396
37,named,14.523991185771731
38,ring,14.019138854707872
39,claudia,13.831333419803554
40,anybody,13.81323927883649
41,shop,13.24597598004706
42,accident,13.056495297266567
43,figure,12.824122389554631
44,wild,12.793435899689547
45,crowd,12.67243404774507
46,van,12.382957035496165
47,grinned,12.126565059708764
48,children,11.912966115280646
49,gathered,11.894263824176992
50,connecticut,11.172300912132101
51,stories,10.998341712058142
52,stairs,10.975250201338778
53,closer,10.948754809759416
54,spot,10.948754809759416
55,bag,10.82996919570968
56,spent,10.686768657962194
57,step,10.609091857913793
58,counter,10.606821545836995
59,group,9.79034585406225
60,shannon,9.688390771446919
61,bet,9.533185502065747
62,dogs,9.411028412116014
63,snack,9.117788307988715
64,hot,9.09865016427438
65,member,8.819320043424556
66,careful,8.790243177441402
67,science,8.692018860740331
68,waited,8.663975356567743
69,example,8.662807541110269
70,likes,8.6256059784598
71,grabbed,8.511589796802188
72,ones,8.436471874003475
73,margo,8.340582467279102
74,sun,8.30149438115194
75,neck,8.30149438115194
76,fortunately,8.1652162824512
77,cat,8.147639797471914
78,gets,8.14127739071153
79,settled,8.032748084959774
80,seeing,7.961318893740082
81,hanging,7.961318893740082
82,officers,7.960708790793141
83,extra,7.9258757800442545
84,haley,7.911534971127877
85,tyler,7.871256698968571
86,catch,7.82061063849247
87,plan,7.82061063849247
88,loves,7.785871113097568
89,carefully,7.785871113097568
90,hardly,7.751303141613491
91,plenty,7.7169050379964865
92,hospital,7.688665383429576
93,regular,7.682675140937144
94,handed,7.648611813378933
95,warm,7.638243134752997
96,wore,7.638243134752997
97,definitely,7.51399227988372
98,shrugged,7.480738060573535
99,happening,7.466311600190741
100,officer,7.466311600190741
101,younger,7.447641072201915
102,involved,7.432508693881204
103,brown,7.414699834940025
104,news,7.414699834940025
105,seriously,7.398895160589185
106,bent,7.288451845061893
107,learned,7.2010750451637655
108,area,7.082943466634134
109,juice,7.016275812286807
110,awhile,6.916061041253746
111,hang,6.916061041253746
112,party,6.7936078114665035
113,broken,6.7268059201922945
114,none,6.70338054727926
115,finger,6.664693320199508
116,joined,6.614490032568417
117,leaned,6.614490032568417
118,seat,6.555952982896228
119,desk,6.526897236041501
120,planning,6.512705934277654
121,man,6.440564811328903
122,tomorrow,6.412061194777316
123,grinning,6.39435721384813
124,excited,6.383692347601641
125,worked,6.383692347601641
126,helped,6.3554570013771645
127,hungry,6.336217023872535
128,dinner,6.327353905502607
129,practically,6.327353905502607
130,disappeared,6.307398500288785
131,purple,6.305391651254778
132,thursday,6.250255021170671
133,giggled,6.193757244901004
134,foot,6.165745967157655
135,pink,6.137890741910378
136,homework,6.110189840032301
137,pointing,6.082641560977454
138,information,6.055244232154324
139,proud,6.055244232154324
140,hoping,6.027996208316501
141,station,5.9731252564603246
142,mal,5.947131912088496
143,planned,5.893939921063218
144,blonde,5.841307856128281
145,pikes,5.830761476049514
146,wondering,5.815198136222522
147,bunch,5.789224051837001
148,quietly,5.789224051837001
149,nose,5.737677203542696
150,grew,5.7121017002088434
151,downstairs,5.7121017002088434
152,obviously,5.666354773307307
153,join,5.6613398428887525
154,share,5.63959882070412
155,drew,5.636150872738968
156,checking,5.613020649829446
157,driving,5.560388311519402
158,leaving,5.487625100669389
159,repeated,5.487625100669389
160,known,5.487625100669389
161,jobs,5.487625100669389
162,building,5.482715968090995
163,nearby,5.482715968090995
164,waved,5.463294152413524
165,checked,5.4390810300345835
166,eye,5.41498459785484
167,favorite,5.41498459785484
168,others,5.41498459785484
169,giggling,5.406523188208217
170,beautiful,5.3910037365373755
171,game,5.3910037365373755
172,spoke,5.367137342774085
173,glance,5.3565225371512915
174,crowded,5.3565225371512915
175,tossed,5.331754656159607
176,style,5.331754656159607
177,lay,5.28267428579235
178,neat,5.28267428579235
179,eight,5.272794921252172
180,responsible,5.186284079476108
181,beside,5.186284079476108
182,grin,5.115485771078504
183,loved,5.045918800231028
184,carrying,5.045918800231028
185,large,4.955005795920803
186,sight,4.8223969666532005
187,strange,4.8223969666532005
188,luck,4.8223969666532005
189,fight,4.800716696775844
190,normal,4.800716696775844
191,relieved,4.800716696775844
192,track,4.779153302236338
193,report,4.776663785909954
194,helping,4.757705529670797
195,fifteen,4.736372145769347
196,crying,4.7151519368505745
197,hoped,4.673046284902624
198,angry,4.673046284902624
199,terrific,4.652158508978017
200,cute,4.652158508978017
201,sleeping,4.636013028213403
202,mentioned,4.631379241469601
203,woman,4.631379241469601
204,whether,4.610707360835831
205,interesting,4.610707360835831
206,needs,4.610707360835831
207,several,4.569681360167075
208,completely,4.569681360167075
209,tv,4.54932508213719
210,clean,4.54932508213719
211,totally,4.529071874311002
212,art,4.508920698191174
213,mallory,4.488870530896996
214,math,4.488870530896996
215,wow,4.488870530896996
216,rock,4.479843942345243
217,staring,4.46892036485284
218,seems,4.46892036485284
219,takes,4.46892036485284
220,gotten,4.46892036485284
221,neither,4.4490692074843246
222,listened,4.4490692074843246
223,meetings,4.4293160809219945
224,wondered,4.4293160809219945
225,sense,4.4293160809219945
226,evening,4.409660021712278
227,earrings,4.394123825013075
228,explain,4.390100080535511
229,its,4.390100080535511
