,term,score
0,rosie,282.09586169641756
1,kristy,218.01008062242875
2,library,164.35893237544948
3,sean,146.51225438880846
4,fire,135.40331001825882
5,claudia,135.12148802423474
6,nicky,125.69890305834086
7,jessi,88.40909881594827
8,ms,87.25466202311591
9,shannon,69.0297842465593
10,children,61.73082441554517
11,stacey,52.1334875054134
12,list,41.89391483737677
13,bsc,38.753563085787675
14,mal,32.11451232527788
15,corrie,31.771469172385093
16,alan,29.442656400303655
17,kishi,29.240916828416132
18,mary,28.47309257476173
19,bathroom,25.317584074929304
20,mystery,23.458440192726503
21,claud,22.803404309685256
22,pike,22.344601824264203
23,logan,21.02870828206181
24,card,19.92651815711439
25,desk,19.5806917081245
26,charlotte,18.45279692023098
27,headed,17.927502732257384
28,gray,17.660715800808596
29,main,17.32820263251872
30,area,15.582475626595095
31,boys,15.365350281874289
32,handed,15.297223626757866
33,somebody,15.077468912250236
34,building,15.077468912250236
35,pocket,14.730436977166052
36,third,14.331395070564904
37,taylor,14.096710264056231
38,mallory,13.466611592690988
39,helping,13.08369020659469
40,jacket,12.74929823994144
41,woman,12.736292914041401
42,bet,12.710914002754329
43,led,12.234940320581892
44,office,12.00179174193961
45,checked,11.965978266076084
46,sign,11.755445523758413
47,town,11.651671169191468
48,names,11.22217632724249
49,its,10.975250201338778
50,explain,10.975250201338778
51,upstairs,10.926588304827048
52,sharon,10.892188879705166
53,giggling,10.813046376416434
54,worked,10.639487246002734
55,class,10.639487246002734
56,pile,10.5653485715847
57,ones,10.545589842504343
58,terrific,10.467356645200539
59,movie,10.327818966376853
60,notes,10.302425762258824
61,forgot,10.190411717199755
62,police,10.106019305266743
63,missed,10.099958694518241
64,ended,9.965961182074487
65,questions,9.921735048852625
66,cry,9.833929474344343
67,cold,9.776303744051681
68,others,9.746972276138711
69,spot,9.732226497563925
70,vanessa,9.730679545158953
71,sheet,9.699083727234177
72,man,9.660847216993353
73,awful,9.49103085825391
74,monday,9.49103085825391
75,crying,9.430303873701149
76,seems,8.93784072970568
77,key,8.880720500654567
78,meetings,8.858632161843989
79,regular,8.780200161071022
80,wonderful,8.780200161071022
81,legs,8.632044354020715
82,scene,8.621570265383696
83,light,8.587419748438537
84,definitely,8.587419748438537
85,helped,8.473942668502886
86,question,8.436471874003475
87,gently,8.325984676923895
88,loud,8.177830998579593
89,spotted,8.034783805726937
90,bright,8.032748084959774
91,neat,7.924011428688525
92,awesome,7.9212654616040385
93,wow,7.855523429069743
94,named,7.82061063849247
95,plan,7.82061063849247
96,usual,7.82061063849247
97,green,7.82061063849247
98,picking,7.779426119214162
99,leaned,7.7169050379964865
100,upset,7.7169050379964865
101,filled,7.7169050379964865
102,grinned,7.7169050379964865
103,member,7.7169050379964865
104,glanced,7.648611813378933
105,lately,7.638243134752997
106,group,7.6147134420484175
107,anybody,7.5344941520926305
108,notebook,7.51399227988372
109,figure,7.480738060573535
110,excited,7.447641072201915
111,involved,7.432508693881204
112,brown,7.414699834940025
113,news,7.414699834940025
114,newspaper,7.394462883314908
115,byron,7.323539708355126
116,bent,7.288451845061893
117,scary,7.253608498481427
118,doors,7.253608498481427
119,store,7.2335954499798
120,team,7.2335954499798
121,pack,7.219006284258558
122,clients,7.2010750451637655
123,track,7.168729953354507
124,obviously,7.082943466634134
125,calm,7.072727905275862
126,checking,7.016275812286807
127,luckily,6.983272392130048
128,wondering,6.978237763467026
129,interested,6.854522040250613
130,nancy,6.853394960113743
131,ear,6.823987623205785
132,forgotten,6.823987623205785
133,drew,6.763381047286761
134,writing,6.733305796345494
135,rather,6.7268059201922945
136,none,6.70338054727926
137,marilyn,6.69264077173758
138,wednesday,6.673603811226487
139,cover,6.512705934277654
140,fill,6.512705934277654
141,signed,6.4989778147021795
142,favorite,6.497981517425807
143,eye,6.497981517425807
144,responsible,6.4828550993451355
145,tigger,6.466055818156118
146,child,6.453181421746061
147,shrugged,6.412061194777316
148,grabbed,6.383692347601641
149,sitters,6.383692347601641
150,report,6.368885047879939
151,crowd,6.336217023872535
152,calling,6.327353905502607
153,terrible,6.165745967157655
154,dues,6.137890741910378
155,pink,6.137890741910378
156,board,6.120743484202128
157,lessons,6.031520454144935
158,hoping,6.027996208316501
159,happens,5.893939921063218
160,ring,5.841307856128281
161,nobody,5.841307856128281
162,quick,5.815198136222522
163,example,5.775205027406846
164,weeks,5.763384201044789
165,wrote,5.763384201044789
166,buy,5.737677203542696
167,jamie,5.729026478266308
168,emergency,5.693290902032683
169,tv,5.686656352671488
170,tiffany,5.674032121632352
171,hat,5.666354773307307
172,pencil,5.666354773307307
173,boo,5.66380651835709
174,total,5.63959882070412
175,bored,5.613020649829446
176,married,5.611088163621245
177,hallway,5.586617913704038
178,margo,5.560388311519402
179,audience,5.537472062306709
180,hardly,5.536645101152493
181,official,5.534329587434627
182,couch,5.508439529412157
183,president,5.487625100669389
184,sitter,5.4390810300345835
185,movies,5.431759864981276
186,california,5.41498459785484
187,waited,5.41498459785484
188,acting,5.406523188208217
189,game,5.3910037365373755
190,forward,5.367137342774085
191,claire,5.3565225371512915
192,tomorrow,5.343384328981097
193,director,5.331754656159607
194,stepped,5.296214167814304
195,clock,5.272794921252172
196,tea,5.271287715480657
197,dumb,5.258358101486821
198,popcorn,5.243118494431139
199,boring,5.210164747422123
200,certain,5.210164747422123
201,classes,5.162545137396849
202,aside,5.068973619098028
203,numbers,5.068973619098028
204,dollars,5.053009652633372
205,loved,5.045918800231028
206,ballet,5.000204016936537
207,jeff,4.955005795920803
208,low,4.932596773726123
209,scared,4.910312593528302
210,french,4.874233361026635
211,dog,4.8661132487819625
212,closer,4.8661132487819625
213,games,4.844195385723459
214,stage,4.8007603010017466
215,missing,4.800716696775844
216,johanssen,4.752759276962424
217,yelled,4.736372145769347
218,whenever,4.736372145769347
219,fifteen,4.736372145769347
220,sms,4.729043738441083
221,silence,4.7151519368505745
222,stomach,4.673046284902624
223,works,4.652158508978017
224,win,4.636013028213403
225,awhile,4.610707360835831
226,whether,4.610707360835831
227,loudly,4.610707360835831
228,exclaimed,4.610707360835831
229,dress,4.590141762834157
230,nose,4.590141762834157
231,rooms,4.523640340608702
232,glasses,4.508920698191174
233,silly,4.488870530896996
234,somehow,4.488870530896996
235,conversation,4.488870530896996
236,math,4.488870530896996
237,lawn,4.479843942345243
238,connecticut,4.46892036485284
239,lived,4.46892036485284
240,catch,4.46892036485284
241,sense,4.4293160809219945
242,safe,4.415325326682353
243,earrings,4.394123825013075
244,stairs,4.390100080535511
245,teachers,4.373071107037136
246,jump,4.373071107037136
247,jordan,4.373071107037136
248,adam,4.373071107037136
249,pikes,4.373071107037136
250,waved,4.370635321930819
251,fashion,4.352165099088856
252,tears,4.351264824027667
253,quite,4.351264824027667
254,often,4.351264824027667
255,announced,4.351264824027667
256,listen,4.3319876782838715
257,picture,4.3319876782838715
258,box,4.3319876782838715
259,becca,4.331403770555134
260,energy,4.331403770555134
261,likes,4.3128029892299
262,piece,4.3128029892299
263,shouted,4.3128029892299
264,deal,4.3128029892299
265,hurried,4.310785132691848
266,spoke,4.293709874219268
267,dressed,4.293709874219268
268,spent,4.274707463184877
269,spend,4.274707463184877
270,air,4.274707463184877
271,pay,4.255794898401094
272,besides,4.236971334251443
273,carried,4.22969911552809
274,eight,4.2182359370017375
275,however,4.189963435278028
276,pieces,4.189963435278028
277,daughter,4.15074719057597
278,smell,4.131329647059117
279,pale,4.131329647059117
280,nearby,4.1120369760682465
281,familiar,4.092867581771933
282,earth,4.073819898735957
283,following,4.017391902863468
284,chocolate,4.017391902863468
285,stepsister,3.998815992119705
286,finger,3.998815992119705
287,leaning,3.998815992119705
288,million,3.9803543953965703
289,arnold,3.979436400857945
290,richard,3.979436400857945
291,haley,3.9557674855639386
292,ice,3.943768576115116
293,paid,3.9076235605665923
294,noise,3.9076235605665923
295,whoa,3.9076235605665923
296,triplets,3.889713059607081
297,certainly,3.889713059607081
298,gasped,3.889713059607081
299,space,3.871908853047637
300,tall,3.871908853047637
301,braddock,3.8637972590802923
302,dance,3.8542096866660724
303,feelings,3.836614328308878
