,term,score
0,kristy,214.80405002504008
1,mall,178.72188990430993
2,mary,102.29222147229214
3,mal,93.96468421099823
4,jessi,88.40909881594827
5,store,86.80314539975761
6,claud,58.80877953550409
7,bus,52.26642701480886
8,claudia,52.1334875054134
9,ms,47.324562453215414
10,center,45.588941539943576
11,logan,39.72089342167231
12,project,39.62005714344262
13,town,39.19198484182585
14,bsc,32.69831885363335
15,shannon,31.487270007202486
16,guy,30.3239137479871
17,charlie,28.946120259185005
18,police,23.580711712289066
19,class,23.406871941206017
20,somebody,23.30154286438673
21,jobs,23.048025422811435
22,fire,22.076626633411767
23,woman,21.999051396980605
24,stacey,20.215025767405194
25,popcorn,19.224767812914173
26,movie,18.360567051336627
27,office,18.002687612909412
28,headed,17.927502732257384
29,counter,16.66786242917242
30,bunch,16.2098273451436
31,children,15.16195687399355
32,man,15.02798455976744
33,explained,14.82939966988005
34,alan,14.721328200151827
35,report,14.329991357729863
36,glanced,14.20456479627516
37,break,14.016609714997175
38,list,13.587215622933007
39,shopping,13.391306342878229
40,nervous,13.228980065136835
41,paint,13.056495297266567
42,favorite,12.995963034851615
43,planned,12.96666782633908
44,blonde,12.850877283482218
45,anybody,12.557490253487718
46,involved,12.387514489802008
47,takes,12.28953100334531
48,wonder,12.072775221472655
49,spent,11.755445523758413
50,figure,11.755445523758413
51,nobody,11.682615712256561
52,area,11.332709546614614
53,empty,11.272301745477936
54,toys,11.250459038107207
55,artist,11.226041299658892
56,checking,11.226041299658892
57,catch,11.172300912132101
58,dog,10.948754809759416
59,handed,10.926588304827048
60,checked,10.878162060069167
61,yelled,10.65683732798103
62,fifteen,10.65683732798103
63,taken,10.545589842504343
64,birthday,10.430422632888398
65,notes,10.302425762258824
66,party,10.190411717199755
67,lately,10.184324179670663
68,camera,10.130429222999236
69,example,10.10660879796198
70,chairs,10.010716887454846
71,meetings,9.965961182074487
72,officer,9.955082133587654
73,regular,9.8777251812049
74,painting,9.84846903696454
75,stuffed,9.82278613720153
76,shea,9.800972342880655
77,group,9.79034585406225
78,tuesday,9.644793933306401
79,missing,9.601433393551687
80,younger,9.57553852140246
81,glance,9.37391444001476
82,main,9.330570648279313
83,cheese,9.318003292900222
84,cover,9.117788307988715
85,whoa,9.117788307988715
86,bart,9.109601091523013
87,library,9.047280681217403
88,art,9.017841396382348
89,boxes,8.911283657211829
90,seats,8.830650653364707
91,happening,8.710696866889197
92,fashion,8.704330198177711
93,others,8.663975356567743
94,bag,8.663975356567743
95,admitted,8.580614474961298
96,pay,8.511589796802188
97,worked,8.511589796802188
98,bet,8.473942668502886
99,mystery,8.37801435454518
100,train,8.334724040829606
101,mostly,8.325984676923895
102,happens,8.251515889488505
103,add,8.224073952136493
104,terrific,8.14127739071153
105,ride,8.1049136725718
106,watson,7.996942380292381
107,pair,7.9258757800442545
108,forgot,7.9258757800442545
109,sms,7.881739564068473
110,math,7.855523429069743
111,wow,7.855523429069743
112,named,7.82061063849247
113,age,7.82061063849247
114,gotten,7.82061063849247
115,noise,7.815247121133185
116,wednesday,7.785871113097568
117,wondered,7.751303141613491
118,member,7.7169050379964865
119,grinned,7.7169050379964865
120,wonderful,7.682675140937144
121,ideas,7.682675140937144
122,raised,7.682675140937144
123,desk,7.6147134420484175
124,crowd,7.6034604286470415
125,disappeared,7.568878200346541
126,gray,7.568878200346541
127,deal,7.547405231152325
128,uh,7.480738060573535
129,grabbed,7.447641072201915
130,excited,7.447641072201915
131,giggled,7.432508693881204
132,ones,7.381912889753041
133,games,7.266293078585189
134,obviously,7.082943466634134
135,loud,7.009569427353936
136,museum,6.978571311150555
137,pete,6.928983405296925
138,himself,6.7936078114665035
139,cat,6.789699831226596
140,young,6.763381047286761
141,giggling,6.758153985260272
142,stace,6.737346203511162
143,mallory,6.733305796345494
144,none,6.70338054727926
145,carefully,6.673603811226487
146,upset,6.614490032568417
147,pile,6.603342857240437
148,president,6.585150120803267
149,kits,6.572947626858526
150,york,6.555952982896228
151,sitter,6.526897236041501
152,months,6.512705934277654
153,planning,6.512705934277654
154,eye,6.497981517425807
155,responsible,6.4828550993451355
156,friendly,6.453181421746061
157,definitely,6.440564811328903
158,forward,6.440564811328903
159,shrugged,6.412061194777316
160,sign,6.412061194777316
161,thomas,6.383692347601641
162,brown,6.3554570013771645
163,awesome,6.337012369283231
164,awful,6.327353905502607
165,clock,6.327353905502607
166,carrying,6.307398500288785
167,erica,6.249396266535913
168,van,6.191478517748083
169,scared,6.137890741910378
170,ourselves,6.110189840032301
171,note,6.082641560977454
172,spot,6.082641560977454
173,pointing,6.082641560977454
174,machine,6.0610408833354255
175,strange,6.027996208316501
176,tape,5.944244264566377
177,shoes,5.893939921063218
178,aunt,5.8588317666841006
179,jump,5.830761476049514
180,mentioned,5.789224051837001
181,twenty,5.763384201044789
182,weeks,5.763384201044789
183,cookies,5.747713510255798
184,jeans,5.737677203542696
185,dress,5.737677203542696
186,several,5.7121017002088434
187,card,5.693290902032683
188,hat,5.666354773307307
189,exciting,5.666354773307307
190,although,5.611088163621245
191,sisters,5.611088163621245
192,baseball,5.586617913704038
193,seems,5.586150456066051
194,leaned,5.512075027140347
195,third,5.512075027140347
196,plenty,5.512075027140347
197,questions,5.512075027140347
198,joined,5.512075027140347
199,its,5.487625100669389
200,nearby,5.482715968090995
201,drive,5.463294152413524
202,upstairs,5.463294152413524
203,seat,5.463294152413524
204,sharon,5.446094439852583
205,often,5.4390810300345835
206,movies,5.431759864981276
207,brothers,5.41498459785484
208,major,5.406523188208217
209,cream,5.406523188208217
210,shouted,5.3910037365373755
211,game,5.3910037365373755
212,notebook,5.367137342774085
213,following,5.3565225371512915
214,putting,5.343384328981097
215,admit,5.343384328981097
216,director,5.331754656159607
217,key,5.328432300392739
218,frowned,5.307139193862094
219,officers,5.307139193862094
220,video,5.299723947344288
221,stepped,5.296214167814304
222,mine,5.296214167814304
223,pass,5.28267428579235
224,monday,5.272794921252172
225,dinner,5.272794921252172
226,earlier,5.186284079476108
