,term,score
0,derek,1102.6377382284822
1,claire,97.75653630301107
2,lindsey,94.65041424786017
3,mary,87.52839569278605
4,cokie,84.68132189990884
5,mal,80.88099400440355
6,shannon,76.29607732514448
7,movie,71.14719732392943
8,claud,62.40931705808597
9,makeup,53.166349969866125
10,charlotte,52.282924607321114
11,claudia,46.813743882412034
12,glass,41.927072576672046
13,kristy,36.33501343707146
14,scene,35.923209439098734
15,stacey,32.98241046260848
16,somebody,30.154937824500472
17,margo,27.80194155759701
18,summer,26.535695969310467
19,vanessa,26.41184447971716
20,van,24.76591407099233
21,shot,24.643729469347793
22,becca,24.544621366479095
23,bsc,24.220976928617297
24,pink,23.323984819259437
25,charlie,23.156896207348005
26,jessi,22.39697170004023
27,crowd,20.27589447639211
28,star,20.180417760576884
29,michael,19.860446710836154
30,david,19.860446710836154
31,gym,17.602787770339738
32,emily,17.421393733778395
33,scary,17.408660396355423
34,accident,17.408660396355423
35,lines,17.33982704095064
36,party,16.98401952866626
37,spotted,16.069567611453873
38,guy,15.16195687399355
39,rose,15.159028957900116
40,mystery,15.080425838181322
41,michelle,15.007181133163755
42,headed,14.763825779506082
43,totally,14.719483591510757
44,california,14.078959954422583
45,blood,13.771672839454789
46,town,13.77015683631719
47,pool,13.367728449288052
48,director,13.329386640399017
49,pile,13.206685714480875
50,costume,13.032238543337561
51,man,12.881129622657806
52,woman,12.736292914041401
53,hot,12.510643975877272
54,soda,12.181561594570997
55,eye,11.912966115280646
56,yelled,11.840930364423368
57,safe,11.774200871152942
58,figure,11.755445523758413
59,logan,11.682615712256561
60,explained,11.651671169191468
61,lights,11.495427020511595
62,tv,11.373312705342975
63,definitely,10.73427468554817
64,mirror,10.5653485715847
65,blonde,10.514354141030905
66,bunch,10.420603293306602
67,watson,10.281783060375918
68,bent,10.20383258308665
69,young,10.145071570930142
70,police,10.106019305266743
71,anybody,10.045992202790174
72,waving,9.916120853287788
73,sam,9.910011591841606
74,involved,9.910011591841606
75,spot,9.732226497563925
76,notebook,9.660847216993353
77,grabbed,9.57553852140246
78,acting,9.46141557936438
79,possible,9.221414721671662
80,list,9.058143748622005
81,fault,9.034453990444486
82,page,8.959687884690487
83,gotten,8.93784072970568
84,usual,8.93784072970568
85,named,8.93784072970568
86,meetings,8.858632161843989
87,notes,8.830650653364707
88,glanced,8.741270643861638
89,seat,8.741270643861638
90,waved,8.741270643861638
91,brothers,8.663975356567743
92,picture,8.663975356567743
93,shouted,8.6256059784598
94,cookies,8.621570265383696
95,window,8.587419748438537
