,term,score
0,pictures,228.7385774146767
1,mary,147.6382577950608
2,kristy,139.99666941930474
3,stacey,122.35410332903145
4,sergeant,115.25973027854707
5,johnson,99.29556212856616
6,camera,91.17386300699312
7,buddy,72.59341649149133
8,janine,71.13035525813471
9,jamie,68.7483177391957
10,picture,66.06281209382904
11,charlotte,58.433856914064776
12,jessi,57.76061122641954
13,suzi,48.10142688285058
14,police,47.16142342457813
15,mal,42.81934976703717
16,bsc,41.1756607786494
17,shannon,41.1756607786494
18,becca,40.42643519184792
19,lucy,36.6835370779265
20,barrett,35.716120220853
21,nicky,33.51970748222423
22,radio,33.22483237384026
23,mystery,31.836454547271682
24,project,30.37537714330601
25,roll,30.154937824500472
26,woman,28.946120259185005
27,dewitt,28.096170866280616
28,somebody,27.41357984045497
29,sunday,25.931420397380542
30,haley,25.7124886561656
31,pow,25.703873975622272
32,matt,24.76591407099233
33,headed,23.200297653509555
34,taken,23.200297653509555
35,ones,22.14573866925912
36,desk,20.668507914131418
37,math,20.199917389036482
38,suit,19.60244147597104
39,vanessa,19.461359090317906
40,station,19.412657083496054
41,summer,18.57498717851733
42,newton,18.35567520601714
43,light,18.248266965431892
44,clock,17.927502732257384
45,claudia,17.023179593604375
46,totally,16.98401952866626
47,bathroom,16.8783893832862
48,clue,16.520107685415425
49,bunch,16.2098273451436
50,shot,15.255642052453394
51,checked,15.229426884096835
52,building,15.077468912250236
53,man,15.02798455976744
54,sign,14.96147612114707
55,grabbed,14.89528214440383
56,robert,14.58930571624807
57,pile,14.527354285928961
58,lights,14.369283775639495
59,logan,14.019138854707872
60,quick,13.956475526934051
61,window,13.954557091212623
62,marnie,13.569911495475683
63,dollars,13.474692407022324
64,ideas,13.170300241606533
65,eye,12.995963034851615
66,class,12.767384695203281
67,interesting,12.679445242298536
68,picnic,12.568935301916104
69,test,12.548037882821351
70,key,12.433008700916393
71,flowers,12.241486968404256
72,claud,12.00179174193961
73,safe,11.774200871152942
74,adam,11.661522952099029
75,booth,11.458052956532615
76,bart,11.387001364403766
77,breakfast,11.250459038107207
78,officer,11.19946740028611
79,jobs,10.975250201338778
80,bag,10.82996919570968
81,giggling,10.813046376416434
82,boyfriend,10.73427468554817
83,worked,10.639487246002734
84,explained,10.592428335628608
85,cover,10.420329494844246
86,jordan,10.20383258308665
87,singing,10.155051897873998
88,lunch,10.05507082091889
89,carefully,10.010405716839731
90,involved,9.910011591841606
91,upstairs,9.833929474344343
92,glanced,9.833929474344343
93,guy,9.746972276138711
94,favorite,9.746972276138711
95,sheet,9.699083727234177
96,definitely,9.660847216993353
97,notebook,9.660847216993353
98,windows,9.417528288269212
99,pocket,9.37391444001476
100,doorway,9.287493589258665
101,downstairs,9.13936272033415
102,porch,9.136171195928249
103,whoa,9.117788307988715
104,planning,9.117788307988715
