,term,score
0,sunny,213.36893544523792
1,jill,164.2520391671568
2,halloween,137.01501149197557
3,maggie,134.86162015814693
4,carol,108.27851730271914
5,costume,102.08586858947756
6,buddy,100.64087286320388
7,barrett,100.00513661838839
8,suzi,85.27071129232604
9,jeff,61.937572449010034
10,dewitt,59.00195881918929
11,party,58.87793436604303
12,marnie,58.80294981372796
13,lindsey,48.85182670857299
14,mal,42.81934976703717
15,jessi,38.90000347901724
16,stephie,38.00979379742459
17,police,35.3710675684336
18,stacey,34.04635918720875
19,officer,32.35401693415987
20,van,30.95739258874041
21,woman,26.630430638450203
22,boys,26.340600483213066
23,headed,25.309415622010427
24,guy,23.825932230561293
25,yard,19.359544265238185
26,somebody,19.189505888318482
27,green,18.99291155062457
28,yelled,18.94548858307739
29,pink,18.413672225731133
30,counter,18.183122650006275
31,pow,17.99271178293559
32,tape,17.83273279369913
33,dressed,17.174839496877073
34,figure,17.09882985273951
35,bsc,16.954683850032108
36,planning,16.9330354291219
37,mystery,16.75602870909036
38,track,16.727036557827184
39,radio,16.61241618692013
40,ghost,16.3304325649024
41,kristy,16.03015298694329
42,gym,16.00253433667249
43,candy,15.63049424226637
44,backyard,14.932813141150811
45,houses,14.860610661415944
46,street,14.82939966988005
47,brown,14.82939966988005
48,clue,14.684540164813711
49,store,14.4671908999596
50,outfit,14.327953055410838
51,cute,13.956475526934051
52,definitely,13.954557091212623
53,man,13.954557091212623
54,wonderful,13.170300241606533
55,paint,13.056495297266567
56,bought,12.96666782633908
57,totally,12.454947654355257
58,catch,12.28953100334531
59,dog,12.165283121954907
60,terrific,11.630396272445044
61,mary,11.600148826754777
62,backpack,11.548952623646347
63,dress,11.475354407085392
64,connecticut,11.172300912132101
65,wedding,10.952490894826177
66,upstairs,10.926588304827048
67,hoping,10.850393174969701
68,window,10.73427468554817
69,practice,10.614278387724188
70,shoes,10.609091857913793
71,helped,10.592428335628608
72,news,10.592428335628608
73,nobody,10.514354141030905
74,letter,10.252955591697177
75,grinning,10.230971542157008
76,drove,10.184324179670663
77,taylor,10.069078760040163
78,plans,10.000408033873073
79,plenty,9.921735048852625
80,hit,9.79034585406225
81,group,9.79034585406225
82,california,9.746972276138711
83,game,9.703806725767276
84,garage,9.699083727234177
85,sergeant,9.604977523212256
86,pool,9.54837746377718
87,coach,9.54837746377718
88,town,9.533185502065747
89,bet,9.533185502065747
90,ones,9.49103085825391
91,fingers,9.472744291538694
92,glance,9.37391444001476
93,blonde,9.346092569805249
94,win,9.272026056426807
95,quietly,9.262758482939201
96,mirror,9.244680000136611
97,bright,9.180283525668314
98,grown,9.017841396382348
99,reminded,9.017841396382348
100,staring,8.93784072970568
101,lately,8.911283657211829
102,eating,8.819320043424556
103,ideas,8.780200161071022
104,handed,8.741270643861638
