,term,score
0,carrot,385.9354942729638
1,kristy,131.44725449293497
2,mary,94.91030858253909
3,jessi,84.87273486331034
4,jake,81.03688529037149
5,mal,74.93386209231505
6,claudia,69.15666709901778
7,claud,68.41021292905577
8,robert,60.78877381770029
9,charlotte,58.433856914064776
10,marilyn,51.310245916654786
11,johanssen,50.69609895426585
12,dr,47.908134342878654
13,carolyn,44.92295458753297
14,snow,44.573888581196634
15,kuhn,40.974833177375245
16,ride,39.36672355249161
17,key,39.075170202880095
18,bsc,35.12041654649508
19,party,32.83577108875477
20,dog,31.629736117082757
21,headed,29.527651559012163
22,stacey,28.726615564207382
23,christmas,27.842802117066746
24,mystery,25.134043063635538
25,twins,24.87541596711795
26,nicky,23.74312613324216
27,claire,22.76522078289299
28,radio,22.149888249226837
29,police,21.896375161411278
30,shannon,21.798879235755567
31,logan,21.02870828206181
32,van,20.63826172582694
33,coat,20.595290200170503
34,somebody,20.56018488034123
35,glass,18.497237901472964
36,bill,18.071262012438055
37,arnold,17.90746380386075
38,french,17.872188990430992
39,machine,16.66786242917242
40,stairs,16.462875302008165
41,man,16.101412028322255
42,train,15.002503273493291
43,explained,14.82939966988005
44,silly,14.588829225415237
45,mail,14.364497487904119
46,porch,13.704256793892371
47,list,13.587215622933007
48,newspaper,13.310033189966836
49,project,13.206685714480875
50,planning,13.025411868555308
51,definitely,12.881129622657806
52,warm,12.730405224588328
53,checking,12.629296462116253
54,weather,12.424004390533629
55,hug,12.055992416633002
56,station,11.946250512920649
57,favorite,11.912966115280646
58,barn,11.867302456691815
59,becca,11.550410054813693
60,anybody,11.301741228138946
61,empty,11.272301745477936
62,its,10.975250201338778
63,upstairs,10.926588304827048
64,games,10.899439617877784
65,checked,10.878162060069167
66,dining,10.871003841716925
67,trip,10.850393174969701
68,guy,10.82996919570968
69,broken,10.762889472307672
70,chocolate,10.713045074302583
71,putting,10.686768657962194
72,younger,10.639487246002734
73,grabbed,10.639487246002734
74,nobody,10.514354141030905
75,rock,10.452969198805569
76,woman,10.420603293306602
77,noise,10.420329494844246
78,sunday,10.372568158952216
79,byron,10.252955591697177
80,adam,10.20383258308665
81,sisters,10.099958694518241
82,seconds,10.091837600462055
83,staring,10.05507082091889
84,happening,9.955082133587654
85,nervous,9.921735048852625
86,cold,9.776303744051681
87,eye,9.746972276138711
88,closer,9.732226497563925
89,vanessa,9.730679545158953
90,light,9.660847216993353
91,strange,9.644793933306401
92,spent,9.618091792165973
93,normal,9.601433393551687
94,missing,9.601433393551687
95,tree,9.505579763717234
96,listening,9.430303873701149
97,dogs,9.411028412116014
98,covered,9.304317017956034
99,wild,9.304317017956034
100,single,9.180283525668314
101,newton,9.17783760300857
102,watson,9.13936272033415
103,water,9.058143748622005
104,totally,9.058143748622005
105,pike,8.93784072970568
106,catch,8.93784072970568
107,listened,8.898138414968649
108,basement,8.880720500654567
109,lit,8.78824765002615
110,leaving,8.780200161071022
111,breakfast,8.75035702963894
112,scene,8.621570265383696
113,spoke,8.587419748438537
114,pointing,8.515698185368434
115,pulling,8.515698185368434
116,street,8.473942668502886
117,ones,8.436471874003475
118,clients,8.401254219357726
119,tiny,8.251515889488505
120,add,8.224073952136493
121,glance,8.034783805726937
122,shopping,8.034783805726937
123,nose,8.032748084959774
124,shut,7.996942380292381
125,forgotten,7.961318893740082
126,pet,7.95887280171589
127,himself,7.9258757800442545
128,plan,7.82061063849247
129,named,7.82061063849247
130,usual,7.82061063849247
131,loves,7.785871113097568
132,schedule,7.743817706095274
133,evening,7.7169050379964865
134,jobs,7.682675140937144
135,often,7.6147134420484175
136,bag,7.580978436996775
137,beautiful,7.547405231152325
138,figure,7.480738060573535
139,spend,7.480738060573535
140,ears,7.432508693881204
141,eight,7.381912889753041
142,notes,7.358875544470589
143,closet,7.299169873172944
144,jordan,7.288451845061893
145,bent,7.288451845061893
146,team,7.2335954499798
147,hoping,7.2335954499798
148,tuesday,7.2335954499798
149,lights,7.1846418878197476
150,cookies,7.1846418878197476
151,planned,7.072727905275862
152,date,7.072727905275862
153,um,7.072727905275862
154,calm,7.072727905275862
155,tonight,7.041065562670798
156,played,7.009569427353936
157,popcorn,6.990824659241518
158,quick,6.978237763467026
159,margo,6.950485389399253
160,neck,6.9179119842932835
161,body,6.885212644251235
162,downstairs,6.854522040250613
163,stace,6.737346203511162
164,jumping,6.7268059201922945
165,gotten,6.70338054727926
166,wednesday,6.673603811226487
167,ended,6.643974121382992
168,twice,6.633923992327617
169,grinned,6.614490032568417
170,opening,6.603342857240437
171,wonder,6.585150120803267
172,explain,6.585150120803267
173,regular,6.585150120803267
174,wonderful,6.585150120803267
175,ideas,6.585150120803267
176,glanced,6.555952982896228
177,york,6.555952982896228
178,record,6.555952982896228
179,whoa,6.512705934277654
180,listen,6.497981517425807
181,triplets,6.4828550993451355
182,game,6.46920448384485
183,yard,6.453181421746061
184,window,6.440564811328903
185,lately,6.365202612294164
186,bet,6.3554570013771645
187,news,6.3554570013771645
188,awesome,6.337012369283231
189,dinner,6.327353905502607
190,carrying,6.307398500288785
191,thursday,6.250255021170671
192,subject,6.193757244901004
193,american,6.193757244901004
194,involved,6.193757244901004
195,themselves,6.110189840032301
196,note,6.082641560977454
197,counter,6.0610408833354255
198,wide,6.000895870969805
199,bought,5.893939921063218
200,loud,5.841307856128281
201,scary,5.802886798785141
202,paint,5.802886798785141
203,bunch,5.789224051837001
204,energy,5.775205027406846
205,example,5.775205027406846
206,wrote,5.763384201044789
207,weeks,5.763384201044789
208,emergency,5.693290902032683
209,tv,5.686656352671488
210,hot,5.686656352671488
211,hanging,5.686656352671488
212,tiffany,5.674032121632352
213,obviously,5.666354773307307
214,jacket,5.666354773307307
215,bags,5.666354773307307
216,area,5.666354773307307
217,art,5.636150872738968
218,maria,5.619234173256123
219,stared,5.611088163621245
220,somehow,5.611088163621245
221,green,5.586150456066051
222,expression,5.560388311519402
223,meetings,5.536645101152493
224,notice,5.536645101152493
225,burst,5.536645101152493
226,sense,5.536645101152493
227,daughter,5.534329587434627
228,eating,5.512075027140347
229,upset,5.512075027140347
230,member,5.512075027140347
231,starting,5.512075027140347
232,gorgeous,5.4571567756959105
233,hit,5.4390810300345835
234,desk,5.4390810300345835
235,others,5.41498459785484
236,waited,5.41498459785484
237,deal,5.3910037365373755
238,break,5.3910037365373755
239,piece,5.3910037365373755
240,rather,5.381444736153836
241,forward,5.367137342774085
242,shrugged,5.343384328981097
243,brown,5.296214167814304
244,helped,5.296214167814304
245,pile,5.28267428579235
246,question,5.272794921252172
247,monday,5.272794921252172
248,kits,5.258358101486821
249,tall,5.162545137396849
250,disappointed,5.162545137396849
251,yellow,5.138946248888097
252,promise,5.138946248888097
253,discovered,5.115485771078504
254,grinning,5.115485771078504
255,students,5.053009652633372
256,insisted,5.045918800231028
257,careful,5.022996101395087
258,ballet,5.000204016936537
259,plans,5.000204016936537
260,act,4.977541066793827
261,invited,4.977541066793827
262,huh,4.955005795920803
263,giggled,4.955005795920803
264,buddy,4.949551124419863
265,legs,4.932596773726123
266,scared,4.910312593528302
267,ghost,4.89912976947072
268,promised,4.888151872025841
269,spot,4.8661132487819625
270,ramsey,4.8661132487819625
271,sight,4.8223969666532005
272,bathroom,4.8223969666532005
273,faces,4.8223969666532005
274,karen,4.800716696775844
275,company,4.779153302236338
276,shy,4.779153302236338
277,track,4.779153302236338
278,yelled,4.736372145769347
279,including,4.736372145769347
280,sms,4.729043738441083
281,purple,4.729043738441083
282,weekend,4.7151519368505745
283,nearly,4.694043708447198
284,mention,4.694043708447198
285,gets,4.652158508978017
286,written,4.652158508978017
287,sleeping,4.636013028213403
288,mentioned,4.631379241469601
289,clear,4.631379241469601
290,charlie,4.631379241469601
291,needs,4.610707360835831
292,sleep,4.610707360835831
293,whether,4.610707360835831
294,kiss,4.590557613151596
295,dear,4.545780662501569
296,rooms,4.523640340608702
297,young,4.508920698191174
298,glasses,4.508920698191174
299,married,4.488870530896996
300,page,4.479843942345243
301,aunt,4.394123825013075
302,hiding,4.373071107037136
303,group,4.351264824027667
304,sitter,4.351264824027667
305,nine,4.351264824027667
306,broke,4.3319876782838715
307,box,4.3319876782838715
308,brothers,4.3319876782838715
309,likes,4.3128029892299
310,hurried,4.310785132691848
311,boyfriend,4.293709874219268
312,notebook,4.293709874219268
313,tomorrow,4.274707463184877
314,worked,4.255794898401094
315,excited,4.255794898401094
316,sighed,4.255794898401094
317,sitters,4.255794898401094
318,pay,4.255794898401094
319,round,4.24976607998048
320,pencil,4.24976607998048
321,town,4.236971334251443
322,total,4.22969911552809
323,bored,4.209765487372085
324,kinds,4.209765487372085
325,bowl,4.189963435278028
326,milk,4.15074719057597
327,official,4.15074719057597
328,matt,4.127652345165388
329,nearby,4.1120369760682465
330,enjoy,4.1120369760682465
331,nancy,4.1120369760682465
332,month,4.092867581771933
333,above,4.073819898735957
334,movies,4.073819898735957
335,giggling,4.054892391156162
336,horrible,4.054892391156162
337,sounding,4.036083552115377
338,cecelia,4.027631504016066
339,style,3.998815992119705
340,lay,3.9620057143442624
341,haley,3.9557674855639386
342,return,3.9256416327472277
343,certain,3.9076235605665923
344,earlier,3.889713059607081
345,picking,3.889713059607081
346,happily,3.871908853047637
347,child,3.871908853047637
348,yesterday,3.871908853047637
349,relief,3.836614328308878
350,jamie,3.819350985510872
351,coach,3.819350985510872
352,asleep,3.8191215673764987
353,folded,3.8017302143235208
354,gray,3.7844391001732705
355,sam,3.716254346940602
356,large,3.716254346940602
357,somewhere,3.716254346940602
358,jeff,3.716254346940602
359,andrew,3.6994475802945925
360,war,3.6916480415378063
361,expect,3.6827344451462265
362,clue,3.671135041203428
363,touch,3.6661139040193804
364,lying,3.6661139040193804
365,wedding,3.650830298275392
366,welcome,3.649584936586472
367,luck,3.6167977249899
368,store,3.6167977249899
369,interrupted,3.6005375225818828
370,fight,3.6005375225818828
371,softly,3.6005375225818828
372,fingers,3.55227910932701
373,step,3.536363952637931
374,happens,3.536363952637931
375,mess,3.504784713676968
376,unless,3.504784713676968
377,stomach,3.504784713676968
378,mansion,3.504784713676968
379,finish,3.458030520626873
380,moving,3.458030520626873
381,junior,3.4426063221256173
382,bright,3.4426063221256173
383,grew,3.4272610201253064
384,seeing,3.4119938116028923
385,pair,3.3968039057332517
386,drew,3.3816905236433805
387,conversation,3.366652898172747
388,lived,3.35169027363963
389,seems,3.35169027363963
390,none,3.35169027363963
391,carefully,3.3368019056132434
392,mad,3.3368019056132434
393,puppy,3.3338896163318426
394,hardly,3.321987060691496
395,filled,3.3072450162842086
396,leaned,3.3072450162842086
397,questions,3.3072450162842086
398,president,3.2925750604016333
399,repeated,3.2925750604016333
400,boys,3.2925750604016333
401,divorced,3.2925750604016333
402,cry,3.277976491448114
403,fortunately,3.26608651298048
404,asking,3.2634486180207505
405,quite,3.2634486180207505
406,threw,3.2634486180207505
407,junk,3.2634486180207505
408,mall,3.2494889073510898
409,california,3.2489907587129037
410,children,3.2489907587129037
411,mcgill,3.2489907587129037
412,dressed,3.2202824056644515
413,air,3.206030597388658
414,admit,3.206030597388658
415,barely,3.1918461738008204
416,report,3.1844425239399694
417,stepped,3.1777285006885823
418,practically,3.1636769527513033
419,calling,3.1636769527513033
420,clock,3.1636769527513033
421,squirt,3.1214451898212277
422,present,3.0157602270724677
423,chips,3.001108146888322
424,charges,3.001108146888322
425,greeted,2.9865626282301623
426,thanksgiving,2.9865477947871395
427,doctor,2.9721221322831886
428,excellent,2.9577851533259634
429,final,2.9577851533259634
430,safe,2.9435502177882356
431,shop,2.9435502177882356
432,letter,2.9294158833420503
433,dream,2.915380738024757
434,jump,2.915380738024757
435,woke,2.887602513703423
436,doorbell,2.873856755127899
437,admitted,2.860204824987099
438,dancing,2.860204824987099
439,carried,2.81979941035206
440,strong,2.806510324914723
441,stuffed,2.806510324914723
442,decision,2.7542197647060784
443,whose,2.7413579840454974
444,letters,2.7285783878479553
445,michelle,2.7285783878479553
446,rushed,2.7285783878479553
447,slightly,2.7285783878479553
448,lips,2.715879932490638
449,hugged,2.715879932490638
450,star,2.690722368076918
451,simple,2.6782612685756457
452,spotted,2.6782612685756457
453,pocket,2.6782612685756457
454,tossed,2.6658773280798034
455,finger,2.6658773280798034
456,stepsister,2.6658773280798034
457,leaning,2.6658773280798034
458,director,2.6658773280798034
459,flew,2.653569596931047
460,frowned,2.653569596931047
461,neat,2.641337142896175
462,student,2.641337142896175
463,lifted,2.641337142896175
464,pass,2.641337142896175
465,snapped,2.6291790507434105
466,parade,2.613872509501966
467,center,2.6050823737110615
468,snack,2.6050823737110615
469,responsible,2.593142039738054
470,hasn,2.5812725686984246
471,pow,2.5703873975622273
472,letting,2.5694731244440483
473,paused,2.5694731244440483
