,term,score
0,jessi,193.32122941087357
1,cokie,101.07125517085893
2,mary,99.12854451954082
3,claudia,79.79615434502051
4,mal,72.55500932747965
5,stacey,70.22061582361805
6,bsc,65.3966377072667
7,karen,63.60949623227993
8,letter,54.19419384182793
9,charlotte,52.282924607321114
10,mystery,50.268086127271076
11,becca,49.08924273295819
12,cabin,45.99057096680391
13,jackie,44.037276612465135
14,michael,40.889154992897964
15,david,40.889154992897964
16,thomas,40.43005153481039
17,henry,38.90481524332819
18,garden,34.875782891432564
19,watson,30.845349181127755
20,library,30.157602270724677
21,somebody,27.41357984045497
22,emily,24.887705333969134
23,claud,20.403045961297337
24,tea,19.328054956762408
25,kristy,19.236183584331947
26,matt,18.574435553244246
27,nannie,17.661301306729413
28,figure,17.09882985273951
29,bet,16.947885337005772
30,rose,16.843365508777907
31,green,16.758451368198152
32,krushers,16.00253433667249
33,baseball,15.363199262686106
34,logan,15.187400425933529
35,disappeared,15.137756400693082
36,michelle,15.007181133163755
37,tree,14.93733962869851
38,dress,14.917960729211009
39,town,14.82939966988005
40,report,14.329991357729863
41,area,14.165886933268268
42,dewitt,14.048085433140308
43,nobody,14.019138854707872
44,notebook,13.954557091212623
45,charlie,13.894137724408802
46,headed,13.709266795255648
47,interested,13.709044080501226
48,porch,13.704256793892371
49,andrew,13.564641127746839
50,page,13.43953182703573
51,named,13.40676109455852
52,strange,13.261591658296302
53,suzi,13.11857096805016
54,box,12.995963034851615
55,mess,12.850877283482218
56,clue,12.848972644211997
57,ground,12.557490253487718
58,married,12.34439395996674
59,dead,12.052175708590406
60,finger,11.996447976359114
61,date,11.787879842126436
62,planning,11.722870681699778
63,excited,11.703435970603008
64,brown,11.651671169191468
65,example,11.550410054813693
66,buddy,11.548952623646347
67,clean,11.373312705342975
68,party,11.322679685777505
69,carolyn,11.230738646883243
70,cold,10.998341712058142
71,its,10.975250201338778
72,history,10.914313551391821
73,team,10.850393174969701
74,missing,10.801612567745648
75,barrett,10.714836066255899
76,summer,10.614278387724188
77,explained,10.592428335628608
78,whoa,10.420329494844246
79,buy,10.327818966376853
80,snow,10.130429222999236
81,checked,9.79034585406225
82,news,9.533185502065747
83,helping,9.515411059341593
84,ones,9.49103085825391
85,woman,9.262758482939201
86,pile,9.244680000136611
87,weeks,9.221414721671662
88,flowers,9.181115226303191
89,sweater,9.091561325003138
90,charges,9.003324440664965
91,paused,8.993155935554169
92,staring,8.93784072970568
93,led,8.898138414968649
94,folded,8.870703833421548
95,member,8.819320043424556
96,record,8.741270643861638
97,bag,8.663975356567743
98,children,8.663975356567743
99,california,8.663975356567743
100,brothers,8.663975356567743
101,pink,8.593047038674529
102,closer,8.515698185368434
103,using,8.515698185368434
104,worked,8.511589796802188
105,information,8.477341925016054
106,bored,8.41953097474417
107,checking,8.41953097474417
108,smell,8.262659294118235
109,happens,8.251515889488505
110,whether,8.068737881462704
111,interesting,8.068737881462704
112,wall,8.068737881462704
113,empty,7.890611221834554
114,loves,7.785871113097568
115,afraid,7.751303141613491
116,wonder,7.682675140937144
117,apple,7.650929355252661
118,desk,7.6147134420484175
119,gray,7.568878200346541
120,window,7.51399227988372
121,forward,7.51399227988372
122,act,7.466311600190741
123,comes,7.414699834940025
124,clock,7.381912889753041
125,taken,7.381912889753041
126,monday,7.381912889753041
127,truth,7.365468890292453
128,notes,7.358875544470589
129,promised,7.332227808038761
130,note,7.299169873172944
131,accident,7.253608498481427
132,hoping,7.2335954499798
133,card,7.116613627540854
134,waving,7.082943466634134
135,written,6.978237763467026
136,terrific,6.978237763467026
137,john,6.953615088592265
138,mentioned,6.947068862204401
139,jeans,6.885212644251235
140,single,6.885212644251235
141,bright,6.885212644251235
142,building,6.853394960113743
143,pair,6.7936078114665035
144,dollars,6.737346203511162
145,following,6.6956531714391145
146,marilyn,6.69264077173758
147,style,6.664693320199508
148,ended,6.643974121382992
149,meetings,6.643974121382992
150,nervous,6.614490032568417
151,grandmother,6.614490032568417
152,wonderful,6.585150120803267
153,spier,6.585150120803267
154,ideas,6.585150120803267
155,valentine,6.570081566686272
156,glanced,6.555952982896228
157,less,6.555952982896228
158,kishi,6.497981517425807
159,game,6.46920448384485
160,field,6.466055818156118
161,child,6.453181421746061
162,spent,6.412061194777316
163,apartment,6.390226674371684
164,warm,6.365202612294164
165,mine,6.3554570013771645
166,carrying,6.307398500288785
167,families,6.307398500288785
168,anybody,6.278745126743859
169,pen,6.212002195266814
170,pulling,6.082641560977454
171,fingers,5.920465182211684
172,final,5.915570306651927
173,um,5.893939921063218
174,mention,5.867554635558998
175,fancy,5.747713510255798
176,heading,5.720409649974198
177,forgotten,5.686656352671488
178,tired,5.686656352671488
179,tiffany,5.674032121632352
180,pencil,5.666354773307307
181,list,5.6613398428887525
182,share,5.63959882070412
183,young,5.636150872738968
184,stared,5.611088163621245
185,lived,5.586150456066051
186,seems,5.586150456066051
187,usual,5.586150456066051
188,sense,5.536645101152493
189,hardly,5.536645101152493
190,third,5.512075027140347
191,explain,5.487625100669389
192,jobs,5.487625100669389
193,nancy,5.482715968090995
194,drive,5.463294152413524
195,familiar,5.4571567756959105
196,quite,5.4390810300345835
197,often,5.4390810300345835
198,hate,5.4390810300345835
199,favorite,5.41498459785484
200,picture,5.41498459785484
201,forth,5.3565225371512915
202,teeth,5.3565225371512915
203,simple,5.3565225371512915
204,air,5.343384328981097
205,main,5.331754656159607
206,follow,5.331754656159607
207,ball,5.331754656159607
208,liked,5.319743623001367
209,younger,5.319743623001367
210,sighed,5.319743623001367
211,million,5.307139193862094
212,frowned,5.307139193862094
213,hide,5.307139193862094
214,neat,5.28267428579235
215,project,5.28267428579235
216,question,5.272794921252172
217,boring,5.210164747422123
218,yesterday,5.162545137396849
219,friendly,5.162545137396849
220,grinning,5.115485771078504
221,locker,5.1061083839315735
222,loved,5.045918800231028
223,hundred,5.022996101395087
224,thursday,5.000204016936537
225,sweet,5.000204016936537
226,plans,5.000204016936537
227,happening,4.977541066793827
228,invited,4.977541066793827
229,american,4.955005795920803
230,backpack,4.949551124419863
231,terrible,4.932596773726123
232,dues,4.910312593528302
233,pointing,4.8661132487819625
234,brewer,4.8661132487819625
235,robert,4.863101905416023
236,shannon,4.844195385723459
237,trip,4.8223969666532005
238,faces,4.8223969666532005
239,clients,4.800716696775844
240,learned,4.800716696775844
241,shy,4.779153302236338
242,johanssen,4.752759276962424
243,including,4.736372145769347
244,weekend,4.7151519368505745
245,shoes,4.7151519368505745
246,planned,4.7151519368505745
247,squirt,4.682167784731842
248,blonde,4.673046284902624
249,loud,4.673046284902624
250,gets,4.652158508978017
251,quietly,4.631379241469601
252,settled,4.590141762834157
253,totally,4.529071874311002
254,marnie,4.523303831825228
255,drew,4.508920698191174
256,reminded,4.508920698191174
257,math,4.488870530896996
258,sisters,4.488870530896996
259,wow,4.488870530896996
260,somehow,4.488870530896996
261,secret,4.46892036485284
262,none,4.46892036485284
263,plan,4.46892036485284
264,houses,4.458183198424782
265,carefully,4.4490692074843246
266,listened,4.4490692074843246
267,newspaper,4.436677729988945
268,joined,4.409660021712278
269,grinned,4.409660021712278
270,aunt,4.394123825013075
271,known,4.390100080535511
272,president,4.390100080535511
273,raised,4.390100080535511
274,bent,4.373071107037136
275,drawing,4.373071107037136
276,handed,4.370635321930819
277,fashion,4.352165099088856
278,junk,4.351264824027667
279,hit,4.351264824027667
280,sitter,4.351264824027667
281,listen,4.3319876782838715
282,eye,4.3319876782838715
283,others,4.3319876782838715
284,energy,4.331403770555134
285,break,4.3128029892299
286,beautiful,4.3128029892299
287,ahead,4.3128029892299
288,surprise,4.3128029892299
289,definitely,4.293709874219268
290,admitted,4.290307237480649
291,spend,4.274707463184877
292,tomorrow,4.274707463184877
293,sitters,4.255794898401094
294,grabbed,4.255794898401094
295,jacket,4.24976607998048
296,obviously,4.24976607998048
297,round,4.24976607998048
298,stepped,4.236971334251443
299,awful,4.2182359370017375
300,eight,4.2182359370017375
301,softball,4.209765487372085
302,bowl,4.189963435278028
303,dying,4.189963435278028
304,brain,4.170291233639551
305,milk,4.15074719057597
