,term,score
0,alan,321.7661735176042
1,logan,153.04226583056095
2,kristy,150.6834380772669
3,claudia,134.05753929963444
4,jessi,106.09091857913793
5,animals,82.07057530803783
6,key,71.04576400523653
7,james,67.84955747737841
8,charlotte,64.58478922080843
9,matt,63.97861135006352
10,haley,61.31439602624105
11,stacey,59.58112857761532
12,marilyn,53.54112617390064
13,becca,46.20164021925477
14,group,42.424832034269755
15,mallory,37.03318187990022
16,project,36.978720000546446
17,squirt,32.77517449312289
18,vanessa,31.97223279123656
19,bus,31.733187830419666
20,pen,29.50701042751737
21,information,27.854123467909893
22,hurried,27.30163917371504
23,bsc,25.43202577504816
24,gray,25.22959400115514
25,several,25.13324748091891
26,large,24.775028979604016
27,study,24.008865175106575
28,dr,23.954067171439327
29,center,23.445741363399556
30,ms,22.183388649944725
31,braddock,21.25088492494161
32,area,21.248830399902403
33,margo,20.851456168197757
34,sign,20.304860450128167
35,carolyn,20.215329564389837
36,win,20.08938978892475
37,sharon,19.96901294612614
38,signed,19.49693344410654
39,box,19.493944552277423
40,students,18.527702059655695
41,nicky,18.156508219538125
42,claud,18.002687612909412
43,crowd,17.741407666843095
44,claire,17.408698245741697
45,picture,17.327950713135486
46,murmured,17.161228949922595
47,shannon,16.954683850032108
48,letter,16.111787358381278
49,forward,16.101412028322255
50,ears,14.865017387762409
51,party,14.719483591510757
52,mal,14.273116589012389
53,camera,14.182600912198929
54,extra,13.587215622933007
55,mystery,13.404822967272287
56,tape,13.374549595274349
57,backpack,13.198802998452969
58,hit,13.053794472083002
59,tigger,12.932111636312236
60,shot,12.908620198229796
61,loud,12.850877283482218
62,continued,12.654707811005213
63,clock,12.654707811005213
64,mary,12.654707811005213
65,sad,12.622889847793932
66,erica,12.498792533071827
67,green,12.28953100334531
68,quite,11.965978266076084
69,eye,11.912966115280646
70,park,11.852030263919618
71,man,11.807702154102987
72,dollars,11.790355856144533
73,snack,11.722870681699778
74,stepped,11.651671169191468
75,mine,11.651671169191468
76,pool,11.458052956532615
77,johnson,11.348064243264703
78,moments,11.173235827408076
79,purple,11.034435389695862
80,checked,10.878162060069167
81,costume,10.860198786114633
82,strange,10.850393174969701
83,team,10.850393174969701
84,shouted,10.782007473074751
85,air,10.686768657962194
86,video,10.599447894688575
87,taken,10.545589842504343
88,raced,10.516716202973642
89,cute,10.467356645200539
90,parade,10.455490038007865
91,speaking,10.420603293306602
92,eighth,10.327818966376853
93,buy,10.327818966376853
94,seats,10.302425762258824
95,entire,10.281783060375918
96,muttered,10.230971542157008
97,music,10.230971542157008
98,teachers,10.20383258308665
99,water,10.190411717199755
100,paint,10.155051897873998
101,pack,10.10660879796198
102,pike,10.05507082091889
103,twins,9.95016638684718
104,boys,9.8777251812049
105,raised,9.8777251812049
106,shrugged,9.618091792165973
107,office,9.601433393551687
108,sitters,9.57553852140246
109,grabbed,9.57553852140246
110,report,9.553327571819908
111,street,9.533185502065747
112,explained,9.533185502065747
113,cat,9.505579763717234
114,sms,9.458087476882167
115,cheese,9.318003292900222
116,jenny,9.30476174820074
117,gets,9.304317017956034
118,pictures,9.202126677601937
119,apple,9.181115226303191
120,movie,9.180283525668314
121,soda,9.136171195928249
122,gasped,9.075997139083189
123,cake,8.977810929940075
124,staring,8.93784072970568
125,none,8.93784072970568
126,orange,8.87335545997789
127,notes,8.830650653364707
128,eating,8.819320043424556
129,grinned,8.819320043424556
130,hundred,8.790243177441402
131,appeared,8.790243177441402
132,its,8.780200161071022
133,bent,8.746142214074272
134,waved,8.741270643861638
135,popcorn,8.738530824051898
136,shoulders,8.710696866889197
137,announced,8.702529648055334
138,children,8.663975356567743
139,spoke,8.587419748438537
140,class,8.511589796802188
141,excited,8.511589796802188
142,exciting,8.49953215996096
143,besides,8.473942668502886
144,trip,8.4391946916431
145,luckily,8.379926870556057
146,pieces,8.379926870556057
147,fifteen,8.288651255096358
148,carrot,8.255304690330776
149,letters,8.185735163543866
150,tree,8.147639797471914
151,woman,8.1049136725718
152,visit,8.1049136725718
153,wrote,8.068737881462704
154,taylor,8.055263008032131
155,pocket,8.034783805726937
156,shut,7.996942380292381
157,ear,7.961318893740082
158,pet,7.95887280171589
159,arnold,7.95887280171589
160,catch,7.82061063849247
161,secret,7.82061063849247
162,dining,7.765002744083517
163,starting,7.7169050379964865
164,leaving,7.682675140937144
165,board,7.650929355252661
166,record,7.648611813378933
167,guy,7.580978436996775
