,term,score
0,grace,201.19539791711946
1,mary,189.82061716507818
2,shea,188.66871760045262
3,cake,136.46272613508913
4,contest,110.75948792625562
5,kristy,109.00504031121437
6,cokie,87.41297744506718
7,team,78.3639507081145
8,jamie,61.10961576817395
9,jessi,57.76061122641954
10,logan,57.244816990057146
11,jackie,56.04744296131926
12,bsc,54.49719808938892
13,stacey,52.1334875054134
14,tyler,47.22754019381142
15,gym,43.206842709015724
16,somebody,39.74969076865971
17,ms,36.97231441657454
18,station,29.865626282301623
19,charlotte,27.679195380346474
20,restaurant,26.532284113480436
21,chocolate,25.443482051468635
22,soda,22.84042798982062
23,win,21.63472746499588
24,archie,21.46292304791134
25,mal,20.220248501100887
26,counter,19.69838287084013
27,lucy,19.420696100078736
28,fire,19.13307641562353
29,pool,19.09675492755436
30,grandmother,18.741055092277183
31,rodowsky,17.59164192555932
32,center,16.9330354291219
33,headed,16.87294374800695
34,water,15.851751560088509
35,plan,15.64122127698494
36,claud,15.602329264521492
37,locker,15.31832515179472
38,nobody,15.187400425933529
39,sugar,15.068988304185261
40,anna,14.815289342476813
41,linny,14.37109985122282
42,taylor,14.096710264056231
43,hannie,14.057985332199399
44,bet,13.77015683631719
45,eye,12.995963034851615
46,bag,12.995963034851615
47,grabbed,12.767384695203281
48,babies,12.362701408569075
49,carefully,12.234940320581892
50,nervous,12.126565059708764
51,luck,12.055992416633002
52,beautiful,11.860208220382226
53,figure,11.755445523758413
54,pizza,11.669139178821244
55,scene,11.495427020511595
56,round,11.332709546614614
57,carolyn,11.230738646883243
58,checking,11.226041299658892
59,named,11.172300912132101
60,newton,11.013405123610283
61,using,10.948754809759416
62,shopping,10.713045074302583
63,mess,10.514354141030905
64,cute,10.467356645200539
65,notes,10.302425762258824
66,hot,10.235981434808677
67,hanging,10.235981434808677
68,extra,10.190411717199755
69,example,10.10660879796198
70,ended,9.965961182074487
71,supplies,9.963259078557195
72,act,9.955082133587654
73,fortunately,9.79825953894144
74,box,9.746972276138711
75,putting,9.618091792165973
76,finish,9.221414721671662
77,art,9.017841396382348
78,secret,8.93784072970568
79,marilyn,8.92352102898344
80,loves,8.898138414968649
81,became,8.858632161843989
82,glanced,8.741270643861638
83,involved,8.671260142861405
84,waited,8.663975356567743
85,man,8.587419748438537
86,claudia,8.511589796802188
87,proud,8.477341925016054
88,hug,8.4391946916431
89,immediately,8.4391946916431
90,eight,8.436471874003475
91,ones,8.436471874003475
92,nancy,8.224073952136493
93,covered,8.14127739071153
94,spotted,8.034783805726937
95,ice,7.887537152230232
96,return,7.851283265494455
97,responsible,7.779426119214162
98,hardly,7.751303141613491
99,plenty,7.7169050379964865
100,others,7.580978436996775
101,ahead,7.547405231152325
102,anybody,7.5344941520926305
103,worked,7.447641072201915
104,pay,7.447641072201915
105,final,7.394462883314908
106,robert,7.294652858124035
107,dream,7.288451845061893
108,shannon,7.266293078585189
109,store,7.2335954499798
110,clients,7.2010750451637655
111,fancy,7.1846418878197476
112,helping,7.1365582945061945
113,loud,7.009569427353936
114,mentioned,6.947068862204401
115,possible,6.916061041253746
116,nearby,6.853394960113743
117,totally,6.7936078114665035
118,ha,6.772588722239782
119,rather,6.7268059201922945
120,neither,6.673603811226487
121,filled,6.614490032568417
122,mirror,6.603342857240437
123,mistake,6.603342857240437
124,backpack,6.5994014992264844
125,its,6.585150120803267
126,ideas,6.585150120803267
127,checked,6.526897236041501
128,california,6.497981517425807
129,piece,6.46920448384485
130,forward,6.440564811328903
131,sign,6.412061194777316
132,admit,6.412061194777316
133,grinning,6.39435721384813
134,news,6.3554570013771645
135,helped,6.3554570013771645
136,johanssen,6.337012369283231
137,crowd,6.336217023872535
138,happening,6.221926333492283
139,carrot,6.191478517748083
140,kiss,6.120743484202128
141,sigh,6.110189840032301
142,promised,6.110189840032301
143,janine,6.027996208316501
144,learned,6.000895870969805
145,weekend,5.893939921063218
146,listening,5.893939921063218
147,ring,5.841307856128281
148,whether,5.763384201044789
149,interesting,5.763384201044789
150,buy,5.737677203542696
151,junior,5.737677203542696
152,area,5.666354773307307
153,hat,5.666354773307307
154,list,5.6613398428887525
155,young,5.636150872738968
156,baseball,5.586617913704038
157,age,5.586150456066051
158,daughter,5.534329587434627
159,jobs,5.487625100669389
160,spier,5.487625100669389
161,whose,5.482715968090995
162,nope,5.482715968090995
163,gorgeous,5.4571567756959105
164,sharon,5.446094439852583
165,group,5.4390810300345835
166,junk,5.4390810300345835
167,announced,5.4390810300345835
168,nine,5.4390810300345835
169,cream,5.406523188208217
170,major,5.406523188208217
171,game,5.3910037365373755
172,turning,5.3910037365373755
173,jumping,5.381444736153836
174,boyfriend,5.367137342774085
175,notebook,5.367137342774085
176,tomorrow,5.343384328981097
177,air,5.343384328981097
178,sitters,5.319743623001367
179,younger,5.319743623001367
180,summer,5.307139193862094
181,frowned,5.307139193862094
182,brown,5.296214167814304
183,awful,5.272794921252172
184,boring,5.210164747422123
185,fault,5.162545137396849
186,plate,5.162545137396849
187,heads,5.138946248888097
188,organized,5.138946248888097
189,yellow,5.138946248888097
190,discovered,5.115485771078504
191,grin,5.115485771078504
192,seconds,5.045918800231028
193,puppy,5.000834424497764
194,climbed,5.000204016936537
195,emily,4.977541066793827
196,huh,4.955005795920803
197,low,4.932596773726123
198,garage,4.849541863617088
199,bathroom,4.8223969666532005
200,gathered,4.757705529670797
201,awesome,4.752759276962424
202,fingers,4.736372145769347
203,fair,4.736372145769347
204,handle,4.7151519368505745
205,planned,4.7151519368505745
206,step,4.7151519368505745
207,angry,4.673046284902624
208,hoped,4.673046284902624
209,cheese,4.659001646450111
210,wondering,4.652158508978017
211,terrific,4.652158508978017
212,quietly,4.631379241469601
213,woman,4.631379241469601
214,clear,4.631379241469601
215,single,4.590141762834157
216,clean,4.54932508213719
217,himself,4.529071874311002
218,join,4.529071874311002
219,stamford,4.523640340608702
220,charges,4.5016622203324825
221,wow,4.488870530896996
222,catch,4.46892036485284
223,excellent,4.436677729988945
224,sense,4.4293160809219945
225,eating,4.409660021712278
226,member,4.409660021712278
227,starting,4.409660021712278
228,grinned,4.409660021712278
229,regular,4.390100080535511
230,explain,4.390100080535511
231,president,4.390100080535511
232,wonder,4.390100080535511
233,known,4.390100080535511
234,bent,4.373071107037136
235,record,4.370635321930819
236,fashion,4.352165099088856
237,college,4.352165099088856
238,hate,4.351264824027667
239,kishi,4.3319876782838715
240,picture,4.3319876782838715
241,guy,4.3319876782838715
242,deal,4.3128029892299
243,definitely,4.293709874219268
244,chairs,4.290307237480649
245,shrugged,4.274707463184877
246,imagine,4.274707463184877
247,sighed,4.255794898401094
248,bags,4.24976607998048
249,exciting,4.24976607998048
250,comes,4.236971334251443
251,besides,4.236971334251443
252,mine,4.236971334251443
253,total,4.22969911552809
254,practically,4.2182359370017375
255,juice,4.209765487372085
256,couch,4.131329647059117
257,add,4.1120369760682465
258,hugged,4.073819898735957
259,super,4.073819898735957
260,giggling,4.054892391156162
261,following,4.017391902863468
262,direction,4.017391902863468
263,leaning,3.998815992119705
264,main,3.998815992119705
265,pet,3.979436400857945
266,rules,3.9620057143442624
267,mimi,3.909253761235404
268,fill,3.9076235605665923
269,candy,3.9076235605665923
270,tall,3.871908853047637
271,paused,3.8542096866660724
272,cleared,3.8542096866660724
273,crossed,3.836614328308878
274,boxes,3.8191215673764987
275,loved,3.7844391001732705
276,boo,3.77587101223806
277,sweet,3.7501530127024028
278,invited,3.7331558000953704
279,confused,3.7331558000953704
280,giggled,3.716254346940602
281,sent,3.716254346940602
282,amazing,3.6994475802945925
283,terrible,3.6994475802945925
284,homework,3.6661139040193804
285,pointing,3.649584936586472
286,shaking,3.649584936586472
287,sight,3.6167977249899
288,strange,3.6167977249899
289,learn,3.6167977249899
290,relieved,3.6005375225818828
291,track,3.5843649766772536
292,shy,3.5843649766772536
293,yelled,3.55227910932701
294,pushed,3.55227910932701
295,happens,3.536363952637931
296,nearly,3.520532781335399
297,band,3.5141918103204377
298,blonde,3.504784713676968
299,wild,3.489118881733513
300,quick,3.489118881733513
301,works,3.489118881733513
302,gets,3.489118881733513
303,bunch,3.4735344311022005
304,visit,3.4735344311022005
305,begin,3.4426063221256173
306,seeing,3.4119938116028923
307,drew,3.3816905236433805
308,empty,3.3816905236433805
309,rose,3.368673101755581
310,conversation,3.366652898172747
311,married,3.366652898172747
312,math,3.366652898172747
313,names,3.366652898172747
314,sisters,3.366652898172747
315,charge,3.35169027363963
316,green,3.35169027363963
317,gotten,3.35169027363963
318,mystery,3.3512057418180716
319,mad,3.3368019056132434
