,term,score
0,cokie,169.36264379981768
1,abby,141.26999223045704
2,dance,120.76523684887027
3,grace,117.3639821183197
4,claudia,107.45882118462762
5,mary,101.2376624880417
6,kristy,89.76885672688242
7,cary,82.50839806996962
8,bsc,61.76349116797411
9,marilyn,60.23376694563822
10,sms,56.748524861293006
11,carolyn,51.66139777566292
12,robert,51.06257000686824
13,ghost,44.09216792523648
14,logan,43.22567813534928
15,matt,41.27652345165388
16,mal,40.440497002201774
17,haley,39.557674855639384
18,charlotte,38.44332691714788
19,gym,38.40608240801397
20,halloween,38.18451139940302
21,somebody,35.637653792591465
22,costume,30.408556601120978
23,jessi,28.290911621103447
24,team,24.111984833266003
25,arnold,23.876618405147667
26,basement,23.08987330170187
27,lights,22.99085404102319
28,claud,21.603225135491297
29,twins,21.55869383816889
30,eight,21.091179685008687
31,alan,21.03046885735975
32,mystery,20.10723445090843
33,teacher,19.64125037411321
34,dressed,19.321694433986707
35,wore,19.095607836882493
36,stairs,18.657925342275924
37,class,18.08712831820465
38,nobody,17.52392356838484
39,purple,17.33982704095064
40,locker,17.02036127977191
41,picture,16.24495379356452
42,guy,16.24495379356452
43,band,15.81386314644197
44,nicky,15.363199262686106
45,students,15.159028957900116
46,twenty,14.98479892271645
47,figure,14.96147612114707
48,brown,14.82939966988005
49,ms,14.788925766629816
50,signed,14.622700083079904
51,example,14.438012568517117
52,eye,14.078959954422583
53,dress,13.77042528850247
54,letters,13.642891939239776
55,byron,13.182371475039226
56,headed,12.654707811005213
57,carrot,12.382957035496165
58,board,12.241486968404256
59,led,12.234940320581892
60,library,12.06304090828987
61,group,11.965978266076084
62,page,11.946250512920649
63,notebook,11.807702154102987
64,adam,11.661522952099029
65,jordan,11.661522952099029
66,pete,11.548305675494873
67,totally,11.322679685777505
68,involved,11.148763040821807
69,margo,11.120776623038804
70,song,11.016879058824314
71,clue,11.013405123610283
72,closer,10.948754809759416
73,sharon,10.892188879705166
74,light,10.73427468554817
75,claire,10.713045074302583
76,stacey,10.639487246002734
77,date,10.609091857913793
78,explained,10.592428335628608
79,anna,10.58234953034058
80,loud,10.514354141030905
81,orange,10.352248036640871
82,eighth,10.327818966376853
83,art,10.145071570930142
84,police,10.106019305266743
85,english,10.058498642947646
86,seems,10.05507082091889
87,backpack,9.899102248839727
88,boys,9.8777251812049
89,sixth,9.820625187056605
90,note,9.732226497563925
91,vanessa,9.730679545158953
92,shannon,9.688390771446919
93,forward,9.660847216993353
94,stage,9.601520602003493
95,clients,9.601433393551687
96,roll,9.594752944159241
97,sitters,9.57553852140246
