,term,score
0,sergeant,160.08295872020426
1,johnson,144.68781910162497
2,cary,125.55625793256245
3,kristy,110.0737171770106
4,stacey,102.13907756162625
5,mal,78.50214123956815
6,mary,71.71001092902954
7,cokie,71.02304417411709
8,alan,67.2975003435512
9,mystery,65.3485119654524
10,bsc,60.55244232154324
11,claudia,55.32533367921422
12,jenny,48.849999178053885
13,claire,45.53044156578598
14,jessi,42.43636743165517
15,note,38.9289059902557
16,anna,38.09645830922609
17,nicky,37.70967091750226
18,david,37.384370279220995
19,dining,27.954009878700663
20,jake,26.047570271905123
21,yard,25.812725686984244
22,headed,25.309415622010427
23,man,24.688831776760793
24,building,24.672221856409475
25,abby,23.876618405147667
26,clue,23.86237776782228
27,join,23.777627340132764
28,notes,22.076626633411767
29,haley,21.75672117060166
30,ms,20.704496073281742
31,notebook,20.395121902541526
32,main,19.994079960598526
33,plan,17.87568145941136
34,figure,17.09882985273951
35,war,16.61241618692013
36,garden,16.520107685415425
37,pop,15.545585478352635
38,vanessa,15.291067856678355
39,terrific,15.119515154178556
40,pike,14.523991185771731
41,its,14.26782526174041
42,step,14.145455810551724
43,bottle,14.046503354195524
44,spent,13.892799255350852
45,street,13.77015683631719
46,carolyn,13.476886376259891
47,ball,13.329386640399017
48,shop,13.24597598004706
49,jordan,13.119213321111408
50,certain,13.025411868555308
51,neighborhood,12.96666782633908
52,nobody,12.850877283482218
53,closed,11.912966115280646
54,forward,11.807702154102987
55,definitely,11.807702154102987
56,byron,11.717663533368201
57,loud,11.682615712256561
58,pikes,11.661522952099029
59,gray,11.353317300519812
60,bored,11.226041299658892
61,kinds,11.226041299658892
62,bus,11.199948646030471
63,secret,11.172300912132101
64,led,11.122673018710811
65,margo,11.120776623038804
66,sms,11.034435389695862
67,stairs,10.975250201338778
68,jobs,10.975250201338778
69,strange,10.850393174969701
70,follow,10.663509312319214
71,worked,10.639487246002734
72,summer,10.614278387724188
73,bet,10.592428335628608
74,explained,10.592428335628608
75,interested,10.281783060375918
76,bat,9.83093851509389
77,promised,9.776303744051681
78,favorite,9.746972276138711
79,beautiful,9.703806725767276
80,couch,9.639769176471274
81,claud,9.601433393551687
82,grabbed,9.57553852140246
83,shy,9.558306604472676
84,helped,9.533185502065747
85,spotted,9.37391444001476
86,logan,9.346092569805249
87,written,9.304317017956034
88,charlotte,9.22639846011549
