,term,score
0,amalia,347.9702005559588
1,abby,153.20830143303087
2,kristy,151.75211494306313
3,cary,107.6196496564821
4,fire,82.4194060980706
5,park,79.57791748631743
6,stacey,59.58112857761532
7,sergeant,57.629865139273534
8,johnson,51.066289094691165
9,bsc,49.65300270366546
10,cabin,49.27561175014704
11,town,46.60668467676587
12,claudia,43.621897708611215
13,jessi,33.00606355795402
14,sharon,32.6765666391155
15,garage,30.71376513624156
16,shannon,30.27622116077162
17,mystery,28.485248805453608
18,sitter,27.19540515017292
19,logan,25.701754566964436
20,police,25.265048263166857
21,man,24.688831776760793
22,officer,23.64332006727068
23,letters,21.828627102783642
24,mal,21.409674883518583
25,headed,20.036620700758252
26,mary,20.036620700758252
27,twins,16.5836106447453
28,notebook,16.101412028322255
29,interesting,14.98479892271645
30,closer,14.598339746345887
31,strange,14.4671908999596
32,window,13.954557091212623
33,john,13.90723017718453
34,sitters,13.831333419803554
35,explained,13.77015683631719
36,continued,13.709266795255648
37,somebody,13.706789920227486
38,involved,13.626265938782208
39,plan,13.40676109455852
40,born,13.085472109157426
41,game,12.9384089676897
42,area,12.74929823994144
43,street,12.710914002754329
44,secret,12.28953100334531
45,scared,12.275781483820756
46,dear,12.122081766670851
47,project,11.886017143032788
48,shrugged,11.755445523758413
49,whoa,11.722870681699778
50,loud,11.682615712256561
51,paint,11.605773597570282
52,green,11.172300912132101
53,glanced,10.926588304827048
54,store,10.850393174969701
55,keeping,10.850393174969701
56,main,10.663509312319214
57,library,10.555160794753636
58,angry,10.514354141030905
59,charges,10.503878514109127
60,page,10.452969198805569
61,snack,10.420329494844246
62,exclaimed,10.37409156188062
63,friendly,10.325090274793698
64,forgotten,10.235981434808677
65,bent,10.20383258308665
66,empty,10.145071570930142
67,writing,10.099958694518241
68,cookies,10.058498642947646
69,seems,10.05507082091889
70,boys,9.8777251812049
71,eye,9.746972276138711
72,brothers,9.746972276138711
73,children,9.746972276138711
74,tigger,9.699083727234177
75,spoke,9.660847216993353
76,janine,9.644793933306401
77,figure,9.618091792165973
78,tomorrow,9.618091792165973
79,envelope,9.601520602003493
80,grabbed,9.57553852140246
81,report,9.553327571819908
82,booth,9.54837746377718
83,tree,9.505579763717234
84,neighborhood,9.430303873701149
85,nobody,9.346092569805249
86,totally,9.058143748622005
87,connecticut,8.93784072970568
88,basement,8.880720500654567
89,explain,8.780200161071022
90,plans,8.75035702963894
91,breakfast,8.75035702963894
92,hiding,8.746142214074272
93,seat,8.741270643861638
