,term,score
0,cary,452.0025285572248
1,abby,304.42688466563277
2,clue,165.20107685415425
3,claudia,145.76097527023745
4,stacey,91.49959031562352
5,mary,88.58295467703648
6,teachers,68.51144734358179
7,mystery,67.02411483636143
8,mal,58.281892738467256
9,bsc,58.13034462868151
10,jessi,57.76061122641954
11,sms,52.01948112285192
12,team,40.990374216552205
13,shannon,33.909367700064216
14,green,33.516902736396304
15,hannie,32.80196577513193
16,war,31.379008353071352
17,locker,30.63665030358944
18,envelope,30.40481523967773
19,bus,29.86652972274792
20,class,27.66266683960711
21,board,26.013159807859044
22,bathroom,25.317584074929304
23,ms,25.14117380327069
24,emily,24.887705333969134
25,summer,23.88212637237942
26,ha,23.704060527839236
27,fire,23.548401742305884
28,anna,23.281168966749277
29,watson,22.848406800835374
30,maria,22.47693669302449
31,teacher,22.09640667087736
32,homework,21.996683424116284
33,students,21.896375161411278
34,kristy,21.373537315924388
35,tiffany,19.85911242571323
36,krushers,19.203041204006986
37,cokie,19.121588816108446
38,math,19.077699756312235
39,lunch,18.99291155062457
40,boys,18.657925342275924
41,list,18.11628749724401
42,claud,18.002687612909412
43,mallory,17.955482123587984
44,letters,16.37147032708773
45,logan,16.355661997159185
46,grinned,15.433810075992973
47,shouted,15.09481046230465
48,figure,14.96147612114707
49,news,14.82939966988005
50,melody,14.773995482362796
51,office,14.402150090327531
52,david,14.019138854707872
53,michael,14.019138854707872
54,street,13.77015683631719
55,tree,13.579399662453191
56,student,13.206685714480875
57,rosie,12.96992467569736
58,notebook,12.881129622657806
59,gym,12.802027469337991
60,nicky,12.569890305834086
61,charlotte,12.301864613487322
62,president,12.072775221472655
63,linny,11.975916542685683
64,page,11.946250512920649
65,piece,11.860208220382226
66,nannie,11.774200871152942
67,eight,11.600148826754777
68,organized,11.562629059998217
69,signed,11.373211175728814
70,james,11.30825957956307
71,anybody,11.301741228138946
72,carolyn,11.230738646883243
73,although,11.22217632724249
74,stage,11.201774035670743
75,pike,11.172300912132101
76,vanessa,11.120776623038804
77,handed,10.926588304827048
78,seat,10.926588304827048
79,groaned,10.914313551391821
80,group,10.878162060069167
81,steps,10.850393174969701
82,win,10.81736373249794
83,library,10.555160794753636
84,written,10.467356645200539
85,wrote,10.37409156188062
86,several,10.281783060375918
87,fashion,10.155051897873998
88,becca,10.10660879796198
89,writing,10.099958694518241
90,usual,10.05507082091889
91,pencil,9.916120853287788
92,baseball,9.776581348982067
93,pointing,9.732226497563925
94,guilty,9.594752944159241
95,pay,9.57553852140246
96,jenny,9.30476174820074
97,woman,9.262758482939201
98,clean,9.09865016427438
99,art,9.017841396382348
100,paused,8.993155935554169
