,term,score
0,jeremy,120.67919179421747
1,abby,109.43450102359348
2,mary,99.12854451954082
3,patrick,81.67466555974167
4,kristy,67.32664254516182
5,richard,63.67098241372712
6,ms,59.155703066519266
7,claudia,58.51717985301504
8,clue,47.72475553564456
9,john,46.93690184799779
10,bsc,44.808807317942
11,pool,43.92253633337503
12,mystery,35.18766028908975
13,haley,33.624023627293475
14,sisters,30.29987608355472
15,matt,28.893566416157718
16,headed,24.25485663775999
17,california,23.825932230561293
18,jenny,20.935713933451666
19,picture,19.493944552277423
20,sitters,19.15107704280492
21,children,18.410947632706453
22,painting,18.05552656776832
23,stairs,17.560400322142044
24,pictures,17.08966382983217
25,younger,17.023179593604375
26,sunny,16.669448081659212
27,library,16.58668124889857
28,mal,15.46254297143009
29,game,15.09481046230465
30,dinner,14.763825779506082
31,ghost,14.69738930841216
32,summer,14.594632783120758
33,strange,14.4671908999596
34,fight,14.402150090327531
35,stacey,13.831333419803554
36,plans,13.750561046575475
37,lunch,13.40676109455852
38,suzi,13.11857096805016
39,sitter,13.053794472083002
40,forward,12.881129622657806
41,loved,12.61479700057757
42,hoping,12.055992416633002
43,claud,12.00179174193961
44,favorite,11.912966115280646
45,figure,11.755445523758413
46,downstairs,11.424203400417687
47,envelope,11.201774035670743
48,awesome,11.089771646245655
49,daughter,11.068659174869254
50,quite,10.878162060069167
51,offered,10.801612567745648
52,become,10.782007473074751
53,man,10.73427468554817
54,nobody,10.514354141030905
55,contest,10.449008294929776
56,whether,10.37409156188062
57,movie,10.327818966376853
58,recently,10.325090274793698
59,dream,10.20383258308665
60,plan,10.05507082091889
61,became,9.965961182074487
62,grinned,9.921735048852625
63,buddy,9.899102248839727
64,upstairs,9.833929474344343
65,glanced,9.833929474344343
66,checked,9.79034585406225
67,dying,9.776581348982067
68,promised,9.776303744051681
69,spend,9.618091792165973
70,yelled,9.472744291538694
71,jessi,9.430303873701149
72,erica,9.37409439980387
73,terrific,9.304317017956034
74,interesting,9.221414721671662
75,snack,9.117788307988715
76,rain,9.076824066420972
77,water,9.058143748622005
78,present,9.047280681217403
79,silly,8.977741061793992
80,age,8.93784072970568
81,neither,8.898138414968649
82,led,8.898138414968649
83,sense,8.858632161843989
84,known,8.780200161071022
85,breakfast,8.75035702963894
86,shouted,8.6256059784598
87,fancy,8.621570265383696
88,bottom,8.55426577604522
89,helped,8.473942668502886
90,explained,8.473942668502886
91,calling,8.436471874003475
92,daddy,8.421682754388954
93,clients,8.401254219357726
94,wide,8.401254219357726
95,somebody,8.224073952136493
96,uncle,8.154033458393616
97,hugged,8.147639797471914
98,signed,8.123722268377724
99,jumping,8.072167104230754
100,exclaimed,8.068737881462704
101,weeks,8.068737881462704
102,settled,8.032748084959774
103,hanging,7.961318893740082
104,join,7.9258757800442545
105,totally,7.9258757800442545
106,green,7.82061063849247
107,pizza,7.779426119214162
108,leaving,7.682675140937144
109,jobs,7.682675140937144
110,its,7.682675140937144
111,handed,7.648611813378933
112,bag,7.580978436996775
113,rooms,7.539400567681169
114,definitely,7.51399227988372
115,emily,7.466311600190741
116,brown,7.414699834940025
117,stepped,7.414699834940025
118,excellent,7.394462883314908
119,closer,7.299169873172944
120,games,7.266293078585189
121,keeping,7.2335954499798
122,example,7.219006284258558
123,woke,7.219006284258558
124,picnic,7.1822487439520595
125,track,7.168729953354507
126,obviously,7.082943466634134
127,step,7.072727905275862
128,share,7.04949852588015
129,nicky,6.983272392130048
130,woman,6.947068862204401
131,clear,6.947068862204401
132,wrote,6.916061041253746
133,seeing,6.823987623205785
134,hot,6.823987623205785
135,pair,6.7936078114665035
136,above,6.789699831226596
137,marnie,6.7849557477378415
138,mallory,6.733305796345494
139,stared,6.733305796345494
140,dead,6.6956531714391145
141,simple,6.6956531714391145
142,follow,6.664693320199508
143,wondered,6.643974121382992
144,ended,6.643974121382992
145,raised,6.585150120803267
146,explain,6.585150120803267
147,regular,6.585150120803267
148,waved,6.555952982896228
149,rolled,6.555952982896228
150,nine,6.526897236041501
151,eye,6.497981517425807
152,beautiful,6.46920448384485
153,yard,6.453181421746061
154,entered,6.453181421746061
155,organized,6.423682811110121
156,spent,6.412061194777316
157,sign,6.412061194777316
158,grinning,6.39435721384813
159,carrying,6.307398500288785
160,sms,6.305391651254778
161,purple,6.305391651254778
162,invited,6.221926333492283
163,weather,6.212002195266814
164,jeff,6.193757244901004
165,carrot,6.191478517748083
166,sleeping,6.1813507042845375
167,seriously,6.165745967157655
168,porch,6.090780797285499
169,hug,6.027996208316501
170,team,6.027996208316501
171,charges,6.002216293776644
172,learned,6.000895870969805
173,salad,5.944244264566377
174,date,5.893939921063218
175,listening,5.893939921063218
176,safe,5.887100435576471
177,played,5.841307856128281
178,mess,5.841307856128281
179,logan,5.841307856128281
180,loud,5.841307856128281
181,moving,5.763384201044789
182,sleep,5.763384201044789
183,single,5.737677203542696
184,chairs,5.720409649974198
185,watson,5.7121017002088434
186,exciting,5.666354773307307
187,waving,5.666354773307307
188,party,5.6613398428887525
189,art,5.636150872738968
190,checking,5.613020649829446
191,somehow,5.611088163621245
192,connecticut,5.586150456066051
193,staring,5.586150456066051
194,secret,5.586150456066051
195,loves,5.561336509355406
196,sun,5.534329587434627
197,often,5.4390810300345835
198,desk,5.4390810300345835
199,announced,5.4390810300345835
200,everywhere,5.431759864981276
201,guy,5.41498459785484
202,acting,5.406523188208217
203,piece,5.3910037365373755
204,sounding,5.381444736153836
205,dressed,5.367137342774085
206,admit,5.343384328981097
207,main,5.331754656159607
208,leaning,5.331754656159607
209,excited,5.319743623001367
210,worked,5.319743623001367
211,bet,5.296214167814304
212,opening,5.28267428579235
213,continued,5.272794921252172
214,clock,5.272794921252172
215,parade,5.227745019003932
216,months,5.210164747422123
217,planning,5.210164747422123
218,certain,5.210164747422123
219,promise,5.138946248888097
220,apart,5.115485771078504
221,lately,5.092162089835331
222,hungry,5.068973619098028
223,insisted,5.045918800231028
224,act,4.977541066793827
225,involved,4.955005795920803
226,ways,4.955005795920803
227,silent,4.932596773726123
228,ourselves,4.888151872025841
229,kit,4.874233361026635
230,faces,4.8223969666532005
231,interrupted,4.800716696775844
232,um,4.7151519368505745
233,calm,4.7151519368505745
234,tiny,4.7151519368505745
235,happens,4.7151519368505745
236,blonde,4.673046284902624
237,ring,4.673046284902624
238,hoped,4.673046284902624
239,cheese,4.659001646450111
240,quick,4.652158508978017
241,mentioned,4.631379241469601
242,bunch,4.631379241469601
243,hang,4.610707360835831
244,flowers,4.590557613151596
245,board,4.590557613151596
246,buy,4.590141762834157
247,sad,4.590141762834157
248,grew,4.569681360167075
249,completely,4.569681360167075
250,interested,4.569681360167075
251,forgotten,4.54932508213719
252,extra,4.529071874311002
253,grown,4.508920698191174
254,drew,4.508920698191174
255,conversation,4.488870530896996
256,longer,4.488870530896996
257,lived,4.46892036485284
258,mad,4.4490692074843246
259,carefully,4.4490692074843246
260,hardly,4.4293160809219945
261,shop,4.415325326682353
262,nervous,4.409660021712278
263,evening,4.409660021712278
264,filled,4.409660021712278
265,member,4.409660021712278
266,starting,4.409660021712278
267,letter,4.394123825013075
268,lit,4.394123825013075
269,drawing,4.373071107037136
270,pikes,4.373071107037136
271,less,4.370635321930819
272,doors,4.352165099088856
273,listen,4.3319876782838715
274,energy,4.331403770555134
275,turning,4.3128029892299
276,likes,4.3128029892299
277,notebook,4.293709874219268
278,spoke,4.293709874219268
279,window,4.293709874219268
280,shrugged,4.274707463184877
281,putting,4.274707463184877
282,liked,4.255794898401094
283,barely,4.255794898401094
284,changed,4.255794898401094
285,round,4.24976607998048
286,mine,4.236971334251443
287,town,4.236971334251443
288,street,4.236971334251443
289,anna,4.232939812136232
290,ones,4.2182359370017375
291,eight,4.2182359370017375
292,awful,4.2182359370017375
293,taken,4.2182359370017375
294,bored,4.209765487372085
295,margo,4.170291233639551
296,slow,4.15074719057597
297,roll,4.1120369760682465
298,prepared,4.073819898735957
299,windows,4.036083552115377
300,rather,4.036083552115377
301,glance,4.017391902863468
302,teeth,4.017391902863468
303,shopping,4.017391902863468
304,claire,4.017391902863468
305,ball,3.998815992119705
306,mirror,3.9620057143442624
307,whoa,3.9076235605665923
308,candy,3.9076235605665923
309,center,3.9076235605665923
310,space,3.871908853047637
311,disappointed,3.871908853047637
312,tall,3.871908853047637
313,paused,3.8542096866660724
314,discovered,3.836614328308878
315,asleep,3.8191215673764987
316,families,3.7844391001732705
317,toys,3.7501530127024028
318,confused,3.7331558000953704
319,american,3.716254346940602
320,somewhere,3.716254346940602
321,large,3.716254346940602
322,giggled,3.716254346940602
323,low,3.6994475802945925
324,foot,3.6994475802945925
325,pink,3.6827344451462265
326,scared,3.6827344451462265
327,color,3.6827344451462265
328,touch,3.6661139040193804
329,forever,3.6661139040193804
330,wedding,3.650830298275392
331,spot,3.649584936586472
332,using,3.649584936586472
333,places,3.649584936586472
334,shannon,3.6331465392925946
335,sharon,3.630729626568389
336,steps,3.6167977249899
337,store,3.6167977249899
338,immediately,3.6167977249899
339,normal,3.6005375225818828
340,missing,3.6005375225818828
