,term,score
0,janine,189.27908094113812
1,abby,175.09520163774957
2,kristy,134.65328509032364
3,stacey,86.17984669262215
4,mary,56.94618514952346
5,alex,46.32495733645623
6,jessi,42.43636743165517
7,bsc,38.753563085787675
8,claudia,36.1742566364093
9,ben,35.69408411593376
10,party,35.10030702591027
11,mallory,33.66652898172747
12,haley,33.624023627293475
13,buddy,31.3471571213258
14,patrick,29.699878385360606
15,christmas,27.842802117066746
16,guy,25.99192606970323
17,vanessa,25.02174740183731
18,charlie,24.314741017715402
19,downstairs,22.848406800835374
20,claire,22.76522078289299
21,shouted,22.642215693456976
22,man,22.54197683965116
23,uh,22.442214181720605
24,window,21.46854937109634
25,wall,20.74818312376124
26,matt,20.63826172582694
27,jordan,20.4076651661733
28,mail,19.751184045868165
29,margo,19.461359090317906
30,light,19.321694433986707
31,sitters,19.15107704280492
32,note,18.24792468293236
33,water,18.11628749724401
34,james,18.09321532730091
35,adam,17.492284428148544
36,stairs,16.462875302008165
37,exclaimed,16.13747576292541
38,huh,16.10376883674261
39,explained,15.888642503442911
40,young,15.781222443669108
41,snapped,15.775074304460464
42,bedroom,14.917960729211009
43,letter,14.647079416710252
44,pike,14.523991185771731
45,york,14.20456479627516
46,nicky,13.966544784260096
47,climbed,13.750561046575475
48,eight,13.709266795255648
49,rock,13.43953182703573
50,group,13.053794472083002
51,lights,12.932355398075545
52,smell,12.393988941177353
53,receiver,12.301864613487322
54,charlotte,12.301864613487322
55,dead,12.052175708590406
56,upstairs,12.019247135309753
57,ha,11.852030263919618
58,shrugged,11.755445523758413
59,mystery,11.729220096363251
60,art,11.272301745477936
61,marilyn,11.154401286229302
62,angry,10.514354141030905
63,den,10.375122702258853
64,yard,10.325090274793698
65,byron,10.252955591697177
66,paint,10.155051897873998
67,staring,10.05507082091889
68,arnold,9.948591002144862
69,boys,9.8777251812049
70,glanced,9.833929474344343
71,ghost,9.79825953894144
72,closet,9.732226497563925
73,faces,9.644793933306401
74,letters,9.550024357467844
75,mal,9.515411059341593
76,shopping,9.37391444001476
77,teeth,9.37391444001476
78,radio,9.229120103844515
79,candy,9.117788307988715
80,sunday,9.075997139083189
81,triplets,9.075997139083189
82,muttered,8.952100099387382
83,age,8.93784072970568
84,basement,8.880720500654567
85,fire,8.830650653364707
86,disappeared,8.830357900404298
87,sick,8.819320043424556
88,drawing,8.746142214074272
89,suzi,8.745713978700106
90,nine,8.702529648055334
91,box,8.663975356567743
92,spoke,8.587419748438537
93,dewitt,8.428851259884183
94,happens,8.251515889488505
95,shot,8.214576489782598
96,nearly,8.214576489782598
97,above,8.147639797471914
98,taylor,8.055263008032131
99,leaning,7.99763198423941
100,richard,7.95887280171589
101,totally,7.9258757800442545
102,coat,7.9212654616040385
103,ice,7.887537152230232
104,raced,7.887537152230232
105,became,7.751303141613491
106,member,7.7169050379964865
107,handed,7.648611813378933
108,junk,7.6147134420484175
109,stick,7.6034604286470415
110,crowd,7.6034604286470415
111,closed,7.580978436996775
112,boyfriend,7.51399227988372
113,lawn,7.466406570575406
114,younger,7.447641072201915
115,thomas,7.447641072201915
116,brown,7.414699834940025
117,clock,7.381912889753041
118,throat,7.2335954499798
119,murmured,7.150512062467747
120,barrett,7.1432240441706
121,pushed,7.10455821865402
122,hat,7.082943466634134
123,absolutely,6.978237763467026
124,sun,6.9179119842932835
125,island,6.880218533919479
126,pair,6.7936078114665035
127,thirteen,6.7936078114665035
128,earth,6.789699831226596
129,empty,6.763381047286761
