,term,score
0,anna,182.01641192185798
1,kristy,80.15076493471645
2,sergeant,70.43650183688987
3,mal,65.41845103297345
4,claudia,62.772974751416136
5,johnson,62.414353337955866
6,jessi,57.76061122641954
7,abby,55.712109612011226
8,bsc,55.70824693581979
9,mary,49.56427225977041
10,writing,38.15539951262447
11,stacey,36.1742566364093
12,carolyn,35.938363670026376
13,woman,35.893189121389405
14,marilyn,33.463203858687905
15,mystery,30.160851676362643
16,porch,25.88581838846337
17,nicky,23.74312613324216
18,ms,23.662281226607707
19,maria,22.47693669302449
20,margo,22.241553246077608
21,becca,21.657018852775675
22,claire,21.426090148605166
23,hannie,21.086977998299098
24,nobody,21.02870828206181
25,train,20.003337697991057
26,vanessa,19.461359090317906
27,sleeping,18.544052112853613
28,study,18.00664888132993
29,bat,17.695689327169003
30,seat,15.297223626757866
31,melody,14.773995482362796
32,headed,14.763825779506082
33,closer,14.598339746345887
34,linny,14.37109985122282
35,hospital,13.839597690173237
36,younger,13.831333419803554
37,couch,13.771098823530393
38,brown,13.77015683631719
39,green,13.40676109455852
40,papadakis,13.206163764577076
41,aunt,13.182371475039226
42,tiny,12.96666782633908
43,cute,12.793435899689547
44,warm,12.730405224588328
45,wrote,12.679445242298536
46,taken,12.654707811005213
47,babies,12.362701408569075
48,its,12.072775221472655
49,upstairs,12.019247135309753
50,picture,11.912966115280646
51,figure,11.755445523758413
52,loud,11.682615712256561
53,somehow,11.22217632724249
54,audience,11.074944124613419
55,clue,11.013405123610283
56,note,10.948754809759416
57,month,10.914313551391821
58,bag,10.82996919570968
59,acting,10.813046376416434
60,charlotte,10.764131536801406
61,crying,10.609091857913793
62,written,10.467356645200539
63,triplets,10.372568158952216
64,excellent,10.352248036640871
65,named,10.05507082091889
66,arnold,9.948591002144862
67,questions,9.921735048852625
68,stairs,9.8777251812049
69,york,9.833929474344343
70,become,9.703806725767276
71,notebook,9.660847216993353
72,hoping,9.644793933306401
73,class,9.57553852140246
74,boo,9.43967753059515
75,pile,9.244680000136611
76,sleep,9.221414721671662
77,downstairs,9.13936272033415
78,charges,9.003324440664965
79,station,8.959687884690487
80,discovered,8.952100099387382
81,nannie,8.830650653364707
82,appeared,8.790243177441402
83,ideas,8.780200161071022
84,bent,8.746142214074272
85,emily,8.710696866889197
86,eye,8.663975356567743
87,shannon,8.477341925016054
88,bet,8.473942668502886
89,strange,8.4391946916431
90,gently,8.325984676923895
91,gathered,8.325984676923895
92,twins,8.29180532237265
93,michelle,8.185735163543866
94,david,8.177830998579593
95,michael,8.177830998579593
96,cream,8.109784782312325
97,pictures,7.887537152230232
98,sunday,7.779426119214162
99,private,7.7169050379964865
100,music,7.673228656617756
101,kiss,7.650929355252661
102,glanced,7.648611813378933
103,closed,7.580978436996775
104,listen,7.580978436996775
105,brothers,7.580978436996775
106,seconds,7.568878200346541
107,spent,7.480738060573535
108,sitters,7.447641072201915
109,barely,7.447641072201915
110,ones,7.381912889753041
111,stories,7.332227808038761
112,softly,7.2010750451637655
113,learned,7.2010750451637655
114,mail,7.1822487439520595
115,track,7.168729953354507
116,pushed,7.10455821865402
117,exciting,7.082943466634134
118,unless,7.009569427353936
119,terrific,6.978237763467026
120,charlie,6.947068862204401
121,bunch,6.947068862204401
122,official,6.9179119842932835
123,smell,6.885549411765196
124,nose,6.885212644251235
125,movie,6.885212644251235
126,clean,6.823987623205785
127,party,6.7936078114665035
128,police,6.737346203511162
129,pike,6.70338054727926
130,follow,6.664693320199508
131,lay,6.603342857240437
132,driveway,6.572947626858526
133,desk,6.526897236041501
134,hit,6.526897236041501
135,lap,6.512705934277654
136,children,6.497981517425807
137,pizza,6.4828550993451355
138,child,6.453181421746061
139,light,6.440564811328903
140,man,6.440564811328903
141,yellow,6.423682811110121
142,changed,6.383692347601641
143,news,6.3554570013771645
144,stepped,6.3554570013771645
145,hungry,6.336217023872535
146,eight,6.327353905502607
147,clock,6.327353905502607
148,bottle,6.242890379642455
149,act,6.221926333492283
150,cheese,6.212002195266814
151,faces,6.027996208316501
152,soccer,6.005083174427064
153,interrupted,6.000895870969805
154,relieved,6.000895870969805
155,whenever,5.920465182211684
156,byron,5.8588317666841006
157,pikes,5.830761476049514
158,quick,5.815198136222522
159,woke,5.775205027406846
160,whether,5.763384201044789
161,doorbell,5.747713510255798
162,watson,5.7121017002088434
163,tired,5.686656352671488
164,obviously,5.666354773307307
165,totally,5.6613398428887525
166,empty,5.636150872738968
167,bus,5.5999743230152355
168,takes,5.586150456066051
169,listened,5.561336509355406
170,loves,5.561336509355406
171,bill,5.560388311519402
172,meetings,5.536645101152493
173,sense,5.536645101152493
174,grinned,5.512075027140347
175,plenty,5.512075027140347
176,filled,5.512075027140347
177,boys,5.487625100669389
178,explain,5.487625100669389
179,wonderful,5.487625100669389
180,record,5.463294152413524
181,handed,5.463294152413524
182,tears,5.4390810300345835
183,nine,5.4390810300345835
184,cat,5.431759864981276
185,guy,5.41498459785484
186,waited,5.41498459785484
187,pocket,5.3565225371512915
188,glance,5.3565225371512915
189,following,5.3565225371512915
190,uh,5.343384328981097
191,main,5.331754656159607
192,frowned,5.307139193862094
193,helped,5.296214167814304
194,mine,5.296214167814304
195,pass,5.28267428579235
196,awful,5.272794921252172
197,kits,5.258358101486821
198,born,5.23418884366297
199,months,5.210164747422123
200,snack,5.210164747422123
201,paid,5.210164747422123
202,certainly,5.186284079476108
203,recently,5.162545137396849
204,island,5.160163900439609
205,thoughts,5.115485771078504
206,asleep,5.092162089835331
207,lately,5.092162089835331
208,drove,5.092162089835331
209,wore,5.092162089835331
210,decide,5.092162089835331
211,sweet,5.000204016936537
212,foot,4.932596773726123
213,legs,4.932596773726123
214,cold,4.888151872025841
215,lying,4.888151872025841
