,term,score
0,cokie,161.16767716434262
1,abby,109.43450102359348
2,kristy,84.42547239790133
3,claudia,73.41246199741887
4,jessi,73.0848550211839
5,cecelia,64.44210406425705
6,lindsey,64.11802255500206
7,fashion,59.479589687547694
8,mary,53.782508196772156
9,aunt,51.26477795848588
10,mal,47.57705529670797
11,emily,43.55348433444598
12,buddy,37.94655862055229
13,mystery,36.86326315999879
14,jamie,34.37415886959785
15,somebody,34.26697480056872
16,dewitt,30.905787952908675
17,bsc,25.43202577504816
18,mirror,25.09270285751366
19,makeup,24.42778241858714
20,tea,22.842246767082845
21,becca,21.657018852775675
22,rehearsal,21.556649776834227
23,notes,20.60485152451765
24,watson,20.563566120751837
25,outfit,19.53811780283296
26,karen,19.202866787103375
27,barrett,17.8580601104265
28,excellent,17.74671091995578
29,pink,15.958515928966982
30,marnie,15.831563411388297
31,store,15.672790141622901
32,suzi,15.304999462725185
33,shoes,14.145455810551724
34,dressed,13.954557091212623
35,daughter,13.835823968586567
36,michelle,13.642891939239776
37,fall,13.587215622933007
38,lights,12.932355398075545
39,definitely,12.881129622657806
40,quick,12.793435899689547
41,stacey,12.767384695203281
42,breakfast,12.500510042341341
43,water,12.454947654355257
44,andrew,12.33149193431531
45,taylor,12.082894512048197
46,hoping,12.055992416633002
47,nearly,11.735109271117995
48,barely,11.703435970603008
49,michael,11.682615712256561
50,david,11.682615712256561
51,woman,11.578448103674003
52,list,11.322679685777505
53,audience,11.074944124613419
54,plenty,11.024150054280694
55,glanced,10.926588304827048
56,thrilled,10.914313551391821
57,others,10.82996919570968
58,eye,10.82996919570968
59,notebook,10.73427468554817
60,bet,10.592428335628608
61,headed,10.545589842504343
62,final,10.352248036640871
63,promise,10.277892497776193
64,music,10.230971542157008
65,camera,10.130429222999236
66,checking,9.82278613720153
67,fortunately,9.79825953894144
68,bowl,9.776581348982067
69,bottle,9.364335569463684
70,nobody,9.346092569805249
71,apple,9.181115226303191
72,soda,9.136171195928249
73,center,9.117788307988715
74,pizza,9.075997139083189
75,james,9.046607663650455
76,discovered,8.952100099387382
77,sense,8.858632161843989
78,nervous,8.819320043424556
79,starting,8.819320043424556
80,group,8.702529648055334
81,example,8.662807541110269
82,putting,8.549414926369755
83,grabbed,8.511589796802188
84,sitters,8.511589796802188
85,jacket,8.49953215996096
86,anna,8.465879624272464
87,bathroom,8.4391946916431
88,bored,8.41953097474417
89,interrupted,8.401254219357726
90,contest,8.35920663594382
91,gathered,8.325984676923895
92,backpack,8.249251874033106
93,stomach,8.177830998579593
94,charlie,8.1049136725718
95,jeans,8.032748084959774
96,style,7.99763198423941
97,young,7.890611221834554
98,responsible,7.779426119214162
99,yard,7.743817706095274
100,checked,7.6147134420484175
101,hate,7.6147134420484175
102,box,7.580978436996775
103,break,7.547405231152325
104,suit,7.539400567681169
105,figure,7.480738060573535
106,lying,7.332227808038761
107,stories,7.332227808038761
108,closer,7.299169873172944
109,spot,7.299169873172944
110,places,7.299169873172944
111,hiding,7.288451845061893
112,keeping,7.2335954499798
113,office,7.2010750451637655
114,tonight,7.041065562670798
115,shot,7.041065562670798
116,softball,7.016275812286807
117,hoped,7.009569427353936
118,works,6.978237763467026
119,downstairs,6.854522040250613
120,empty,6.763381047286761
121,major,6.758153985260272
122,stace,6.737346203511162
123,daddy,6.737346203511162
124,silly,6.733305796345494
125,rather,6.7268059201922945
126,loves,6.673603811226487
127,ideas,6.585150120803267
128,waved,6.555952982896228
129,quite,6.526897236041501
130,announced,6.526897236041501
131,boring,6.512705934277654
132,signed,6.4989778147021795
133,mcgill,6.497981517425807
134,become,6.46920448384485
135,ahead,6.46920448384485
136,ew,6.466055818156118
137,entered,6.453181421746061
138,friendly,6.453181421746061
139,fault,6.453181421746061
140,light,6.440564811328903
141,air,6.412061194777316
142,admit,6.412061194777316
143,stage,6.401013734668996
144,worked,6.383692347601641
145,report,6.368885047879939
146,brown,6.3554570013771645
147,helped,6.3554570013771645
148,news,6.3554570013771645
149,awesome,6.337012369283231
150,crowd,6.336217023872535
151,ones,6.327353905502607
152,eight,6.327353905502607
153,insisted,6.307398500288785
154,anybody,6.278745126743859
155,careful,6.278745126743859
156,act,6.221926333492283
157,large,6.193757244901004
158,seriously,6.165745967157655
159,charlotte,6.150932306743661
160,promised,6.110189840032301
161,hug,6.027996208316501
162,charges,6.002216293776644
163,track,5.973941627795423
164,rock,5.9731252564603246
