,term,score
0,derek,473.1791868775771
1,abby,230.8073112497608
2,train,175.02920485742175
3,stacey,118.09830843063035
4,pool,80.20637069572831
5,jessi,67.19091510012069
6,nicky,67.03941496444845
7,mal,60.66074550330266
8,linny,59.87958271342841
9,mystery,53.619291869089146
10,mary,51.67339022827129
11,claudia,50.00559005621285
12,movie,41.31127586550741
13,ben,35.69408411593376
14,ms,35.49342183991156
15,jackie,34.028804655086695
16,michael,32.71132399431837
17,david,32.71132399431837
18,water,28.306699214443764
19,james,27.139822990951366
20,karen,26.40394183226714
21,board,26.013159807859044
22,jenny,25.588094807552032
23,star,25.56186249673072
24,bsc,24.220976928617297
25,kristy,23.510891047516825
26,dining,23.295008232250552
27,sleeping,21.63472746499588
28,charlie,20.841206586613204
29,buddy,19.798204497679453
30,although,19.077699756312235
31,boys,18.657925342275924
32,sitters,18.08712831820465
33,team,18.0839886249495
34,rock,17.919375769380974
35,claire,17.408698245741697
36,hannie,16.400982887565966
37,brown,15.888642503442911
38,beach,15.81386314644197
39,game,15.09481046230465
40,excellent,14.788925766629816
41,ball,14.66232530443892
42,glasses,14.653992269121316
43,edge,14.594632783120758
44,shannon,14.532586157170378
45,stage,14.40228090300524
46,including,14.20911643730804
47,man,13.954557091212623
48,ride,13.894137724408802
49,pale,13.771098823530393
50,party,13.587215622933007
51,member,13.228980065136835
52,raised,13.170300241606533
53,lights,12.932355398075545
54,forward,12.881129622657806
55,air,12.824122389554631
56,watson,12.566623740459455
57,list,12.454947654355257
58,mallory,12.34439395996674
59,names,12.34439395996674
60,note,12.165283121954907
61,suit,12.06304090828987
62,steps,12.055992416633002
63,hit,11.965978266076084
64,logan,11.682615712256561
65,pizza,11.669139178821244
66,news,11.651671169191468
67,slid,11.332709546614614
68,krushers,11.201774035670743
69,truth,11.04820333543868
70,clue,11.013405123610283
71,group,10.878162060069167
72,trip,10.850393174969701
73,closed,10.82996919570968
74,piece,10.782007473074751
75,slipped,10.713045074302583
76,director,10.663509312319214
77,summer,10.614278387724188
78,practice,10.614278387724188
79,calm,10.609091857913793
80,station,10.452969198805569
81,doors,10.155051897873998
82,questions,9.921735048852625
83,grinned,9.921735048852625
84,nine,9.79034585406225
85,baseball,9.776581348982067
86,eye,9.746972276138711
87,allowed,9.601433393551687
88,nancy,9.594752944159241
89,grabbed,9.57553852140246
90,planned,9.430303873701149
91,flowers,9.181115226303191
92,single,9.180283525668314
93,several,9.13936272033415
94,hot,9.09865016427438
95,page,8.959687884690487
96,secret,8.93784072970568
97,staring,8.93784072970568
98,wondered,8.858632161843989
99,famous,8.830650653364707
100,notes,8.830650653364707
101,rolled,8.741270643861638
102,accident,8.704330198177711
103,sent,8.671260142861405
104,shouted,8.6256059784598
105,shrugged,8.549414926369755
106,younger,8.511589796802188
107,area,8.49953215996096
108,stepped,8.473942668502886
109,town,8.473942668502886
110,practically,8.436471874003475
111,rose,8.421682754388954
112,softball,8.41953097474417
113,however,8.379926870556057
114,sun,8.30149438115194
115,cream,8.109784782312325
116,woman,8.1049136725718
117,field,8.082569772695148
118,rules,7.924011428688525
119,ice,7.887537152230232
120,purple,7.881739564068473
121,snack,7.815247121133185
122,managed,7.785871113097568
123,became,7.751303141613491
124,burst,7.751303141613491
125,tall,7.743817706095274
126,schedule,7.743817706095274
127,charlotte,7.688665383429576
128,york,7.648611813378933
129,sitter,7.6147134420484175
130,california,7.580978436996775
131,screamed,7.539400567681169
132,definitely,7.51399227988372
133,notebook,7.51399227988372
134,uh,7.480738060573535
135,explained,7.414699834940025
136,headed,7.381912889753041
137,shea,7.350729257160491
138,games,7.266293078585189
139,bathroom,7.2335954499798
140,example,7.219006284258558
141,key,7.104576400523653
142,pushed,7.10455821865402
143,handle,7.072727905275862
144,kinds,7.016275812286807
145,john,6.953615088592265
146,sleep,6.916061041253746
147,grew,6.854522040250613
148,join,6.7936078114665035
149,police,6.737346203511162
150,missed,6.733305796345494
151,windows,6.7268059201922945
152,lunch,6.70338054727926
153,pocket,6.6956531714391145
154,led,6.673603811226487
155,meetings,6.643974121382992
156,skin,6.633923992327617
157,joined,6.614490032568417
158,opening,6.603342857240437
159,papadakis,6.603081882288538
160,joke,6.572947626858526
161,glanced,6.555952982896228
162,quite,6.526897236041501
163,checked,6.526897236041501
164,french,6.4989778147021795
165,others,6.497981517425807
166,dressed,6.440564811328903
167,figure,6.412061194777316
168,admit,6.412061194777316
169,discovered,6.39435721384813
170,sports,6.39435721384813
171,excited,6.383692347601641
172,anna,6.349409718204348
173,crowd,6.336217023872535
174,appeared,6.278745126743859
175,contest,6.2694049769578655
176,wears,6.250255021170671
177,plans,6.250255021170671
178,glass,6.165745967157655
179,seriously,6.165745967157655
180,cars,6.120743484202128
181,closet,6.082641560977454
182,camera,6.078257533799541
183,present,6.031520454144935
184,soccer,6.005083174427064
185,charges,6.002216293776644
186,relieved,6.000895870969805
187,shy,5.973941627795423
188,tape,5.944244264566377
189,step,5.893939921063218
190,fire,5.887100435576471
191,rodowsky,5.863880641853106
192,unless,5.841307856128281
193,covered,5.815198136222522
194,energy,5.775205027406846
195,becca,5.775205027406846
196,wrote,5.763384201044789
197,wall,5.763384201044789
198,moving,5.763384201044789
199,scene,5.747713510255798
200,hurried,5.747713510255798
201,coach,5.729026478266308
202,booth,5.729026478266308
