,term,score
0,pop,351.71887144772836
1,sharon,234.18206091366108
2,abby,105.45506462273553
3,box,85.55675664610646
4,dewitt,81.47889551221378
5,kristy,75.87605747153157
6,claudia,69.15666709901778
7,stacey,68.0927183744175
8,mystery,61.997306223634325
9,grace,57.48439940489128
10,buddy,54.445062368618494
11,bsc,46.01985616437287
12,lindsey,45.79858753928718
13,music,44.760500496936906
14,mal,42.81934976703717
15,jessi,41.257579447442524
16,letters,38.20009742987138
17,jake,34.73009369587349
18,barrett,33.93031420981035
19,backyard,32.85218891053179
20,suzi,28.423570430775346
21,picture,28.157919908845166
22,man,26.835686713870427
23,party,24.909895308710514
24,basement,23.08987330170187
25,secret,21.22737173305099
26,rooms,19.60244147597104
27,worked,19.15107704280492
28,kuhn,19.121588816108446
29,letter,17.5764953000523
30,beautiful,17.2512119569196
31,mary,16.87294374800695
32,headed,16.87294374800695
33,star,16.14433420846151
34,notebook,16.101412028322255
35,interested,15.993884760584763
36,water,14.719483591510757
37,stairs,14.26782526174041
38,logan,14.019138854707872
39,downstairs,13.709044080501226
40,building,13.706789920227486
41,young,13.526762094573522
42,wonder,13.170300241606533
43,become,12.9384089676897
44,sad,12.622889847793932
45,coffee,12.393988941177353
46,somehow,12.34439395996674
47,led,12.234940320581892
48,present,12.06304090828987
49,upstairs,12.019247135309753
50,ms,11.831140613303853
51,window,11.807702154102987
52,tiny,11.787879842126436
53,figure,11.755445523758413
54,nearly,11.735109271117995
55,yard,11.61572655914291
56,wrote,11.526768402089578
57,interesting,11.526768402089578
58,marnie,11.30825957956307
59,share,11.27919764140824
60,lived,11.172300912132101
61,song,11.016879058824314
62,bottom,10.998341712058142
63,bathroom,10.850393174969701
64,claud,10.801612567745648
65,piece,10.782007473074751
66,sitters,10.639487246002734
67,bet,10.592428335628608
68,anna,10.58234953034058
69,dinner,10.545589842504343
70,wall,10.37409156188062
71,grew,10.281783060375918
72,taylor,10.069078760040163
73,nicky,9.776581348982067
74,hoping,9.644793933306401
75,couch,9.639769176471274
76,younger,9.57553852140246
77,history,9.550024357467844
78,taken,9.49103085825391
79,terrific,9.304317017956034
80,clear,9.262758482939201
81,bedroom,9.180283525668314
82,forgot,9.058143748622005
83,disappointed,9.034453990444486
84,notes,8.830650653364707
85,wonderful,8.780200161071022
86,known,8.780200161071022
87,its,8.780200161071022
88,dream,8.746142214074272
89,eye,8.663975356567743
90,surprise,8.6256059784598
91,spot,8.515698185368434
92,excited,8.511589796802188
93,explained,8.473942668502886
94,town,8.473942668502886
95,trip,8.4391946916431
96,keeping,8.4391946916431
97,question,8.436471874003475
98,learned,8.401254219357726
99,neighborhood,8.251515889488505
100,familiar,8.185735163543866
101,nobody,8.177830998579593
102,fortunately,8.1652162824512
103,quick,8.14127739071153
104,wondering,8.14127739071153
105,awhile,8.068737881462704
106,tossed,7.99763198423941
107,himself,7.9258757800442545
108,pile,7.924011428688525
109,pike,7.82061063849247
110,cover,7.815247121133185
111,planning,7.815247121133185
112,ended,7.751303141613491
113,questions,7.7169050379964865
114,filled,7.7169050379964865
115,explain,7.682675140937144
116,flowers,7.650929355252661
117,asking,7.6147134420484175
118,quite,7.6147134420484175
119,guy,7.580978436996775
120,loved,7.568878200346541
121,boyfriend,7.51399227988372
122,sighed,7.447641072201915
123,news,7.414699834940025
124,ones,7.381912889753041
125,truth,7.365468890292453
126,clue,7.342270082406856
127,note,7.299169873172944
128,welcome,7.299169873172944
129,games,7.266293078585189
130,cake,7.1822487439520595
131,track,7.168729953354507
132,fair,7.10455821865402
133,obviously,7.082943466634134
134,step,7.072727905275862
135,planned,7.072727905275862
136,mess,7.009569427353936
137,loud,7.009569427353936
138,daughter,6.9179119842932835
139,moving,6.916061041253746
140,tired,6.823987623205785
141,speak,6.7936078114665035
142,reminded,6.763381047286761
143,empty,6.763381047286761
144,names,6.733305796345494
145,longer,6.733305796345494
146,windows,6.7268059201922945
147,plan,6.70338054727926
148,usual,6.70338054727926
149,green,6.70338054727926
150,named,6.70338054727926
151,carefully,6.673603811226487
152,director,6.664693320199508
153,style,6.664693320199508
154,notice,6.643974121382992
155,doorway,6.633923992327617
156,summer,6.633923992327617
157,plenty,6.614490032568417
158,grinned,6.614490032568417
159,lifted,6.603342857240437
160,boys,6.585150120803267
161,raised,6.585150120803267
162,record,6.555952982896228
163,glanced,6.555952982896228
164,space,6.453181421746061
165,dressed,6.440564811328903
166,forward,6.440564811328903
167,paused,6.423682811110121
168,spend,6.412061194777316
169,shrugged,6.412061194777316
170,monday,6.327353905502607
171,carrying,6.307398500288785
172,families,6.307398500288785
173,appeared,6.278745126743859
174,invited,6.221926333492283
175,large,6.193757244901004
176,seriously,6.165745967157655
177,suppose,6.150932306743661
178,forever,6.110189840032301
179,closer,6.082641560977454
180,using,6.082641560977454
181,dear,6.0610408833354255
182,immediately,6.027996208316501
183,throat,6.027996208316501
184,chips,6.002216293776644
185,excellent,5.915570306651927
186,date,5.893939921063218
187,safe,5.887100435576471
188,covered,5.815198136222522
189,bunch,5.789224051837001
190,finish,5.763384201044789
191,single,5.737677203542696
192,kinds,5.613020649829446
193,checking,5.613020649829446
194,wow,5.611088163621245
195,writing,5.611088163621245
196,pieces,5.586617913704038
197,age,5.586150456066051
198,loves,5.561336509355406
199,margo,5.560388311519402
200,war,5.537472062306709
201,regular,5.487625100669389
202,jobs,5.487625100669389
203,enjoy,5.482715968090995
204,somebody,5.482715968090995
205,less,5.463294152413524
206,hit,5.4390810300345835
207,checked,5.4390810300345835
208,tree,5.431759864981276
209,california,5.41498459785484
210,acting,5.406523188208217
211,break,5.3910037365373755
212,definitely,5.367137342774085
213,claire,5.3565225371512915
214,sign,5.343384328981097
215,key,5.328432300392739
216,brown,5.296214167814304
217,comes,5.296214167814304
218,neat,5.28267428579235
219,eight,5.272794921252172
220,practically,5.272794921252172
221,born,5.23418884366297
222,noise,5.210164747422123
223,fill,5.210164747422123
224,yellow,5.138946248888097
225,cleared,5.138946248888097
226,discovered,5.115485771078504
227,wore,5.092162089835331
228,boxes,5.092162089835331
229,drove,5.092162089835331
230,aside,5.068973619098028
231,rose,5.053009652633372
232,sunny,5.000834424497764
233,happening,4.977541066793827
234,sent,4.955005795920803
235,involved,4.955005795920803
236,silent,4.932596773726123
237,touch,4.888151872025841
238,closet,4.8661132487819625
239,strange,4.8223969666532005
240,shy,4.779153302236338
241,gathered,4.757705529670797
242,awesome,4.752759276962424
243,purple,4.729043738441083
244,wild,4.652158508978017
245,woman,4.631379241469601
246,board,4.590557613151596
247,bright,4.590141762834157
248,jeans,4.590141762834157
249,watson,4.569681360167075
250,completely,4.569681360167075
251,porch,4.568085597964124
252,seeing,4.54932508213719
253,worse,4.529071874311002
254,join,4.529071874311002
255,thirteen,4.529071874311002
256,library,4.523640340608702
257,glasses,4.508920698191174
258,married,4.488870530896996
259,wednesday,4.4490692074843246
260,afraid,4.4293160809219945
261,became,4.4293160809219945
262,grandmother,4.409660021712278
263,eating,4.409660021712278
264,leaned,4.409660021712278
265,joined,4.409660021712278
266,leaving,4.390100080535511
267,pikes,4.373071107037136
268,hiding,4.373071107037136
269,drive,4.370635321930819
270,rolled,4.370635321930819
271,often,4.351264824027667
272,desk,4.351264824027667
273,sitter,4.351264824027667
274,favorite,4.3319876782838715
275,children,4.3319876782838715
276,example,4.331403770555134
277,light,4.293709874219268
278,spent,4.274707463184877
279,putting,4.274707463184877
280,thomas,4.255794898401094
281,pencil,4.24976607998048
282,mine,4.236971334251443
283,awful,4.2182359370017375
284,bored,4.209765487372085
285,softball,4.209765487372085
286,pants,4.189963435278028
287,concerned,4.170291233639551
288,slow,4.15074719057597
289,decision,4.131329647059117
290,slightly,4.092867581771933
291,lips,4.073819898735957
