,term,score
0,abby,264.6325206570533
1,ms,263.24287864601075
2,corrie,247.11142689632848
3,painting,162.4997391099149
4,paint,137.8185614711471
5,grandmother,121.26565059708764
6,mary,110.72869334629561
7,stacey,95.75538521402461
8,museum,72.11190354855573
9,art,69.8882708219632
10,kristy,68.39531941095804
11,cat,67.89699831226595
12,jamie,63.019291260929386
13,woman,59.05008532873741
14,carolyn,47.169102316909616
15,picture,45.48587062198065
16,claudia,43.621897708611215
17,pictures,38.12309623577945
18,marilyn,31.23232360144204
19,artist,30.871613574061953
20,library,30.157602270724677
21,mal,26.16738041318938
22,key,24.866017401832785
23,jessi,24.754547668465516
24,bsc,23.009928082186434
25,office,22.803404309685256
26,tomorrow,22.442214181720605
27,brown,21.184856671257215
28,man,19.321694433986707
29,purple,18.916174953764333
30,children,18.410947632706453
31,beside,18.151994278166377
32,list,16.98401952866626
33,anna,16.931759248544928
34,mallory,16.833264490863733
35,porch,16.74964719253512
36,tree,16.29527959494383
37,bear,15.685047353526688
38,earlier,15.558852238428324
39,margo,15.291067856678355
40,police,15.159028957900116
41,wall,14.98479892271645
42,windows,14.798973024423049
43,newspaper,14.788925766629816
44,stairs,14.26782526174041
45,explained,13.77015683631719
46,young,13.526762094573522
47,students,13.474692407022324
48,opening,13.206685714480875
49,drew,12.399531920025728
50,reminded,12.399531920025728
51,doorway,11.94106318618971
52,helping,11.894263824176992
53,tape,11.888488529132754
54,earrings,11.717663533368201
55,hang,11.526768402089578
56,downstairs,11.424203400417687
57,nicky,11.173235827408076
58,wondered,11.073290202304985
59,lines,11.034435389695862
60,upstairs,10.926588304827048
61,grabbed,10.639487246002734
62,sitters,10.639487246002734
63,continued,10.545589842504343
64,yellow,10.277892497776193
65,water,10.190411717199755
66,anybody,10.045992202790174
67,climbed,10.000408033873073
68,backpack,9.899102248839727
69,closet,9.732226497563925
70,likes,9.703806725767276
71,hoping,9.644793933306401
72,steps,9.644793933306401
73,mine,9.533185502065747
74,ones,9.49103085825391
75,hanging,9.09865016427438
76,james,9.046607663650455
77,greeted,8.959687884690487
78,disappeared,8.830357900404298
79,doors,8.704330198177711
80,sitter,8.702529648055334
81,waited,8.663975356567743
82,dressed,8.587419748438537
83,supplies,8.539936353049026
84,excited,8.511589796802188
85,worked,8.511589796802188
86,missing,8.401254219357726
87,hallway,8.379926870556057
88,company,8.363518278913592
89,nancy,8.224073952136493
90,works,8.14127739071153
91,mentioned,8.1049136725718
92,sheet,8.082569772695148
93,pocket,8.034783805726937
94,soccer,8.006777565902752
95,style,7.99763198423941
96,finger,7.99763198423941
97,arnold,7.95887280171589
98,lived,7.82061063849247
99,mimi,7.818507522470808
100,joined,7.7169050379964865
101,leaned,7.7169050379964865
102,leaving,7.682675140937144
103,its,7.682675140937144
104,york,7.648611813378933
105,checked,7.6147134420484175
106,desk,7.6147134420484175
107,counter,7.576301104169282
108,liked,7.447641072201915
109,large,7.432508693881204
110,ears,7.432508693881204
111,bet,7.414699834940025
112,town,7.414699834940025
113,calling,7.381912889753041
114,pink,7.365468890292453
115,learn,7.2335954499798
116,learned,7.2010750451637655
117,claud,7.2010750451637655
118,hurried,7.1846418878197476
119,shoes,7.072727905275862
120,step,7.072727905275862
121,band,7.028383620640875
122,kinds,7.016275812286807
123,expression,6.950485389399253
124,charlie,6.947068862204401
125,jeans,6.885212644251235
126,clean,6.823987623205785
127,daddy,6.737346203511162
128,although,6.733305796345494
129,charge,6.70338054727926
130,loves,6.673603811226487
131,meetings,6.643974121382992
132,hide,6.633923992327617
133,project,6.603342857240437
134,known,6.585150120803267
135,handed,6.555952982896228
136,record,6.555952982896228
137,tears,6.526897236041501
138,space,6.453181421746061
139,pay,6.383692347601641
140,wore,6.365202612294164
141,comes,6.3554570013771645
142,stick,6.336217023872535
143,monday,6.327353905502607
144,carrying,6.307398500288785
145,subject,6.193757244901004
146,low,6.165745967157655
147,color,6.137890741910378
148,scared,6.137890741910378
149,promised,6.110189840032301
150,closer,6.082641560977454
151,pointing,6.082641560977454
152,sight,6.027996208316501
153,immediately,6.027996208316501
154,janine,6.027996208316501
155,including,5.920465182211684
156,tiny,5.893939921063218
157,aunt,5.8588317666841006
158,blonde,5.841307856128281
159,buy,5.737677203542696
160,bright,5.737677203542696
161,shut,5.7121017002088434
162,interested,5.7121017002088434
163,empty,5.636150872738968
164,pieces,5.586617913704038
165,named,5.586150456066051
166,catch,5.586150456066051
167,ended,5.536645101152493
168,neck,5.534329587434627
169,president,5.487625100669389
170,wonder,5.487625100669389
171,ideas,5.487625100669389
172,somebody,5.482715968090995
173,junk,5.4390810300345835
174,closed,5.41498459785484
175,others,5.41498459785484
176,brothers,5.41498459785484
177,kishi,5.41498459785484
178,figure,5.343384328981097
179,leaning,5.331754656159607
180,thomas,5.319743623001367
181,news,5.296214167814304
182,student,5.28267428579235
183,headed,5.272794921252172
184,driveway,5.258358101486821
185,outfit,5.210164747422123
186,cover,5.210164747422123
187,planning,5.210164747422123
188,yard,5.162545137396849
189,paused,5.138946248888097
190,decide,5.092162089835331
191,hundred,5.022996101395087
192,twins,4.97508319342359
193,american,4.955005795920803
194,ways,4.955005795920803
195,foot,4.932596773726123
196,lying,4.888151872025841
197,bottom,4.888151872025841
198,pulling,4.8661132487819625
199,brewer,4.8661132487819625
200,tigger,4.849541863617088
201,information,4.844195385723459
202,fit,4.844195385723459
203,pushed,4.736372145769347
204,fingers,4.736372145769347
205,bought,4.7151519368505745
206,tonight,4.694043708447198
207,expected,4.673046284902624
208,terrific,4.652158508978017
209,covered,4.652158508978017
210,cute,4.652158508978017
211,clear,4.631379241469601
212,possible,4.610707360835831
213,whether,4.610707360835831
214,flowers,4.590557613151596
215,eighth,4.590141762834157
216,sad,4.590141762834157
217,bedroom,4.590141762834157
218,several,4.569681360167075
219,seeing,4.54932508213719
220,forgot,4.529071874311002
221,sisters,4.488870530896996
222,rock,4.479843942345243
223,secret,4.46892036485284
224,green,4.46892036485284
225,carefully,4.4490692074843246
226,neither,4.4490692074843246
227,mad,4.4490692074843246
228,burst,4.4293160809219945
229,afraid,4.4293160809219945
230,sense,4.4293160809219945
231,questions,4.409660021712278
232,member,4.409660021712278
233,spier,4.390100080535511
234,jobs,4.390100080535511
235,wonderful,4.390100080535511
236,raised,4.390100080535511
237,hiding,4.373071107037136
238,drawing,4.373071107037136
239,rolled,4.370635321930819
240,drive,4.370635321930819
241,often,4.351264824027667
242,threw,4.351264824027667
243,box,4.3319876782838715
244,guy,4.3319876782838715
245,favorite,4.3319876782838715
246,energy,4.331403770555134
247,becca,4.331403770555134
248,piece,4.3128029892299
249,ahead,4.3128029892299
250,scene,4.310785132691848
251,light,4.293709874219268
252,forward,4.293709874219268
253,window,4.293709874219268
254,definitely,4.293709874219268
255,spent,4.274707463184877
256,sighed,4.255794898401094
257,younger,4.255794898401094
258,area,4.24976607998048
259,street,4.236971334251443
260,helped,4.236971334251443
261,besides,4.236971334251443
262,share,4.22969911552809
263,question,4.2182359370017375
264,pants,4.189963435278028
265,driving,4.170291233639551
266,seventh,4.131329647059117
267,van,4.127652345165388
268,nearby,4.1120369760682465
269,enjoy,4.1120369760682465
270,hugged,4.073819898735957
271,wished,4.073819898735957
272,dead,4.017391902863468
273,chocolate,4.017391902863468
274,jewelry,3.998815992119705
275,follow,3.998815992119705
276,tossed,3.998815992119705
277,edge,3.9803543953965703
278,pile,3.9620057143442624
279,send,3.943768576115116
280,kits,3.943768576115116
281,excitement,3.9256416327472277
282,return,3.9256416327472277
283,boring,3.9076235605665923
284,gasped,3.889713059607081
285,certainly,3.889713059607081
286,disappointed,3.871908853047637
287,classes,3.871908853047637
288,cleared,3.8542096866660724
289,organized,3.8542096866660724
290,apart,3.836614328308878
291,drove,3.8191215673764987
292,numbers,3.8017302143235208
293,hungry,3.8017302143235208
294,plastic,3.7844391001732705
295,gray,3.7844391001732705
296,careful,3.7672470760463153
297,spread,3.7501530127024028
298,ballet,3.7501530127024028
299,officer,3.7331558000953704
300,using,3.649584936586472
301,shaking,3.649584936586472
302,shannon,3.6331465392925946
303,faces,3.6167977249899
304,keeping,3.6167977249899
305,wide,3.6005375225818828
