,term,score
0,valentine,614.3026264851665
1,robert,192.0925252639329
2,pete,177.84390740262106
3,cary,150.66750951907494
4,kristy,107.93636344541815
5,alan,90.43101608664693
6,cokie,87.41297744506718
7,abby,75.60929161630095
8,mary,74.87368788178084
9,rose,62.32045238247825
10,claudia,51.069538780813126
11,bsc,44.808807317942
12,james,36.18643065460182
13,ethan,36.1354486167745
14,bag,35.73889834584194
15,mal,34.49336509011327
16,sent,32.20753767348522
17,logan,29.2065392806414
18,boys,28.53565052348082
19,josh,25.98739358719053
20,king,25.726426563074767
21,mystery,25.134043063635538
22,cards,25.004172122488818
23,card,22.773163608130734
24,jessi,22.39697170004023
25,lunch,22.344601824264203
26,gray,21.445154900981866
27,send,19.71884288057558
28,vanessa,19.461359090317906
29,sms,18.916174953764333
30,locker,18.722397407749103
31,matt,18.574435553244246
32,margo,18.071262012438055
33,ms,17.74671091995578
34,stacey,17.023179593604375
35,list,15.851751560088509
36,writing,15.711046858139486
37,ben,15.61616180072102
38,library,15.078801135362339
39,notebook,15.02798455976744
40,train,15.002503273493291
41,eighth,14.917960729211009
42,class,14.89528214440383
43,explained,14.82939966988005
44,becca,14.438012568517117
45,basement,14.209152801047306
46,seat,14.20456479627516
47,haley,13.845186199473785
48,justin,13.140163133372544
49,eye,12.995963034851615
50,boyfriend,12.881129622657806
51,nobody,12.850877283482218
52,imagine,12.824122389554631
53,quite,11.965978266076084
54,deal,11.860208220382226
55,news,11.651671169191468
56,headed,11.600148826754777
57,feelings,11.509842984926633
58,brothers,10.82996919570968
59,main,10.663509312319214
60,joke,10.516716202973642
61,clear,10.420603293306602
62,planning,10.420329494844246
63,wrote,10.37409156188062
64,usual,10.05507082091889
65,jackie,10.00847195737844
66,emily,9.955082133587654
67,sixth,9.820625187056605
68,nicky,9.776581348982067
69,closer,9.732226497563925
70,note,9.732226497563925
71,definitely,9.660847216993353
72,figure,9.618091792165973
73,somebody,9.594752944159241
74,younger,9.57553852140246
75,helped,9.533185502065747
76,ones,9.49103085825391
77,charlotte,9.22639846011549
78,charges,9.003324440664965
79,loves,8.898138414968649
80,notes,8.830650653364707
81,plenty,8.819320043424556
82,group,8.702529648055334
83,bell,8.671260142861405
84,others,8.663975356567743
85,favorite,8.663975356567743
86,anna,8.465879624272464
87,continued,8.436471874003475
88,claud,8.401254219357726
89,missing,8.401254219357726
90,um,8.251515889488505
91,loud,8.177830998579593
92,covered,8.14127739071153
93,terrific,8.14127739071153
94,ew,8.082569772695148
95,diabetes,8.072167104230754
96,archie,8.048596142966751
97,claire,8.034783805726937
98,nose,8.032748084959774
99,watson,7.996942380292381
100,seeing,7.961318893740082
101,officers,7.960708790793141
102,student,7.924011428688525
103,math,7.855523429069743
104,cover,7.815247121133185
105,candy,7.815247121133185
106,member,7.7169050379964865
107,nervous,7.7169050379964865
108,third,7.7169050379964865
109,york,7.648611813378933
110,booth,7.638701971021744
111,lately,7.638243134752997
112,guy,7.580978436996775
113,children,7.580978436996775
114,boo,7.55174202447612
115,sighed,7.447641072201915
116,adam,7.288451845061893
117,hoping,7.2335954499798
118,store,7.2335954499798
119,team,7.2335954499798
120,example,7.219006284258558
121,quick,6.978237763467026
122,speaking,6.947068862204401
123,seventh,6.885549411765196
124,single,6.885212644251235
125,marnie,6.7849557477378415
126,ha,6.772588722239782
127,somehow,6.733305796345494
128,pike,6.70338054727926
129,catch,6.70338054727926
130,seems,6.70338054727926
131,chocolate,6.6956531714391145
132,crowded,6.6956531714391145
133,stairs,6.585150120803267
134,checked,6.526897236041501
135,hate,6.526897236041501
136,paid,6.512705934277654
137,earlier,6.4828550993451355
138,likes,6.46920448384485
139,recently,6.453181421746061
140,paused,6.423682811110121
141,sign,6.412061194777316
142,grinning,6.39435721384813
143,sitters,6.383692347601641
144,worked,6.383692347601641
145,stick,6.336217023872535
146,taken,6.327353905502607
147,sweet,6.250255021170671
148,huh,6.193757244901004
149,involved,6.193757244901004
150,alex,6.176660978194164
151,pink,6.137890741910378
152,sight,6.027996208316501
153,learned,6.000895870969805
154,shy,5.973941627795423
155,including,5.920465182211684
156,planned,5.893939921063218
157,mansion,5.841307856128281
158,jordan,5.830761476049514
159,scary,5.802886798785141
160,jake,5.788348949312249
161,kidding,5.763384201044789
162,body,5.737677203542696
163,jamie,5.729026478266308
164,chairs,5.720409649974198
165,grew,5.7121017002088434
166,several,5.7121017002088434
167,hanging,5.686656352671488
168,thirteen,5.6613398428887525
169,himself,5.6613398428887525
170,party,5.6613398428887525
171,checking,5.613020649829446
172,dying,5.586617913704038
173,green,5.586150456066051
174,plan,5.586150456066051
175,concerned,5.560388311519402
176,wondered,5.536645101152493
177,eating,5.512075027140347
178,known,5.487625100669389
179,explain,5.487625100669389
180,glanced,5.463294152413524
181,history,5.4571567756959105
182,acting,5.406523188208217
183,direction,5.3565225371512915
184,slipped,5.3565225371512915
185,putting,5.343384328981097
186,spent,5.343384328981097
187,admit,5.343384328981097
188,besides,5.296214167814304
189,pile,5.28267428579235
190,monday,5.272794921252172
191,dinner,5.272794921252172
192,eight,5.272794921252172
193,beach,5.271287715480657
194,noise,5.210164747422123
195,boring,5.210164747422123
196,fill,5.210164747422123
197,triplets,5.186284079476108
198,throw,5.162545137396849
199,friendly,5.162545137396849
200,classes,5.162545137396849
201,yellow,5.138946248888097
202,crossed,5.115485771078504
203,grin,5.115485771078504
204,careful,5.022996101395087
205,act,4.977541066793827
206,foot,4.932596773726123
207,teacher,4.910312593528302
208,shea,4.900486171440328
209,bottom,4.888151872025841
210,pulling,4.8661132487819625
211,learn,4.8223969666532005
212,keeping,4.8223969666532005
213,luck,4.8223969666532005
214,bathroom,4.8223969666532005
215,envelope,4.8007603010017466
216,gym,4.8007603010017466
217,interrupted,4.800716696775844
218,grace,4.790366617074273
219,pushed,4.736372145769347
220,bought,4.7151519368505745
221,happens,4.7151519368505745
222,mention,4.694043708447198
223,angry,4.673046284902624
224,mess,4.673046284902624
225,written,4.652158508978017
226,absolutely,4.652158508978017
227,bunch,4.631379241469601
228,mentioned,4.631379241469601
229,weeks,4.610707360835831
230,interesting,4.610707360835831
231,apple,4.590557613151596
