,term,score
0,alex,342.8046842897761
1,ms,331.2719371725079
2,kristy,178.46903658796862
3,stacey,134.05753929963444
4,claudia,124.48200077823199
5,mal,103.48009527033983
6,abby,89.53731901930375
7,logan,79.44178684334462
8,store,72.335954499798
9,rain,61.72240365166261
10,ghost,53.89042746417792
11,cat,50.2437787510768
12,mary,46.40059530701911
13,basement,46.17974660340374
14,office,45.60680861937051
15,mystery,45.24127751454397
16,wall,42.649043087731435
17,bsc,42.38670962508027
18,jessi,40.078791463229884
19,desk,35.897934798228256
20,stories,34.21706310418088
21,man,32.20282405664451
22,andrew,28.36243144892521
23,karen,27.6041210064611
24,upstairs,27.316470762067617
25,boxes,26.73385097163549
26,opening,26.41337142896175
27,sharon,25.41510738597872
28,joined,25.355545124845598
29,charlotte,23.06599615028873
30,counter,22.728903312507846
31,coffee,22.033758117648627
32,sunny,21.670282506156976
33,pike,21.22737173305099
34,project,19.81002857172131
35,alan,18.927421971623776
36,tape,17.83273279369913
37,letters,17.73575952101171
38,byron,17.5764953000523
39,david,17.52392356838484
40,body,17.21303161062809
41,water,16.98401952866626
42,shoes,16.50303177897701
43,michael,16.355661997159185
44,children,16.24495379356452
45,woman,16.2098273451436
46,tomorrow,16.03015298694329
47,paint,15.957938696659138
48,stepped,15.888642503442911
49,popcorn,15.729355483293416
50,strange,15.672790141622901
51,sitter,15.229426884096835
52,interesting,14.98479892271645
53,newspaper,14.788925766629816
54,practice,14.594632783120758
55,adam,14.576903690123785
56,steps,14.4671908999596
57,noise,14.327953055410838
58,pizza,14.262281218559297
59,quite,14.141610678089918
60,video,14.1325971929181
61,softball,14.032551624573614
62,vanessa,13.900970778798506
63,plastic,13.876276700635326
64,wrote,13.832122082507492
65,anybody,13.81323927883649
66,writing,13.466611592690988
67,closet,13.381811434150396
68,cards,13.33555846532737
69,bathroom,13.261591658296302
70,mentioned,12.736292914041401
71,wore,12.730405224588328
72,continued,12.654707811005213
73,hallway,12.569890305834086
74,watson,12.566623740459455
75,although,12.34439395996674
76,porch,12.181561594570997
77,stairs,12.072775221472655
78,pet,11.938309202573834
79,entered,11.61572655914291
80,recently,11.61572655914291
81,scary,11.605773597570282
82,gray,11.353317300519812
83,margo,11.120776623038804
84,wondered,11.073290202304985
85,ideas,10.975250201338778
86,games,10.899439617877784
87,often,10.878162060069167
88,offered,10.801612567745648
89,mail,10.77337311592809
90,main,10.663509312319214
91,worked,10.639487246002734
92,class,10.639487246002734
93,explained,10.592428335628608
94,houses,10.40242746299116
95,movie,10.327818966376853
96,several,10.281783060375918
97,tired,10.235981434808677
98,police,10.106019305266743
99,seems,10.05507082091889
100,leaned,9.921735048852625
101,boys,9.8777251812049
102,known,9.8777251812049
103,painting,9.84846903696454
104,box,9.746972276138711
105,picture,9.746972276138711
106,note,9.732226497563925
107,boyfriend,9.660847216993353
108,ones,9.49103085825391
109,windows,9.417528288269212
110,hoped,9.346092569805249
111,written,9.304317017956034
112,covered,9.304317017956034
113,finish,9.221414721671662
114,thinks,9.221414721671662
115,jeans,9.180283525668314
116,downstairs,9.13936272033415
117,reminded,9.017841396382348
118,married,8.977741061793992
