,term,score
0,kristy,185.94977464854216
1,sergeant,121.66304862735524
2,johnson,107.80661031101468
3,anna,91.00820596092899
4,mary,62.21898007077563
5,shea,61.25607714300409
6,claudia,60.64507730221559
7,abby,57.7018278124402
8,window,53.67137342774085
9,jackie,50.0423597868922
10,stacey,47.87769260701231
11,mystery,41.890071772725896
12,mal,33.30393870769558
13,archie,32.194384571867005
14,nicky,32.12305300379822
15,team,28.9343817999192
16,bsc,27.854123467909893
17,jamie,24.825781405820667
18,charlotte,23.06599615028873
19,boys,20.852975382543676
20,becca,20.21321759592396
21,lawn,19.412657083496054
22,adam,18.949974797160923
23,police,18.527702059655695
24,bike,18.14835412287283
25,mail,17.95562185988015
26,garage,17.781653499929323
27,jessi,17.681819763189655
28,rodowsky,17.59164192555932
29,guy,17.327950713135486
30,triplets,15.558852238428324
31,neighborhood,15.324243794764367
32,lucy,15.104985855616796
33,backyard,14.932813141150811
34,melody,14.773995482362796
35,pictures,14.460484779088757
36,yard,14.196999127841336
37,vanessa,13.900970778798506
38,building,13.706789920227486
39,tape,13.374549595274349
40,hardly,13.287948242765983
41,sick,13.228980065136835
42,bus,13.066606753702215
43,checked,13.053794472083002
44,brothers,12.995963034851615
45,woke,12.994211311665405
46,charlie,12.736292914041401
47,familiar,12.278602745315798
48,its,12.072775221472655
49,keeping,12.055992416633002
50,eye,11.912966115280646
51,excited,11.703435970603008
52,paint,11.605773597570282
53,headed,11.600148826754777
54,couch,11.016879058824314
55,seat,10.926588304827048
56,spotted,10.713045074302583
57,worked,10.639487246002734
58,woman,10.420603293306602
59,jordan,10.20383258308665
60,glanced,9.833929474344343
61,bored,9.82278613720153
62,fortunately,9.79825953894144
63,box,9.746972276138711
64,throat,9.644793933306401
65,roll,9.594752944159241
66,grabbed,9.57553852140246
67,company,9.558306604472676
68,street,9.533185502065747
69,awesome,9.505518553924848
70,glance,9.37391444001476
71,tired,9.09865016427438
72,earlier,9.075997139083189
73,names,8.977741061793992
74,catch,8.93784072970568
75,pike,8.93784072970568
76,excellent,8.87335545997789
77,video,8.832873245573813
78,seconds,8.830357900404298
79,starting,8.819320043424556
80,byron,8.78824765002615
81,picture,8.663975356567743
82,waited,8.663975356567743
83,murmured,8.580614474961298
84,shrugged,8.549414926369755
85,karen,8.401254219357726
86,bill,8.340582467279102
87,um,8.251515889488505
88,nobody,8.177830998579593
89,clear,8.1049136725718
90,sleep,8.068737881462704
91,movie,8.032748084959774
92,settled,8.032748084959774
93,driveway,7.887537152230232
94,lunch,7.82061063849247
95,named,7.82061063849247
96,carefully,7.785871113097568
97,wednesday,7.785871113097568
98,win,7.726688380355672
99,grinned,7.7169050379964865
100,music,7.673228656617756
101,favorite,7.580978436996775
102,notebook,7.51399227988372
103,figure,7.480738060573535
104,uh,7.480738060573535
105,air,7.480738060573535
106,ears,7.432508693881204
107,explained,7.414699834940025
108,bet,7.414699834940025
109,continued,7.381912889753041
110,eight,7.381912889753041
111,letter,7.323539708355126
112,pikes,7.288451845061893
113,fit,7.266293078585189
114,energy,7.219006284258558
115,learned,7.2010750451637655
116,heading,7.150512062467747
117,tea,7.028383620640875
118,loud,7.009569427353936
119,moments,6.983272392130048
120,brain,6.950485389399253
121,ride,6.947068862204401
122,completely,6.854522040250613
123,tv,6.823987623205785
124,groaned,6.821445969619888
125,pair,6.7936078114665035
126,tree,6.789699831226596
127,staring,6.70338054727926
128,listened,6.673603811226487
129,twice,6.633923992327617
130,lay,6.603342857240437
131,papadakis,6.603081882288538
132,dumb,6.572947626858526
133,upstairs,6.555952982896228
134,junk,6.526897236041501
135,quite,6.526897236041501
136,man,6.440564811328903
137,definitely,6.440564811328903
138,yellow,6.423682811110121
139,putting,6.412061194777316
140,younger,6.383692347601641
141,officer,6.221926333492283
142,using,6.082641560977454
143,faces,6.027996208316501
144,sight,6.027996208316501
145,luck,6.027996208316501
146,soccer,6.005083174427064
147,yourself,5.973941627795423
148,gently,5.947131912088496
149,yelled,5.920465182211684
150,orange,5.915570306651927
151,newspaper,5.915570306651927
152,ms,5.915570306651927
153,notes,5.887100435576471
154,covered,5.815198136222522
155,visit,5.789224051837001
156,thinks,5.763384201044789
157,interesting,5.763384201044789
158,bright,5.737677203542696
159,waving,5.666354773307307
160,exciting,5.666354773307307
161,round,5.666354773307307
162,himself,5.6613398428887525
163,totally,5.6613398428887525
164,young,5.636150872738968
165,drew,5.636150872738968
166,stuffed,5.613020649829446
167,none,5.586150456066051
168,milk,5.534329587434627
169,newton,5.506702561805142
170,raised,5.487625100669389
171,less,5.463294152413524
172,record,5.463294152413524
173,hit,5.4390810300345835
174,broke,5.41498459785484
175,listen,5.41498459785484
176,others,5.41498459785484
177,break,5.3910037365373755
178,diabetes,5.381444736153836
179,imagine,5.343384328981097
180,spent,5.343384328981097
181,barely,5.319743623001367
182,news,5.296214167814304
183,brown,5.296214167814304
184,mistake,5.28267428579235
185,pile,5.28267428579235
186,dinner,5.272794921252172
187,ones,5.272794921252172
188,excitement,5.23418884366297
189,birthday,5.215211316444199
190,responsible,5.186284079476108
191,entered,5.162545137396849
192,child,5.162545137396849
193,promise,5.138946248888097
194,dr,5.133014393879856
195,disappeared,5.045918800231028
196,careful,5.022996101395087
197,happening,4.977541066793827
198,huh,4.955005795920803
199,promised,4.888151872025841
200,signed,4.874233361026635
201,shaking,4.8661132487819625
202,welcome,4.8661132487819625
203,information,4.844195385723459
204,shannon,4.844195385723459
205,bathroom,4.8223969666532005
206,learn,4.8223969666532005
207,hoping,4.8223969666532005
208,janine,4.8223969666532005
209,envelope,4.8007603010017466
210,rehearsal,4.790366617074273
211,fifteen,4.736372145769347
212,nearly,4.694043708447198
213,hoped,4.673046284902624
214,wild,4.652158508978017
215,quick,4.652158508978017
216,moving,4.610707360835831
217,begin,4.590141762834157
218,nose,4.590141762834157
219,body,4.590141762834157
220,interested,4.569681360167075
221,downstairs,4.569681360167075
222,seeing,4.54932508213719
223,glasses,4.508920698191174
224,charges,4.5016622203324825
225,sisters,4.488870530896996
226,secret,4.46892036485284
227,houses,4.458183198424782
228,led,4.4490692074843246
229,wondered,4.4293160809219945
230,stayed,4.409660021712278
231,filled,4.409660021712278
232,grandmother,4.409660021712278
233,member,4.409660021712278
234,president,4.390100080535511
235,repeated,4.390100080535511
236,jump,4.373071107037136
237,drive,4.370635321930819
238,waved,4.370635321930819
239,often,4.351264824027667
240,nine,4.351264824027667
241,become,4.3128029892299
242,piece,4.3128029892299
243,scene,4.310785132691848
244,light,4.293709874219268
245,admitted,4.290307237480649
246,mumbled,4.269968176524513
247,apartment,4.26015111624779
248,sitters,4.255794898401094
249,monday,4.2182359370017375
250,calling,4.2182359370017375
251,awful,4.2182359370017375
252,question,4.2182359370017375
253,checking,4.209765487372085
254,strong,4.209765487372085
255,dying,4.189963435278028
256,margo,4.170291233639551
257,driving,4.170291233639551
258,guilty,4.1120369760682465
259,nearby,4.1120369760682465
260,add,4.1120369760682465
261,enjoy,4.1120369760682465
262,letters,4.092867581771933
263,sounding,4.036083552115377
264,windows,4.036083552115377
265,claire,4.017391902863468
266,practice,3.9803543953965703
267,officers,3.9803543953965703
268,frowned,3.9803543953965703
269,skin,3.9803543953965703
270,neat,3.9620057143442624
271,bat,3.932375406037556
272,mimi,3.909253761235404
273,whoa,3.9076235605665923
274,fill,3.9076235605665923
275,boring,3.9076235605665923
276,pizza,3.889713059607081
277,paused,3.8542096866660724
278,muttered,3.836614328308878
279,thoughts,3.836614328308878
280,crossed,3.836614328308878
281,relief,3.836614328308878
282,coach,3.819350985510872
283,asleep,3.8191215673764987
284,crowd,3.8017302143235208
285,climbed,3.7501530127024028
286,american,3.716254346940602
287,smart,3.716254346940602
288,low,3.6994475802945925
289,glass,3.6994475802945925
290,silent,3.6994475802945925
291,audience,3.6916480415378063
292,expect,3.6827344451462265
293,dues,3.6827344451462265
294,lying,3.6661139040193804
295,ourselves,3.6661139040193804
296,closer,3.649584936586472
297,spot,3.649584936586472
298,office,3.6005375225818828
299,interrupted,3.6005375225818828
300,claud,3.6005375225818828
301,track,3.5843649766772536
302,helping,3.5682791472530972
303,including,3.55227910932701
304,fingers,3.55227910932701
305,poor,3.536363952637931
306,ring,3.504784713676968
307,unless,3.504784713676968
308,terrific,3.489118881733513
309,speaking,3.4735344311022005
310,twenty,3.458030520626873
311,finish,3.458030520626873
312,kidding,3.458030520626873
313,single,3.4426063221256173
314,watson,3.4272610201253064
315,reach,3.4272610201253064
316,shut,3.4272610201253064
317,several,3.4272610201253064
318,forgotten,3.4119938116028923
319,join,3.3968039057332517
320,water,3.3968039057332517
321,grown,3.3816905236433805
322,silly,3.366652898172747
323,somehow,3.366652898172747
324,age,3.35169027363963
325,usual,3.35169027363963
326,seems,3.35169027363963
327,mad,3.3368019056132434
328,train,3.3338896163318426
329,meetings,3.321987060691496
330,eating,3.3072450162842086
331,upset,3.3072450162842086
332,backpack,3.2997007496132422
333,wonder,3.2925750604016333
334,ideas,3.2925750604016333
335,known,3.2925750604016333
336,leaving,3.2925750604016333
337,explain,3.2925750604016333
338,stairs,3.2925750604016333
339,handed,3.277976491448114
340,sitter,3.2634486180207505
341,desk,3.2634486180207505
342,mall,3.2494889073510898
343,beautiful,3.234602241922425
344,forward,3.2202824056644515
345,admit,3.206030597388658
346,pay,3.1918461738008204
347,town,3.1777285006885823
348,stepped,3.1777285006885823
349,comes,3.1777285006885823
350,mine,3.1777285006885823
351,johanssen,3.1685061846416156
352,coat,3.1685061846416156
353,clock,3.1636769527513033
354,taken,3.1636769527513033
355,pen,3.106001097633407
356,cars,3.060371742101064
357,station,2.9865626282301623
358,fire,2.9435502177882356
359,lit,2.9294158833420503
360,bent,2.915380738024757
361,hiding,2.915380738024757
362,drawing,2.915380738024757
363,doors,2.9014433993925706
364,fashion,2.9014433993925706
365,example,2.887602513703423
366,fancy,2.873856755127899
367,hurried,2.873856755127899
368,lights,2.873856755127899
369,dancing,2.860204824987099
370,impressed,2.860204824987099
371,tiffany,2.837016060816176
372,maria,2.8096170866280614
373,kinds,2.806510324914723
374,softball,2.806510324914723
375,however,2.793308956852019
376,slow,2.7671647937173134
377,coffee,2.7542197647060784
378,smell,2.7542197647060784
379,somebody,2.7413579840454974
380,thrilled,2.7285783878479553
381,cat,2.715879932490638
382,above,2.715879932490638
383,super,2.715879932490638
384,movies,2.715879932490638
385,major,2.7032615941041085
386,rather,2.690722368076918
387,forth,2.6782612685756457
388,dead,2.6782612685756457
389,crowded,2.6782612685756457
390,teeth,2.6782612685756457
391,finger,2.6658773280798034
392,stepsister,2.6658773280798034
393,follow,2.6658773280798034
394,main,2.6658773280798034
395,summer,2.653569596931047
396,hide,2.653569596931047
397,lifted,2.641337142896175
398,opening,2.641337142896175
399,snapped,2.6291790507434105
400,send,2.6291790507434105
401,noise,2.6050823737110615
402,certain,2.6050823737110615
403,center,2.6050823737110615
404,months,2.6050823737110615
405,planning,2.6050823737110615
406,picking,2.593142039738054
407,certainly,2.593142039738054
408,yesterday,2.5812725686984246
409,recently,2.5812725686984246
410,classes,2.5812725686984246
411,tall,2.5812725686984246
412,happily,2.5812725686984246
413,organized,2.5694731244440483
414,control,2.5694731244440483
415,feelings,2.557742885539252
416,mood,2.557742885539252
417,grin,2.557742885539252
418,count,2.557742885539252
419,apart,2.557742885539252
420,stick,2.534486809549014
421,carrying,2.522959400115514
422,embarrassed,2.522959400115514
423,appeared,2.5114980506975435
424,ground,2.5114980506975435
425,hundred,2.5114980506975435
426,plans,2.5001020084682684
427,feels,2.5001020084682684
428,confused,2.4887705333969135
429,jeff,2.4775028979604015
430,giggled,2.4775028979604015
431,involved,2.4775028979604015
432,sent,2.4775028979604015
433,subject,2.4775028979604015
434,terrible,2.4662983868630617
435,andrew,2.4662983868630617
436,seriously,2.4662983868630617
437,associate,2.4662983868630617
438,foot,2.4662983868630617
439,color,2.455156296764151
440,touch,2.4440759360129203
441,bottom,2.4440759360129203
442,pulling,2.4330566243909812
443,pointing,2.4330566243909812
444,ramsey,2.4330566243909812
445,tuesday,2.4111984833266003
446,hug,2.4111984833266003
447,store,2.4111984833266003
448,normal,2.400358348387922
449,offered,2.400358348387922
450,fight,2.400358348387922
451,allowed,2.400358348387922
452,missing,2.400358348387922
453,linny,2.3951833085371366
454,drop,2.389576651118169
455,pushed,2.3681860728846735
456,tiny,2.3575759684252873
457,bought,2.3575759684252873
458,step,2.3575759684252873
459,happens,2.3575759684252873
460,keeps,2.3575759684252873
461,mention,2.347021854223599
462,shot,2.347021854223599
463,hannie,2.3429975553665665
464,expected,2.336523142451312
465,mansion,2.336523142451312
466,pull,2.336523142451312
467,logan,2.336523142451312
468,blonde,2.336523142451312
469,absolutely,2.3260792544890085
470,works,2.3260792544890085
471,bunch,2.3156896207348003
472,mentioned,2.3156896207348003
473,awhile,2.3053536804179156
474,hang,2.3053536804179156
475,buy,2.2950708814170784
476,jeans,2.2950708814170784
477,eighth,2.2950708814170784
478,dress,2.2950708814170784
479,grew,2.2848406800835375
480,lucky,2.274662541068595
481,hanging,2.274662541068595
482,clean,2.274662541068595
483,ear,2.274662541068595
484,party,2.264535937155501
485,secretary,2.264535937155501
486,worse,2.264535937155501
487,thirteen,2.264535937155501
488,forgot,2.264535937155501
489,reminded,2.254460349095587
490,married,2.244435265448498
491,wow,2.244435265448498
492,conversation,2.244435265448498
493,longer,2.244435265448498
494,connecticut,2.23446018242642
495,green,2.23446018242642
496,neither,2.2245346037421623
497,burst,2.2146580404609972
498,became,2.2146580404609972
499,questions,2.204830010856139
500,leaned,2.204830010856139
501,nervous,2.204830010856139
502,jobs,2.1950500402677555
503,wonderful,2.1950500402677555
504,spier,2.1950500402677555
505,rolled,2.1853176609654095
506,announced,2.1756324120138335
507,tears,2.1756324120138335
508,threw,2.1756324120138335
509,asking,2.1756324120138335
510,california,2.1659938391419358
511,kishi,2.1659938391419358
512,shouted,2.15640149461495
513,turning,2.15640149461495
514,game,2.15640149461495
515,sign,2.1373537315924387
516,spend,2.1373537315924387
517,changed,2.127897449200547
518,class,2.127897449200547
519,helped,2.1184856671257215
520,pop,1.9431981847940794
521,pool,1.909675492755436
522,clue,1.835567520601714
523,mommy,1.825415149137696
524,wedding,1.825415149137696
525,cake,1.7955621859880149
526,band,1.7570959051602189
527,island,1.7200546334798696
528,dollars,1.6843365508777906
529,stace,1.6843365508777906
530,twins,1.65836106447453
531,kit,1.6247444536755449
532,ew,1.6165139545390295
533,tigger,1.6165139545390295
534,field,1.6165139545390295
535,krushers,1.600253433667249
536,sms,1.5763479128136946
537,lines,1.5763479128136946
538,purple,1.5763479128136946
539,dogs,1.5685047353526689
540,bottle,1.5607225949106138
541,sleeping,1.5453376760711344
542,blood,1.530185871050532
543,kiss,1.530185871050532
544,apple,1.530185871050532
545,porch,1.5226951993213746
546,machine,1.5152602208338564
547,screamed,1.5078801135362339
548,library,1.5078801135362339
549,page,1.4932813141150811
550,road,1.4932813141150811
551,doctor,1.4860610661415943
552,final,1.4788925766629817
553,shop,1.4717751088941178
554,row,1.4647079416710251
555,aunt,1.4647079416710251
556,dream,1.4576903690123786
557,college,1.4507216996962853
558,singing,1.4507216996962853
559,accident,1.4507216996962853
560,scary,1.4507216996962853
561,chairs,1.4301024124935495
562,card,1.4233227255081708
563,slid,1.4165886933268268
564,area,1.4165886933268268
565,jacket,1.4165886933268268
566,hat,1.4165886933268268
567,beat,1.3966544784260095
568,pants,1.3966544784260095
569,expression,1.3900970778798505
570,sun,1.3835823968586567
571,neck,1.3835823968586567
572,official,1.3835823968586567
573,seventh,1.3771098823530392
574,pale,1.3771098823530392
575,nancy,1.3706789920227487
576,honey,1.3642891939239776
577,history,1.3642891939239776
