,term,score
0,sergeant,733.1799509385355
1,johnson,465.27063397385285
2,cary,401.78002538419986
3,abby,185.04379263989443
4,charlotte,182.9902361256239
5,claudia,111.71461608302872
6,mary,103.34678045654258
7,police,90.95417374740069
8,cat,71.97081821100191
9,stacey,71.28456454821833
10,officer,60.97487806822438
11,bsc,47.23090501080373
12,mystery,46.916880385453005
13,karen,44.406629445176556
14,becca,40.42643519184792
15,david,35.04784713676968
16,michael,35.04784713676968
17,ben,33.463203858687905
18,mal,27.35680679560708
19,vanessa,26.41184447971716
20,tape,25.263038124407103
21,kristy,22.442214181720605
22,information,20.5878303893247
23,guy,19.493944552277423
24,road,19.412657083496054
25,notebook,19.321694433986707
26,jessi,18.860607747402298
27,tree,17.653219561189147
28,driveway,17.08966382983217
29,station,16.426094455265893
30,mansion,16.355661997159185
31,man,16.101412028322255
32,questions,15.433810075992973
33,porch,15.226951993213746
34,helped,14.82939966988005
35,radio,14.766592166151225
36,notes,14.717751088941178
37,led,14.459474924324056
38,matt,14.446783208078859
39,picture,14.078959954422583
40,nobody,14.019138854707872
41,jackie,14.011860740329816
42,question,13.709266795255648
43,silent,13.564641127746839
44,checked,13.053794472083002
45,window,12.881129622657806
46,explained,12.710914002754329
47,interesting,12.679445242298536
48,somebody,12.336110928204738
49,haley,11.867302456691815
50,safe,11.774200871152942
51,yard,11.61572655914291
52,headed,11.600148826754777
53,backpack,11.548952623646347
54,scene,11.495427020511595
55,interested,11.424203400417687
56,card,11.386581804065367
57,area,11.332709546614614
58,himself,11.322679685777505
59,confused,11.19946740028611
60,desk,10.878162060069167
61,spoke,10.73427468554817
62,glance,10.713045074302583
63,shrugged,10.686768657962194
64,officers,10.614278387724188
65,shot,10.561598344006196
66,angry,10.514354141030905
67,excellent,10.352248036640871
68,watson,10.281783060375918
69,cecelia,10.069078760040163
70,staring,10.05507082091889
71,careful,10.045992202790174
72,private,9.921735048852625
73,quite,9.79034585406225
74,calling,9.49103085825391
75,windows,9.417528288269212
76,hospital,9.22639846011549
77,seeing,9.09865016427438
78,paused,8.993155935554169
79,mad,8.898138414968649
80,wondered,8.858632161843989
81,explain,8.780200161071022
82,scared,8.593047038674529
83,definitely,8.587419748438537
84,light,8.587419748438537
85,admitted,8.580614474961298
86,admit,8.549414926369755
87,figure,8.549414926369755
88,closer,8.515698185368434
89,worked,8.511589796802188
90,tiffany,8.511048182448528
91,anna,8.465879624272464
92,carried,8.45939823105618
93,checking,8.41953097474417
94,office,8.401254219357726
95,couch,8.262659294118235
96,um,8.251515889488505
97,neighborhood,8.251515889488505
98,building,8.224073952136493
99,acting,8.109784782312325
100,possible,8.068737881462704
101,pocket,8.034783805726937
102,follow,7.99763198423941
103,awesome,7.9212654616040385
104,young,7.890611221834554
105,snack,7.815247121133185
106,listened,7.785871113097568
107,filled,7.7169050379964865
108,leaned,7.7169050379964865
109,raised,7.682675140937144
110,seat,7.648611813378933
111,waved,7.648611813378933
112,glanced,7.648611813378933
113,favorite,7.580978436996775
114,eye,7.580978436996775
115,bag,7.580978436996775
116,break,7.547405231152325
117,library,7.539400567681169
118,rooms,7.539400567681169
119,sitters,7.447641072201915
120,news,7.414699834940025
121,brown,7.414699834940025
122,taken,7.381912889753041
123,clue,7.342270082406856
124,aunt,7.323539708355126
125,pointing,7.299169873172944
126,spot,7.299169873172944
127,strange,7.2335954499798
128,example,7.219006284258558
129,lights,7.1846418878197476
130,impressed,7.150512062467747
131,waving,7.082943466634134
132,hannie,7.0289926660996995
133,wondering,6.978237763467026
134,clear,6.947068862204401
135,mentioned,6.947068862204401
136,wall,6.916061041253746
137,shut,6.854522040250613
138,totally,6.7936078114665035
139,join,6.7936078114665035
140,above,6.789699831226596
141,reminded,6.763381047286761
142,somehow,6.733305796345494
143,honest,6.7268059201922945
144,lived,6.70338054727926
145,seems,6.70338054727926
146,hide,6.633923992327617
147,bike,6.5994014992264844
148,wonder,6.585150120803267
149,regular,6.585150120803267
150,drive,6.555952982896228
151,sitter,6.526897236041501
152,brothers,6.497981517425807
153,listen,6.497981517425807
154,others,6.497981517425807
155,box,6.497981517425807
156,game,6.46920448384485
157,forward,6.440564811328903
158,spend,6.412061194777316
159,discovered,6.39435721384813
160,apartment,6.390226674371684
161,younger,6.383692347601641
162,bet,6.3554570013771645
163,ones,6.327353905502607
164,purple,6.305391651254778
165,bear,6.2740189414106755
166,invited,6.221926333492283
167,act,6.221926333492283
168,pen,6.212002195266814
169,involved,6.193757244901004
170,large,6.193757244901004
171,associate,6.165745967157655
172,suppose,6.150932306743661
173,steps,6.027996208316501
174,soccer,6.005083174427064
175,chips,6.002216293776644
176,interrupted,6.000895870969805
177,softly,6.000895870969805
178,track,5.973941627795423
179,mostly,5.947131912088496
180,rodowsky,5.863880641853106
181,hiding,5.830761476049514
182,covered,5.815198136222522
183,eighth,5.737677203542696
184,downstairs,5.7121017002088434
185,emergency,5.693290902032683
186,speak,5.6613398428887525
187,forgot,5.6613398428887525
188,wow,5.611088163621245
189,pieces,5.586617913704038
190,age,5.586150456066051
191,green,5.586150456066051
192,brain,5.560388311519402
193,hardly,5.536645101152493
194,became,5.536645101152493
195,sense,5.536645101152493
196,member,5.512075027140347
197,garden,5.506702561805142
198,boys,5.487625100669389
199,jobs,5.487625100669389
200,nearby,5.482715968090995
201,guilty,5.482715968090995
202,asking,5.4390810300345835
203,dressed,5.367137342774085
204,archie,5.365730761977835
205,spotted,5.3565225371512915
206,spent,5.343384328981097
207,finger,5.331754656159607
208,frowned,5.307139193862094
209,street,5.296214167814304
210,stepped,5.296214167814304
211,responsible,5.186284079476108
212,gasped,5.186284079476108
213,earlier,5.186284079476108
214,pizza,5.186284079476108
215,entered,5.162545137396849
216,embarrassed,5.045918800231028
217,seconds,5.045918800231028
218,excuse,5.000204016936537
219,climbed,5.000204016936537
220,huh,4.955005795920803
221,ears,4.955005795920803
222,giggled,4.955005795920803
223,glass,4.932596773726123
224,shea,4.900486171440328
225,promised,4.888151872025841
226,touch,4.888151872025841
227,pulling,4.8661132487819625
228,shaking,4.8661132487819625
229,welcome,4.8661132487819625
230,keeping,4.8223969666532005
231,luck,4.8223969666532005
232,sight,4.8223969666532005
233,gym,4.8007603010017466
234,offered,4.800716696775844
235,missing,4.800716696775844
236,report,4.776663785909954
237,gently,4.757705529670797
238,johanssen,4.752759276962424
239,pushed,4.736372145769347
240,step,4.7151519368505745
241,pull,4.673046284902624
242,dining,4.659001646450111
243,museum,4.65238087410037
244,quick,4.652158508978017
245,quietly,4.631379241469601
246,bunch,4.631379241469601
247,cars,4.590557613151596
248,nose,4.590141762834157
249,body,4.590141762834157
250,buy,4.590141762834157
251,pair,4.529071874311002
252,list,4.529071874311002
253,glasses,4.508920698191174
254,art,4.508920698191174
255,longer,4.488870530896996
256,mallory,4.488870530896996
257,married,4.488870530896996
258,catch,4.46892036485284
