,term,score
0,laine,479.3937837399385
1,parade,104.55490038007865
2,claudia,87.24379541722243
3,island,67.08213070571492
4,york,53.54028269365253
5,apartment,51.12181339497347
6,thanksgiving,50.771312511381375
7,claud,49.2073461419524
8,stacey,40.43005153481039
9,bus,37.3331621534349
10,cabin,36.1354486167745
11,boat,33.14134184873713
12,vacation,32.6608651298048
13,park,28.783502069519074
14,store,27.728782558255904
15,class,26.598718115006836
16,dance,24.40999468221846
17,dancing,24.311741012390343
18,museum,23.26190437050185
19,movie,22.950708814170785
20,lunch,20.11014164183778
21,building,19.189505888318482
22,street,19.066371004131494
23,weekend,18.860607747402298
24,list,18.11628749724401
25,eating,17.63864008684911
26,birthday,17.384037721480663
27,window,17.174839496877073
28,weeks,16.13747576292541
29,beautiful,15.09481046230465
30,cream,14.867938767572596
31,played,14.019138854707872
32,loved,13.876276700635326
33,tv,13.64797524641157
34,ice,13.145895253717052
35,drive,13.111905965792456
36,favorite,12.995963034851615
37,liked,12.767384695203281
38,sitters,12.767384695203281
39,cold,12.220379680064601
40,wonderful,12.072775221472655
41,chocolate,12.052175708590406
42,lou,11.806885048452855
43,dinner,11.600148826754777
44,wrote,11.526768402089578
45,johnson,11.348064243264703
46,party,11.322679685777505
47,invited,11.19946740028611
48,coat,11.089771646245655
49,radio,11.074944124613419
50,learned,10.801612567745648
51,diabetes,10.762889472307672
52,excited,10.639487246002734
53,bought,10.609091857913793
54,eight,10.545589842504343
55,rock,10.452969198805569
56,sleep,10.37409156188062
57,dress,10.327818966376853
58,classes,10.325090274793698
59,music,10.230971542157008
60,lived,10.05507082091889
61,toys,10.000408033873073
62,third,9.921735048852625
63,painting,9.84846903696454
64,teacher,9.820625187056605
65,mcgill,9.746972276138711
66,places,9.732226497563925
67,steps,9.644793933306401
68,problems,9.515411059341593
69,restaurant,9.364335569463684
70,neat,9.244680000136611
71,interesting,9.221414721671662
72,porch,9.136171195928249
73,pizza,9.075997139083189
74,water,9.058143748622005
75,mood,8.952100099387382
76,sugar,8.790243177441402
77,beach,8.785479525801094
78,breakfast,8.75035702963894
79,eye,8.663975356567743
80,deal,8.6256059784598
81,tomorrow,8.549414926369755
82,dog,8.515698185368434
83,hat,8.49953215996096
84,exciting,8.49953215996096
85,share,8.45939823105618
86,train,8.334724040829606
87,visit,8.1049136725718
88,crowded,8.034783805726937
89,begin,8.032748084959774
90,jewelry,7.99763198423941
91,candy,7.815247121133185
92,afraid,7.751303141613491
93,wore,7.638243134752997
94,kristy,7.480738060573535
95,spent,7.480738060573535
96,road,7.466406570575406
97,clock,7.381912889753041
98,ones,7.381912889753041
99,robert,7.294652858124035
100,fancy,7.1846418878197476
101,lights,7.1846418878197476
102,impressed,7.150512062467747
103,waving,7.082943466634134
104,jessi,7.072727905275862
105,planned,7.072727905275862
106,artist,7.016275812286807
107,gets,6.978237763467026
108,bunch,6.947068862204401
109,ride,6.947068862204401
110,awhile,6.916061041253746
111,hang,6.916061041253746
112,add,6.853394960113743
113,movies,6.789699831226596
114,stace,6.737346203511162
115,missed,6.733305796345494
116,age,6.70338054727926
117,sunny,6.667779232663685
118,wonder,6.585150120803267
119,boys,6.585150120803267
120,pictures,6.572947626858526
121,checked,6.526897236041501
122,cover,6.512705934277654
123,boring,6.512705934277654
124,sunday,6.4828550993451355
125,imagine,6.412061194777316
126,awesome,6.337012369283231
127,continued,6.327353905502607
128,babies,6.1813507042845375
129,hospital,6.150932306743661
130,charlotte,6.150932306743661
131,scared,6.137890741910378
132,uncle,6.115525093795212
133,ourselves,6.110189840032301
134,bsc,6.055244232154324
135,fit,6.055244232154324
136,tuesday,6.027996208316501
137,learn,6.027996208316501
138,allowed,6.000895870969805
139,wide,6.000895870969805
140,tape,5.944244264566377
141,step,5.893939921063218
142,unless,5.841307856128281
143,doors,5.802886798785141
144,woman,5.789224051837001
145,ate,5.763384201044789
146,moving,5.763384201044789
147,clean,5.686656352671488
148,hot,5.686656352671488
149,area,5.666354773307307
150,art,5.636150872738968
151,stuffed,5.613020649829446
152,checking,5.613020649829446
153,christmas,5.568560423413349
154,mad,5.561336509355406
155,slow,5.534329587434627
156,sick,5.512075027140347
157,nervous,5.512075027140347
158,upset,5.512075027140347
159,decision,5.508439529412157
160,smell,5.508439529412157
161,its,5.487625100669389
162,roll,5.482715968090995
163,waved,5.463294152413524
164,handed,5.463294152413524
165,history,5.4571567756959105
166,asking,5.4390810300345835
167,junk,5.4390810300345835
168,wished,5.431759864981276
169,closed,5.41498459785484
170,broken,5.381444736153836
171,definitely,5.367137342774085
172,forward,5.367137342774085
173,spend,5.343384328981097
174,air,5.343384328981097
175,style,5.331754656159607
176,explained,5.296214167814304
177,stepped,5.296214167814304
178,news,5.296214167814304
179,mary,5.272794921252172
180,apart,5.115485771078504
181,crowd,5.068973619098028
182,police,5.053009652633372
183,families,5.045918800231028
184,plans,5.000204016936537
185,sweet,5.000204016936537
