,term,score
0,kristy,240.45229480414935
1,mimi,158.32477733003387
2,mary,106.51045740929388
3,beach,91.36898706833138
4,michael,88.78787941314987
5,david,88.78787941314987
6,claudia,63.83692347601641
7,janine,61.4855613248283
8,teeth,56.24348664008856
9,birthday,53.89051693659005
10,dr,46.1971295449187
11,class,38.30215408560984
12,stamford,36.18912272486961
13,art,34.9441354109816
14,ms,32.5356366865856
15,cake,32.32011934778427
16,ice,31.550148608920928
17,charlie,28.946120259185005
18,sam,28.491283326544618
19,teacher,28.23429741278774
20,cokie,27.316555451583497
21,cream,27.032615941041087
22,thomas,26.598718115006836
23,homework,24.440759360129203
24,hot,23.883956681220248
25,party,23.777627340132764
26,stacey,23.406871941206017
27,dog,20.68098130732334
28,liked,19.15107704280492
29,alan,18.927421971623776
30,rose,18.527702059655695
31,student,18.489360000273223
32,math,16.833264490863733
33,report,15.922212619699847
34,water,15.851751560088509
35,sea,15.729501624150224
36,learned,15.602329264521492
37,game,15.09481046230465
38,dinner,14.763825779506082
39,drew,14.653992269121316
40,project,14.527354285928961
41,desk,14.141610678089918
42,picture,14.078959954422583
43,lunch,13.40676109455852
44,summer,13.267847984655234
45,window,12.881129622657806
46,asleep,12.730405224588328
47,artist,12.629296462116253
48,worse,12.454947654355257
49,although,12.34439395996674
50,louie,12.251215428600819
51,road,11.946250512920649
52,neat,11.886017143032788
53,lose,11.831305728345347
54,teachers,11.661522952099029
55,grown,11.272301745477936
56,stared,11.22217632724249
57,dogs,10.979533147468683
58,letters,10.914313551391821
59,super,10.863519729962553
60,steps,10.850393174969701
61,town,10.592428335628608
62,ate,10.37409156188062
63,earrings,10.252955591697177
64,forgot,10.190411717199755
65,writing,10.099958694518241
66,emily,9.955082133587654
67,vacation,9.79825953894144
68,brothers,9.746972276138711
69,bsc,9.688390771446919
70,office,9.601433393551687
71,above,9.505579763717234
72,jessi,9.430303873701149
73,tiny,9.430303873701149
74,frowned,9.287493589258665
75,christmas,9.280934039022249
76,pete,9.2386445403959
77,awhile,9.221414721671662
78,tall,9.034453990444486
79,backyard,8.959687884690487
80,closed,8.663975356567743
81,color,8.593047038674529
82,pleased,8.539936353049026
83,card,8.539936353049026
84,faces,8.4391946916431
85,trip,8.4391946916431
86,practically,8.436471874003475
87,kinds,8.41953097474417
88,fingers,8.288651255096358
89,written,8.14127739071153
90,whether,8.068737881462704
91,nose,8.032748084959774
92,forgotten,7.961318893740082
93,million,7.960708790793141
94,extra,7.9258757800442545
95,raced,7.887537152230232
96,pictures,7.887537152230232
97,takes,7.82061063849247
98,burst,7.751303141613491
99,leaned,7.7169050379964865
100,letting,7.708419373332145
101,apple,7.650929355252661
102,tears,7.6147134420484175
103,junk,7.6147134420484175
104,hungry,7.6034604286470415
105,kishi,7.580978436996775
106,favorite,7.580978436996775
107,library,7.539400567681169
108,man,7.51399227988372
109,worked,7.447641072201915
110,doctor,7.430305330707972
