,term,score
0,pop,239.01337672967176
1,sunny,205.03421140440832
2,jeff,106.53262461229727
3,fire,94.19360696922354
4,maggie,50.57310755930511
5,jill,42.705530183460766
6,beach,29.870630387723722
7,dinner,28.47309257476173
8,kristy,23.510891047516825
9,mary,23.200297653509555
10,kit,21.121677897782085
11,restaurant,20.28939373383798
12,wedding,18.25415149137696
13,sea,17.695689327169003
14,california,17.327950713135486
15,toys,16.250663055043745
16,carol,16.241777595407868
17,sitters,15.959230869004102
18,explained,15.888642503442911
19,loved,15.137756400693082
20,betsy,15.12591067862811
21,woman,15.051982534776203
22,children,14.078959954422583
23,plastic,13.876276700635326
24,street,13.77015683631719
25,water,13.587215622933007
26,teacher,13.503359632202832
27,age,13.40676109455852
28,weekend,12.96666782633908
29,mark,12.863213281537384
30,emergency,12.809904529573538
31,weather,12.424004390533629
32,lived,12.28953100334531
33,flowers,12.241486968404256
34,evening,12.126565059708764
35,lawn,11.946250512920649
36,summer,11.94106318618971
37,beautiful,11.860208220382226
38,ms,11.831140613303853
39,yard,11.61572655914291
40,clock,11.600148826754777
41,moving,11.526768402089578
42,dress,11.475354407085392
43,song,11.016879058824314
44,garden,11.013405123610283
45,building,10.96543193618199
46,mommy,10.952490894826177
47,bsc,10.899439617877784
48,learned,10.801612567745648
49,class,10.639487246002734
50,stacey,10.639487246002734
51,calm,10.609091857913793
52,schafer,10.235981434808677
53,lunch,10.05507082091889
54,jackie,10.00847195737844
55,homework,9.776303744051681
56,window,9.660847216993353
57,man,9.660847216993353
58,strange,9.644793933306401
59,clients,9.601433393551687
60,claudia,9.57553852140246
61,tv,9.09865016427438
62,reminded,9.017841396382348
63,backyard,8.959687884690487
64,led,8.898138414968649
65,letter,8.78824765002615
66,example,8.662807541110269
67,impressed,8.580614474961298
68,sign,8.549414926369755
69,tomorrow,8.549414926369755
70,card,8.539936353049026
71,liked,8.511589796802188
72,store,8.4391946916431
73,daughter,8.30149438115194
74,charlie,8.1049136725718
75,rules,7.924011428688525
76,pictures,7.887537152230232
77,missed,7.855523429069743
78,connecticut,7.82061063849247
79,afraid,7.751303141613491
80,entered,7.743817706095274
81,organized,7.708419373332145
82,handed,7.648611813378933
83,desk,7.6147134420484175
84,checked,7.6147134420484175
85,tears,7.6147134420484175
86,picture,7.580978436996775
87,light,7.51399227988372
88,dressed,7.51399227988372
89,spend,7.480738060573535
90,glass,7.398895160589185
91,eight,7.381912889753041
92,doors,7.253608498481427
93,woke,7.219006284258558
94,barrett,7.1432240441706
95,bought,7.072727905275862
96,tonight,7.041065562670798
97,pieces,6.983272392130048
98,sun,6.9179119842932835
99,awhile,6.916061041253746
100,interesting,6.916061041253746
101,interested,6.854522040250613
102,dr,6.8440191918398074
103,list,6.7936078114665035
104,secret,6.70338054727926
105,follow,6.664693320199508
106,eating,6.614490032568417
107,sick,6.614490032568417
108,buddy,6.5994014992264844
109,wonderful,6.585150120803267
110,suzi,6.55928548402508
111,vacation,6.53217302596096
112,sitter,6.526897236041501
113,certainly,6.4828550993451355
114,warm,6.365202612294164
115,mine,6.3554570013771645
116,breakfast,6.250255021170671
117,cheese,6.212002195266814
118,places,6.082641560977454
119,dear,6.0610408833354255
120,proud,6.055244232154324
121,rooms,6.031520454144935
122,including,5.920465182211684
123,poor,5.893939921063218
124,crying,5.893939921063218
125,loud,5.841307856128281
126,singing,5.802886798785141
127,exclaimed,5.763384201044789
128,twenty,5.763384201044789
129,wrote,5.763384201044789
130,fancy,5.747713510255798
131,buy,5.737677203542696
132,supplies,5.693290902032683
133,ear,5.686656352671488
134,party,5.6613398428887525
135,names,5.611088163621245
136,green,5.586150456066051
137,burst,5.536645101152493
138,coffee,5.508439529412157
139,couch,5.508439529412157
140,stairs,5.487625100669389
141,repeated,5.487625100669389
142,divorced,5.487625100669389
143,month,5.4571567756959105
144,letters,5.4571567756959105
145,hugged,5.431759864981276
146,broke,5.41498459785484
147,closed,5.41498459785484
148,waited,5.41498459785484
149,box,5.41498459785484
150,favorite,5.41498459785484
151,shouted,5.3910037365373755
152,mail,5.386686557964045
153,picnic,5.386686557964045
154,uh,5.343384328981097
155,town,5.296214167814304
156,pile,5.28267428579235
157,headed,5.272794921252172
158,tea,5.271287715480657
159,joke,5.258358101486821
160,planning,5.210164747422123
161,sunday,5.186284079476108
162,disappointed,5.162545137396849
163,yellow,5.138946248888097
164,grin,5.115485771078504
165,students,5.053009652633372
166,daddy,5.053009652633372
167,carrying,5.045918800231028
168,invited,4.977541066793827
169,ears,4.955005795920803
170,expect,4.910312593528302
171,fortunately,4.89912976947072
172,fit,4.844195385723459
173,hug,4.8223969666532005
174,luck,4.8223969666532005
175,steps,4.8223969666532005
176,office,4.800716696775844
177,normal,4.800716696775844
178,mostly,4.757705529670797
179,johanssen,4.752759276962424
180,purple,4.729043738441083
181,step,4.7151519368505745
182,planned,4.7151519368505745
183,ring,4.673046284902624
184,dining,4.659001646450111
185,quietly,4.631379241469601
186,receiver,4.613199230057745
187,suppose,4.613199230057745
188,hospital,4.613199230057745
189,thinks,4.610707360835831
190,ate,4.610707360835831
191,settled,4.590141762834157
192,bright,4.590141762834157
193,lucky,4.54932508213719
194,seeing,4.54932508213719
195,present,4.523640340608702
196,screamed,4.523640340608702
197,marnie,4.523303831825228
198,halloween,4.492295458753297
199,writing,4.488870530896996
200,married,4.488870530896996
201,gotten,4.46892036485284
202,plan,4.46892036485284
203,notice,4.4293160809219945
204,wondered,4.4293160809219945
205,became,4.4293160809219945
206,safe,4.415325326682353
207,notes,4.415325326682353
208,nervous,4.409660021712278
209,questions,4.409660021712278
210,private,4.409660021712278
211,lit,4.394123825013075
212,cry,4.370635321930819
213,paint,4.352165099088856
214,announced,4.351264824027667
215,asking,4.351264824027667
216,group,4.351264824027667
217,surprise,4.3128029892299
218,lights,4.310785132691848
219,cookies,4.310785132691848
220,definitely,4.293709874219268
221,notebook,4.293709874219268
222,mumbled,4.269968176524513
223,grabbed,4.255794898401094
224,stuffed,4.209765487372085
225,decision,4.131329647059117
226,van,4.127652345165388
227,rushed,4.092867581771933
228,snow,4.052171689199694
229,chocolate,4.017391902863468
230,driveway,3.943768576115116
231,dumb,3.943768576115116
232,born,3.9256416327472277
233,center,3.9076235605665923
234,cover,3.9076235605665923
235,boring,3.9076235605665923
236,happily,3.871908853047637
237,wore,3.8191215673764987
238,families,3.7844391001732705
239,act,3.7331558000953704
240,huh,3.716254346940602
241,legs,3.6994475802945925
242,pink,3.6827344451462265
243,dues,3.6827344451462265
244,color,3.6827344451462265
245,ourselves,3.6661139040193804
246,promised,3.6661139040193804
247,using,3.649584936586472
248,games,3.6331465392925946
249,learn,3.6167977249899
250,yelled,3.55227910932701
251,video,3.533149298229525
252,band,3.5141918103204377
253,played,3.504784713676968
254,blonde,3.504784713676968
255,wondering,3.489118881733513
256,mentioned,3.4735344311022005
257,weeks,3.458030520626873
258,sad,3.4426063221256173
259,bedroom,3.4426063221256173
260,reach,3.4272610201253064
261,shut,3.4272610201253064
262,several,3.4272610201253064
263,grew,3.4272610201253064
264,forgot,3.3968039057332517
265,extra,3.3968039057332517
266,park,3.386294361119891
267,art,3.3816905236433805
268,glasses,3.3816905236433805
269,longer,3.366652898172747
270,stared,3.366652898172747
271,silly,3.366652898172747
272,meetings,3.321987060691496
273,sense,3.321987060691496
274,upset,3.3072450162842086
275,member,3.3072450162842086
276,third,3.3072450162842086
277,stayed,3.3072450162842086
278,wonder,3.2925750604016333
279,spier,3.2925750604016333
280,leaving,3.2925750604016333
281,regular,3.2925750604016333
282,drive,3.277976491448114
283,record,3.277976491448114
284,york,3.277976491448114
285,eye,3.2489907587129037
286,game,3.234602241922425
287,spoke,3.2202824056644515
288,air,3.206030597388658
289,spent,3.206030597388658
290,figure,3.206030597388658
291,putting,3.206030597388658
292,worked,3.1918461738008204
293,helped,3.1777285006885823
294,taken,3.1636769527513033
295,calling,3.1636769527513033
296,salad,2.9721221322831886
297,orange,2.9577851533259634
298,earrings,2.9294158833420503
299,row,2.9294158833420503
300,jump,2.915380738024757
301,accident,2.9014433993925706
302,scary,2.9014433993925706
303,english,2.873856755127899
304,chairs,2.860204824987099
305,round,2.8331773866536536
306,carried,2.81979941035206
307,total,2.81979941035206
308,juice,2.806510324914723
309,driving,2.780194155759701
310,neck,2.7671647937173134
311,smell,2.7542197647060784
312,guilty,2.7413579840454974
313,honey,2.7285783878479553
314,prepared,2.715879932490638
315,earth,2.715879932490638
316,cream,2.7032615941041085
317,windows,2.690722368076918
318,rather,2.690722368076918
319,crowded,2.6782612685756457
320,pocket,2.6782612685756457
321,shopping,2.6782612685756457
322,simple,2.6782612685756457
323,direction,2.6782612685756457
324,main,2.6658773280798034
325,ball,2.6658773280798034
326,practice,2.653569596931047
327,officers,2.653569596931047
328,opening,2.641337142896175
329,lay,2.641337142896175
330,project,2.641337142896175
331,lifted,2.641337142896175
332,neat,2.641337142896175
333,kits,2.6291790507434105
334,lap,2.6050823737110615
335,snack,2.6050823737110615
336,certain,2.6050823737110615
337,paid,2.6050823737110615
338,pizza,2.593142039738054
339,friendly,2.5812725686984246
340,child,2.5812725686984246
341,heads,2.5694731244440483
342,relief,2.557742885539252
343,mood,2.557742885539252
344,drove,2.5460810449176656
345,crowd,2.534486809549014
346,folded,2.534486809549014
347,numbers,2.534486809549014
348,realize,2.5114980506975435
349,climbed,2.5001020084682684
350,spread,2.5001020084682684
351,confused,2.4887705333969135
352,ways,2.4775028979604015
353,smart,2.4775028979604015
354,stupid,2.455156296764151
355,stories,2.4440759360129203
356,relieved,2.400358348387922
357,missing,2.400358348387922
358,company,2.389576651118169
359,whenever,2.3681860728846735
360,pushed,2.3681860728846735
361,happens,2.3575759684252873
362,neighborhood,2.3575759684252873
363,shot,2.347021854223599
364,mention,2.347021854223599
365,hoped,2.336523142451312
366,pull,2.336523142451312
367,expected,2.336523142451312
368,museum,2.326190437050185
369,works,2.3260792544890085
370,terrific,2.3260792544890085
371,written,2.3260792544890085
372,absolutely,2.3260792544890085
373,bunch,2.3156896207348003
374,ride,2.3156896207348003
375,sleep,2.3053536804179156
376,needs,2.3053536804179156
377,hang,2.3053536804179156
378,wall,2.3053536804179156
379,jeans,2.2950708814170784
380,nose,2.2950708814170784
381,movie,2.2950708814170784
382,downstairs,2.2848406800835375
383,forgotten,2.274662541068595
384,hot,2.274662541068595
385,join,2.264535937155501
386,thirteen,2.264535937155501
387,himself,2.264535937155501
388,fall,2.264535937155501
389,drew,2.254460349095587
390,young,2.254460349095587
391,math,2.244435265448498
392,takes,2.23446018242642
393,charge,2.23446018242642
394,neither,2.2245346037421623
395,mad,2.2245346037421623
396,hardly,2.2146580404609972
397,joined,2.204830010856139
398,leaned,2.204830010856139
399,grandmother,2.204830010856139
400,plenty,2.204830010856139
401,filled,2.204830010856139
402,president,2.1950500402677555
403,raised,2.1950500402677555
404,explain,2.1950500402677555
405,hit,2.1756324120138335
406,costume,2.172039757222927
407,piece,2.15640149461495
408,deal,2.15640149461495
409,likes,2.15640149461495
410,ahead,2.15640149461495
411,changed,2.127897449200547
412,younger,2.127897449200547
413,thomas,2.127897449200547
414,sighed,2.127897449200547
415,excited,2.127897449200547
416,awful,2.1091179685008687
417,ones,2.1091179685008687
418,monday,2.1091179685008687
419,soccer,2.001694391475688
420,richard,1.9897182004289724
421,pet,1.9897182004289724
422,bus,1.866658107671745
423,radio,1.8458240207689032
424,audience,1.8458240207689032
425,clue,1.835567520601714
426,sharon,1.8153648132841944
427,island,1.7200546334798696
428,police,1.6843365508777906
429,dollars,1.6843365508777906
430,cards,1.6669448081659213
431,train,1.6669448081659213
432,twins,1.65836106447453
433,painting,1.6414115061607566
434,sheet,1.6165139545390295
435,field,1.6165139545390295
436,garage,1.6165139545390295
437,gym,1.600253433667249
438,envelope,1.600253433667249
439,report,1.5922212619699847
440,coat,1.5842530923208078
441,lines,1.5763479128136946
442,bear,1.5685047353526689
443,sleeping,1.5453376760711344
444,win,1.5453376760711344
445,apple,1.530185871050532
446,kiss,1.530185871050532
447,lessons,1.5078801135362339
448,charges,1.500554073444161
449,doctor,1.4860610661415943
450,houses,1.4860610661415943
451,newspaper,1.4788925766629817
452,shop,1.4717751088941178
453,famous,1.4717751088941178
454,teachers,1.4576903690123786
455,pikes,1.4576903690123786
456,drawing,1.4576903690123786
457,hiding,1.4576903690123786
458,laughter,1.4507216996962853
459,college,1.4507216996962853
460,hurried,1.4369283775639494
461,doorbell,1.4369283775639494
462,sang,1.4301024124935495
463,dancing,1.4301024124935495
464,pleased,1.4233227255081708
465,jacket,1.4165886933268268
466,pencil,1.4165886933268268
467,share,1.40989970517603
468,kinds,1.4032551624573615
469,bored,1.4032551624573615
470,checking,1.4032551624573615
471,beat,1.3966544784260095
472,hallway,1.3966544784260095
473,moments,1.3966544784260095
474,brain,1.3900970778798505
475,seventh,1.3771098823530392
476,nearby,1.3706789920227487
477,whose,1.3706789920227487
478,enjoy,1.3706789920227487
479,shrieked,1.3706789920227487
480,roll,1.3706789920227487
481,yup,1.3706789920227487
482,nope,1.3706789920227487
483,gorgeous,1.3642891939239776
484,history,1.3642891939239776
485,thrilled,1.3642891939239776
486,slightly,1.3642891939239776
487,wished,1.357939966245319
488,acting,1.3516307970520542
489,horrible,1.3516307970520542
490,jumping,1.345361184038459
491,broken,1.345361184038459
492,sounding,1.345361184038459
493,star,1.345361184038459
494,dead,1.3391306342878229
495,following,1.3391306342878229
496,forth,1.3391306342878229
497,stepsister,1.3329386640399017
498,finger,1.3329386640399017
499,director,1.3329386640399017
500,flew,1.3267847984655234
501,frowned,1.3267847984655234
502,twice,1.3267847984655234
503,hide,1.3267847984655234
504,mistake,1.3206685714480875
505,send,1.3145895253717053
506,ice,1.3145895253717053
507,months,1.3025411868555308
508,picking,1.296571019869027
509,beside,1.296571019869027
510,earlier,1.296571019869027
511,recently,1.2906362843492123
512,schedule,1.2906362843492123
513,tall,1.2906362843492123
514,fault,1.2906362843492123
515,space,1.2906362843492123
516,throw,1.2906362843492123
517,letting,1.2847365622220241
518,control,1.2847365622220241
519,cleared,1.2847365622220241
520,thoughts,1.278871442769626
521,crossed,1.278871442769626
522,feelings,1.278871442769626
523,count,1.278871442769626
524,asleep,1.2730405224588328
525,lately,1.2730405224588328
526,decide,1.2730405224588328
527,stick,1.267243404774507
528,embarrassed,1.261479700057757
529,ground,1.2557490253487718
530,anybody,1.2557490253487718
531,careful,1.2557490253487718
532,hundred,1.2557490253487718
533,feels,1.2500510042341342
534,ballet,1.2500510042341342
535,excuse,1.2500510042341342
536,thursday,1.2500510042341342
537,plans,1.2500510042341342
538,wears,1.2500510042341342
539,sweet,1.2500510042341342
540,officer,1.2443852666984567
541,happening,1.2443852666984567
542,sent,1.2387514489802007
543,giggled,1.2387514489802007
544,amazing,1.2331491934315308
545,low,1.2331491934315308
546,terrible,1.2331491934315308
547,scared,1.2275781483820756
548,sixth,1.2275781483820756
549,truth,1.2275781483820756
550,sigh,1.2220379680064601
551,bottom,1.2220379680064601
552,cold,1.2220379680064601
553,pointing,1.2165283121954906
554,welcome,1.2165283121954906
555,closer,1.2165283121954906
556,spot,1.2165283121954906
557,note,1.2165283121954906
558,information,1.2110488464308649
559,sight,1.2055992416633001
560,faces,1.2055992416633001
561,hoping,1.2055992416633001
562,bathroom,1.2055992416633001
563,trip,1.2055992416633001
564,softly,1.200179174193961
565,interrupted,1.200179174193961
566,fight,1.200179174193961
567,yourself,1.1947883255590845
568,gathered,1.1894263824176992
569,fifteen,1.1840930364423368
570,shouldn,1.1840930364423368
571,silence,1.1787879842126436
572,unless,1.168261571225656
573,mess,1.168261571225656
574,stomach,1.168261571225656
575,wild,1.1630396272445043
576,quick,1.1630396272445043
577,cute,1.1630396272445043
578,gets,1.1630396272445043
579,visit,1.1578448103674002
580,clear,1.1578448103674002
581,kidding,1.1526768402089578
582,whether,1.1526768402089578
583,eighth,1.1475354407085392
584,clean,1.1373312705342975
585,tired,1.1373312705342975
586,totally,1.1322679685777506
587,empty,1.1272301745477935
588,grown,1.1272301745477935
589,wow,1.122217632724249
590,named,1.11723009121321
591,staring,1.11723009121321
592,catch,1.11723009121321
593,listened,1.1122673018710811
594,loves,1.1122673018710811
595,ended,1.1073290202304986
596,ideas,1.0975250201338778
597,known,1.0975250201338778
598,its,1.0975250201338778
599,jobs,1.0975250201338778
600,waved,1.0926588304827047
601,glanced,1.0926588304827047
602,seat,1.0926588304827047
603,upstairs,1.0926588304827047
604,quite,1.0878162060069168
605,often,1.0878162060069168
606,nine,1.0878162060069168
607,others,1.0829969195709679
608,listen,1.0829969195709679
609,break,1.078200747307475
610,turning,1.078200747307475
611,forward,1.073427468554817
612,barely,1.0639487246002735
613,stepped,1.0592428335628608
614,bet,1.0592428335628608
615,besides,1.0592428335628608
616,brown,1.0592428335628608
617,continued,1.0545589842504344
618,question,1.0545589842504344
619,rosie,0.0
620,vice,0.0
621,road,0.0
622,throat,0.0
623,slow,0.0
624,robert,0.0
625,yesterday,0.0
626,rock,0.0
627,style,0.0
628,suit,0.0
629,shoulders,0.0
630,threw,0.0
631,valentine,0.0
632,tuesday,0.0
633,sugar,0.0
634,rodowsky,0.0
635,subject,0.0
636,rolled,0.0
637,vanessa,0.0
638,rose,0.0
639,slipped,0.0
640,worst,0.0
641,track,0.0
642,shrugged,0.0
643,super,0.0
644,thanksgiving,0.0
645,uncle,0.0
646,single,0.0
647,sisters,0.0
648,silent,0.0
649,team,0.0
650,taylor,0.0
651,tape,0.0
652,test,0.0
653,tyler,0.0
654,responsible,0.0
655,slid,0.0
656,signed,0.0
657,skin,0.0
658,sweater,0.0
659,return,0.0
660,themselves,0.0
661,shy,0.0
662,susan,0.0
663,usual,0.0
664,worse,0.0
665,sms,0.0
666,victoria,0.0
667,shoes,0.0
668,study,0.0
669,shaking,0.0
670,scene,0.0
671,waving,0.0
672,speak,0.0
673,touch,0.0
674,science,0.0
675,whitney,0.0
676,seriously,0.0
677,speaking,0.0
678,stamford,0.0
679,sergeant,0.0
680,stage,0.0
681,sean,0.0
682,um,0.0
683,sports,0.0
684,tough,0.0
685,spotted,0.0
686,squirt,0.0
687,seats,0.0
688,seconds,0.0
689,seems,0.0
690,secretary,0.0
691,stace,0.0
692,starting,0.0
693,whoa,0.0
694,station,0.0
695,soda,0.0
696,snapped,0.0
697,wednesday,0.0
698,tiffany,0.0
699,tigger,0.0
700,student,0.0
701,tiny,0.0
702,strong,0.0
703,shea,0.0
704,triplets,0.0
705,tree,0.0
706,softball,0.0
707,sam,0.0
708,somebody,0.0
709,somehow,0.0
710,war,0.0
711,watson,0.0
712,somewhere,0.0
713,stephie,0.0
714,treasurer,0.0
715,wide,0.0
716,tossed,0.0
717,shannon,0.0
718,teeth,0.0
719,abby,0.0
720,rehearsal,0.0
721,den,0.0
722,counter,0.0
723,covered,0.0
724,dance,0.0
725,danielle,0.0
726,date,0.0
727,david,0.0
728,derek,0.0
729,conversation,0.0
730,dewitt,0.0
731,diabetes,0.0
732,disappeared,0.0
733,discovered,0.0
734,dog,0.0
735,dogs,0.0
736,corrie,0.0
737,contest,0.0
738,ramsey,0.0
739,claire,0.0
740,cary,0.0
741,cat,0.0
742,cecelia,0.0
743,charlotte,0.0
744,chips,0.0
745,christmas,0.0
746,classes,0.0
747,concerned,0.0
748,claud,0.0
749,closet,0.0
750,coach,0.0
751,cokie,0.0
752,comes,0.0
753,completely,0.0
754,doorway,0.0
755,dream,0.0
756,drop,0.0
757,french,0.0
758,fill,0.0
759,final,0.0
760,fingers,0.0
761,finish,0.0
762,foot,0.0
763,forever,0.0
764,gabbie,0.0
765,ducky,0.0
766,gasped,0.0
767,genius,0.0
768,gently,0.0
769,ghost,0.0
770,giggling,0.0
771,glance,0.0
772,fashion,0.0
773,familiar,0.0
774,fair,0.0
775,expression,0.0
776,exciting,0.0
777,excitement,0.0
778,excellent,0.0
779,ew,0.0
780,everywhere,0.0
781,ethan,0.0
782,erica,0.0
783,entire,0.0
784,energy,0.0
785,emily,0.0
786,eleven,0.0
787,edge,0.0
788,dying,0.0
789,cars,0.0
790,carrot,0.0
791,carolyn,0.0
792,aside,0.0
793,appeared,0.0
794,archie,0.0
795,area,0.0
796,arnold,0.0
797,artist,0.0
798,ashley,0.0
799,associate,0.0
800,bart,0.0
801,aunt,0.0
802,awesome,0.0
803,babies,0.0
804,backpack,0.0
805,bag,0.0
