,term,score
0,mimi,138.77850852385686
1,claudia,132.99359057503418
2,kristy,132.5159313587312
3,glasses,89.05118378927568
4,tea,84.34060344769051
5,ballet,67.50275422864324
6,class,65.96482092521696
7,test,59.603179943401415
8,grandmother,58.42799528768768
9,mary,56.94618514952346
10,party,49.81979061742103
11,ms,41.408992146563484
12,alan,37.85484394324755
13,letter,33.68828265843358
14,bill,31.97223279123656
15,dance,26.979467806662505
16,doctor,25.263038124407103
17,letters,24.557205490631596
18,sharon,21.784377759410333
19,explained,21.184856671257215
20,pink,20.868828522495285
21,tears,20.668507914131418
22,sad,19.508102492045165
23,teacher,18.413672225731133
24,desk,17.405059296110668
25,loved,16.39923610075084
26,gray,16.39923610075084
27,eye,16.24495379356452
28,classes,15.487635412190548
29,dr,15.399043181639566
30,woman,15.051982534776203
31,invited,14.932623200381482
32,pair,14.719483591510757
33,neat,14.527354285928961
34,nervous,14.331395070564904
35,sitters,13.831333419803554
36,liked,13.831333419803554
37,smell,13.771098823530393
38,terrible,13.564641127746839
39,wondered,13.287948242765983
40,announced,13.053794472083002
41,crying,12.96666782633908
42,wore,12.730405224588328
43,sugar,12.557490253487718
44,birthday,12.168826405036464
45,upset,12.126565059708764
46,spier,12.072775221472655
47,learned,12.00179174193961
48,abby,11.938309202573834
49,excited,11.703435970603008
50,dancing,11.440819299948396
51,learn,10.850393174969701
52,janine,10.850393174969701
53,box,10.82996919570968
54,favorite,10.82996919570968
55,shy,10.75309493003176
56,summer,10.614278387724188
57,helped,10.592428335628608
58,mirror,10.5653485715847
59,clear,10.420603293306602
60,finish,10.37409156188062
61,entered,10.325090274793698
62,row,10.252955591697177
63,richard,9.948591002144862
64,french,9.74846672205327
65,beautiful,9.703806725767276
66,dinner,9.49103085825391
67,fair,9.472744291538694
68,pictures,9.202126677601937
69,snack,9.117788307988715
70,reminded,9.017841396382348
71,warm,8.911283657211829
72,melody,8.864397289417678
73,video,8.832873245573813
74,questions,8.819320043424556
75,filled,8.819320043424556
76,member,8.819320043424556
77,breakfast,8.75035702963894
78,man,8.587419748438537
79,chairs,8.580614474961298
80,bsc,8.477341925016054
81,mine,8.473942668502886
82,store,8.4391946916431
83,maria,8.428851259884183
84,office,8.401254219357726
85,yelled,8.288651255096358
86,couch,8.262659294118235
87,honey,8.185735163543866
88,stomach,8.177830998579593
89,mall,8.123722268377724
90,tigger,8.082569772695148
91,wrote,8.068737881462704
92,dress,8.032748084959774
93,stage,8.001267168336245
94,ball,7.99763198423941
95,forgot,7.9258757800442545
96,young,7.890611221834554
97,writing,7.855523429069743
98,boring,7.815247121133185
99,disappointed,7.743817706095274
100,third,7.7169050379964865
101,wonderful,7.682675140937144
102,raised,7.682675140937144
103,board,7.650929355252661
104,cry,7.648611813378933
105,handed,7.648611813378933
106,often,7.6147134420484175
107,sitter,7.6147134420484175
108,window,7.51399227988372
109,bet,7.414699834940025
110,ones,7.381912889753041
111,steps,7.2335954499798
112,softly,7.2010750451637655
113,cookies,7.1846418878197476
114,admitted,7.150512062467747
115,mention,7.041065562670798
116,logan,7.009569427353936
117,written,6.978237763467026
118,visit,6.947068862204401
119,seeing,6.823987623205785
120,hugged,6.789699831226596
121,park,6.772588722239782
122,wow,6.733305796345494
123,stairs,6.585150120803267
124,return,6.542736054578713
125,california,6.497981517425807
126,picture,6.497981517425807
127,shouted,6.46920448384485
128,recently,6.453181421746061
129,forward,6.440564811328903
130,promise,6.423682811110121
131,worked,6.383692347601641
132,stacey,6.383692347601641
133,comes,6.3554570013771645
134,besides,6.3554570013771645
135,stick,6.336217023872535
136,clock,6.327353905502607
137,taken,6.327353905502607
138,subject,6.193757244901004
139,win,6.1813507042845375
140,foot,6.165745967157655
141,apple,6.120743484202128
142,cold,6.110189840032301
143,machine,6.0610408833354255
144,greeted,5.9731252564603246
145,houses,5.944244264566377
146,including,5.920465182211684
147,weekend,5.893939921063218
148,notes,5.887100435576471
149,david,5.841307856128281
150,michael,5.841307856128281
151,angry,5.841307856128281
152,exclaimed,5.763384201044789
153,weeks,5.763384201044789
154,whether,5.763384201044789
155,interesting,5.763384201044789
156,card,5.693290902032683
157,extra,5.6613398428887525
158,eleven,5.636150872738968
159,juice,5.613020649829446
160,math,5.611088163621245
161,conversation,5.611088163621245
162,named,5.586150456066051
163,none,5.586150456066051
164,lived,5.586150456066051
165,lunch,5.586150456066051
166,carefully,5.561336509355406
167,concerned,5.560388311519402
168,leaned,5.512075027140347
169,regular,5.487625100669389
170,known,5.487625100669389
171,wedding,5.476245447413088
172,upstairs,5.463294152413524
173,history,5.4571567756959105
174,checked,5.4390810300345835
175,hate,5.4390810300345835
176,wished,5.431759864981276
177,children,5.41498459785484
178,spoke,5.367137342774085
179,uh,5.343384328981097
180,figure,5.343384328981097
181,practice,5.307139193862094
182,pass,5.28267428579235
183,monday,5.272794921252172
184,dumb,5.258358101486821
185,center,5.210164747422123
186,child,5.162545137396849
187,throw,5.162545137396849
188,embarrassed,5.045918800231028
189,color,4.910312593528302
190,homework,4.888151872025841
191,trip,4.8223969666532005
192,sight,4.8223969666532005
193,yourself,4.779153302236338
194,problems,4.757705529670797
195,fifteen,4.736372145769347
196,purple,4.729043738441083
197,lines,4.729043738441083
198,jessi,4.7151519368505745
199,shoes,4.7151519368505745
200,step,4.7151519368505745
201,wall,4.610707360835831
202,ate,4.610707360835831
203,porch,4.568085597964124
204,schafer,4.54932508213719
205,thirteen,4.529071874311002
