,term,score
0,camp,140.90414134431035
1,charlie,123.88939470931182
2,sam,118.92013910209927
3,coach,82.11604618848375
4,mary,79.09192381878258
5,cabin,78.84097880023526
6,patrick,77.96218076157159
7,jill,72.270897233549
8,claudia,65.96482092521696
9,kristy,54.502520155607186
10,louie,51.455104800123436
11,softball,50.51718584846501
12,game,48.519033628836375
13,brothers,44.402873702409686
14,team,40.990374216552205
15,ball,37.32228259311725
16,watson,34.27261020125306
17,man,32.20282405664451
18,david,31.543062423092714
19,michael,31.543062423092714
20,lawn,31.358907596416703
21,juice,28.065103249147228
22,mimi,27.364776328647828
23,games,26.643074621479027
24,breakfast,23.75096908044855
25,present,21.110321589507272
26,popcorn,20.972473977724555
27,andrew,20.963536288336023
28,movie,19.508102492045165
29,karen,19.202866787103375
30,dinner,18.98206171650782
31,emily,18.66577900047685
32,practice,18.57498717851733
33,snow,18.234772601398625
34,handed,17.482541287723276
35,bathroom,16.8783893832862
36,van,16.510609380661553
37,angry,16.355661997159185
38,catch,15.64122127698494
39,nannie,14.717751088941178
40,shouted,14.016609714997175
41,soccer,14.011860740329816
42,baseball,13.966544784260096
43,smell,13.771098823530393
44,explained,13.77015683631719
45,rodowsky,13.682388164323914
46,krushers,12.802027469337991
47,played,11.682615712256561
48,pizza,11.669139178821244
49,ride,11.578448103674003
50,loved,11.353317300519812
51,list,11.322679685777505
52,bottle,10.925058164374297
53,movies,10.863519729962553
54,janine,10.850393174969701
55,town,10.592428335628608
56,street,10.592428335628608
57,birthday,10.430422632888398
58,fire,10.302425762258824
59,wondered,9.965961182074487
60,stories,9.776303744051681
61,bag,9.746972276138711
62,thomas,9.57553852140246
63,monday,9.49103085825391
64,bought,9.430303873701149
65,mess,9.346092569805249
66,neat,9.244680000136611
67,hospital,9.22639846011549
68,fault,9.034453990444486
69,letter,8.78824765002615
70,climbed,8.75035702963894
71,announced,8.702529648055334
72,english,8.621570265383696
73,window,8.587419748438537
74,lying,8.55426577604522
