,term,score
0,anna,742.8809370299088
1,abby,115.4036556248804
2,dinner,35.85500546451477
3,twins,34.82558235396513
4,soccer,32.02711026361101
5,kristy,26.716921644905483
6,beach,26.35643857740328
7,island,25.800819502198046
8,cake,19.751184045868165
9,sad,19.508102492045165
10,sports,19.183071641544387
11,music,19.183071641544387
12,birthday,19.122441493628727
13,clue,18.35567520601714
14,homework,18.3305695200969
15,shopping,17.408698245741697
16,party,16.98401952866626
17,apart,16.62532875600514
18,backpack,16.498503748066213
19,vacation,16.3304325649024
20,ate,16.13747576292541
21,lunch,15.64122127698494
22,crying,15.324243794764367
23,breakfast,15.000612050809611
24,bus,14.93326486137396
25,explained,14.82939966988005
26,class,13.831333419803554
27,teacher,13.503359632202832
28,dead,13.391306342878229
29,bsc,13.321537310739513
30,mall,12.997955629404359
31,sunday,12.965710198690271
32,exclaimed,12.679445242298536
33,restaurant,12.48578075928491
34,color,12.275781483820756
35,ball,11.996447976359114
36,moving,11.526768402089578
37,pool,11.458052956532615
38,radio,11.074944124613419
39,shouted,10.782007473074751
40,liked,10.639487246002734
41,lessons,10.555160794753636
42,aunt,10.252955591697177
43,families,10.091837600462055
44,loved,10.091837600462055
45,wondered,9.965961182074487
46,stayed,9.921735048852625
47,seat,9.833929474344343
48,game,9.703806725767276
49,dressed,9.660847216993353
50,office,9.601433393551687
51,kiss,9.181115226303191
52,connecticut,8.93784072970568
53,neither,8.898138414968649
54,ms,8.87335545997789
55,row,8.78824765002615
56,invited,8.710696866889197
57,tears,8.702529648055334
58,favorite,8.663975356567743
59,excited,8.511589796802188
60,town,8.473942668502886
61,mary,8.436471874003475
62,softball,8.41953097474417
63,played,8.177830998579593
64,visit,8.1049136725718
65,bedroom,8.032748084959774
66,practice,7.960708790793141
67,joke,7.887537152230232
68,sea,7.864750812075112
69,center,7.815247121133185
70,hospital,7.688665383429576
71,cry,7.648611813378933
72,checked,7.6147134420484175
73,beautiful,7.547405231152325
74,library,7.539400567681169
75,man,7.51399227988372
76,sign,7.480738060573535
77,singing,7.253608498481427
78,including,7.10455821865402
79,pencil,7.082943466634134
80,weekend,7.072727905275862
81,shoes,7.072727905275862
82,tonight,7.041065562670798
83,baseball,6.983272392130048
84,wondering,6.978237763467026
85,bunch,6.947068862204401
86,song,6.885549411765196
87,buy,6.885212644251235
88,dress,6.885212644251235
89,empty,6.763381047286761
90,catch,6.70338054727926
91,train,6.667779232663685
92,upset,6.614490032568417
93,mirror,6.603342857240437
94,lay,6.603342857240437
95,wonderful,6.585150120803267
96,handed,6.555952982896228
97,upstairs,6.555952982896228
98,born,6.542736054578713
99,surprise,6.46920448384485
100,plate,6.453181421746061
101,wore,6.365202612294164
102,drove,6.365202612294164
103,stepped,6.3554570013771645
104,street,6.3554570013771645
105,bear,6.2740189414106755
106,van,6.191478517748083
107,snow,6.078257533799541
108,store,6.027996208316501
109,doctor,5.944244264566377
110,houses,5.944244264566377
111,yelled,5.920465182211684
112,bat,5.898563109056334
113,pull,5.841307856128281
114,english,5.747713510255798
115,jeans,5.737677203542696
116,chairs,5.720409649974198
117,downstairs,5.7121017002088434
118,water,5.6613398428887525
119,young,5.636150872738968
120,names,5.611088163621245
121,green,5.586150456066051
122,afraid,5.536645101152493
123,questions,5.512075027140347
124,couch,5.508439529412157
125,boys,5.487625100669389
126,known,5.487625100669389
127,roll,5.482715968090995
128,drive,5.463294152413524
129,york,5.463294152413524
130,desk,5.4390810300345835
131,announced,5.4390810300345835
132,often,5.4390810300345835
133,closed,5.41498459785484
134,deal,5.3910037365373755
135,become,5.3910037365373755
136,spoke,5.367137342774085
137,stacey,5.319743623001367
138,worked,5.319743623001367
139,grabbed,5.319743623001367
140,news,5.296214167814304
141,clock,5.272794921252172
142,monday,5.272794921252172
143,headed,5.272794921252172
144,driveway,5.258358101486821
145,disappointed,5.162545137396849
146,seconds,5.045918800231028
147,confused,4.977541066793827
148,seriously,4.932596773726123
149,terrible,4.932596773726123
150,pink,4.910312593528302
151,bottom,4.888151872025841
152,pointing,4.8661132487819625
153,places,4.8661132487819625
154,note,4.8661132487819625
155,shannon,4.844195385723459
156,team,4.8223969666532005
157,listening,4.7151519368505745
158,sleep,4.610707360835831
159,wrote,4.610707360835831
160,weeks,4.610707360835831
161,eighth,4.590141762834157
162,list,4.529071874311002
163,rooms,4.523640340608702
164,reminded,4.508920698191174
165,writing,4.488870530896996
166,rock,4.479843942345243
167,none,4.46892036485284
168,age,4.46892036485284
169,became,4.4293160809219945
170,meetings,4.4293160809219945
171,notes,4.415325326682353
172,grinned,4.409660021712278
173,eating,4.409660021712278
174,wonder,4.390100080535511
175,accident,4.352165099088856
176,doors,4.352165099088856
177,nine,4.351264824027667
178,threw,4.351264824027667
179,pack,4.331403770555134
180,cookies,4.310785132691848
181,notebook,4.293709874219268
182,spend,4.274707463184877
183,tomorrow,4.274707463184877
184,supplies,4.269968176524513
185,claudia,4.255794898401094
186,besides,4.236971334251443
187,helped,4.236971334251443
188,bet,4.236971334251443
189,mine,4.236971334251443
190,awful,4.2182359370017375
191,ones,4.2182359370017375
192,camp,4.20609377147195
193,shrieked,4.1120369760682465
194,whose,4.1120369760682465
195,familiar,4.092867581771933
196,hugged,4.073819898735957
197,super,4.073819898735957
198,wished,4.073819898735957
199,major,4.054892391156162
200,jumping,4.036083552115377
201,main,3.998815992119705
202,skin,3.9803543953965703
203,summer,3.9803543953965703
204,pile,3.9620057143442624
205,neat,3.9620057143442624
206,mistake,3.9620057143442624
207,pictures,3.943768576115116
208,months,3.9076235605665923
209,beside,3.889713059607081
210,picking,3.889713059607081
211,pizza,3.889713059607081
212,organized,3.8542096866660724
213,grin,3.836614328308878
214,boxes,3.8191215673764987
215,insisted,3.7844391001732705
216,toys,3.7501530127024028
217,wears,3.7501530127024028
218,ways,3.716254346940602
219,giggled,3.716254346940602
220,audience,3.6916480415378063
221,ourselves,3.6661139040193804
222,rain,3.630729626568389
223,bathroom,3.6167977249899
224,learn,3.6167977249899
225,picnic,3.5911243719760297
226,company,3.5843649766772536
227,track,3.5843649766772536
228,mostly,3.5682791472530972
229,mal,3.5682791472530972
230,handle,3.536363952637931
231,jessi,3.536363952637931
232,tea,3.5141918103204377
233,loud,3.504784713676968
234,mess,3.504784713676968
235,logan,3.504784713676968
236,charlie,3.4735344311022005
237,mentioned,3.4735344311022005
238,awhile,3.458030520626873
239,interesting,3.458030520626873
240,hang,3.458030520626873
241,begin,3.4426063221256173
242,clean,3.4119938116028923
243,tired,3.4119938116028923
244,hanging,3.4119938116028923
245,ear,3.4119938116028923
246,seeing,3.4119938116028923
247,tv,3.4119938116028923
248,speak,3.3968039057332517
249,join,3.3968039057332517
250,stared,3.366652898172747
251,charge,3.35169027363963
252,mad,3.3368019056132434
253,sunny,3.3338896163318426
254,notice,3.321987060691496
255,hardly,3.321987060691496
256,member,3.3072450162842086
257,third,3.3072450162842086
258,plenty,3.3072450162842086
259,private,3.3072450162842086
260,regular,3.2925750604016333
261,animals,3.282823012321513
262,hit,3.2634486180207505
263,waited,3.2489907587129037
264,ahead,3.234602241922425
265,sheet,3.233027909078059
266,definitely,3.2202824056644515
267,spent,3.206030597388658
268,envelope,3.200506867334498
269,thomas,3.1918461738008204
270,sitters,3.1918461738008204
271,comes,3.1777285006885823
272,purple,3.152695825627389
273,weather,3.106001097633407
274,dining,3.106001097633407
275,babies,3.0906753521422687
276,porch,3.0453903986427493
