,term,score
0,mary,166.62031951156862
1,king,158.64629713896105
2,kristy,131.44725449293497
3,jenny,88.39523660790702
4,logan,77.1052637008933
5,claudia,68.0927183744175
6,james,65.5879055614658
7,bsc,53.286149242958054
8,mal,51.14533444396106
9,practice,50.41782234168989
10,jessi,49.50909533693103
11,stacey,43.621897708611215
12,track,41.817591394567955
13,booth,40.103185347864155
14,coach,38.19350985510872
15,sitters,32.98241046260848
16,fair,31.970511983943094
17,alex,24.706643912776656
18,uh,23.510891047516825
19,huh,22.297526081643614
20,legs,20.963536288336023
21,boys,20.852975382543676
22,pete,20.786950215890773
23,team,20.495187108276102
24,andrea,20.25607536929318
25,ben,17.84704205796688
26,claire,17.408698245741697
27,blood,16.832044581555852
28,member,16.53622508142104
29,ground,16.32473732953403
30,adam,16.034594059136165
31,laughter,14.507216996962853
32,center,14.327953055410838
33,jobs,14.26782526174041
34,nicky,13.966544784260096
35,margo,13.900970778798506
36,jeff,13.626265938782208
37,emergency,12.809904529573538
38,sports,12.78871442769626
39,mallory,12.34439395996674
40,bruno,12.110488464308649
41,jumping,12.108250656346131
42,shopping,12.052175708590406
43,main,11.996447976359114
44,lawn,11.946250512920649
45,yelled,11.840930364423368
46,insisted,11.353317300519812
47,bear,10.979533147468683
48,rushed,10.914313551391821
49,guy,10.82996919570968
50,ahead,10.782007473074751
51,mention,10.561598344006196
52,ice,10.516716202973642
53,candy,10.420329494844246
54,yard,10.325090274793698
55,locker,10.212216767863147
56,managed,10.010405716839731
57,meetings,9.965961182074487
58,ended,9.965961182074487
59,low,9.865193547452247
60,record,9.833929474344343
61,sitter,9.79034585406225
62,brothers,9.746972276138711
63,vanessa,9.730679545158953
64,slow,9.685076778010597
65,shrugged,9.618091792165973
66,normal,9.601433393551687
67,thomas,9.57553852140246
68,calling,9.49103085825391
69,cream,9.46141557936438
70,sms,9.458087476882167
71,hospital,9.22639846011549
72,weeks,9.221414721671662
73,dumb,9.202126677601937
74,mommy,9.12707574568848
75,sense,8.858632161843989
76,hundred,8.790243177441402
77,jump,8.746142214074272
78,prezzioso,8.745713978700106
79,shouted,8.6256059784598
80,man,8.587419748438537
81,luck,8.4391946916431
82,strong,8.41953097474417
83,um,8.251515889488505
84,bike,8.249251874033106
85,blonde,8.177830998579593
86,stomach,8.177830998579593
87,bunch,8.1049136725718
88,ew,8.082569772695148
89,field,8.082569772695148
90,twenty,8.068737881462704
91,schafer,7.961318893740082
92,joke,7.887537152230232
93,born,7.851283265494455
94,staring,7.82061063849247
95,pike,7.82061063849247
96,became,7.751303141613491
97,schedule,7.743817706095274
98,starting,7.7169050379964865
99,charlotte,7.688665383429576
100,group,7.6147134420484175
101,hate,7.6147134420484175
102,broke,7.580978436996775
103,sign,7.480738060573535
104,monday,7.381912889753041
105,question,7.381912889753041
106,stupid,7.365468890292453
107,shop,7.358875544470589
108,pikes,7.288451845061893
109,jordan,7.288451845061893
110,shannon,7.266293078585189
111,tuesday,7.2335954499798
112,bathroom,7.2335954499798
113,example,7.219006284258558
114,tonight,7.041065562670798
115,bowl,6.983272392130048
116,missed,6.733305796345494
117,somehow,6.733305796345494
118,mad,6.673603811226487
119,filled,6.614490032568417
120,upset,6.614490032568417
121,lifted,6.603342857240437
122,pass,6.603342857240437
123,spier,6.585150120803267
124,waved,6.555952982896228
125,upstairs,6.555952982896228
126,california,6.497981517425807
127,sheet,6.466055818156118
128,forward,6.440564811328903
129,thoughts,6.39435721384813
130,stick,6.336217023872535
131,associate,6.165745967157655
132,receiver,6.150932306743661
133,pulling,6.082641560977454
134,machine,6.0610408833354255
135,screamed,6.031520454144935
136,janine,6.027996208316501
137,wide,6.000895870969805
138,shot,5.867554635558998
139,row,5.8588317666841006
140,mentioned,5.789224051837001
141,woman,5.789224051837001
142,exclaimed,5.763384201044789
143,kidding,5.763384201044789
144,begin,5.737677203542696
145,body,5.737677203542696
146,murmured,5.720409649974198
147,downstairs,5.7121017002088434
148,lucky,5.686656352671488
149,totally,5.6613398428887525
150,eleven,5.636150872738968
151,math,5.611088163621245
152,conversation,5.611088163621245
153,longer,5.611088163621245
154,hallway,5.586617913704038
155,age,5.586150456066051
156,charge,5.586150456066051
157,notice,5.536645101152493
158,sun,5.534329587434627
159,milk,5.534329587434627
160,nervous,5.512075027140347
161,regular,5.487625100669389
162,tough,5.4571567756959105
163,tears,5.4390810300345835
164,tree,5.431759864981276
165,listen,5.41498459785484
166,giggling,5.406523188208217
167,game,5.3910037365373755
168,deal,5.3910037365373755
