,term,score
0,mary,143.42002185805907
1,king,109.33731289306775
2,claudia,74.47641072201914
3,stacey,65.96482092521696
4,locker,64.67737286313326
5,kristy,48.09045896082987
6,ice,47.32522291338139
7,carolyn,42.676806858156326
8,marilyn,42.38672488767134
9,logan,40.889154992897964
10,charlotte,39.981059993833796
11,box,38.987889104554846
12,nicky,37.70967091750226
13,bruno,36.33146539292595
14,huh,35.92379202042582
15,bsc,35.12041654649508
16,skin,34.49640476010361
17,mal,34.49336509011327
18,man,32.20282405664451
19,becca,31.763627650737654
20,uh,24.579567913313046
21,guy,23.825932230561293
22,track,22.700978185622606
23,store,21.700786349939403
24,jacket,21.248830399902403
25,mall,21.121677897782085
26,ideas,15.365350281874289
27,jessi,15.324243794764367
28,coach,15.277403942043488
29,practice,14.594632783120758
30,lunch,14.523991185771731
31,police,13.474692407022324
32,pocket,13.391306342878229
33,twins,13.26688851579624
34,buddy,13.198802998452969
35,field,12.932111636312236
36,sitters,11.703435970603008
37,monday,11.600148826754777
38,english,11.495427020511595
39,fortunately,11.43130279543168
40,james,11.30825957956307
41,stupid,11.04820333543868
42,member,11.024150054280694
43,team,10.850393174969701
44,um,10.609091857913793
45,whoa,10.420329494844246
46,hang,10.37409156188062
47,kidding,10.37409156188062
48,hanging,10.235981434808677
49,grin,10.230971542157008
50,arnold,9.948591002144862
51,eye,9.746972276138711
52,note,9.732226497563925
53,shrugged,9.618091792165973
54,sergeant,9.604977523212256
55,dinner,9.49103085825391
56,mention,9.388087416894397
57,cheese,9.318003292900222
58,charlie,9.262758482939201
59,climbed,8.75035702963894
60,breakfast,8.75035702963894
61,adam,8.746142214074272
62,involved,8.671260142861405
63,deal,8.6256059784598
64,explained,8.473942668502886
65,eight,8.436471874003475
66,hallway,8.379926870556057
67,expression,8.340582467279102
68,vanessa,8.340582467279102
69,clear,8.1049136725718
70,buy,8.032748084959774
71,envelope,8.001267168336245
72,haley,7.911534971127877
73,named,7.82061063849247
74,triplets,7.779426119214162
75,pizza,7.779426119214162
76,meetings,7.751303141613491
77,sports,7.673228656617756
78,rolled,7.648611813378933
79,picture,7.580978436996775
80,grabbed,7.447641072201915
81,sighed,7.447641072201915
82,clock,7.381912889753041
83,truth,7.365468890292453
84,homework,7.332227808038761
85,jordan,7.288451845061893
86,claud,7.2010750451637655
87,yelled,7.10455821865402
88,carried,7.04949852588015
89,somebody,6.853394960113743
90,guilty,6.853394960113743
91,takes,6.70338054727926
92,wednesday,6.673603811226487
93,led,6.673603811226487
94,burst,6.643974121382992
95,starting,6.614490032568417
96,eating,6.614490032568417
97,mistake,6.603342857240437
98,jobs,6.585150120803267
99,snapped,6.572947626858526
100,dumb,6.572947626858526
101,lose,6.572947626858526
102,cry,6.555952982896228
103,york,6.555952982896228
104,threw,6.526897236041501
105,bag,6.497981517425807
106,shouted,6.46920448384485
107,game,6.46920448384485
108,class,6.383692347601641
109,boxes,6.365202612294164
110,johanssen,6.337012369283231
111,folded,6.336217023872535
112,ones,6.327353905502607
113,sms,6.305391651254778
114,erica,6.249396266535913
115,restaurant,6.242890379642455
116,cold,6.110189840032301
117,stamford,6.031520454144935
118,fight,6.000895870969805
119,richard,5.969154601286917
120,tape,5.944244264566377
121,ate,5.763384201044789
122,card,5.693290902032683
123,fall,5.6613398428887525
124,wow,5.611088163621245
125,usual,5.586150456066051
126,radio,5.537472062306709
127,official,5.534329587434627
128,stayed,5.512075027140347
129,regular,5.487625100669389
130,boys,5.487625100669389
131,waved,5.463294152413524
132,record,5.463294152413524
133,seat,5.463294152413524
134,tough,5.4571567756959105
135,familiar,5.4571567756959105
136,junk,5.4390810300345835
137,nine,5.4390810300345835
138,favorite,5.41498459785484
139,others,5.41498459785484
140,broke,5.41498459785484
141,honest,5.381444736153836
142,window,5.367137342774085
143,dead,5.3565225371512915
144,jewelry,5.331754656159607
145,basement,5.328432300392739
146,younger,5.319743623001367
147,brown,5.296214167814304
148,mine,5.296214167814304
149,taken,5.272794921252172
150,john,5.215211316444199
151,yard,5.162545137396849
152,drove,5.092162089835331
153,ha,5.079441541679836
154,crowd,5.068973619098028
155,embarrassed,5.045918800231028
156,disappeared,5.045918800231028
157,insisted,5.045918800231028
158,anybody,5.022996101395087
159,ground,5.022996101395087
160,excuse,5.000204016936537
161,confused,4.977541066793827
162,act,4.977541066793827
163,smart,4.955005795920803
164,american,4.955005795920803
165,seriously,4.932596773726123
166,terrible,4.932596773726123
167,genius,4.8661132487819625
168,janine,4.8223969666532005
169,tuesday,4.8223969666532005
170,normal,4.800716696775844
171,missing,4.800716696775844
172,drop,4.779153302236338
173,mostly,4.757705529670797
174,fair,4.736372145769347
175,stomach,4.673046284902624
176,loud,4.673046284902624
177,babies,4.636013028213403
178,bunch,4.631379241469601
179,mentioned,4.631379241469601
180,receiver,4.613199230057745
181,thinks,4.610707360835831
182,twenty,4.610707360835831
183,wall,4.610707360835831
