,term,score
0,maria,306.24826244245867
1,tiffany,300.72370244651466
2,kristy,115.4171015059917
3,french,81.23722268377725
4,garden,69.75156578286513
5,claudia,63.83692347601641
6,bsc,55.70824693581979
7,stacey,52.1334875054134
8,mary,50.61883124402085
9,papadakis,46.22157317601977
10,shannon,43.597758471511135
11,dr,35.93110075715899
12,bus,35.46650404576315
13,jackie,32.02711026361101
14,trip,31.345580283245802
15,team,28.9343817999192
16,game,28.03321942999435
17,cake,26.933432789820223
18,dinner,26.36397460626086
19,mallory,23.56657028720923
20,barrett,23.21547814355445
21,math,22.44435265448498
22,jessi,22.39697170004023
23,study,21.007757028218254
24,dress,20.655637932753706
25,bart,20.49660245592678
26,breakfast,20.000816067746147
27,flowers,19.892416323656917
28,gotten,18.99291155062457
29,third,18.741055092277183
30,ball,18.661141296558625
31,card,18.503195431606223
32,pizza,18.151994278166377
33,pike,17.87568145941136
34,field,17.781653499929323
35,johanssen,17.426784015528884
36,practice,17.248202380051804
37,salad,16.34667172755754
38,earrings,16.111787358381278
39,wondered,15.502606283226982
40,softball,15.435806787030977
41,nannie,14.717751088941178
42,krushers,14.40228090300524
43,schedule,14.196999127841336
44,hannie,14.057985332199399
45,kinds,14.032551624573614
46,wrote,13.832122082507492
47,coffee,13.771098823530393
48,rodowsky,13.682388164323914
49,lunch,13.40676109455852
50,chocolate,13.391306342878229
51,closet,13.381811434150396
52,window,12.881129622657806
53,sugar,12.557490253487718
54,pink,12.275781483820756
55,lindsey,12.212956677143248
56,dog,12.165283121954907
57,jobs,12.072775221472655
58,keeping,12.055992416633002
59,record,12.019247135309753
60,office,12.00179174193961
61,linny,11.975916542685683
62,silence,11.787879842126436
63,uh,11.755445523758413
64,class,11.703435970603008
65,coach,11.458052956532615
66,crowd,11.405190642970563
67,families,11.353317300519812
68,homework,10.998341712058142
69,favorite,10.82996919570968
70,surprise,10.782007473074751
71,mine,10.592428335628608
72,rules,10.5653485715847
73,headed,10.545589842504343
74,matt,10.31913086291347
75,organized,10.277892497776193
76,forgotten,10.235981434808677
77,teachers,10.20383258308665
78,extra,10.190411717199755
79,plan,10.05507082091889
80,grinned,9.921735048852625
81,hat,9.916120853287788
82,involved,9.910011591841606
83,hit,9.79034585406225
84,box,9.746972276138711
85,shouted,9.703806725767276
86,super,9.505579763717234
87,claire,9.37391444001476
88,shopping,9.37391444001476
89,counter,9.091561325003138
90,tall,9.034453990444486
91,charge,8.93784072970568
92,newspaper,8.87335545997789
93,meetings,8.858632161843989
94,hardly,8.858632161843989
95,member,8.819320043424556
96,college,8.704330198177711
97,threw,8.702529648055334
98,woke,8.662807541110269
99,den,8.645935585215712
100,turning,8.6256059784598
101,teacher,8.593047038674529
102,air,8.549414926369755
103,welcome,8.515698185368434
104,karen,8.401254219357726
105,bought,8.251515889488505
106,written,8.14127739071153
107,archie,8.048596142966751
108,settled,8.032748084959774
109,schafer,7.961318893740082
110,summer,7.960708790793141
111,join,7.9258757800442545
112,student,7.924011428688525
113,bat,7.864750812075112
114,although,7.855523429069743
115,dogs,7.842523676763344
116,sunday,7.779426119214162
117,throw,7.743817706095274
118,plate,7.743817706095274
119,braddock,7.7275945181605845
120,paused,7.708419373332145
121,stairs,7.682675140937144
122,listen,7.580978436996775
123,beautiful,7.547405231152325
124,careful,7.5344941520926305
125,notebook,7.51399227988372
126,wears,7.5003060254048055
127,backyard,7.466406570575406
128,changed,7.447641072201915
129,grabbed,7.447641072201915
130,subject,7.432508693881204
131,ways,7.432508693881204
132,final,7.394462883314908
133,adam,7.288451845061893
134,store,7.2335954499798
135,learn,7.2335954499798
136,claud,7.2010750451637655
137,clients,7.2010750451637655
138,english,7.1846418878197476
139,hurried,7.1846418878197476
140,problems,7.1365582945061945
141,supplies,7.116613627540854
142,fingers,7.10455821865402
143,jacket,7.082943466634134
144,slid,7.082943466634134
145,listening,7.072727905275862
146,logan,7.009569427353936
147,charlie,6.947068862204401
148,milk,6.9179119842932835
149,jeans,6.885212644251235
150,clean,6.823987623205785
151,seeing,6.823987623205785
152,married,6.733305796345494
153,wow,6.733305796345494
154,managed,6.673603811226487
155,stayed,6.614490032568417
156,grandmother,6.614490032568417
157,buddy,6.5994014992264844
158,upstairs,6.555952982896228
159,hate,6.526897236041501
160,quite,6.526897236041501
161,junk,6.526897236041501
162,planning,6.512705934277654
163,bag,6.497981517425807
164,eye,6.497981517425807
165,lucy,6.473565366692912
166,yard,6.453181421746061
167,cleared,6.423682811110121
168,tomorrow,6.412061194777316
169,gym,6.401013734668996
170,grin,6.39435721384813
171,drove,6.365202612294164
172,boxes,6.365202612294164
173,street,6.3554570013771645
174,weather,6.212002195266814
175,large,6.193757244901004
176,sleeping,6.1813507042845375
177,board,6.120743484202128
178,soda,6.090780797285499
179,brewer,6.082641560977454
180,throat,6.027996208316501
181,soccer,6.005083174427064
182,mal,5.947131912088496
183,pushed,5.920465182211684
184,ms,5.915570306651927
185,orange,5.915570306651927
186,weekend,5.893939921063218
187,notes,5.887100435576471
188,covered,5.815198136222522
189,example,5.775205027406846
190,moving,5.763384201044789
191,cookies,5.747713510255798
192,movie,5.737677203542696
193,single,5.737677203542696
194,boo,5.66380651835709
195,water,5.6613398428887525
196,list,5.6613398428887525
197,somehow,5.611088163621245
198,sisters,5.611088163621245
199,stared,5.611088163621245
200,beat,5.586617913704038
201,none,5.586150456066051
202,green,5.586150456066051
203,usual,5.586150456066051
204,staring,5.586150456066051
205,ended,5.536645101152493
206,daughter,5.534329587434627
207,sun,5.534329587434627
208,filled,5.512075027140347
209,decision,5.508439529412157
210,regular,5.487625100669389
211,explain,5.487625100669389
212,wonderful,5.487625100669389
213,honey,5.4571567756959105
214,announced,5.4390810300345835
215,sitter,5.4390810300345835
216,lips,5.431759864981276
217,major,5.406523188208217
218,cream,5.406523188208217
219,break,5.3910037365373755
220,picnic,5.386686557964045
